timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-07 09:27:35,0.40,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,99.30,0.20,284.40,169.20,0.00,0.00,0.00,18.40,586.80,0.00,4124.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,36.80,7072012,0,1103596,13.50,33372,397420,1064048,13.01,742580,248316,60656,560112,44632,2016,3376,18156,0,0,0.00,0,0.00,1,238,1.89,1.06,0.74,0,0.40,0.00,36.80,92.00,0.00,2.00,2.00,0.08,4.80,5.40,0.48,0.71,0.00,0.00,0.00,0.00
2018-01-07 09:27:40,1.91,0.00,0.80,0.20,0.00,0.00,0.00,0.00,0.00,97.09,14.40,445.60,355.20,0.00,0.00,0.00,31.20,7736.60,0.00,2468.80,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,62.40,7067940,0,1107668,13.55,33384,397440,1080408,13.22,746908,248340,60628,564356,44632,2216,3820,18156,0,0,0.00,0,0.00,1,241,1.74,1.04,0.74,0,1.80,0.00,62.40,34.67,0.00,2.67,2.67,0.48,8.20,9.60,1.65,1.69,0.00,0.00,0.00,0.00
2018-01-07 09:27:45,0.10,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,99.60,0.00,236.00,194.20,0.00,0.00,0.00,6244.00,8.60,0.00,27.80,0.00,0.00,0.00,0.00,49.40,0.00,49.40,0.00,12488.00,7068036,0,1107572,13.55,33392,397468,1080408,13.22,746912,248352,29572,564412,44612,2040,3888,18156,0,0,0.00,0,0.00,1,241,1.60,1.02,0.73,0,49.40,0.00,12488.00,252.79,1.49,30.17,0.29,1.44,3.20,4.40,0.26,0.80,0.00,0.00,0.00,0.00
2018-01-07 09:27:50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,228.60,144.80,0.00,0.00,0.00,52.80,7.60,0.00,26.20,0.00,0.00,0.00,0.00,9.00,0.00,9.00,0.00,105.60,7067912,0,1107696,13.55,33392,397492,1080408,13.22,746920,248376,29296,564412,44612,2040,3888,18156,0,0,0.00,0,0.00,1,241,1.47,1.01,0.73,0,9.00,0.00,105.60,11.73,0.00,0.36,0.09,0.08,2.80,4.00,0.23,0.70,0.00,0.00,0.00,0.00
2018-01-07 09:27:55,0.20,0.00,0.10,0.30,0.10,0.00,0.00,0.00,0.00,99.30,0.00,232.40,184.20,0.00,0.00,0.00,5838.40,8.20,0.00,27.00,0.00,0.00,0.00,0.00,46.20,0.00,46.20,0.00,11676.80,7067912,0,1107696,13.55,33400,397516,1080408,13.22,746932,248396,188,564412,44612,2040,3888,18156,0,0,0.00,0,0.00,1,241,1.35,0.99,0.73,0,46.20,0.00,11676.80,252.74,1.33,28.80,0.29,1.36,3.00,4.40,0.25,0.80,0.00,0.00,0.00,0.00
2018-01-07 09:28:00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,236.80,143.00,0.00,0.00,0.00,11.20,7.80,0.00,27.20,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,22.40,7068036,0,1107572,13.55,33408,397536,1080408,13.22,746932,248396,224,564412,44612,2040,3888,18156,0,0,0.00,0,0.00,1,241,1.25,0.97,0.72,0,0.80,0.00,22.40,28.00,0.00,0.00,0.00,0.00,2.80,4.20,0.24,0.79,0.00,0.00,0.00,0.00
2018-01-07 09:28:05,1.31,0.00,0.40,0.00,0.10,0.00,0.00,0.00,0.00,98.18,5.60,645.20,603.20,0.00,0.00,0.00,36.80,655.80,0.00,502.80,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,73.60,7065096,0,1110512,13.58,33416,399824,1080408,13.22,747708,250468,2344,565028,44656,2104,3888,18156,0,0,0.00,0,0.00,0,249,1.15,0.96,0.72,0,1.20,0.00,73.60,61.33,0.00,0.00,0.00,0.00,65.40,59.80,467.85,5.05,0.00,0.00,0.00,0.04
2018-01-07 09:28:10,0.51,0.00,0.30,0.00,0.00,0.00,0.10,0.00,0.00,99.09,0.00,1013.80,921.20,0.00,0.00,0.00,33.60,8.20,0.00,1279.00,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,67.20,7058308,0,1117300,13.67,33428,406080,1080408,13.22,748252,256584,8732,565556,44648,2104,3888,18156,0,0,0.00,0,0.00,0,249,1.05,0.94,0.72,0,0.80,0.00,67.20,84.00,0.00,2.00,1.00,0.08,142.60,134.80,1234.49,9.90,0.00,0.00,0.00,0.10
2018-01-07 09:28:15,0.81,0.00,0.20,0.00,0.10,0.00,0.00,0.00,0.00,98.88,0.00,1084.60,1111.20,0.00,0.00,0.00,7.20,10.00,0.00,678.80,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,14.40,7052100,0,1123508,13.74,33436,413188,1080408,13.22,748148,263748,15848,565444,44640,2088,3888,18156,0,0,0.00,0,0.00,0,247,0.97,0.93,0.71,0,0.60,0.00,14.40,24.00,0.00,0.00,0.00,0.00,164.20,144.20,1424.65,10.52,0.00,0.00,0.00,0.12
2018-01-07 09:28:20,1.52,0.00,0.20,0.00,0.10,0.00,0.00,0.00,0.00,98.18,0.00,1015.40,1005.40,0.00,0.00,0.00,4.80,12.80,0.00,647.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,7037152,0,1138456,13.93,33444,419812,1080408,13.22,756336,270456,22476,573624,44640,2088,3888,18156,0,0,0.00,0,0.00,2,247,0.89,0.91,0.71,0,0.40,0.00,9.60,24.00,0.00,0.00,0.00,0.00,156.80,147.80,1357.75,10.77,0.00,0.00,0.00,0.11
2018-01-07 09:28:25,0.61,0.00,0.20,0.00,0.10,0.00,0.10,0.00,0.00,98.99,0.00,1007.40,977.20,0.00,0.00,0.00,41.60,9.20,0.00,617.00,0.00,0.00,0.00,0.00,6.40,0.00,6.40,0.00,83.20,7030912,0,1144696,14.00,33452,426232,1080408,13.22,756100,276940,28720,573372,44648,2056,3888,18156,0,0,0.00,0,0.00,1,243,0.82,0.89,0.70,0,6.40,0.00,83.20,13.00,0.00,0.00,0.00,0.00,146.40,137.20,1271.44,10.11,0.00,0.00,0.00,0.10
