timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-07 07:34:51,0.50,0.00,0.10,19.62,0.10,0.00,0.00,0.00,0.00,79.68,0.20,282.60,329.80,0.00,0.00,0.80,17632.80,565.60,0.00,1291.20,0.00,0.00,0.00,0.00,167.60,0.20,167.40,1.60,42740.80,6217632,0,1957976,23.95,28300,1347684,995176,12.17,657476,1168140,248780,449660,64476,1936,3104,18156,0,0,0.00,0,0.00,1,228,1.58,1.10,1.00,0,167.60,1.60,42740.80,255.03,62.46,409.16,2.99,50.08,3.00,4.40,0.31,0.67,0.00,0.00,0.00,0.00
2018-01-07 07:34:56,2.11,0.00,0.40,0.00,0.10,0.00,0.00,0.00,0.00,97.38,14.40,420.60,339.20,0.00,0.00,0.00,12.00,7731.80,0.00,2464.80,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,24.00,6213984,0,1961624,23.99,28312,1347712,1007324,12.32,661668,1168156,248812,453828,64504,2008,3584,18156,0,0,0.00,0,0.00,1,231,1.46,1.08,0.99,0,0.60,0.00,24.00,40.00,0.00,0.00,0.00,0.00,8.00,9.20,1.63,1.58,0.00,0.00,0.00,0.00
2018-01-07 07:35:01,0.30,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,99.50,0.80,290.40,203.60,0.00,0.00,2.40,15.20,192.60,0.00,114.20,0.00,0.00,0.00,0.00,1.00,0.60,0.40,4.80,30.40,6213460,0,1962148,24.00,28320,1347780,1007324,12.32,662288,1168076,248888,454320,64544,1960,3784,18156,0,0,0.00,0,0.00,1,231,1.34,1.06,0.99,0,1.00,4.80,30.40,35.20,0.00,0.00,0.00,0.00,8.80,10.40,10.23,10.85,0.00,0.00,0.00,0.00
2018-01-07 07:35:06,0.20,0.00,0.10,29.25,0.10,0.00,0.10,0.00,0.00,70.25,0.00,256.40,369.20,0.00,0.00,1.60,31252.80,8.80,0.00,31.00,0.00,0.00,0.00,0.00,214.00,0.40,213.60,3.20,54364.80,6213492,0,1962116,24.00,28332,1347800,1007324,12.32,662124,1168120,92788,454136,64548,1952,3612,18156,0,0,0.00,0,0.00,1,230,1.31,1.06,0.99,1,214.20,3.20,54416.00,254.06,85.03,374.49,2.78,59.60,3.00,4.40,0.25,0.80,0.00,0.00,0.00,0.00
2018-01-07 07:35:11,51.56,0.00,2.62,25.88,0.10,0.00,0.00,0.00,0.00,19.84,19.40,1067.20,968.60,0.00,0.00,2.40,18472.00,9457.20,0.00,3010.60,0.00,0.00,0.00,0.00,177.60,0.60,177.00,4.80,45084.80,6048124,0,2127484,26.02,28340,1348404,1404136,17.17,825792,1168552,1076,617676,65208,2248,4580,18156,0,0,0.00,0,0.00,5,269,1.37,1.08,0.99,0,177.40,4.80,45033.60,253.88,66.99,404.79,3.10,55.04,24.80,25.60,82.99,2.75,0.00,0.00,0.00,0.01
2018-01-07 07:35:16,96.30,0.00,3.20,0.00,0.00,0.00,0.20,0.00,0.00,0.30,8.20,1439.20,958.60,0.00,0.00,1.60,100.80,3681.20,0.00,2276.20,0.00,0.00,0.00,0.00,10.20,0.40,9.80,3.20,201.60,5724172,0,2451436,29.98,28352,1348672,1601188,19.58,1147748,1168788,1096,939548,65624,2528,5408,18156,0,0,0.00,0,0.00,4,302,1.58,1.13,1.01,0,10.20,3.20,201.60,20.08,0.01,1.10,0.55,0.56,28.40,31.20,4.50,62.68,0.00,0.00,0.00,0.01
2018-01-07 07:35:21,95.40,0.00,3.90,0.00,0.00,0.00,0.60,0.00,0.00,0.10,0.00,2735.80,1511.20,0.00,0.00,0.00,54.40,212.60,0.00,683.60,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,108.80,5547672,0,2627936,32.14,28364,1493040,1633072,19.97,1319664,1168820,145372,967328,69656,2432,5440,18156,0,0,0.00,0,0.00,3,290,1.61,1.14,1.01,0,1.60,0.00,108.80,68.00,0.01,3.50,3.50,0.56,7.40,8.80,0.56,1.49,0.00,0.00,0.00,0.00
2018-01-07 07:35:26,94.11,0.00,5.69,0.00,0.00,0.00,0.10,0.00,0.00,0.10,1.60,1227.60,659.60,0.00,0.00,0.00,12.80,197.60,0.00,342.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,25.60,5251884,0,2923724,35.76,28372,1759544,1665984,20.38,1612948,1164176,416000,989380,77028,2448,5512,18156,0,0,0.00,0,0.00,3,292,1.64,1.15,1.02,0,0.40,0.00,25.60,64.00,0.00,0.00,0.00,0.00,4.00,6.40,0.34,1.43,0.00,0.00,0.00,0.00
2018-01-07 07:35:31,69.01,0.00,6.02,0.00,0.00,0.00,0.00,0.00,0.00,24.97,12.60,1547.80,815.00,0.00,0.00,0.00,31.20,7708.60,0.00,42692.40,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,62.40,5746964,0,2428644,29.71,28384,1612060,1459204,17.85,1127516,1159216,273644,646284,73396,2240,4616,18156,0,0,0.00,0,0.00,7,268,1.51,1.14,1.01,0,1.00,0.00,62.40,62.40,0.00,1.60,1.60,0.16,15.20,16.80,2.59,2.68,0.00,0.00,0.00,0.00
2018-01-07 07:35:36,97.00,0.00,2.80,0.00,0.00,0.00,0.10,0.00,0.00,0.10,8.80,1470.00,889.80,0.00,0.00,0.00,47.20,5477.40,0.00,3255.80,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,94.40,5388400,0,2787208,34.09,28396,1607200,1603380,19.61,1489512,1154708,273908,1008644,73404,2488,5320,18156,0,0,0.00,0,0.00,5,301,1.95,1.23,1.05,0,1.60,0.00,94.40,59.00,0.01,9.00,8.50,1.36,34.60,36.60,5.03,72.89,0.00,0.00,0.00,0.01
