timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-07 09:15:57,17.85,0.00,0.70,0.00,0.10,0.00,0.00,0.00,0.00,81.34,0.80,378.00,325.60,0.00,0.00,0.00,38.40,990.40,0.00,1865.20,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,76.80,14727116,0,931884,5.95,37144,351908,1066560,6.81,570924,215392,416,397272,43784,1840,2968,31532,0,0,0.00,0,0.00,0,216,0.25,0.37,0.37,0,0.80,0.00,76.80,96.00,0.00,2.00,1.00,0.08,3.40,4.60,0.30,0.62,0.00,0.00,0.00,0.00
2018-01-07 09:16:02,0.10,0.00,0.10,0.10,0.00,0.00,0.10,0.00,0.00,99.60,0.00,229.60,133.60,0.00,0.00,0.00,3.20,11.60,0.00,17.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,14727148,0,931852,5.95,37152,351928,1066560,6.81,570936,215392,436,397276,43784,1840,2968,31532,0,0,0.00,0,0.00,0,216,0.23,0.37,0.36,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,1.40,2.80,0.12,0.53,0.00,0.00,0.00,0.00
2018-01-07 09:16:07,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,229.00,133.60,0.00,0.00,0.00,1.60,7.00,0.00,99.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,3.20,14726588,0,932412,5.95,37152,351952,1066560,6.81,569272,215420,452,397632,43784,1840,2968,31532,0,0,0.00,0,0.00,0,216,0.21,0.36,0.36,0,0.40,0.00,3.20,8.00,0.00,0.00,0.00,0.00,1.40,2.80,0.12,0.53,0.00,0.00,0.00,0.00
2018-01-07 09:16:12,16.41,0.00,0.50,0.00,0.10,0.00,0.00,0.00,0.00,82.98,3.80,686.80,713.40,0.00,0.00,0.00,60.00,1325.40,0.00,629.40,0.00,0.00,0.00,0.00,10.40,0.00,10.40,0.00,120.00,14692392,0,966608,6.17,37160,353532,1066560,6.81,604004,216920,1732,430344,43808,1896,3048,31532,0,0,0.00,0,0.00,0,223,0.19,0.36,0.36,0,10.40,0.00,120.00,11.54,0.02,2.23,0.08,0.08,44.60,44.60,325.30,3.65,0.00,0.00,0.00,0.00
2018-01-07 09:16:17,1.51,0.00,0.20,0.10,0.10,0.00,0.40,0.00,0.00,97.69,0.00,678.20,737.00,0.00,0.00,0.00,31.20,10.20,0.00,542.60,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,62.40,14685344,0,973656,6.22,37168,360060,1066560,6.81,604092,223528,8404,430372,43784,1896,3048,31532,0,0,0.00,0,0.00,1,223,0.18,0.35,0.36,0,0.60,0.00,62.40,104.00,0.01,16.00,8.00,0.48,152.60,136.80,1329.18,9.87,0.00,0.00,0.00,0.00
2018-01-07 09:16:22,1.11,0.00,0.51,0.00,0.10,0.00,0.10,0.00,0.00,98.18,0.00,747.40,814.20,0.00,0.00,0.00,3.20,8.20,0.00,628.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,14678068,0,980932,6.26,37176,367856,1066560,6.81,604068,231104,16200,430340,43784,1888,3048,31532,0,0,0.00,0,0.00,0,222,0.16,0.34,0.36,0,0.40,0.00,6.40,16.00,0.00,2.00,2.00,0.08,177.40,153.20,1538.43,10.98,0.00,0.00,0.00,0.00
2018-01-07 09:16:27,0.82,0.00,0.20,0.00,0.10,0.00,0.10,0.00,0.00,98.78,0.00,797.40,889.80,0.00,0.00,0.00,58.40,9.00,0.00,721.80,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,116.80,14668708,0,990292,6.32,37184,376712,1066560,6.81,604096,240092,24852,430348,43784,1888,3048,31532,0,0,0.00,0,0.00,0,222,0.15,0.34,0.35,0,1.60,0.00,116.80,73.00,0.00,0.50,0.50,0.08,206.20,169.00,1794.33,11.92,0.00,0.00,0.00,0.00
2018-01-07 09:16:32,0.91,0.00,0.61,0.00,0.10,0.00,0.00,0.00,0.00,98.38,0.00,724.20,764.60,0.00,0.00,0.00,4.80,8.00,0.00,561.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,14662044,0,996956,6.37,37192,383576,1066560,6.81,604116,246988,31720,430360,43784,1888,3048,31532,0,0,0.00,0,0.00,0,222,0.14,0.33,0.35,0,0.40,0.00,9.60,24.00,0.00,2.00,2.00,0.08,158.00,121.20,1374.89,8.72,0.00,0.00,0.00,0.00
2018-01-07 09:16:37,1.21,0.00,0.20,0.00,0.10,0.00,0.10,0.00,0.00,98.38,0.00,745.60,815.20,0.00,0.00,0.00,3.20,7.60,0.00,627.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,14654332,0,1004668,6.42,37200,391216,1066560,6.81,604064,254648,39364,430296,43784,1880,3048,31532,0,0,0.00,0,0.00,0,221,0.13,0.33,0.35,0,0.40,0.00,6.40,16.00,0.00,2.00,2.00,0.08,176.60,136.60,1538.39,9.73,0.00,0.00,0.00,0.00
2018-01-07 09:16:42,3.32,0.00,0.40,0.00,0.10,0.00,0.10,0.00,0.00,96.07,0.00,755.80,805.80,0.00,0.00,0.00,8.00,8.00,0.00,600.80,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,16.00,14646796,0,1012204,6.46,37208,398692,1066560,6.81,604076,261968,46832,430300,43784,1880,3048,31532,0,0,0.00,0,0.00,0,221,0.12,0.32,0.35,0,0.60,0.00,16.00,26.67,0.00,0.00,0.00,0.00,170.20,136.00,1485.62,9.65,0.00,0.00,0.00,0.00
2018-01-07 09:16:47,1.02,0.00,0.10,0.81,0.20,0.00,0.10,0.00,0.00,97.77,0.00,772.00,915.20,0.00,0.00,0.00,9568.80,7.40,0.00,657.60,0.00,0.00,0.00,0.00,81.20,0.00,81.20,0.00,19137.60,14638700,0,1020300,6.52,37216,406596,1066560,6.81,604092,270084,6936,430300,43792,1880,3048,31532,0,0,0.00,0,0.00,0,221,0.11,0.32,0.35,0,81.20,0.00,19137.60,235.68,3.35,41.23,0.33,2.64,186.40,144.00,1626.28,10.28,0.00,0.00,0.00,0.00
2018-01-07 09:16:52,1.01,0.00,0.30,0.10,0.10,0.00,0.10,0.00,0.00,98.38,0.00,759.00,853.00,0.00,0.00,0.00,3.20,7.20,0.00,704.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,14630020,0,1028980,6.57,37224,415532,1066560,6.81,604108,278792,15872,430304,43792,1880,3048,31532,0,0,0.00,0,0.00,0,221,0.10,0.31,0.34,0,0.40,0.00,6.40,16.00,0.00,2.00,2.00,0.08,200.40,163.00,1749.34,11.57,0.00,0.00,0.00,0.00
2018-01-07 09:16:57,1.52,0.00,0.61,0.00,0.20,0.00,0.51,0.00,0.00,97.17,0.00,1099.40,1376.20,0.00,0.00,0.00,8.00,8.40,0.00,1539.60,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,16.00,14610624,0,1048376,6.70,37232,434564,1066560,6.81,604120,297980,34908,430308,43792,1880,3048,31532,0,0,0.00,0,0.00,0,221,0.09,0.31,0.34,0,0.60,0.00,16.00,26.67,0.00,0.00,0.00,0.00,439.40,253.80,3850.15,17.36,0.00,0.00,0.00,0.00
2018-01-07 09:17:02,1.93,0.00,1.01,0.00,0.20,0.00,0.30,0.00,0.00,96.55,0.60,1318.60,1533.80,0.00,0.00,0.00,38.40,213.00,0.00,1654.60,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,76.80,14590816,0,1068184,6.82,37240,454372,1066560,6.81,604156,317644,54560,430332,43792,1880,3048,31532,0,0,0.00,0,0.00,0,221,0.08,0.30,0.34,0,1.00,0.00,76.80,76.80,0.00,0.00,0.00,0.00,456.60,256.80,4001.35,17.49,0.00,0.00,0.00,0.00
2018-01-07 09:17:07,1.83,0.00,0.51,0.00,0.31,0.00,0.31,0.00,0.00,97.05,0.00,1428.80,1684.20,0.00,0.00,0.00,9.60,8.40,0.00,1715.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,19.20,14569408,0,1089592,6.96,37248,475924,1066560,6.81,604176,339112,76148,430340,44024,1880,3048,31532,0,0,0.00,0,0.00,0,221,0.08,0.30,0.34,0,0.40,0.00,19.20,48.00,0.00,0.00,0.00,0.00,489.20,275.60,4286.15,18.75,0.00,0.00,0.00,0.00
2018-01-07 09:17:12,70.25,0.00,3.22,0.00,0.10,0.00,0.10,0.00,0.00,26.33,11.00,1233.80,1054.00,0.00,0.00,0.00,8.00,10319.20,0.00,3488.20,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,16.00,14278852,0,1380148,8.81,37256,481000,14250292,91.00,890956,341060,81236,713756,44768,2168,4196,31532,0,0,0.00,0,0.00,3,257,0.47,0.37,0.36,0,0.60,0.00,16.00,26.67,0.00,0.00,0.00,0.00,112.60,69.00,975.72,4.96,0.00,0.00,0.00,0.00
2018-01-07 09:17:17,93.59,0.00,5.51,0.00,0.00,0.00,0.30,0.00,0.00,0.60,17.60,2124.00,1413.00,0.00,0.00,0.00,17212.80,5709.00,0.00,2941.80,0.00,0.00,0.00,0.00,137.20,0.00,137.20,0.00,34425.60,13609116,0,2049884,13.09,37268,491460,14395244,91.93,1561416,338208,5936,1370892,45472,2600,5472,31532,0,0,0.00,0,0.00,4,309,0.91,0.47,0.39,0,137.20,0.00,34425.60,250.92,11.34,82.64,1.36,18.72,202.00,112.20,1637.18,11.35,0.00,0.00,0.00,0.00
2018-01-07 09:17:22,94.39,0.00,5.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1111.60,844.80,0.00,0.00,0.00,28.00,509.60,0.00,689.60,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,56.00,11879292,0,3779708,24.14,37276,491484,14395244,91.93,3278968,337924,6024,3094272,45476,2536,8992,31532,0,0,0.00,0,0.00,3,303,1.00,0.49,0.40,0,0.60,0.00,56.00,93.33,0.00,1.33,1.33,0.08,4.40,6.20,0.32,1.29,0.00,0.00,0.00,0.00
2018-01-07 09:17:27,92.31,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,840.20,808.60,0.00,0.00,0.00,8.00,204.20,0.00,3716.60,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,16.00,9989380,0,5669620,36.21,37284,491504,14395244,91.93,5156916,337940,6044,4982452,45476,2520,12840,31532,0,0,0.00,0,0.00,3,301,1.08,0.52,0.41,0,0.60,0.00,16.00,26.67,0.00,0.00,0.00,0.00,1.20,2.40,0.11,0.49,0.00,0.00,0.00,0.00
2018-01-07 09:17:32,95.50,0.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,812.60,790.40,0.00,0.00,0.00,4.00,119.80,0.00,4941.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,9004364,0,6654636,42.50,37292,491528,14395244,91.93,6156376,337952,6068,5965596,45468,2520,14404,31532,0,0,0.00,0,0.00,4,301,1.15,0.54,0.42,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,1.80,3.40,0.19,0.91,0.00,0.00,0.00,0.00
2018-01-07 09:17:37,43.75,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,55.65,0.00,1030.60,809.00,0.00,0.00,0.00,42.40,752.20,0.00,539.80,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,84.80,8983536,0,6675464,42.63,37300,491552,14395244,91.93,6178284,337920,5920,5987360,45472,2504,14772,31532,0,0,0.00,0,0.00,8,299,1.06,0.53,0.42,0,1.20,0.00,84.80,70.67,0.00,0.00,0.00,0.00,80.00,56.40,638.97,7.09,0.00,0.00,0.00,0.00
2018-01-07 09:17:42,22.46,0.00,0.81,0.00,0.10,0.00,0.10,0.00,0.00,76.52,1.20,1155.20,963.00,0.00,0.00,0.00,20.00,364.80,0.00,1055.00,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,40.00,8977056,0,6681944,42.67,37308,491580,14395244,91.93,6183836,337600,5956,5992456,45480,2528,14796,31532,0,0,0.00,0,0.00,4,305,0.98,0.52,0.41,0,0.80,0.00,40.00,50.00,0.00,1.00,1.00,0.08,166.20,106.60,1312.33,14.16,0.00,0.00,0.00,0.00
2018-01-07 09:17:47,24.11,0.00,0.61,0.00,0.10,0.00,0.00,0.00,0.00,75.18,0.40,1204.20,907.00,0.00,0.00,0.00,76.80,43.20,0.00,431.40,0.00,0.00,0.00,0.00,7.20,0.00,7.20,0.00,153.60,8962200,0,6696800,42.77,37316,491600,14395244,91.93,6198912,337428,5840,6007488,45488,2568,14824,31532,0,0,0.00,0,0.00,0,307,0.90,0.52,0.41,0,7.20,0.00,153.60,21.33,0.08,11.00,3.78,2.72,128.00,95.20,959.70,76.11,0.00,0.00,0.00,0.00
2018-01-07 09:17:52,60.89,0.00,0.50,0.00,0.10,0.00,0.20,0.00,0.00,38.31,0.00,1018.00,1053.60,0.00,0.00,0.00,1148.80,15.60,0.00,695.80,0.00,0.00,0.00,0.00,16.60,0.00,16.60,0.00,2297.60,8949880,0,6709120,42.85,37316,491640,14395244,91.93,6209288,337440,164,6019816,45500,2568,14840,31532,0,0,0.00,0,0.00,4,307,0.83,0.51,0.41,0,16.60,0.00,2297.60,138.41,0.08,5.11,0.19,0.32,175.00,108.80,1422.48,11.63,0.00,0.00,0.00,0.00
2018-01-07 09:17:57,37.90,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,62.00,0.00,889.40,638.60,0.00,0.00,0.00,29.60,13.00,0.00,17.00,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,59.20,8943456,0,6715544,42.89,37328,491664,14395244,91.93,6217548,337464,300,6026028,45504,2568,14868,31532,0,0,0.00,0,0.00,1,307,1.08,0.56,0.43,0,0.80,0.00,59.20,74.00,0.00,1.00,1.00,0.08,2.80,4.60,0.32,2.98,0.00,0.00,0.00,0.00
2018-01-07 09:18:02,0.81,0.00,0.20,0.00,0.10,0.00,0.00,0.00,0.00,98.88,0.00,886.00,510.40,0.00,0.00,0.00,13.60,9.80,0.00,24.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,27.20,8931300,0,6727700,42.96,37336,491692,14395244,91.93,6229704,337492,344,6038168,45516,2552,14880,31532,0,0,0.00,0,0.00,1,305,0.99,0.56,0.43,0,0.40,0.00,27.20,68.00,0.00,0.00,0.00,0.00,1.80,3.20,0.20,0.74,0.00,0.00,0.00,0.00
2018-01-07 09:18:07,5.40,0.00,0.41,0.00,0.10,0.00,0.10,0.00,0.00,93.99,0.00,1128.20,970.80,0.00,0.00,0.00,4.80,21.40,0.00,1090.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,8914660,0,6744340,43.07,37344,491712,14395244,91.93,6246172,337504,368,6054668,45508,2552,14924,31532,0,0,0.00,0,0.00,1,305,1.08,0.58,0.43,0,0.40,0.00,9.60,24.00,0.00,0.00,0.00,0.00,205.60,153.00,1613.41,50.28,0.00,0.00,0.00,0.00
2018-01-07 09:18:12,67.60,0.00,0.30,0.10,0.00,0.00,0.20,0.00,0.00,31.80,0.00,951.40,922.40,0.00,0.00,0.00,56.00,9.80,0.00,378.40,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,112.00,8914576,0,6744424,43.07,37352,491744,14395244,91.93,6246248,337508,276,6054704,45520,2552,14924,31532,0,0,0.00,0,0.00,3,305,1.07,0.59,0.44,0,1.40,0.00,112.00,80.00,0.00,0.00,0.00,0.00,108.40,81.40,893.61,7.83,0.00,0.00,0.00,0.00
2018-01-07 09:18:17,44.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.20,0.00,903.40,671.40,0.00,0.00,0.00,24.00,13.40,0.00,25.00,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,48.00,8914668,0,6744332,43.07,37360,491768,14395244,91.93,6246200,337532,324,6054632,45540,2536,14928,31532,0,0,0.00,0,0.00,1,303,1.14,0.61,0.45,0,0.80,0.00,48.00,60.00,0.00,0.00,0.00,0.00,2.80,4.80,0.33,3.08,0.00,0.00,0.00,0.00
2018-01-07 09:18:22,0.61,0.00,0.20,0.00,0.10,0.00,0.00,0.00,0.00,99.09,0.00,885.60,517.80,0.00,0.00,0.00,20.80,7.80,0.00,32.40,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,41.60,8914920,0,6744080,43.07,37368,491796,14395244,91.93,6246076,337572,332,6054484,45428,2520,14928,31532,0,0,0.00,0,0.00,2,301,1.05,0.60,0.44,0,1.60,0.00,41.60,26.00,0.00,0.00,0.00,0.00,1.80,3.20,0.20,0.74,0.00,0.00,0.00,0.00
2018-01-07 09:18:27,1.93,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,97.96,0.00,941.80,652.00,0.00,0.00,0.00,48.00,10.60,0.00,247.80,0.00,0.00,0.00,0.00,4.20,0.00,4.20,0.00,96.00,8915044,0,6743956,43.07,37376,491816,14395244,91.93,6246084,337568,192,6054508,45428,2520,14932,31532,0,0,0.00,0,0.00,1,301,0.97,0.59,0.44,0,4.20,0.00,96.00,22.86,0.00,0.00,0.00,0.00,71.20,48.40,557.20,22.28,0.00,0.00,0.00,0.00
