timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-07 08:38:41,0.30,0.00,0.20,7.54,0.00,0.00,0.00,0.00,0.00,91.96,0.00,251.00,225.20,0.00,0.00,0.00,7596.00,610.40,0.00,1263.00,0.00,0.00,0.00,0.00,89.20,0.00,89.20,0.00,22446.40,14262680,0,1396320,8.92,33956,785208,1088928,6.95,710244,528468,123632,419556,54756,1920,3048,31532,0,0,0.00,0,0.00,1,226,0.52,0.89,1.40,0,89.00,0.00,22395.20,251.63,26.11,380.39,2.46,21.92,2.80,4.00,0.26,0.59,0.00,0.00,0.00,0.00
2018-01-07 08:38:46,0.10,0.00,0.10,10.94,0.10,0.00,0.00,0.00,0.00,88.76,0.00,235.20,333.20,0.00,0.00,0.00,24702.40,11.80,0.00,16.80,0.00,0.00,0.00,0.00,199.00,0.00,199.00,0.00,49404.80,14262656,0,1396344,8.92,33956,785228,1088928,6.95,710264,528488,96,419564,54756,1920,3048,31532,0,0,0.00,0,0.00,1,226,0.48,0.87,1.39,0,199.00,0.00,49404.80,248.27,36.31,182.44,1.39,27.60,1.40,2.80,0.13,0.54,0.00,0.00,0.00,0.00
2018-01-07 08:38:51,1.61,0.00,0.90,0.00,0.10,0.00,0.00,0.00,0.00,97.39,14.40,405.00,320.20,0.00,0.00,0.00,7.20,7732.60,0.00,2467.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,14.40,14259160,0,1399840,8.94,33964,785260,1090548,6.96,714564,528516,148,423852,54772,1944,3548,31532,0,0,0.00,0,0.00,1,229,0.60,0.89,1.39,0,0.40,0.00,14.40,36.00,0.00,0.00,0.00,0.00,7.80,9.00,1.52,1.66,0.00,0.00,0.00,0.00
2018-01-07 08:38:56,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,223.60,131.40,0.00,0.00,0.00,8.80,7.20,0.00,16.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,17.60,14259036,0,1399964,8.94,33972,785284,1090548,6.96,714572,528532,204,423852,54772,1944,3548,31532,0,0,0.00,0,0.00,1,229,0.55,0.87,1.39,0,0.40,0.00,17.60,44.00,0.00,0.00,0.00,0.00,1.80,3.00,0.14,0.64,0.00,0.00,0.00,0.00
2018-01-07 08:39:01,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,223.40,133.20,0.00,0.00,0.00,0.00,7.20,0.00,16.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14258912,0,1400088,8.94,33972,785308,1090548,6.96,714584,528552,228,423852,54772,1944,3548,31532,0,0,0.00,0,0.00,1,229,0.51,0.86,1.38,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.20,3.60,0.16,0.75,0.00,0.00,0.00,0.00
2018-01-07 08:39:06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,227.40,136.20,0.00,0.00,0.00,8.80,8.40,0.00,18.20,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,17.60,14258880,0,1400120,8.94,33980,785328,1090548,6.96,714596,528568,236,423852,54772,1944,3548,31532,0,0,0.00,0,0.00,1,229,0.47,0.85,1.37,0,1.00,0.00,17.60,17.60,0.00,0.00,0.00,0.00,2.20,3.20,0.17,0.73,0.00,0.00,0.00,0.00
2018-01-07 08:39:11,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,222.80,131.80,0.00,0.00,0.00,43.20,7.20,0.00,16.40,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,86.40,14258912,0,1400088,8.94,33988,785352,1090548,6.96,714608,528580,104,423852,54772,1944,3548,31532,0,0,0.00,0,0.00,1,229,0.43,0.83,1.36,0,1.40,0.00,86.40,61.71,0.00,0.00,0.00,0.00,2.00,3.20,0.14,0.65,0.00,0.00,0.00,0.00
2018-01-07 08:39:16,4.07,0.00,0.51,0.00,0.20,0.00,0.10,0.00,0.00,95.11,5.60,1353.00,1422.00,0.00,0.00,0.00,28.80,741.20,0.00,1610.20,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,57.60,14243828,0,1415172,9.04,34000,797436,1090548,6.96,716828,540396,12304,425924,54996,2008,3564,31532,0,0,0.00,0,0.00,0,237,0.40,0.82,1.36,0,0.80,0.00,57.60,72.00,0.00,3.00,1.00,0.08,288.00,210.00,2430.68,15.15,0.00,0.00,0.00,0.00
2018-01-07 08:39:21,1.01,0.00,0.30,0.00,0.20,0.00,0.10,0.00,0.00,98.38,0.00,1084.60,1155.60,0.00,0.00,0.00,38.40,7.80,0.00,935.40,0.00,0.00,0.00,0.00,6.40,0.00,6.40,0.00,76.80,14233040,0,1425960,9.11,34008,808576,1090548,6.96,716164,551632,23268,425252,54996,2008,3564,31532,0,0,0.00,0,0.00,0,237,0.36,0.80,1.35,0,6.40,0.00,76.80,12.00,0.00,0.00,0.00,0.00,257.60,192.40,2243.40,13.70,0.00,0.00,0.00,0.00
2018-01-07 08:39:26,0.92,0.00,0.31,0.00,0.20,0.00,0.00,0.00,0.00,98.57,0.00,1336.20,1375.80,0.00,0.00,0.00,4.00,7.20,0.00,1631.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,14216060,0,1442940,9.21,34016,825304,1090548,6.96,716460,568312,40004,425536,54996,1992,3564,31532,0,0,0.00,0,0.00,0,235,0.33,0.79,1.34,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,382.20,244.40,3336.88,16.83,0.00,0.00,0.00,0.00
