timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-07 08:18:37,0.40,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,99.40,0.20,264.20,158.80,0.00,0.00,0.00,26.40,561.40,0.00,3857.00,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,52.80,14530936,0,1128064,7.20,31968,394892,1170488,7.47,714396,269140,31548,556684,41780,1984,3316,31532,0,0,0.00,0,0.00,0,234,1.79,1.21,1.16,0,0.60,0.00,52.80,88.00,0.00,0.00,0.00,0.00,3.00,4.40,0.27,0.67,0.00,0.00,0.00,0.00
2018-01-07 08:18:42,1.31,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,98.19,5.60,312.40,227.20,0.00,0.00,0.00,0.00,3661.20,0.00,1331.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14527724,0,1131276,7.22,31968,394920,1170680,7.48,716780,269148,31568,559072,41916,1984,3904,31532,0,0,0.00,0,0.00,1,242,1.64,1.19,1.16,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.80,8.00,1.52,1.75,0.00,0.00,0.00,0.00
2018-01-07 08:18:47,3.21,0.00,1.10,0.00,0.10,0.00,0.00,0.00,0.00,95.59,22.80,441.40,310.40,0.00,0.00,0.00,22.40,11731.40,0.00,3555.80,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,44.80,14521152,0,1137848,7.27,31980,394960,1159288,7.40,723008,269200,31572,565264,41944,2032,4328,31532,0,0,0.00,0,0.00,0,240,1.59,1.19,1.16,0,1.20,0.00,44.80,37.33,0.00,0.00,0.00,0.00,8.60,10.40,1.50,1.50,0.00,0.00,0.00,0.00
2018-01-07 08:18:52,0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.80,0.00,234.60,152.80,0.00,0.00,0.00,69.60,8.00,0.00,17.00,0.00,0.00,0.00,0.00,9.00,0.00,9.00,0.00,139.20,14521120,0,1137880,7.27,31988,394984,1159288,7.40,723016,269220,31304,565264,41944,2032,4328,31532,0,0,0.00,0,0.00,1,240,1.46,1.17,1.15,0,9.00,0.00,139.20,15.47,0.00,0.00,0.00,0.00,2.60,4.00,0.19,0.95,0.00,0.00,0.00,0.00
2018-01-07 08:18:57,0.00,0.00,0.10,0.20,0.00,0.00,0.00,0.00,0.00,99.70,0.00,229.60,189.20,0.00,0.00,0.00,6240.00,7.40,0.00,19.20,0.00,0.00,0.00,0.00,49.40,0.00,49.40,0.00,12480.00,14521152,0,1137848,7.27,31996,395008,1159288,7.40,723028,269240,184,565264,41952,2032,4328,31532,0,0,0.00,0,0.00,1,240,1.35,1.15,1.14,0,49.40,0.00,12480.00,252.63,1.40,28.36,0.28,1.36,3.00,4.40,0.21,0.97,0.00,0.00,0.00,0.00
2018-01-07 08:19:02,71.24,0.00,2.71,0.00,0.00,0.00,0.10,0.00,0.00,25.95,16.00,1015.20,693.60,0.00,0.00,0.00,47.20,9898.20,0.00,3469.40,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,94.40,14284144,0,1374856,8.78,32008,395532,1704804,10.89,958288,269628,960,800372,42564,2336,5448,31532,0,0,0.00,0,0.00,6,278,1.24,1.13,1.14,0,0.80,0.00,94.40,118.00,0.00,6.00,6.00,0.48,22.80,21.20,73.76,2.48,0.00,0.00,0.00,0.00
2018-01-07 08:19:07,97.10,0.00,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.20,6.40,1417.60,812.60,0.00,0.00,0.00,56.00,4204.00,0.00,1805.80,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,112.00,14001712,0,1657288,10.58,32020,395784,1736160,11.09,1234944,269864,1060,1081096,42828,2528,6116,31532,0,0,0.00,0,0.00,2,302,1.54,1.20,1.16,0,1.40,0.00,112.00,80.00,0.00,0.00,0.00,0.00,12.20,16.20,10.54,2.35,0.00,0.00,0.00,0.00
2018-01-07 08:19:12,80.80,0.00,1.70,0.10,0.00,0.00,0.00,0.00,0.00,17.40,3.60,1053.40,791.60,0.00,0.00,0.00,12.80,764.80,0.00,26350.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,25.60,14489944,0,1169056,7.47,32020,422360,1157096,7.39,752800,269588,27636,567872,42448,2208,4244,31532,0,0,0.00,0,0.00,0,244,1.58,1.21,1.16,0,0.40,0.00,25.60,64.00,0.00,0.00,0.00,0.00,12.60,15.40,1.07,2.89,0.00,0.00,0.00,0.00
2018-01-07 08:19:17,85.19,0.00,2.80,0.00,0.10,0.00,0.00,0.00,0.00,11.91,9.80,1022.20,779.60,0.00,0.00,0.00,33.60,10676.60,0.00,4123.40,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,67.20,14225132,0,1433868,9.16,32032,422552,1710728,10.92,1013916,269696,27804,831080,42564,2368,5588,31532,0,0,0.00,0,0.00,7,283,1.45,1.19,1.16,0,1.00,0.00,67.20,67.20,0.00,0.80,0.80,0.08,10.40,11.20,1.98,1.79,0.00,0.00,0.00,0.00
2018-01-07 08:19:22,97.20,0.00,2.50,0.00,0.00,0.00,0.10,0.00,0.00,0.20,4.60,1530.80,835.20,0.00,0.00,0.00,172.00,3695.60,0.00,1507.80,0.00,0.00,0.00,0.00,2.80,0.00,2.80,0.00,344.00,13964904,0,1694096,10.82,32044,422740,1741456,11.12,1274244,270568,27416,1090044,42760,2496,6176,31532,0,0,0.00,0,0.00,2,298,1.82,1.27,1.18,0,2.80,0.00,344.00,122.86,0.00,1.43,0.86,0.24,25.00,31.20,8.47,143.19,0.00,0.00,0.00,0.00
