timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-07 07:17:33,0.00,0.00,0.00,7.54,0.00,0.00,0.00,0.00,0.00,92.46,0.00,226.20,178.60,0.00,0.00,0.80,10017.60,8.80,0.00,15.60,0.00,0.00,0.00,0.00,50.60,0.20,50.40,1.60,12814.40,13675784,0,1983216,12.67,25436,1365108,1138108,7.27,623008,1197004,476744,429492,63548,1968,3112,31532,0,0,0.00,0,0.00,1,232,1.40,0.65,0.31,1,50.60,1.60,12814.40,253.28,21.40,308.11,3.02,15.28,1.40,2.80,0.12,0.53,0.00,0.00,0.00,0.00
2018-01-07 07:17:38,0.10,0.00,0.20,53.17,0.20,0.00,0.00,0.00,0.00,46.32,0.00,246.60,451.20,0.00,0.00,2.40,40436.00,11.40,0.00,15.40,0.00,0.00,0.00,0.00,316.60,0.60,316.00,4.80,80617.60,13675628,0,1983372,12.67,25468,1365144,1138108,7.27,623076,1197016,274664,429500,63548,1968,3112,31532,0,0,0.00,0,0.00,1,232,1.37,0.66,0.32,1,316.60,4.80,80617.60,254.65,138.29,444.97,3.16,100.00,1.20,2.40,0.11,0.43,0.00,0.00,0.00,0.00
2018-01-07 07:17:43,0.00,0.00,0.30,52.11,0.20,0.00,0.00,0.00,0.00,47.38,0.00,245.60,460.60,0.00,0.00,4.00,38077.60,7.00,0.00,15.60,0.00,0.00,0.00,0.00,320.40,1.00,319.40,8.00,81763.20,13675628,0,1983372,12.67,25492,1365216,1138108,7.27,623136,1197048,84364,429500,63548,1968,3112,31532,0,0,0.00,0,0.00,0,232,1.34,0.66,0.32,2,320.40,8.00,81763.20,255.22,136.25,427.49,3.12,100.00,1.40,2.80,0.12,0.53,0.00,0.00,0.00,0.00
2018-01-07 07:17:48,0.10,0.00,0.10,16.88,0.00,0.00,0.00,0.00,0.00,82.91,0.00,229.20,277.00,0.00,0.00,0.80,16855.20,7.60,0.00,20.80,0.00,0.00,0.00,0.00,149.80,0.20,149.60,1.60,35577.60,13675708,0,1983292,12.67,25504,1365248,1138108,7.27,623160,1197084,136,429500,63500,1968,3112,31532,0,0,0.00,0,0.00,0,232,1.23,0.65,0.32,0,149.80,1.60,35577.60,237.51,41.26,292.09,2.70,40.48,1.60,3.00,0.13,0.54,0.00,0.00,0.00,0.00
2018-01-07 07:17:53,1.91,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,97.58,14.40,398.40,320.20,0.00,0.00,0.80,11.20,7732.20,0.00,2460.40,0.00,0.00,0.00,0.00,0.80,0.20,0.60,1.60,22.40,13670360,0,1988640,12.70,25516,1365280,1127884,7.20,627460,1197124,204,433788,63496,1992,3620,31532,0,0,0.00,0,0.00,0,235,1.13,0.64,0.32,0,0.80,1.60,22.40,30.00,0.00,0.00,0.00,0.00,8.00,9.00,1.51,1.56,0.00,0.00,0.00,0.00
2018-01-07 07:17:58,0.10,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,99.80,0.00,220.80,128.20,0.00,0.00,0.00,11.20,7.60,0.00,17.80,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,22.40,13670392,0,1988608,12.70,25524,1365300,1127884,7.20,627476,1197140,252,433788,63496,1992,3620,31532,0,0,0.00,0,0.00,0,235,1.04,0.63,0.31,0,0.80,0.00,22.40,28.00,0.00,0.00,0.00,0.00,2.00,3.40,0.15,0.73,0.00,0.00,0.00,0.00
2018-01-07 07:18:03,52.41,0.00,2.11,0.00,0.00,0.00,0.00,0.00,0.00,45.47,13.80,909.60,722.40,0.00,0.00,0.00,42.40,8748.40,0.00,2780.20,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,84.80,13466032,0,2192968,14.00,25540,1365852,1653380,10.56,828956,1197544,708,635104,64376,2256,4640,31532,0,0,0.00,0,0.00,4,270,1.04,0.64,0.32,0,1.00,0.00,84.80,84.80,0.01,5.60,5.60,0.56,19.80,17.60,81.00,2.05,0.00,0.00,0.00,0.00
2018-01-07 07:18:08,97.10,0.00,2.50,0.00,0.00,0.00,0.10,0.00,0.00,0.30,5.80,1439.40,815.40,0.00,0.00,8.80,35.20,3202.60,0.00,952.00,0.00,0.00,0.00,0.00,2.20,1.40,0.80,17.60,70.40,13171684,0,2487316,15.88,25556,1366160,1684492,10.76,1120708,1197772,1100,928828,64508,2440,5392,31532,0,0,0.00,0,0.00,9,290,1.27,0.69,0.34,0,2.20,17.60,70.40,40.00,0.01,4.00,2.18,0.48,14.60,19.20,19.46,2.36,0.00,0.00,0.00,0.00
2018-01-07 07:18:13,98.20,0.00,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1866.80,945.20,0.00,0.00,0.80,13.60,315.20,0.00,712.40,0.00,0.00,0.00,0.00,0.80,0.20,0.60,1.60,27.20,13158680,0,2500320,15.97,25572,1366188,1684492,10.76,1133948,1197796,1128,940024,64732,2416,5436,31532,0,0,0.00,0,0.00,3,288,1.57,0.77,0.36,0,0.80,1.60,27.20,36.00,0.00,0.00,0.00,0.00,3.80,6.60,0.27,1.34,0.00,0.00,0.00,0.00
2018-01-07 07:18:18,98.70,0.00,1.20,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,1451.20,1116.80,0.00,0.00,0.80,16.00,73.60,0.00,493.40,0.00,0.00,0.00,0.00,1.00,0.20,0.80,1.60,32.00,13166488,0,2492512,15.92,25584,1366256,1684492,10.76,1126132,1197796,1192,932084,64728,2400,5420,31532,0,0,0.00,0,0.00,4,286,1.69,0.80,0.38,0,1.00,1.60,32.00,33.60,0.00,0.00,0.00,0.00,3.00,5.20,0.22,1.17,0.00,0.00,0.00,0.00
