timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 10:53:03,9.27,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,90.53,1.40,387.80,422.80,0.00,0.00,0.00,40.00,1300.40,0.00,2417.00,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,80.00,7050392,0,609120,7.95,16132,121304,792140,10.34,476280,27212,304,366056,42108,2024,3004,17940,0,0,0.00,0,0.00,0,238,0.77,2.51,3.28,0,0.80,0.00,80.00,100.00,0.00,0.00,0.00,0.00,7.80,9.00,16.85,1.04,0.00,0.00,0.00,0.00
2018-01-05 10:53:08,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.20,264.20,175.00,0.00,0.00,0.00,92.80,24.60,0.00,141.60,0.00,0.00,0.00,0.00,9.00,0.00,9.00,0.00,185.60,7050248,0,609264,7.95,16140,121408,792140,10.34,474548,27300,32,366352,42108,2016,3012,17940,0,0,0.00,0,0.00,0,238,0.71,2.47,3.26,0,9.00,0.00,185.60,20.62,0.00,0.00,0.00,0.00,5.00,6.20,0.40,16.94,0.00,0.00,0.00,0.00
2018-01-05 10:53:13,59.12,0.00,3.12,0.00,0.10,0.00,0.25,0.00,0.00,37.40,22.40,2254.60,3312.20,0.00,0.00,167.20,0.00,17825.00,1.60,18207.00,0.00,0.00,0.00,0.00,11.80,11.80,0.00,334.40,0.00,6447096,0,1212416,15.83,16292,250972,4446740,58.06,940172,152508,128976,835744,43460,2568,5140,17940,0,0,0.00,0,0.00,5,308,1.13,2.53,3.27,0,11.80,334.40,0.00,28.34,0.01,0.54,0.41,0.48,2970.00,774.00,25915.70,50.66,0.00,0.00,0.00,2.12
2018-01-05 10:53:18,86.72,0.00,3.92,0.00,0.00,0.00,0.05,0.00,0.00,9.31,40.00,3437.60,2422.00,0.00,0.00,12.80,2020.80,14809.40,0.20,9915.20,0.00,0.00,0.00,0.00,17.40,0.60,16.80,25.60,4041.60,5093036,0,2566476,33.51,16308,272020,5911204,77.17,2296812,155160,140208,2163644,44716,3560,8036,17940,0,0,0.00,0,0.00,12,433,1.20,2.52,3.27,0,17.40,25.60,4041.60,233.75,1.34,77.01,2.85,4.96,407.60,226.80,3279.06,23.56,0.00,0.00,0.00,0.27
2018-01-05 10:53:23,97.65,0.00,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,2099.00,2048.20,0.00,0.00,0.00,40.80,6776.20,0.00,22503.80,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,81.60,3747420,0,3912092,51.07,16316,272048,5911204,77.17,3632260,155176,140324,3499128,44780,3480,10916,17940,0,0,0.00,0,0.00,12,421,1.43,2.54,3.27,0,0.60,0.00,81.60,136.00,0.00,1.33,1.33,0.08,4.00,6.00,0.35,0.96,0.00,0.00,0.00,0.00
2018-01-05 10:53:28,95.75,0.00,4.20,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,3825.60,10158.40,0.00,0.00,0.00,8.80,642.20,0.00,32407.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,17.60,2398768,0,5260744,68.68,16324,272072,5953368,77.73,4984020,155156,140356,4850884,44776,3472,13572,17940,0,0,0.00,0,0.00,14,420,1.63,2.57,3.27,0,0.40,0.00,17.60,44.00,0.00,0.00,0.00,0.00,2.00,3.40,0.23,0.98,0.00,0.00,0.00,0.00
2018-01-05 10:53:33,99.20,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,2709.20,2464.00,0.00,0.00,0.00,4.80,211.80,0.00,3038.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,2208932,0,5450580,71.16,16332,272096,6111916,79.80,5173144,155172,140380,5039960,44700,3448,14064,17940,0,0,0.00,0,0.00,5,417,1.90,2.61,3.28,0,0.40,0.00,9.60,24.00,0.00,0.00,0.00,0.00,1.80,3.60,0.32,1.46,0.00,0.00,0.00,0.00
2018-01-05 10:53:38,99.60,0.00,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,1631.60,1779.60,0.00,0.00,0.00,12.80,20.00,0.00,453.40,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,25.60,2182308,0,5477204,71.51,16340,272124,6111916,79.80,5193696,155172,140400,5066624,44700,3448,14116,17940,0,0,0.00,0,0.00,4,417,2.07,2.63,3.29,0,0.80,0.00,25.60,32.00,0.00,1.00,1.00,0.08,1.80,3.60,0.27,1.30,0.00,0.00,0.00,0.00
2018-01-05 10:53:43,99.45,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,1613.80,2052.40,0.00,0.00,0.00,25819.20,20.20,0.00,423.80,0.00,0.00,0.00,0.00,209.20,0.00,209.20,0.00,51638.40,2166484,0,5493028,71.72,16348,272136,6111916,79.80,5214164,155208,11372,5082940,44760,3432,14148,17940,0,0,0.00,0,0.00,5,415,2.22,2.65,3.29,0,209.20,0.00,51638.40,246.84,8.94,42.76,0.39,8.16,1.80,3.40,0.26,1.22,0.00,0.00,0.00,0.00
2018-01-05 10:53:48,99.60,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,1612.57,1770.06,0.00,0.00,0.00,76.65,28.34,0.00,875.85,0.00,0.00,0.00,0.00,9.18,0.00,9.18,0.00,153.29,2130784,0,5528728,72.18,16348,272172,6173872,80.60,5238772,155228,11132,5117792,44732,3416,14216,17940,0,0,0.00,0,0.00,5,413,2.37,2.68,3.29,0,9.18,0.00,153.29,16.70,0.01,0.70,0.09,0.08,1.60,3.19,0.25,1.19,0.00,0.00,0.00,0.00
