timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 09:58:41,0.15,0.00,0.30,17.27,0.10,0.00,0.00,0.00,0.00,82.18,0.20,336.80,806.00,0.00,0.00,0.00,80469.60,597.60,0.00,1630.60,0.00,0.00,0.00,0.00,600.20,0.00,600.20,0.00,153364.80,2559196,0,5100316,66.59,10596,4267800,1036512,13.53,1222088,3646292,51572,592044,161500,2128,3492,17940,0,0,0.00,0,0.00,0,252,3.26,3.29,3.81,1,600.40,0.00,153416.00,255.52,88.72,141.37,1.06,63.76,5.60,6.20,0.53,0.78,0.00,0.00,0.00,0.00
2018-01-05 09:58:46,0.80,0.00,0.30,2.76,0.00,0.00,0.00,0.00,0.00,96.14,14.60,452.20,475.60,0.00,0.00,0.00,10271.20,7747.60,0.00,2483.60,0.00,0.00,0.00,0.00,110.80,0.00,110.80,0.00,28116.80,2554468,0,5105044,66.65,10604,4267808,1049848,13.71,1228496,3646312,356,596428,161428,2160,4004,17940,0,0,0.00,0,0.00,0,256,3.00,3.24,3.79,0,110.60,0.00,28065.60,253.76,19.26,208.88,1.39,15.36,8.60,9.80,1.69,1.73,0.00,0.00,0.00,0.00
2018-01-05 09:58:51,4.08,0.00,2.50,0.00,0.20,0.00,0.61,0.00,0.00,92.60,3.40,4002.20,3944.80,0.00,0.00,4.00,0.00,296.80,0.20,18418.60,0.00,0.00,0.00,0.00,0.40,0.40,0.00,8.00,0.00,2065084,0,5594428,73.04,10608,4746532,1049848,13.71,1465208,3895076,479104,603120,167072,2200,4008,17940,0,0,0.00,0,0.00,1,265,2.76,3.18,3.77,0,0.40,8.00,0.00,20.00,0.00,4.00,2.00,0.08,4559.00,1728.20,39835.32,116.70,0.00,0.00,0.00,3.26
2018-01-05 09:58:56,46.59,0.00,2.77,0.10,0.15,0.00,1.03,0.00,0.00,49.36,22.60,4008.20,5450.80,0.00,0.00,328.00,34.40,18324.40,5.40,29794.60,0.00,0.00,0.00,0.00,9.40,8.80,0.60,656.00,68.80,1827796,0,5831716,76.14,10632,4598440,2049424,26.76,1730260,3863908,329396,985160,168140,2696,5816,17940,0,0,0.00,0,0.00,3,339,2.62,3.15,3.75,0,9.40,656.00,68.80,77.11,0.01,1.19,0.68,0.64,2734.80,9084.00,193.91,79621.97,0.00,0.00,0.00,6.52
2018-01-05 09:59:01,48.36,0.00,1.91,0.05,0.05,0.00,0.00,0.00,0.00,49.62,21.40,1488.00,1736.80,0.00,0.00,0.00,56.80,14531.20,0.00,8088.80,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,113.60,1265384,0,6394128,83.48,10648,4598668,2722808,35.55,2289868,3862964,329740,1543520,169424,3312,7548,17940,0,0,0.00,0,0.00,1,399,2.73,3.16,3.75,0,1.00,0.00,113.60,113.60,0.00,0.80,0.80,0.08,46.60,76.60,5.79,300.97,0.00,0.00,0.00,0.02
2018-01-05 09:59:06,28.47,0.00,3.01,0.82,0.15,0.00,0.51,0.00,0.00,67.04,3.80,4353.80,4059.60,0.00,0.00,27307.20,17670.40,6085.20,0.20,28094.40,0.00,0.00,0.00,0.00,502.60,364.20,138.40,54614.40,35340.80,397236,0,7262276,94.81,10660,4939208,3447480,45.01,2916496,4099936,445696,2067296,171012,3320,8500,17940,0,0,0.00,0,0.00,8,404,2.75,3.16,3.75,0,502.60,54614.40,35340.80,178.98,6.41,12.76,0.21,10.40,2681.20,466.40,23433.47,37.91,0.00,0.00,0.00,1.92
2018-01-05 09:59:11,44.17,0.00,7.81,15.26,0.36,0.00,0.73,0.00,0.00,31.67,4.40,7585.60,10853.40,0.00,0.00,100294.40,60360.00,15416.40,0.00,107058.60,43153.00,10662.40,53815.40,100.00,2076.80,1585.20,491.60,198137.60,120720.00,130860,0,7528652,98.29,10644,4684724,4259752,55.61,3597500,3683824,469248,2586868,173680,3400,9616,17940,0,0,0.00,0,0.00,6,411,2.85,3.17,3.75,1,2077.40,198208.00,120720.00,153.52,118.22,56.73,0.41,84.32,3417.80,1068.80,29883.27,85.96,0.00,0.00,0.00,2.45
2018-01-05 09:59:16,33.26,0.00,5.27,40.62,0.36,0.00,0.26,0.00,0.00,20.23,3.60,6653.60,9276.60,0.00,0.00,102159.20,10040.80,16566.80,0.00,84900.20,35853.60,16070.40,51922.40,100.00,1797.80,1742.80,55.00,204580.80,13004.80,127164,0,7532348,98.34,10636,4151536,4750728,62.02,4133992,3151056,419960,3123360,173988,3448,10856,17940,0,0,0.00,0,0.00,2,418,3.02,3.20,3.76,4,1797.40,204532.80,13004.80,121.03,136.42,73.73,0.56,100.00,18.40,22.20,7.62,19.08,0.00,0.00,0.00,0.00
2018-01-05 09:59:21,13.00,0.00,4.12,52.71,0.42,0.00,0.16,0.00,0.00,29.59,1.80,6014.20,8699.60,0.00,0.00,92297.60,48583.20,6132.00,0.00,62506.20,19919.80,17260.80,37180.60,100.00,1877.60,1451.60,426.00,183126.40,104243.20,134648,0,7524864,98.24,10592,3864176,4901388,63.99,4410312,2864352,176840,3399972,173564,3456,11392,17940,0,0,0.00,0,0.00,0,418,3.10,3.22,3.76,4,1877.60,183128.00,104243.20,153.05,214.00,115.42,0.53,100.00,13.00,17.00,8.65,11.17,0.00,0.00,0.00,0.00
2018-01-05 09:59:26,17.86,0.00,2.49,56.08,0.39,0.00,0.29,0.00,0.00,22.89,2.00,6124.20,7460.20,0.00,0.00,81108.00,14.40,2124.80,0.00,43204.20,18076.40,8924.60,25905.60,95.94,1407.40,1407.00,0.40,165969.60,28.80,98416,0,7561096,98.72,10584,3747540,5070956,66.20,4565028,2745604,176884,3552384,173344,3456,11684,17940,0,0,0.00,0,0.00,2,418,3.56,3.31,3.78,7,1433.80,168988.80,28.80,117.88,111.65,78.95,0.61,87.52,15.00,19.80,8.82,11.74,0.00,0.00,0.00,0.00
