timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 07:20:02,3.10,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,96.85,0.80,390.40,412.40,0.00,0.00,0.00,66.40,1292.60,0.00,3378.20,0.00,0.00,0.00,0.00,7.40,0.00,7.40,0.00,132.80,31851772,0,1096432,3.33,30352,331372,1567364,4.76,620356,209436,308,470264,52820,2352,3276,57980,0,0,0.00,0,0.00,0,280,1.01,4.94,4.62,0,7.40,0.00,132.80,17.95,0.00,0.00,0.00,0.00,4.00,5.40,0.39,0.71,0.00,0.00,0.00,0.00
2018-01-05 07:20:07,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.97,0.00,278.20,172.80,0.00,0.00,0.00,0.00,12.40,0.00,26.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31851968,0,1096236,3.33,30352,331404,1567364,4.76,620416,209428,136,470268,52808,2352,3276,57980,0,0,0.00,0,0.00,0,280,0.92,4.85,4.60,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.80,4.20,0.23,0.61,0.00,0.00,0.00,0.00
2018-01-05 07:20:12,0.88,0.00,0.30,0.03,0.03,0.00,0.10,0.00,0.00,98.67,0.40,1078.60,1353.60,0.00,0.00,0.00,4222.40,94.20,0.00,5814.00,0.00,0.00,0.00,0.00,36.00,0.00,36.00,0.00,8312.00,31790976,0,1157228,3.51,30360,390968,1567364,4.76,627888,264920,38484,472016,52752,2368,3284,57980,0,0,0.00,0,0.00,0,282,0.85,4.77,4.58,0,36.00,0.00,8312.00,230.89,0.84,22.42,0.42,1.52,1396.80,525.40,12075.84,36.29,0.00,0.00,0.00,0.99
2018-01-05 07:20:17,0.25,0.00,0.13,0.10,0.03,0.00,0.03,0.00,0.00,99.47,0.00,783.40,934.40,0.00,0.00,0.00,8226.40,10.20,0.00,2895.60,0.00,0.00,0.00,0.00,35.20,0.00,35.20,0.00,8905.60,31762032,0,1186172,3.60,30368,421004,1567364,4.76,629528,293416,27844,471936,52832,2368,3284,57980,0,0,0.00,0,0.00,0,282,0.78,4.69,4.55,1,35.40,0.00,8956.80,253.02,1.46,26.67,1.06,3.76,720.20,246.60,6026.52,17.15,0.00,0.00,0.00,0.49
2018-01-05 07:20:22,0.48,0.00,0.15,0.33,0.05,0.00,0.05,0.00,0.00,98.95,0.00,920.60,1138.40,0.00,0.00,0.00,5511.20,13.20,0.00,3709.80,0.00,0.00,0.00,0.00,73.60,0.00,73.60,0.00,18702.40,31722564,0,1225640,3.72,30376,459776,1567364,4.76,632168,329744,38880,471876,53228,2360,3284,57980,0,0,0.00,0,0.00,0,280,0.72,4.62,4.53,0,73.40,0.00,18651.20,254.10,1.88,33.16,0.28,2.08,919.40,332.80,7816.01,23.19,0.00,0.00,0.00,0.64
2018-01-05 07:20:27,0.30,0.00,0.03,0.00,0.03,0.00,0.15,0.00,0.00,99.50,1.00,1334.40,1788.40,0.00,0.00,0.00,12.00,38.00,0.00,3143.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,24.00,31721940,0,1226264,3.72,30384,460052,1567364,4.76,632636,330020,39164,472376,53228,2392,3288,57980,0,0,0.00,0,0.00,0,285,0.66,4.54,4.50,0,0.40,0.00,24.00,60.00,0.00,0.00,0.00,0.00,767.60,2953.60,49.55,25919.59,0.00,0.00,0.00,2.12
2018-01-05 07:20:32,42.25,0.00,2.71,0.15,0.20,0.00,0.18,0.00,0.00,54.49,41.60,5272.60,7637.60,0.00,0.00,316.00,20.00,23398.60,0.20,15969.80,0.00,0.00,0.00,0.00,20.00,19.60,0.40,632.00,40.00,30674892,0,2273312,6.90,30408,590484,11561640,35.09,1546652,450008,168112,1382296,57552,3368,6104,57980,0,0,0.00,0,0.00,1,416,0.93,4.53,4.50,0,20.00,632.00,40.00,33.60,0.03,1.32,1.04,2.08,1942.80,5925.80,131.34,51866.98,0.00,0.00,0.00,4.25
2018-01-05 07:20:37,52.33,0.00,2.43,0.00,0.13,0.00,0.00,0.00,0.00,45.11,51.80,4027.80,4657.20,0.00,0.00,0.00,54.40,36780.60,0.00,15252.40,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,108.80,29395648,0,3552556,10.78,30432,590980,28450224,86.35,2821056,449812,168780,2649492,60432,4960,11056,57980,0,0,0.00,0,0.00,3,609,1.02,4.49,4.49,0,1.00,0.00,108.80,108.80,0.00,2.40,0.80,0.08,25.40,31.00,7.79,7.43,0.00,0.00,0.00,0.00
2018-01-05 07:20:42,82.27,0.00,5.90,0.00,0.03,0.00,0.05,0.00,0.00,11.75,24.20,7120.00,4104.60,0.00,0.00,7.20,4000.80,9558.60,0.00,55183.80,0.00,0.00,0.00,0.00,33.00,0.40,32.60,14.40,8001.60,22558044,0,10390160,31.53,30528,632772,28788692,87.38,9601944,467868,190796,9429040,62408,5560,23868,57980,0,0,0.00,0,0.00,10,681,2.38,4.71,4.56,0,33.00,14.40,8001.60,242.91,0.21,6.25,0.53,1.76,527.80,327.20,4321.57,29.91,0.00,0.00,0.00,0.35
2018-01-05 07:20:47,96.25,0.00,3.30,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.00,7852.80,3140.20,0.00,0.00,0.00,248.80,600.60,0.00,63635.00,0.00,0.00,0.00,0.00,9.60,0.00,9.60,0.00,497.60,19229376,0,13718828,41.64,30536,632800,28788692,87.38,12857144,467884,190060,12749752,62424,5496,30596,57980,0,0,0.00,0,0.00,13,673,2.83,4.77,4.58,0,9.60,0.00,497.60,51.83,0.03,3.00,0.50,0.48,4.60,6.00,0.45,1.49,0.00,0.00,0.00,0.00
2018-01-05 07:20:52,97.22,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.00,9987.20,3136.60,0.00,0.00,0.00,7700.80,360.80,0.00,23999.00,0.00,0.00,0.00,0.00,60.60,0.00,60.60,0.00,15401.60,16944772,0,16003432,48.57,30544,632828,28906960,87.73,15161004,467904,151624,15031068,62568,5440,35228,57980,0,0,0.00,0,0.00,23,665,3.96,4.97,4.64,0,60.60,0.00,15401.60,254.15,3.16,52.18,1.48,8.96,4.00,6.80,0.46,1.88,0.00,0.00,0.00,0.00
2018-01-05 07:20:57,98.05,0.00,1.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8247.40,3010.20,0.00,0.00,0.00,0.80,1187.00,0.00,10212.80,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.00,1.60,14711484,0,18236720,55.35,30544,632856,28906960,87.73,17363004,467908,151648,17259668,62560,5424,39668,57980,0,0,0.00,0,0.00,8,664,5.00,5.17,4.71,0,0.20,0.00,1.60,8.00,0.00,0.00,0.00,0.00,3.80,6.20,0.55,2.39,0.00,0.00,0.00,0.00
2018-01-05 07:21:02,98.20,0.00,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7282.00,3013.60,0.00,0.00,0.00,3.20,274.20,0.00,9283.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,12459588,0,20488616,62.18,30552,632880,28906960,87.73,19566692,467928,151672,19496112,62608,5424,43672,57980,0,0,0.00,0,0.00,18,664,5.32,5.23,4.73,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,3.40,5.20,0.45,1.74,0.00,0.00,0.00,0.00
2018-01-05 07:21:07,98.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7027.20,3241.40,0.00,0.00,0.00,25782.40,267.40,0.00,11639.20,0.00,0.00,0.00,0.00,205.40,0.00,205.40,0.00,51564.80,10380476,0,22567728,68.49,30560,632908,28780740,87.35,21678780,467948,22880,21579512,62460,5424,48004,57980,0,0,0.00,0,0.00,23,664,5.94,5.36,4.78,0,205.40,0.00,51564.80,251.05,7.79,37.93,0.28,5.84,3.80,6.20,0.55,2.39,0.00,0.00,0.00,0.00
2018-01-05 07:21:12,98.45,0.00,1.35,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,8754.60,3078.20,0.00,0.00,0.00,113.60,112.00,0.00,6905.20,0.00,0.00,0.00,0.00,9.80,0.00,9.80,0.00,227.20,9864992,0,23083212,70.06,30568,632936,28780740,87.35,22244436,467944,22584,22096048,62536,5424,49600,57980,0,0,0.00,0,0.00,10,664,6.10,5.41,4.79,0,9.80,0.00,227.20,23.18,0.01,1.22,0.08,0.08,3.00,5.20,0.45,2.12,0.00,0.00,0.00,0.00
2018-01-05 07:21:17,99.22,0.00,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8995.20,3026.40,0.00,0.00,0.00,4403.20,27.40,0.00,278.00,0.00,0.00,0.00,0.00,37.60,0.00,37.60,0.00,8806.40,9861400,0,23086804,70.07,30576,632964,28780740,87.35,22272532,467944,724,22099592,62528,5416,49608,57980,0,0,0.00,0,0.00,22,662,6.26,5.45,4.81,0,37.60,0.00,8806.40,234.21,0.79,21.09,0.62,2.32,2.60,4.60,0.42,2.01,0.00,0.00,0.00,0.00
2018-01-05 07:21:22,99.10,0.00,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,9302.40,3005.80,0.00,0.00,0.00,108.00,25.20,0.00,74.60,0.00,0.00,0.00,0.00,6.60,0.00,6.60,0.00,216.00,9861440,0,23086764,70.07,30584,632992,28780740,87.35,22294384,467960,288,22098880,62544,5360,49608,57980,0,0,0.00,0,0.00,17,656,6.40,5.49,4.83,0,6.60,0.00,216.00,32.73,0.00,0.36,0.12,0.08,3.20,5.40,0.46,2.13,0.00,0.00,0.00,0.00
2018-01-05 07:21:27,99.33,0.00,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8647.80,2995.40,0.00,0.00,0.00,3.20,22.40,0.00,53.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,9859540,0,23088664,70.08,30592,633020,28780740,87.35,22296000,467992,328,22100456,62524,5360,49612,57980,0,0,0.00,0,0.00,17,656,7.33,5.70,4.90,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,3.00,5.00,0.44,2.01,0.00,0.00,0.00,0.00
2018-01-05 07:21:32,99.12,0.00,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8846.00,3042.00,0.00,0.00,0.00,4.00,26.20,0.00,30.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,9859548,0,23088656,70.08,30600,633052,28780740,87.35,22296020,468004,360,22100540,62516,5360,49612,57980,0,0,0.00,0,0.00,18,656,8.26,5.92,4.98,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,3.00,4.80,0.39,1.72,0.00,0.00,0.00,0.00
2018-01-05 07:21:37,88.82,0.00,0.45,0.03,0.00,0.00,0.00,0.00,0.00,10.70,0.00,6955.60,3236.40,0.00,0.00,0.00,18.40,30.20,0.00,117.60,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,36.80,9860668,0,23087536,70.07,30608,633076,28780740,87.35,22294644,468028,404,22099144,62388,5360,49612,57980,0,0,0.00,0,0.00,6,656,9.28,6.17,5.06,0,1.00,0.00,36.80,36.80,0.00,0.00,0.00,0.00,3.60,6.00,0.54,3.55,0.00,0.00,0.00,0.00
2018-01-05 07:21:42,19.11,0.00,0.05,0.00,0.05,0.00,0.00,0.00,0.00,80.79,0.00,3537.20,2241.20,0.00,0.00,0.00,28.00,34.60,0.00,71.00,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,56.00,9860948,0,23087256,70.07,30608,633104,28780740,87.35,22294544,468020,396,22098944,62420,5296,49612,57980,0,0,0.00,0,0.00,2,648,8.54,6.07,5.03,0,1.80,0.00,56.00,31.11,0.00,0.00,0.00,0.00,5.20,6.60,0.59,4.74,0.00,0.00,0.00,0.00
2018-01-05 07:21:47,0.30,0.00,0.08,0.00,0.05,0.00,0.00,0.00,0.00,99.57,0.00,2931.60,1711.80,0.00,0.00,0.00,20.80,26.20,0.00,164.00,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,41.60,9863360,0,23084844,70.06,30616,633136,28780740,87.35,22292344,468020,436,22096992,62452,5296,49612,57980,0,0,0.00,0,0.00,1,648,7.85,5.97,5.01,0,1.40,0.00,41.60,29.71,0.00,0.00,0.00,0.00,4.00,5.20,0.51,1.33,0.00,0.00,0.00,0.00
2018-01-05 07:21:52,0.48,0.00,0.08,0.00,0.03,0.00,0.00,0.00,0.00,99.42,0.00,2902.80,1697.20,0.00,0.00,0.00,24.00,65.40,0.00,94.60,0.00,0.00,0.00,0.00,2.60,0.00,2.60,0.00,48.00,9863328,0,23084876,70.06,30624,633160,28780740,87.35,22292360,468032,372,22096728,62380,5296,49612,57980,0,0,0.00,0,0.00,0,648,7.22,5.87,4.98,0,2.60,0.00,48.00,18.46,0.00,0.00,0.00,0.00,3.40,5.60,0.48,1.43,0.00,0.00,0.00,0.00
2018-01-05 07:21:57,0.23,0.00,0.03,0.00,0.05,0.00,0.00,0.00,0.00,99.70,0.00,2923.20,1695.40,0.00,0.00,0.00,38.40,10.20,0.00,169.40,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,76.80,9865648,0,23082556,70.06,30636,633184,28780740,87.35,22289968,468044,228,22094328,62424,5288,49612,57980,0,0,0.00,0,0.00,0,646,6.65,5.77,4.95,0,1.00,0.00,76.80,76.80,0.00,0.00,0.00,0.00,3.80,6.00,0.50,1.45,0.00,0.00,0.00,0.00
