timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 09:06:00,0.15,0.00,0.05,0.05,0.00,0.00,0.00,0.00,0.00,99.75,0.20,269.80,170.80,0.00,0.00,0.00,42.40,565.00,0.00,1446.20,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,84.80,1097884,0,15335256,93.32,6276,14370672,949904,5.78,2085928,12676844,364,385836,455380,2240,3220,31404,0,0,0.00,0,0.00,0,266,4.05,4.43,3.81,0,0.80,0.00,84.80,106.00,0.00,0.00,0.00,0.00,3.20,4.60,0.33,0.69,0.00,0.00,0.00,0.00
2018-01-05 09:06:05,0.90,0.00,0.30,0.10,0.00,0.00,0.00,0.00,0.00,98.70,14.40,471.20,399.00,0.00,0.00,186.40,75.20,7743.60,3.80,2471.00,0.00,0.00,0.00,0.00,26.20,17.00,9.20,372.80,150.40,1093272,0,15339868,93.35,6408,14371512,935984,5.70,2090176,12677796,216,390132,455388,2264,3724,31404,0,0,0.00,0,0.00,0,269,3.73,4.36,3.79,0,26.20,372.80,150.40,19.97,0.04,1.56,0.24,0.64,7.20,8.40,1.58,1.56,0.00,0.00,0.00,0.00
2018-01-05 09:06:10,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,254.20,159.80,0.00,0.00,0.00,8.80,8.20,0.00,35.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,17.60,1093196,0,15339944,93.35,6416,14371536,935984,5.70,2090072,12677808,152,389988,455344,2248,3724,31404,0,0,0.00,0,0.00,0,267,3.43,4.29,3.77,0,0.40,0.00,17.60,44.00,0.00,0.00,0.00,0.00,2.40,3.80,0.21,0.79,0.00,0.00,0.00,0.00
2018-01-05 09:06:15,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,251.40,154.60,0.00,0.00,0.00,9.60,10.60,0.00,25.80,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,19.20,1093196,0,15339944,93.35,6424,14371560,935984,5.70,2090072,12677824,180,389988,455344,2248,3724,31404,0,0,0.00,0,0.00,0,267,3.16,4.22,3.75,0,1.20,0.00,19.20,16.00,0.00,0.67,0.67,0.08,2.20,3.60,0.20,0.78,0.00,0.00,0.00,0.00
2018-01-05 09:06:20,0.00,0.00,0.05,0.05,0.00,0.00,0.00,0.00,0.00,99.90,0.00,244.80,146.00,0.00,0.00,0.00,4.00,7.80,0.00,23.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,1093072,0,15340068,93.35,6432,14371584,935984,5.70,2090084,12677836,200,389988,455344,2248,3724,31404,0,0,0.00,0,0.00,0,267,2.90,4.15,3.73,0,0.40,0.00,8.00,20.00,0.00,2.00,2.00,0.08,2.00,3.20,0.18,0.68,0.00,0.00,0.00,0.00
2018-01-05 09:06:25,0.05,0.00,0.05,0.00,0.05,0.00,0.00,0.00,0.00,99.85,0.00,266.80,176.60,0.00,0.00,0.00,5.60,11.00,0.00,54.60,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,11.20,1093324,0,15339816,93.35,6440,14371608,935984,5.70,2089800,12677880,228,389632,455308,2224,3724,31404,0,0,0.00,0,0.00,0,261,2.67,4.08,3.71,0,1.00,0.00,11.20,11.20,0.00,0.80,0.80,0.08,2.20,3.60,0.20,0.78,0.00,0.00,0.00,0.00
2018-01-05 09:06:30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,250.80,152.20,0.00,0.00,0.00,37.60,7.60,0.00,27.20,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,75.20,1093440,0,15339700,93.35,6448,14371632,935984,5.70,2089664,12677900,240,389488,455276,2192,3724,31404,0,0,0.00,0,0.00,0,260,2.46,4.01,3.69,0,1.00,0.00,75.20,75.20,0.00,0.80,0.80,0.08,2.00,3.40,0.18,0.77,0.00,0.00,0.00,0.00
2018-01-05 09:06:35,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,245.00,147.20,0.00,0.00,0.00,4.00,9.60,0.00,24.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,1093440,0,15339700,93.35,6456,14371656,935984,5.70,2089664,12677912,104,389488,455276,2192,3724,31404,0,0,0.00,0,0.00,0,260,2.26,3.94,3.67,0,0.40,0.00,8.00,20.00,0.00,2.00,2.00,0.08,1.80,3.00,0.16,0.66,0.00,0.00,0.00,0.00
2018-01-05 09:06:40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,251.80,155.20,0.00,0.00,0.00,9.60,7.60,0.00,23.80,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,19.20,1093440,0,15339700,93.35,6468,14371676,935984,5.70,2089676,12677924,124,389488,455276,2192,3724,31404,0,0,0.00,0,0.00,0,260,2.08,3.88,3.65,0,2.20,0.00,19.20,8.73,0.00,0.36,0.36,0.08,2.20,3.60,0.20,0.78,0.00,0.00,0.00,0.00
2018-01-05 09:06:45,0.05,0.00,0.05,0.75,0.00,0.00,0.00,0.00,0.00,99.15,0.00,249.40,153.20,0.00,0.00,0.00,18.40,10.60,0.00,26.00,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,36.80,1093316,0,15339824,93.35,6480,14371700,935984,5.70,2089692,12677948,148,389488,455276,2192,3724,31404,0,0,0.00,0,0.00,0,260,1.91,3.81,3.63,0,1.40,0.00,36.80,26.29,0.03,23.43,22.86,3.20,2.20,3.60,0.20,0.78,0.00,0.00,0.00,0.00
2018-01-05 09:06:50,0.05,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,99.90,0.00,243.80,145.40,0.00,0.00,0.00,4.00,7.80,0.00,23.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,1093316,0,15339824,93.35,6488,14371724,935984,5.70,2089716,12677976,172,389488,455276,2192,3724,31404,0,0,0.00,0,0.00,0,260,1.76,3.75,3.61,0,0.40,0.00,8.00,20.00,0.00,2.00,2.00,0.08,2.00,3.20,0.17,0.67,0.00,0.00,0.00,0.00
2018-01-05 09:06:55,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,252.00,158.20,0.00,0.00,0.00,3.20,10.00,0.00,30.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,1093316,0,15339824,93.35,6496,14371748,935984,5.70,2089648,12677992,200,389420,455276,2192,3724,31404,0,0,0.00,0,0.00,0,259,1.62,3.69,3.59,0,0.40,0.00,6.40,16.00,0.00,2.00,2.00,0.08,2.40,3.80,0.21,0.79,0.00,0.00,0.00,0.00
2018-01-05 09:07:00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,246.51,149.30,0.00,0.00,0.00,3.19,7.58,0.00,23.75,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.39,1093324,0,15339816,93.35,6504,14371772,935984,5.70,2089660,12678012,224,389420,455276,2184,3724,31404,0,0,0.00,0,0.00,0,259,1.49,3.63,3.57,0,0.40,0.00,6.39,16.00,0.00,2.00,2.00,0.08,2.20,3.59,0.20,0.78,0.00,0.00,0.00,0.00
2018-01-05 09:07:05,0.05,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,248.60,152.60,0.00,0.00,0.00,36.00,9.60,0.00,25.20,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,72.00,1093324,0,15339816,93.35,6512,14371796,935984,5.70,2089672,12678028,248,389420,455276,2184,3724,31404,0,0,0.00,0,0.00,0,259,1.37,3.57,3.55,0,1.00,0.00,72.00,72.00,0.00,0.80,0.80,0.08,2.00,3.20,0.18,0.68,0.00,0.00,0.00,0.00
2018-01-05 09:07:10,15.35,0.00,3.26,0.60,0.05,0.00,0.30,0.00,0.00,80.44,10.20,783.20,2194.40,0.00,0.00,252.00,10293.60,5681.40,3.80,30037.20,0.00,0.00,0.00,0.00,95.40,9.60,85.80,504.00,20587.20,761380,0,15671760,95.37,6668,14569648,1392192,8.47,2319416,12774960,145468,518092,461196,2368,4272,31404,0,0,0.00,0,0.00,1,281,1.34,3.52,3.54,0,95.40,504.00,20587.20,221.08,3.91,40.98,0.42,4.00,4542.80,1222.40,39850.40,79.68,0.00,0.00,0.00,3.26
2018-01-05 09:07:15,47.64,0.00,2.11,1.16,0.05,0.00,0.00,0.00,0.00,49.05,18.80,1266.20,1732.20,0.00,0.00,172.00,20531.20,14248.60,2.40,6682.80,0.00,0.00,0.00,0.00,149.40,10.80,138.60,344.00,33652.80,299640,0,16133500,98.18,6732,14570704,2623768,15.97,2777880,12770776,43892,975072,462096,2864,5844,31404,0,0,0.00,0,0.00,4,353,1.23,3.47,3.52,1,149.80,344.00,33755.20,227.63,7.81,44.52,0.67,10.08,22.40,28.40,2.87,6.98,0.00,0.00,0.00,0.00
2018-01-05 09:07:20,45.13,0.00,2.98,0.10,0.10,0.00,0.00,0.00,0.00,51.69,18.60,1346.80,1847.20,0.00,0.00,0.80,8632.80,18876.00,0.00,32236.00,12270.00,6963.20,19233.20,100.00,102.40,0.20,102.20,1.60,24675.20,162876,0,16270264,99.01,6756,14186196,3602092,21.92,3300384,12385424,680,1492900,462892,3384,7692,31404,0,0,0.00,0,0.00,0,406,1.21,3.42,3.51,0,102.00,1.60,24572.80,240.93,5.79,67.92,0.62,6.32,32.80,39.60,4.69,13.68,0.00,0.00,0.00,0.00
2018-01-05 09:07:25,0.20,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,99.75,0.40,480.60,295.00,0.00,0.00,0.00,33.60,17.60,0.00,119.00,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,67.20,164152,0,16268988,99.00,6764,14186220,3602092,21.92,3298692,12385444,752,1491152,462940,3320,7696,31404,0,0,0.00,0,0.00,0,401,1.12,3.37,3.49,0,0.60,0.00,67.20,112.00,0.00,0.00,0.00,0.00,2.60,4.60,0.24,1.03,0.00,0.00,0.00,0.00
2018-01-05 09:07:30,9.78,0.00,1.01,0.00,0.00,0.00,0.05,0.00,0.00,89.16,1.20,1102.80,1326.60,0.00,0.00,16.00,3.20,4661.60,0.20,14550.00,5567.20,409.60,5976.80,100.00,2.20,1.80,0.40,32.00,6.40,167284,0,16265856,98.98,6784,14101832,3652852,22.23,3392928,12286356,35820,1571476,462880,3368,7864,31404,0,0,0.00,0,0.00,1,407,1.19,3.35,3.48,0,2.20,32.00,6.40,17.45,0.00,1.82,1.09,0.24,823.80,229.00,7052.10,17.36,0.00,0.00,0.00,0.58
2018-01-05 09:07:35,2.12,0.00,0.81,0.05,0.10,0.00,0.15,0.00,0.00,96.77,0.00,1439.80,1409.20,0.00,0.00,0.00,11.20,16.20,0.00,11136.80,2099.80,0.00,2099.80,100.00,0.40,0.00,0.40,0.00,22.40,169836,0,16263304,98.97,6792,14117832,3652852,22.23,3397352,12278916,93732,1552304,462904,3368,7852,31404,0,0,0.00,0,0.00,0,407,1.09,3.29,3.46,0,0.40,0.00,22.40,56.00,0.00,0.00,0.00,0.00,1366.60,299.20,11748.95,20.50,0.00,0.00,0.00,0.96
2018-01-05 09:07:40,3.07,0.00,0.95,0.00,0.10,0.00,0.10,0.00,0.00,95.78,0.00,1436.80,1427.00,0.00,0.00,0.00,4.00,14.00,0.00,10274.40,2098.60,0.00,2098.60,100.00,0.40,0.00,0.40,0.00,8.00,163260,0,16269880,99.01,6796,14132164,3652852,22.23,3412968,12270184,150128,1545216,463016,3368,7840,31404,0,0,0.00,0,0.00,0,407,1.00,3.23,3.44,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,1323.40,308.40,11374.97,21.75,0.00,0.00,0.00,0.93
2018-01-05 09:07:45,33.11,0.00,5.02,5.78,0.20,0.00,0.41,0.00,0.00,55.48,3.20,3950.80,5202.60,0.00,0.00,2520.80,35404.00,8020.60,0.40,52392.80,20525.80,8051.20,28577.00,100.00,329.80,46.80,283.00,5041.60,70808.00,153436,0,16279704,99.07,6840,13838548,3726996,22.68,3865120,11826284,238336,1849076,463792,3416,8248,31404,0,0,0.00,0,0.00,3,419,1.00,3.20,3.43,0,329.80,5041.60,70808.00,229.99,23.08,69.99,0.64,21.04,2058.20,771.40,17862.72,56.57,0.00,0.00,0.00,1.46
