timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 09:17:58,8.97,0.00,0.30,0.20,0.05,0.00,0.00,0.00,0.00,90.48,1.80,456.80,528.00,0.00,0.00,148.80,38.40,2429.00,0.00,3485.60,0.00,0.00,0.00,0.00,15.40,14.40,1.00,297.60,76.80,15817592,0,615548,3.75,16600,101480,993172,6.04,427480,33232,332,342720,39664,2048,3208,31404,0,0,0.00,0,0.00,0,243,0.60,2.64,3.45,0,15.40,297.60,76.80,24.31,0.01,0.42,0.42,0.64,11.80,13.60,17.25,1.90,0.00,0.00,0.00,0.00
2018-01-05 09:18:03,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.75,1.20,334.40,241.40,0.00,0.00,2.40,0.00,676.20,0.00,362.40,0.00,0.00,0.00,0.00,0.60,0.60,0.00,4.80,0.00,15817920,0,615220,3.74,16604,101472,993172,6.04,426928,33300,444,342208,39652,2056,3208,31404,0,0,0.00,0,0.00,0,243,0.55,2.60,3.43,0,0.60,4.80,0.00,8.00,0.00,0.00,0.00,0.00,14.40,15.00,1.41,18.94,0.00,0.00,0.00,0.00
2018-01-05 09:18:08,33.33,0.00,2.53,0.10,0.10,0.00,0.20,0.00,0.00,63.74,19.80,2190.00,3060.60,0.00,0.00,75.20,22.40,13038.20,0.20,15408.80,0.00,0.00,0.00,0.00,11.60,10.20,1.40,150.40,44.80,15349112,0,1084028,6.60,16628,230704,11149076,67.85,758564,160060,129312,679616,40552,2536,4684,31404,0,0,0.00,0,0.00,5,308,0.51,2.56,3.42,0,11.60,150.40,44.80,16.83,0.01,0.69,0.55,0.64,2979.60,841.60,25916.78,56.52,0.00,0.00,0.00,2.12
2018-01-05 09:18:13,90.63,0.00,3.76,0.05,0.05,0.00,0.10,0.00,0.00,5.41,32.00,2708.60,2243.60,0.00,0.00,342.40,1531.20,19069.80,1.60,10667.80,0.00,0.00,0.00,0.00,39.40,26.20,13.20,684.80,3062.40,14403696,0,2029444,12.35,16660,247856,14614780,88.93,1706552,160256,137640,1602844,42168,3248,6984,31404,0,0,0.00,0,0.00,4,402,0.71,2.56,3.41,0,39.40,684.80,3062.40,95.11,0.06,1.58,0.30,1.20,200.40,142.20,1504.33,15.64,0.00,0.00,0.00,0.12
2018-01-05 09:18:18,93.54,0.00,5.71,0.00,0.00,0.00,0.00,0.00,0.00,0.75,9.80,3036.20,1853.20,0.00,0.00,0.00,535.20,5629.00,0.00,14652.00,0.00,0.00,0.00,0.00,4.60,0.00,4.60,0.00,1070.40,11144780,0,5288360,32.18,16668,253420,14768496,89.87,4920208,161940,140588,4844796,42292,3528,13492,31404,0,0,0.00,0,0.00,11,422,1.05,2.60,3.42,0,4.60,0.00,1070.40,232.70,0.02,3.65,0.35,0.16,84.80,66.60,505.01,9.07,0.00,0.00,0.00,0.04
2018-01-05 09:18:23,98.30,0.00,1.60,0.00,0.00,0.00,0.05,0.00,0.00,0.05,1.20,1901.80,1648.80,0.00,0.00,0.00,39.20,1056.80,0.00,6345.00,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,78.40,9999108,0,6434032,39.15,16676,253444,14768496,89.87,6100756,161960,140644,5992612,42244,3472,15868,31404,0,0,0.00,0,0.00,9,418,1.61,2.69,3.45,0,1.40,0.00,78.40,56.00,0.00,0.00,0.00,0.00,15.20,15.40,1.59,3.32,0.00,0.00,0.00,0.00
2018-01-05 09:18:28,97.70,0.00,2.20,0.00,0.00,0.00,0.05,0.00,0.00,0.05,1.60,2001.20,2509.60,0.00,0.00,0.00,143.20,1606.80,0.00,10218.40,0.00,0.00,0.00,0.00,11.80,0.00,11.80,0.00,286.40,8637596,0,7795544,47.44,16684,253472,14768496,89.87,7448904,161976,139816,7353088,42176,3456,18228,31404,0,0,0.00,0,0.00,6,418,2.04,2.76,3.47,0,11.80,0.00,286.40,24.27,0.01,1.08,0.07,0.08,14.80,15.00,1.57,3.62,0.00,0.00,0.00,0.00
2018-01-05 09:18:33,97.80,0.00,2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,2059.40,4003.60,0.00,0.00,0.00,7.20,1042.00,0.00,16312.20,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,14.40,7572544,0,8860596,53.92,16692,253492,14768496,89.87,8505788,161976,139992,8416028,42132,3432,20780,31404,0,0,0.00,0,0.00,8,416,2.20,2.79,3.47,0,0.60,0.00,14.40,24.00,0.00,0.00,0.00,0.00,13.80,14.40,1.54,3.59,0.00,0.00,0.00,0.00
2018-01-05 09:18:38,97.50,0.00,2.40,0.00,0.00,0.00,0.05,0.00,0.00,0.05,1.60,1928.00,3629.20,0.00,0.00,0.80,13680.00,1591.40,0.00,17154.40,0.00,0.00,0.00,0.00,83.00,0.20,82.80,1.60,21102.40,6701256,0,9731884,59.22,16700,253516,14768496,89.87,9390872,162000,71612,9284732,42548,3448,22528,31404,0,0,0.00,0,0.00,4,416,2.50,2.84,3.48,1,83.40,1.60,21204.80,254.27,3.23,32.37,0.28,2.32,17.60,17.00,2.00,4.21,0.00,0.00,0.00,0.00
2018-01-05 09:18:43,97.55,0.00,2.40,0.00,0.00,0.00,0.05,0.00,0.00,0.00,1.20,2052.60,4126.20,0.00,0.00,0.00,12096.80,1184.00,0.00,19087.00,0.00,0.00,0.00,0.00,123.40,0.00,123.40,0.00,30451.20,5686140,0,10747000,65.40,16700,253544,14768496,89.87,10402824,161936,11244,10298692,42260,3432,24388,31404,0,0,0.00,0,0.00,4,413,2.62,2.86,3.48,0,123.00,0.00,30348.80,246.74,6.31,55.65,0.47,5.84,15.40,16.00,1.68,3.66,0.00,0.00,0.00,0.00
