timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 22:46:52,0.00,0.00,0.00,1.45,0.03,0.00,0.00,0.00,0.00,98.52,0.00,282.60,208.80,0.00,0.00,0.00,9060.80,9.00,0.00,23.60,0.00,0.00,0.00,0.00,41.00,0.00,41.00,0.00,10390.40,5747328,0,9653624,62.68,26348,8733308,1129308,7.33,1187552,8071400,1367816,499364,277900,2536,3464,31276,0,0,0.00,0,0.00,0,303,5.21,3.85,1.65,1,41.00,0.00,10390.40,253.42,16.96,259.61,2.87,11.76,1.40,2.80,0.15,0.54,0.00,0.00,0.00,0.00
2018-01-05 22:46:57,0.05,0.00,0.10,13.23,0.03,0.00,0.00,0.00,0.00,86.59,0.00,310.60,518.20,0.00,0.00,1.60,44049.60,15.00,0.00,30.80,0.00,0.00,0.00,0.00,343.20,0.40,342.80,3.20,87689.60,5737212,0,9663740,62.75,26372,8733344,1129308,7.33,1195644,8071416,1147768,509448,277900,2536,3464,31276,0,0,0.00,0,0.00,1,303,4.87,3.81,1.65,1,343.40,3.20,87740.80,255.52,137.05,414.05,2.91,100.00,1.20,2.40,0.13,0.43,0.00,0.00,0.00,0.00
2018-01-05 22:47:02,0.38,0.00,0.23,12.95,0.05,0.00,0.00,0.00,0.00,86.39,14.40,544.80,807.00,0.00,0.00,1.60,42944.00,7747.40,0.00,2528.20,0.00,0.00,0.00,0.00,373.40,0.40,373.00,3.20,92030.40,5732948,0,9668004,62.78,26384,8733372,1125176,7.31,1201796,8071460,933032,513496,277728,2352,4004,31276,0,0,0.00,0,0.00,1,300,4.56,3.76,1.64,2,373.20,3.20,91979.20,246.47,138.39,366.73,2.68,100.00,7.60,9.20,1.62,1.71,0.00,0.00,0.00,0.00
2018-01-05 22:47:07,0.08,0.00,0.05,12.55,0.03,0.00,0.00,0.00,0.00,87.30,1.20,396.00,626.20,0.00,0.00,1.60,46260.00,32.40,0.00,120.60,0.00,0.00,0.00,0.00,338.80,0.40,338.40,3.20,86531.20,5733376,0,9667576,62.77,26400,8733580,1125176,7.31,1201516,8071624,702208,513220,277440,2512,3972,31276,0,0,0.00,0,0.00,1,300,4.28,3.71,1.64,1,338.80,3.20,86531.20,255.41,137.77,367.67,2.95,100.00,19.40,18.60,56.40,31.03,0.00,0.00,0.00,0.00
2018-01-05 22:47:12,0.08,0.00,0.08,14.88,0.08,0.00,0.00,0.00,0.00,84.89,0.80,340.60,600.00,0.00,0.00,4.80,47695.20,29.40,0.00,118.60,0.00,0.00,0.00,0.00,377.20,1.20,376.00,9.60,96198.40,5733528,0,9667424,62.77,26416,8733940,1125176,7.31,1201788,8071932,464332,513360,277496,2520,3972,31276,0,0,0.00,0,0.00,1,301,4.01,3.67,1.64,1,377.20,9.60,96198.40,255.06,138.49,395.53,2.65,100.00,13.80,17.20,33.44,83.10,0.00,0.00,0.00,0.01
2018-01-05 22:47:17,0.03,0.00,0.05,13.25,0.05,0.00,0.00,0.00,0.00,86.62,0.00,320.20,536.00,0.00,0.00,1.60,43800.80,9.80,0.00,144.80,0.00,0.00,0.00,0.00,345.40,0.40,345.00,3.20,88073.60,5733468,0,9667484,62.77,26444,8733980,1125176,7.31,1201824,8071952,245588,513348,277376,2504,3972,31276,0,0,0.00,0,0.00,1,299,3.77,3.62,1.63,1,345.40,3.20,88073.60,255.00,138.57,398.07,2.90,100.00,2.80,4.20,0.23,0.83,0.00,0.00,0.00,0.00
2018-01-05 22:47:22,20.60,0.00,1.21,10.65,0.08,0.00,0.00,0.00,0.00,67.47,56.69,2075.45,2149.90,0.00,0.00,0.80,45260.68,20801.00,0.00,3392.02,0.00,0.00,0.00,0.00,351.50,0.20,351.30,1.60,89770.86,5247412,0,10153540,65.93,26520,8734976,3455772,22.44,1668892,8072916,19628,988556,281172,4072,7668,31276,0,0,0.00,0,0.00,14,491,3.55,3.58,1.63,1,351.50,1.60,89770.86,255.40,137.25,387.17,2.84,99.80,34.33,30.94,7.47,81.26,0.00,0.00,0.00,0.01
2018-01-05 22:47:27,96.32,0.00,3.43,0.03,0.00,0.00,0.00,0.00,0.00,0.23,30.20,6756.40,3159.00,0.00,0.00,8.80,3684.00,34373.60,0.00,20444.80,0.00,0.00,0.00,0.00,60.80,1.40,59.40,17.60,14827.20,3854128,0,11546824,74.97,26536,8735592,3660580,23.77,3068012,8072972,3152,2378832,282444,4680,10664,31276,0,0,0.00,0,0.00,22,581,4.15,3.70,1.68,0,60.80,17.60,14827.20,244.16,17.78,414.99,2.82,17.12,35.80,49.20,10.19,6.17,0.00,0.00,0.00,0.00
2018-01-05 22:47:32,98.12,0.00,1.68,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.60,10089.80,3019.80,0.00,0.00,0.80,32.80,404.00,0.00,1450.40,0.00,0.00,0.00,0.00,1.00,0.20,0.80,1.60,65.60,3728336,0,11672616,75.79,26548,8730320,3668848,23.82,3193084,8068288,3192,2504436,283616,4728,11512,31276,0,0,0.00,0,0.00,11,574,4.86,3.86,1.74,0,1.00,1.60,65.60,67.20,0.02,15.20,8.00,0.80,5.00,8.80,0.74,1.81,0.00,0.00,0.00,0.00
2018-01-05 22:47:37,98.45,0.00,1.45,0.00,0.00,0.00,0.07,0.00,0.00,0.03,0.00,4294.60,2575.60,0.00,0.00,0.80,118.40,799.00,0.00,1012.00,0.00,0.00,0.00,0.00,12.20,0.20,12.00,1.60,236.80,3730616,0,11670336,75.78,26560,8725288,3668848,23.82,3195892,8063488,2868,2507196,283596,4680,11540,31276,0,0,0.00,0,0.00,21,567,5.51,4.01,1.80,0,12.20,1.60,236.80,19.54,0.02,1.31,0.13,0.16,7.20,13.20,0.65,3.71,0.00,0.00,0.00,0.00
2018-01-05 22:47:42,98.40,0.00,1.45,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,4601.80,2613.20,0.00,0.00,0.00,101.60,45.00,0.00,712.60,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,203.20,3739360,0,11661592,75.72,26568,8720368,3668848,23.82,3192360,8058588,2632,2503684,283488,4640,11540,31276,0,0,0.00,0,0.00,11,566,5.87,4.11,1.85,0,2.00,0.00,203.20,101.60,0.00,0.00,0.00,0.00,5.60,10.00,0.53,3.34,0.00,0.00,0.00,0.00
2018-01-05 22:47:47,98.83,0.00,1.07,0.00,0.00,0.00,0.07,0.00,0.00,0.02,0.00,4354.60,2562.00,0.00,0.00,0.00,9.60,48.20,0.00,427.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,19.20,3744344,0,11656608,75.69,26576,8715752,3668848,23.82,3192380,8053748,2844,2503856,283356,4616,11540,31276,0,0,0.00,0,0.00,8,562,6.28,4.22,1.90,0,0.40,0.00,19.20,48.00,0.00,2.00,2.00,0.08,5.20,8.60,0.47,2.79,0.00,0.00,0.00,0.00
2018-01-05 22:47:52,93.70,0.00,2.03,0.00,0.00,0.00,0.00,0.00,0.00,4.26,48.60,5025.60,3446.00,0.00,0.00,0.00,62.40,15914.40,0.00,105358.20,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,124.80,5434432,0,9966520,64.71,26668,8710208,2282732,14.82,1516084,8047720,1464,830860,282064,3280,5992,31276,0,0,0.00,0,0.00,10,397,6.42,4.29,1.93,0,2.00,0.00,124.80,62.40,0.01,7.20,7.20,1.44,46.60,56.40,7.11,10.20,0.00,0.00,0.00,0.00
2018-01-05 22:47:57,96.57,0.00,3.00,0.00,0.00,0.00,0.05,0.00,0.00,0.38,40.00,6118.80,3298.00,0.00,0.00,0.00,209.60,37623.20,0.00,19420.60,0.00,0.00,0.00,0.00,3.20,0.00,3.20,0.00,419.20,4229596,0,11171356,72.54,26748,8705992,3578704,23.24,2720316,8043524,2220,2031156,283288,4480,10456,31276,0,0,0.00,0,0.00,14,549,7.59,4.56,2.03,0,3.20,0.00,419.20,131.00,0.01,2.50,1.25,0.40,32.60,40.00,8.97,5.28,0.00,0.00,0.00,0.00
2018-01-05 22:48:02,98.12,0.00,1.63,0.00,0.00,0.00,0.18,0.00,0.00,0.08,9.80,9721.00,3555.00,0.00,0.00,51.20,78.40,3900.00,0.00,4746.20,0.00,0.00,0.00,0.00,7.60,3.80,3.80,102.40,156.80,3779228,0,11621724,75.46,26760,8701460,3617508,23.49,3170880,8039468,2304,2482228,283292,4736,11452,31276,0,0,0.00,0,0.00,14,578,8.66,4.84,2.13,0,7.60,102.40,156.80,34.11,0.00,0.11,0.11,0.08,28.00,35.60,6.01,6.09,0.00,0.00,0.00,0.00
2018-01-05 22:48:07,98.50,0.00,1.32,0.00,0.00,0.00,0.12,0.00,0.00,0.05,0.00,4758.40,3073.00,0.00,0.00,0.00,27.20,1169.20,0.00,2145.20,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,54.40,3782208,0,11618744,75.44,26768,8696508,3617508,23.49,3172632,8034536,2472,2483768,283320,4704,11476,31276,0,0,0.00,0,0.00,15,574,9.17,5.01,2.20,0,0.80,0.00,54.40,68.00,0.00,1.00,1.00,0.08,5.80,10.40,0.53,3.03,0.00,0.00,0.00,0.00
2018-01-05 22:48:12,98.35,0.00,1.50,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,4743.20,3163.80,0.00,0.00,0.00,73.60,58.80,0.00,920.60,0.00,0.00,0.00,0.00,6.20,0.00,6.20,0.00,147.20,3792388,0,11608564,75.38,26776,8691576,3617508,23.49,3166844,8029724,2348,2478256,283032,4672,11472,31276,0,0,0.00,0,0.00,9,570,9.23,5.09,2.24,0,6.20,0.00,147.20,23.74,0.02,2.45,0.90,0.56,6.60,11.00,0.57,3.11,0.00,0.00,0.00,0.00
2018-01-05 22:48:17,98.60,0.00,1.27,0.00,0.00,0.00,0.10,0.00,0.00,0.03,0.00,4253.20,3257.80,0.00,0.00,0.00,12.00,53.60,0.00,989.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,24.00,3798096,0,11602856,75.34,26788,8686664,3617508,23.49,3166700,8024880,2564,2478224,282872,4656,11472,31276,0,0,0.00,0,0.00,8,568,9.22,5.15,2.28,0,0.40,0.00,24.00,60.00,0.00,2.00,2.00,0.08,5.80,10.40,0.56,3.55,0.00,0.00,0.00,0.00
2018-01-05 22:48:22,95.24,0.00,1.86,0.00,0.00,0.00,0.05,0.00,0.00,2.86,40.80,5571.80,3561.00,0.00,0.00,0.00,86.40,15131.60,0.00,92929.40,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,172.80,5237452,0,10163500,65.99,26824,8680636,2288024,14.86,1742128,8019020,1676,1055996,281424,3840,6468,31276,0,0,0.00,0,0.00,7,413,9.12,5.20,2.31,0,3.60,0.00,172.80,48.00,0.02,4.67,3.33,1.20,70.80,80.00,9.26,13.00,0.00,0.00,0.00,0.00
2018-01-05 22:48:27,96.57,0.00,2.73,0.00,0.00,0.00,0.03,0.00,0.00,0.68,45.00,6269.80,3483.60,0.00,0.00,0.80,140.00,39827.20,0.00,33004.20,0.00,0.00,0.00,0.00,8.20,0.20,8.00,1.60,280.00,4378524,0,11022428,71.57,26872,8675992,3539624,22.98,2598784,8014660,2176,1912996,282132,4448,10244,31276,0,0,0.00,0,0.00,22,546,9.91,5.43,2.40,0,8.20,1.60,280.00,34.34,0.15,17.76,3.90,3.20,57.20,63.20,11.31,9.14,0.00,0.00,0.00,0.00
2018-01-05 22:48:32,97.45,0.00,1.85,0.00,0.00,0.00,0.13,0.00,0.00,0.58,12.40,8049.00,4131.40,0.00,0.00,79.20,116.00,2913.60,0.00,2871.80,0.00,0.00,0.00,0.00,7.60,4.80,2.80,158.40,232.00,3932560,0,11468392,74.47,26884,8671840,3587328,23.29,3046552,8010696,2356,2358624,282992,4768,11248,31276,0,0,0.00,0,0.00,11,582,10.96,5.72,2.51,0,7.60,158.40,232.00,51.37,0.06,8.32,4.32,3.28,50.20,59.00,13.13,8.45,0.00,0.00,0.00,0.00
2018-01-05 22:48:37,96.89,0.00,0.75,0.00,0.03,0.00,0.10,0.00,0.00,2.23,0.00,4807.00,3746.60,0.00,0.00,0.00,20.80,536.60,0.00,1864.00,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,41.60,3938052,0,11462900,74.43,26896,8666888,3595032,23.34,3043912,8005712,2520,2357920,282692,4744,11256,31276,0,0,0.00,0,0.00,15,579,11.76,5.97,2.61,0,0.80,0.00,41.60,52.00,0.00,0.00,0.00,0.00,7.00,12.80,0.76,3.87,0.00,0.00,0.00,0.00
2018-01-05 22:48:42,96.69,0.00,0.85,0.00,0.03,0.00,0.10,0.00,0.00,2.33,0.00,4742.60,3594.20,0.00,0.00,0.00,13.60,47.20,0.00,738.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,27.20,3947984,0,11452968,74.37,26904,8661964,3595032,23.34,3040500,8001028,2720,2352704,282852,4712,11252,31276,0,0,0.00,0,0.00,9,575,11.54,6.02,2.64,0,0.40,0.00,27.20,68.00,0.00,2.00,2.00,0.08,9.20,14.20,1.10,3.53,0.00,0.00,0.00,0.00
2018-01-05 22:48:47,90.57,0.00,0.73,0.00,0.00,0.00,0.08,0.00,0.00,8.63,11.20,4400.60,3313.20,0.00,0.00,0.00,88.80,2867.60,0.00,13947.40,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,177.60,4153380,0,11247572,73.03,26920,8656948,3576884,23.23,2842860,7996164,2508,2155212,282316,4608,10688,31276,0,0,0.00,0,0.00,6,556,11.42,6.09,2.68,0,10.00,0.00,177.60,17.76,0.02,1.60,0.56,0.56,45.00,52.20,5.99,9.53,0.00,0.00,0.00,0.00
2018-01-05 22:48:52,92.70,0.00,2.79,0.00,0.03,0.00,0.03,0.00,0.00,4.47,58.80,5839.00,4044.40,0.00,0.00,10.40,112.80,35290.20,0.00,89329.20,0.00,0.00,0.00,0.00,4.00,0.80,3.20,20.80,225.60,4705480,0,10695472,69.45,26988,8651608,3492168,22.68,2296348,7990616,2216,1613208,281524,4360,9288,31276,0,0,0.00,0,0.00,19,535,11.62,6.22,2.75,0,4.00,20.80,225.60,61.60,0.02,4.20,2.00,0.80,135.40,142.60,20.50,19.48,0.00,0.00,0.00,0.00
2018-01-05 22:48:57,96.97,0.00,2.18,0.00,0.00,0.00,0.10,0.00,0.00,0.75,15.80,7693.00,3770.40,0.00,0.00,0.00,105.60,11435.60,0.00,8002.80,0.00,0.00,0.00,0.00,7.20,0.00,7.20,0.00,211.20,3968388,0,11432564,74.23,27000,8647100,3578888,23.24,3035648,7986596,2588,2350348,282276,4768,11224,31276,0,0,0.00,0,0.00,12,582,11.97,6.38,2.82,0,7.20,0.00,211.20,29.33,0.11,15.00,5.67,4.08,32.20,42.60,8.01,7.46,0.00,0.00,0.00,0.00
