timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 00:12:17,5.26,0.00,0.15,0.05,0.00,0.00,0.00,0.00,0.00,94.54,0.80,318.80,288.00,0.00,0.00,11.20,37.60,1253.80,0.00,2350.80,0.00,0.00,0.00,0.00,2.60,1.80,0.80,22.40,75.20,7112992,0,546520,7.14,14168,100364,783968,10.24,414016,29612,356,329168,37164,2032,2932,17940,0,0,0.00,0,0.00,0,240,0.90,2.69,3.36,0,2.60,22.40,75.20,37.54,0.00,0.31,0.31,0.08,4.40,5.60,0.41,0.71,0.00,0.00,0.00,0.00
2018-01-06 00:12:22,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,246.00,154.80,0.00,0.00,0.00,0.00,27.60,0.00,127.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7112184,0,547328,7.15,14168,100384,783968,10.24,414180,29616,376,329324,37164,2032,2932,17940,0,0,0.00,0,0.00,2,240,0.83,2.65,3.34,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.60,3.60,0.30,0.61,0.00,0.00,0.00,0.00
2018-01-06 00:12:27,60.04,0.00,3.69,0.10,0.10,0.00,0.15,0.00,0.00,35.91,26.60,2397.40,3479.20,0.00,0.00,380.80,2.40,19045.20,1.60,18786.60,0.00,0.00,0.00,0.00,34.80,34.40,0.40,761.60,4.80,6334960,0,1324552,17.29,14332,231012,4465636,58.30,1062092,153324,129232,972156,38748,2560,4992,17940,0,0,0.00,0,0.00,9,338,0.92,2.64,3.34,0,34.80,761.60,4.80,22.02,0.02,0.64,0.48,1.68,2960.20,752.80,25915.05,49.31,0.00,0.00,0.00,2.12
2018-01-06 00:12:32,67.53,0.00,3.54,0.05,0.00,0.00,0.05,0.00,0.00,28.83,34.40,3089.20,2604.80,0.00,0.00,31.20,2032.00,14011.40,0.20,9663.80,0.00,0.00,0.00,0.00,20.60,2.60,18.00,62.40,4064.00,5209340,0,2450172,31.99,14360,252144,5842684,76.28,2125092,158692,140392,2070408,40916,3544,7776,17940,0,0,0.00,0,0.00,13,434,1.89,2.81,3.39,0,20.60,62.40,4064.00,200.31,0.05,2.41,0.27,0.56,256.80,169.80,2005.89,19.02,0.00,0.00,0.00,0.16
2018-01-06 00:12:37,97.15,0.00,2.80,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,3148.20,4370.00,0.00,0.00,0.00,49.60,1869.00,0.00,20229.40,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,99.20,3979756,0,3679756,48.04,14368,252176,5863224,76.55,3390656,158192,140532,3298840,40896,3512,10320,17940,0,0,0.00,0,0.00,6,424,2.06,2.83,3.39,0,0.80,0.00,99.20,124.00,0.00,0.00,0.00,0.00,4.80,6.20,0.39,1.15,0.00,0.00,0.00,0.00
2018-01-06 00:12:42,97.75,0.00,2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,2650.80,5707.80,0.00,0.00,0.00,92.00,144.40,0.00,18487.60,0.00,0.00,0.00,0.00,14.20,0.00,14.20,0.00,184.00,3260776,0,4398736,57.43,14376,252204,5863224,76.55,4114260,158180,140128,4016160,40904,3488,12060,17940,0,0,0.00,0,0.00,5,422,2.22,2.85,3.39,0,14.20,0.00,184.00,12.96,0.02,1.58,0.06,0.08,2.80,5.00,0.39,1.66,0.00,0.00,0.00,0.00
2018-01-06 00:12:47,99.70,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,2254.00,1651.00,0.00,0.00,26.40,63.20,31.80,0.00,47.40,0.00,0.00,0.00,0.00,2.20,0.60,1.60,52.80,126.40,3260304,0,4399208,57.43,14508,252228,5863224,76.55,4124392,158324,139980,4016060,40936,3464,12060,17940,0,0,0.00,0,0.00,5,418,2.36,2.87,3.40,0,2.20,52.80,126.40,81.45,0.00,0.36,0.36,0.08,2.00,3.40,0.23,0.91,0.00,0.00,0.00,0.00
2018-01-06 00:12:52,99.65,0.00,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2002.40,1638.40,0.00,0.00,0.00,4.80,17.20,0.00,23.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,3258000,0,4401512,57.46,14516,252252,5863224,76.55,4126368,158324,140012,4018012,40960,3456,12064,17940,0,0,0.00,0,0.00,5,418,2.49,2.89,3.40,0,0.40,0.00,9.60,24.00,0.00,0.00,0.00,0.00,2.20,4.20,0.35,1.62,0.00,0.00,0.00,0.00
2018-01-06 00:12:57,99.45,0.00,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1937.80,1864.00,0.00,0.00,0.00,25711.20,52.60,0.00,216.80,0.00,0.00,0.00,0.00,201.00,0.00,201.00,0.00,51422.40,3249188,0,4410324,57.58,14516,252276,5863224,76.55,4133180,158352,11480,4026804,41012,3448,12080,17940,0,0,0.00,0,0.00,5,417,2.61,2.90,3.40,0,201.00,0.00,51422.40,255.83,8.93,44.42,0.40,8.08,1.60,3.20,0.21,0.98,0.00,0.00,0.00,0.00
2018-01-06 00:13:02,99.35,0.00,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2121.20,1853.80,0.00,0.00,0.00,88.00,25.40,0.00,449.20,0.00,0.00,0.00,0.00,10.20,0.00,10.20,0.00,176.00,3218048,0,4441464,57.99,14524,252304,5863224,76.55,4159632,158364,11216,4057340,41036,3424,12140,17940,0,0,0.00,0,0.00,5,414,2.72,2.92,3.41,0,10.20,0.00,176.00,17.25,0.02,2.43,1.49,1.52,2.00,3.80,0.33,1.52,0.00,0.00,0.00,0.00
