timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 02:43:15,7.37,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,92.38,0.80,334.40,307.00,0.00,0.00,10.40,40.80,1161.20,0.00,1382.20,0.00,0.00,0.00,0.00,2.80,2.00,0.80,20.80,81.60,7041272,0,618240,8.07,16184,116364,780256,10.19,474544,33296,344,379432,40824,2024,3028,17940,0,0,0.00,0,0.00,2,239,0.80,2.61,3.93,0,2.80,20.80,81.60,36.57,0.01,2.29,1.14,0.32,5.40,6.60,0.56,0.81,0.00,0.00,0.00,0.00
2018-01-06 02:43:20,32.60,0.00,2.46,0.45,0.05,0.00,0.30,0.00,0.00,64.14,15.00,1517.00,2897.60,0.00,0.00,511.20,24.00,9477.40,1.40,18834.40,0.00,0.00,0.00,0.00,46.20,45.60,0.60,1022.40,48.00,6685032,0,974480,12.72,16464,247488,1324784,17.30,714112,153028,129204,603288,40988,2360,3892,17940,0,0,0.00,0,0.00,3,285,0.82,2.58,3.92,0,46.20,1022.40,48.00,23.17,0.05,1.04,0.59,2.72,2963.20,798.40,25931.17,52.88,0.00,0.00,0.00,2.12
2018-01-06 02:43:25,65.81,0.00,2.67,0.00,0.10,0.00,0.00,0.00,0.00,31.42,33.60,2573.60,2688.00,0.00,0.00,4.80,36.00,19232.40,0.00,7983.20,0.00,0.00,0.00,0.00,1.60,0.80,0.80,9.60,72.00,5964448,0,1695064,22.13,16492,247896,4925004,64.30,1432812,149632,129652,1318060,42684,3432,6576,17940,0,0,0.00,0,0.00,6,427,1.15,2.62,3.92,0,1.60,9.60,72.00,51.00,0.00,0.00,0.00,0.00,29.00,37.20,4.98,12.28,0.00,0.00,0.00,0.00
2018-01-06 02:43:30,34.09,0.00,2.07,0.05,0.05,0.00,0.00,0.00,0.00,63.74,15.20,2559.20,1992.40,0.00,0.00,38.40,1515.20,4363.20,0.20,13667.00,0.00,0.00,0.00,0.00,16.00,3.40,12.60,76.80,3030.40,5224544,0,2434968,31.79,16500,263780,5052964,65.97,2155036,155872,137980,2038864,43304,3816,8244,17940,0,0,0.00,0,0.00,4,463,1.22,2.61,3.91,0,16.00,76.80,3030.40,194.20,0.10,6.00,0.50,0.80,221.60,157.20,1741.72,17.69,0.00,0.00,0.00,0.14
2018-01-06 02:43:35,80.38,0.00,5.19,0.00,0.05,0.00,0.00,0.00,0.00,14.37,0.00,2946.00,11914.40,0.00,0.00,0.00,45.60,13043.00,0.00,57139.20,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,91.20,3985976,0,3673536,47.96,16508,263804,5052964,65.97,3386800,155612,138028,3276500,43328,3640,10428,17940,0,0,0.00,0,0.00,4,441,1.36,2.62,3.91,0,1.40,0.00,91.20,65.14,0.00,0.00,0.00,0.00,5.40,10.60,0.42,1.21,0.00,0.00,0.00,0.00
2018-01-06 02:43:40,78.75,0.00,3.53,0.00,0.00,0.00,0.00,0.00,0.00,17.72,0.00,2652.40,10279.40,0.00,0.00,0.00,4.80,1183.20,0.00,36193.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,3380580,0,4278932,55.86,16516,263668,5052964,65.97,4001288,155596,138056,3880856,43320,3592,11848,17940,0,0,0.00,0,0.00,4,434,1.49,2.63,3.90,0,0.40,0.00,9.60,24.00,0.00,0.00,0.00,0.00,3.60,6.80,0.40,1.52,0.00,0.00,0.00,0.00
2018-01-06 02:43:45,79.39,0.00,0.35,0.00,0.05,0.00,0.00,0.00,0.00,20.20,0.00,2678.80,2056.40,0.00,0.00,0.00,52.80,53.00,0.00,313.40,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,105.60,3365896,0,4293616,56.06,16516,263692,5052964,65.97,4017744,155620,137844,3895260,43344,3568,11876,17940,0,0,0.00,0,0.00,8,431,1.61,2.63,3.90,0,1.60,0.00,105.60,66.00,0.00,0.00,0.00,0.00,1.80,3.60,0.23,0.97,0.00,0.00,0.00,0.00
2018-01-06 02:43:50,79.61,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,19.89,0.00,2601.40,2527.40,0.00,0.00,0.00,97.60,49.20,0.00,767.60,0.00,0.00,0.00,0.00,14.80,0.00,14.80,0.00,195.20,3337240,0,4322272,56.43,16524,263720,5052964,65.97,4044592,155632,137452,3924160,43320,3560,11920,17940,0,0,0.00,0,0.00,3,431,1.96,2.69,3.91,0,14.80,0.00,195.20,13.19,0.04,2.70,0.11,0.16,2.20,4.40,0.32,1.39,0.00,0.00,0.00,0.00
2018-01-06 02:43:55,79.19,0.00,0.41,0.81,0.05,0.00,0.00,0.00,0.00,19.54,0.00,2709.60,2210.40,0.00,0.00,0.80,25797.60,49.00,0.00,310.40,0.00,0.00,0.00,0.00,211.40,0.20,211.20,1.60,51595.20,3322208,0,4337304,56.63,16536,263748,5052964,65.97,4063372,155656,8540,3938848,43332,3552,11960,17940,0,0,0.00,0,0.00,4,430,2.29,2.74,3.92,0,211.40,1.60,51595.20,244.07,9.87,46.70,0.39,8.16,1.80,3.60,0.23,1.03,0.00,0.00,0.00,0.00
2018-01-06 02:44:00,79.10,0.00,0.40,0.00,0.05,0.00,0.00,0.00,0.00,20.44,0.00,2510.18,2256.89,0.00,0.00,0.00,56.69,61.68,0.00,1141.92,0.00,0.00,0.00,0.00,6.99,0.00,6.99,0.00,113.37,3286968,0,4372544,57.09,16544,263776,5117120,66.81,4098480,155676,8480,3973920,43348,3536,12028,17940,0,0,0.00,0,0.00,4,428,2.50,2.78,3.93,0,6.99,0.00,113.37,16.23,0.01,0.80,0.11,0.08,2.00,3.99,0.29,1.29,0.00,0.00,0.00,0.00
