timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 23:41:46,0.10,0.00,0.25,2.73,0.03,0.00,0.00,0.00,0.00,96.89,0.40,339.60,433.60,0.00,0.00,0.00,24777.60,639.00,0.00,43130.20,0.00,0.00,0.00,0.00,222.40,0.00,222.40,0.00,56776.00,15889824,0,17058380,51.77,38116,15750964,1523664,4.62,1796480,14553852,3124440,563320,489728,2624,3620,57980,0,0,0.00,0,0.00,0,314,10.44,8.52,8.25,0,222.40,0.00,56776.00,255.29,28.96,140.04,1.04,23.20,2.80,4.00,0.32,0.57,0.00,0.00,0.00,0.00
2018-01-05 23:41:51,0.28,0.00,0.20,9.54,0.10,0.00,0.00,0.00,0.00,89.88,13.20,530.60,1322.20,0.00,0.00,0.00,125206.40,5537.80,0.00,1463.00,0.00,0.00,0.00,0.00,955.40,0.00,955.40,0.00,244128.00,15886600,0,17061604,51.78,38128,15750996,1523664,4.62,1800768,14553888,2499016,567612,489740,2848,4116,57980,0,0,0.00,0,0.00,0,317,9.60,8.38,8.20,1,955.60,0.00,244179.20,255.52,114.55,110.34,0.84,79.84,8.40,9.80,1.67,1.77,0.00,0.00,0.00,0.00
2018-01-05 23:41:56,0.00,0.00,0.18,12.39,0.10,0.00,0.00,0.00,0.00,87.33,0.00,363.80,1148.80,0.00,0.00,0.00,122604.80,9.60,0.00,30.20,0.00,0.00,0.00,0.00,957.60,0.00,957.60,0.00,244582.40,15886808,0,17061396,51.78,38136,15751020,1523664,4.62,1800796,14553888,1886244,567612,489704,2648,4116,57980,0,0,0.00,0,0.00,0,317,8.91,8.26,8.16,1,957.60,0.00,244582.40,255.41,141.52,153.50,1.04,100.00,3.20,4.60,0.26,0.87,0.00,0.00,0.00,0.00
2018-01-05 23:42:01,0.00,0.00,0.23,12.28,0.10,0.00,0.00,0.00,0.00,87.39,0.00,358.20,1141.40,0.00,0.00,0.00,122892.80,7.60,0.00,26.20,0.00,0.00,0.00,0.00,955.80,0.00,955.80,0.00,244608.00,15886800,0,17061404,51.78,38144,15751044,1523664,4.62,1800808,14553900,1272412,567612,489712,2648,4116,57980,0,0,0.00,0,0.00,0,317,8.28,8.13,8.12,1,955.60,0.00,244556.80,255.92,141.35,149.48,1.05,100.00,2.80,4.00,0.23,0.76,0.00,0.00,0.00,0.00
2018-01-05 23:42:06,0.03,0.00,0.18,12.42,0.08,0.00,0.00,0.00,0.00,87.31,0.00,359.20,1145.40,0.00,0.00,0.00,122075.20,9.60,0.00,29.80,0.00,0.00,0.00,0.00,955.60,0.00,955.60,0.00,244560.00,15886808,0,17061396,51.78,38152,15751064,1523664,4.62,1800824,14553928,661812,567612,489704,2648,4116,57980,0,0,0.00,0,0.00,0,317,7.70,8.02,8.09,1,955.80,0.00,244611.20,255.92,141.44,147.99,1.05,100.00,3.00,4.40,0.25,0.87,0.00,0.00,0.00,0.00
2018-01-05 23:42:11,0.03,0.00,0.13,12.37,0.10,0.00,0.00,0.00,0.00,87.37,0.00,392.80,1177.60,0.00,0.00,0.00,121929.60,7.60,0.00,26.20,0.00,0.00,0.00,0.00,957.40,0.00,957.40,0.00,244611.20,15886800,0,17061404,51.78,38160,15751092,1523664,4.62,1800836,14553948,52196,567612,489712,2648,4116,57980,0,0,0.00,0,0.00,0,317,7.16,7.90,8.05,1,957.40,0.00,244560.00,255.44,141.35,133.75,1.04,100.00,2.80,4.20,0.24,0.85,0.00,0.00,0.00,0.00
2018-01-05 23:42:16,0.05,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,98.95,0.00,300.20,286.80,0.00,0.00,0.00,10351.20,10.20,0.00,37.60,0.00,0.00,0.00,0.00,110.00,0.00,110.00,0.00,27630.40,15886940,0,17061264,51.78,38168,15751116,1523664,4.62,1800704,14553960,532,567468,489712,2632,4116,57980,0,0,0.00,0,0.00,0,315,6.67,7.78,8.01,0,109.80,0.00,27630.40,251.64,14.09,268.87,1.06,11.68,3.00,4.20,0.24,0.77,0.00,0.00,0.00,0.00
2018-01-05 23:42:21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,309.80,208.40,0.00,0.00,0.00,102.40,9.20,0.00,67.00,0.00,0.00,0.00,0.00,8.20,0.00,8.20,0.00,204.80,15887472,0,17060732,51.78,38176,15751132,1523664,4.62,1802256,14553976,56,566956,489612,2568,4116,57980,0,0,0.00,0,0.00,0,307,6.13,7.66,7.97,0,8.20,0.00,204.80,24.98,0.00,0.00,0.00,0.00,3.00,4.40,0.25,0.87,0.00,0.00,0.00,0.00
2018-01-05 23:42:26,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.97,0.00,288.20,178.80,0.00,0.00,0.00,5.60,11.40,0.00,37.40,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,11.20,15887480,0,17060724,51.78,38176,15751164,1523664,4.62,1802060,14554004,84,566748,489612,2560,4116,57980,0,0,0.00,0,0.00,0,305,5.64,7.53,7.92,0,0.80,0.00,11.20,14.00,0.00,0.00,0.00,0.00,3.00,4.40,0.25,0.87,0.00,0.00,0.00,0.00
2018-01-05 23:42:31,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,294.60,184.60,0.00,0.00,0.00,4.00,8.00,0.00,50.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,15887808,0,17060396,51.78,38184,15751188,1523664,4.62,1801700,14554028,116,566364,489580,2512,4116,57980,0,0,0.00,0,0.00,0,300,5.19,7.40,7.88,0,0.40,0.00,8.00,20.00,0.00,2.00,2.00,0.08,2.80,4.00,0.23,0.76,0.00,0.00,0.00,0.00
