timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 22:52:42,0.00,0.00,0.13,13.10,0.05,0.00,0.00,0.00,0.00,86.73,0.00,331.40,580.20,0.00,0.00,2.40,49773.60,11.40,0.00,45.80,0.00,0.00,0.00,0.00,384.60,0.80,383.80,6.40,98164.80,23154252,0,9793952,29.73,26088,8733088,1592264,4.83,1228888,8072844,4096848,542588,278656,2512,3556,57980,0,0,0.00,0,0.00,1,300,5.48,3.32,1.48,1,384.20,4.80,98113.60,255.38,137.84,353.15,2.60,100.00,1.40,2.80,0.15,0.53,0.00,0.00,0.00,0.00
2018-01-05 22:52:47,0.00,0.00,0.10,13.02,0.05,0.00,0.00,0.00,0.00,86.83,0.00,315.80,562.40,0.00,0.00,4.80,49992.80,12.20,0.00,28.60,0.00,0.00,0.00,0.00,390.00,1.20,388.80,9.60,99473.60,23154144,0,9794060,29.73,26136,8733168,1592264,4.83,1228848,8072892,3847240,542456,278660,2496,3556,57980,0,0,0.00,0,0.00,1,298,5.12,3.28,1.48,1,390.20,9.60,99524.80,255.09,135.78,336.50,2.56,100.00,1.40,2.80,0.15,0.53,0.00,0.00,0.00,0.00
2018-01-05 22:52:52,0.48,0.00,0.23,13.08,0.05,0.00,0.00,0.00,0.00,86.17,14.40,546.60,775.00,0.00,0.00,3.20,45096.80,7749.60,0.00,2508.80,0.00,0.00,0.00,0.00,354.00,0.80,353.20,6.40,90347.20,23149900,0,9798304,29.74,26164,8733216,1585596,4.81,1233144,8072928,3622052,547000,278600,2400,4044,57980,0,0,0.00,0,0.00,0,300,4.79,3.24,1.47,1,353.80,6.40,90296.00,255.24,138.09,405.94,2.83,100.00,8.80,9.80,1.69,1.67,0.00,0.00,0.00,0.00
2018-01-05 22:52:57,0.08,0.00,0.08,13.17,0.03,0.00,0.00,0.00,0.00,86.65,0.40,345.20,578.80,0.00,0.00,2.40,45899.20,15.80,0.00,64.40,0.00,0.00,0.00,0.00,358.40,0.60,357.80,4.80,91542.40,23150412,0,9797792,29.74,26188,8733328,1585596,4.81,1233200,8073012,3392296,546744,278468,2512,4056,57980,0,0,0.00,0,0.00,0,300,4.49,3.20,1.47,1,358.40,4.80,91542.40,255.43,137.15,365.54,2.79,100.08,8.40,9.80,10.18,10.84,0.00,0.00,0.00,0.00
2018-01-05 22:53:02,0.03,0.00,0.03,13.31,0.03,0.00,0.00,0.00,0.00,86.61,0.40,346.80,591.60,0.00,0.00,4.00,44725.60,22.40,0.00,127.20,0.00,0.00,0.00,0.00,355.80,1.00,354.80,8.00,90168.00,23150228,0,9797976,29.74,26204,8733664,1585596,4.81,1233156,8073312,3169328,546668,278436,2504,4056,57980,0,0,0.00,0,0.00,1,298,4.21,3.17,1.47,1,355.80,8.00,90168.00,253.45,137.94,407.64,2.81,100.00,20.80,21.40,88.55,65.07,0.00,0.00,0.00,0.01
2018-01-05 22:53:07,16.51,0.00,1.33,0.20,0.05,0.00,0.00,0.00,0.00,81.91,57.80,1781.00,1705.20,0.00,0.00,0.00,1610.40,19948.20,0.00,3005.40,0.00,0.00,0.00,0.00,38.80,0.00,38.80,0.00,9876.80,22755612,0,10192592,30.94,26268,8734076,3878904,11.77,1608032,8073660,3161804,934232,279000,2720,6884,57980,0,0,0.00,0,0.00,10,494,3.87,3.11,1.46,0,38.80,0.00,9876.80,254.56,8.50,356.19,2.45,9.52,25.00,23.60,26.33,2.80,0.00,0.00,0.00,0.00
2018-01-05 22:53:12,88.76,0.00,2.45,5.86,0.03,0.00,0.03,0.00,0.00,2.88,14.00,4321.60,3095.40,0.00,0.00,14.40,49240.80,28029.40,0.00,18472.00,0.00,0.00,0.00,0.00,366.60,2.60,364.00,20.80,93105.60,22088792,0,10859412,32.96,26324,8734784,3977796,12.07,2281724,8074220,2917328,1594704,282732,4344,9676,57980,0,0,0.00,0,0.00,14,536,5.24,3.41,1.57,2,367.00,27.20,93156.80,253.91,131.91,347.11,2.67,98.16,20.80,24.40,2.61,3.55,0.00,0.00,0.00,0.00
2018-01-05 22:53:17,97.17,0.00,2.18,0.08,0.00,0.00,0.10,0.00,0.00,0.48,17.40,10045.40,3763.60,0.00,0.00,6.40,45045.60,4742.20,0.00,2867.60,0.00,0.00,0.00,0.00,345.20,1.80,343.40,20.80,87838.40,21180220,0,11767984,35.72,26364,8732600,4044516,12.28,3186524,8071696,2693148,2499076,285212,4776,11548,57980,0,0,0.00,0,0.00,17,580,6.99,3.80,1.70,1,344.80,14.40,87787.20,254.65,135.67,391.67,2.90,100.00,23.80,33.80,8.60,4.54,0.00,0.00,0.00,0.00
2018-01-05 22:53:22,97.75,0.00,1.70,0.53,0.00,0.00,0.03,0.00,0.00,0.00,0.00,3375.60,2872.80,0.00,0.00,3.20,45826.40,908.40,0.00,1259.80,0.00,0.00,0.00,0.00,362.80,0.80,362.00,6.40,92574.40,21188808,0,11759396,35.69,26404,8727540,4044516,12.28,3183964,8066832,2464168,2497380,284988,4712,11548,57980,0,0,0.00,0,0.00,23,575,7.87,4.04,1.79,1,363.20,6.40,92676.80,255.19,137.44,378.65,2.75,100.00,5.80,9.60,0.53,3.02,0.00,0.00,0.00,0.00
2018-01-05 22:53:27,98.48,0.00,1.45,0.02,0.00,0.00,0.05,0.00,0.00,0.00,0.00,4328.40,3028.20,0.00,0.00,1.60,50838.40,577.40,0.00,1033.60,0.00,0.00,0.00,0.00,395.40,0.40,395.00,3.20,101062.40,21193536,0,11754668,35.68,26440,8722620,4044516,12.28,3184432,8062012,2210368,2497428,284720,4640,11576,57980,0,0,0.00,0,0.00,9,566,8.60,4.25,1.87,1,395.00,3.20,100960.00,255.60,137.97,347.33,2.53,100.00,7.20,12.40,0.62,3.16,0.00,0.00,0.00,0.00
