timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 07:48:23,9.42,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,90.28,1.00,369.60,427.40,0.00,0.00,0.00,0.80,1834.00,0.00,2726.40,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.00,1.60,15747944,0,685196,4.17,59724,126744,1000492,6.09,499448,23268,360,336316,49696,2032,2936,31404,0,0,0.00,0,0.00,1,240,0.86,1.33,1.28,0,0.20,0.00,1.60,8.00,0.00,0.00,0.00,0.00,3.80,5.00,0.37,0.65,0.00,0.00,0.00,0.00
2018-01-06 07:48:28,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,251.00,154.60,0.00,0.00,0.00,18.40,14.00,0.00,22.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,36.80,15747944,0,685196,4.17,59732,126764,1000492,6.09,499484,23280,412,336324,49696,2032,2936,31404,0,0,0.00,0,0.00,0,240,0.79,1.30,1.27,0,0.40,0.00,36.80,92.00,0.00,0.00,0.00,0.00,1.40,2.80,0.14,0.53,0.00,0.00,0.00,0.00
2018-01-06 07:48:33,25.11,0.00,2.55,0.05,0.15,0.00,0.25,0.00,0.00,71.88,22.60,2443.20,3703.80,0.00,0.00,11.20,9.60,12494.40,0.20,14436.80,0.00,0.00,0.00,0.00,1.20,0.40,0.80,22.40,19.20,15349524,0,1083616,6.59,59760,255596,14455168,87.96,768352,150356,129188,603548,50064,2416,4468,31404,0,0,0.00,0,0.00,12,324,0.73,1.28,1.26,0,1.20,22.40,19.20,34.67,0.00,0.67,0.67,0.08,2963.00,967.40,25915.79,63.98,0.00,0.00,0.00,2.12
2018-01-06 07:48:38,96.10,0.00,3.70,0.00,0.00,0.00,0.05,0.00,0.00,0.15,27.40,2817.80,1866.40,0.00,0.00,132.00,50.40,15664.40,1.40,8256.00,0.00,0.00,0.00,0.00,5.80,4.60,1.20,264.00,100.80,14401004,0,2032136,12.37,59784,256452,14588240,88.77,1718032,142896,129516,1546848,51888,3280,6896,31404,0,0,0.00,0,0.00,9,391,1.39,1.41,1.30,0,5.80,264.00,100.80,62.90,0.01,1.24,0.97,0.56,13.80,20.20,3.69,3.75,0.00,0.00,0.00,0.00
2018-01-06 07:48:43,83.02,0.00,3.47,0.00,0.05,0.00,0.10,0.00,0.00,13.36,10.40,3063.40,2293.40,0.00,0.00,12.80,2060.00,6476.00,0.20,6023.40,0.00,0.00,0.00,0.00,28.40,0.60,27.80,25.60,4120.00,12481128,0,3952012,24.05,59792,277408,14738356,89.69,3572096,151104,140216,3439180,52240,3560,10420,31404,0,0,0.00,0,0.00,5,429,1.28,1.39,1.30,0,28.40,25.60,4120.00,145.97,0.06,2.14,0.14,0.40,390.60,227.20,3274.34,20.49,0.00,0.00,0.00,0.27
2018-01-06 07:48:48,97.65,0.00,2.25,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,1677.40,1649.00,0.00,0.00,0.00,52.80,266.40,0.00,11230.60,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,105.60,10396564,0,6036576,36.73,59800,277432,14738356,89.69,5654768,151124,140296,5511720,52264,3496,14788,31404,0,0,0.00,0,0.00,16,423,1.50,1.43,1.31,0,2.00,0.00,105.60,52.80,0.00,0.00,0.00,0.00,1.80,3.60,0.17,0.72,0.00,0.00,0.00,0.00
2018-01-06 07:48:53,97.40,0.00,2.55,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,1711.40,1625.80,0.00,0.00,0.00,44.00,203.40,0.00,21789.40,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,88.00,9033756,0,7399384,45.03,59808,277460,14738356,89.69,7022960,151148,140284,6879872,52248,3472,17648,31404,0,0,0.00,0,0.00,4,420,1.70,1.47,1.33,0,0.80,0.00,88.00,110.00,0.00,0.00,0.00,0.00,2.20,4.20,0.29,1.23,0.00,0.00,0.00,0.00
2018-01-06 07:48:58,98.80,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1671.00,1621.40,0.00,0.00,0.00,4.80,141.00,0.00,3230.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,8012140,0,8421000,51.24,59816,277484,14738356,89.69,8057156,151160,140144,7897696,52248,3448,19464,31404,0,0,0.00,0,0.00,10,417,1.88,1.52,1.34,0,0.40,0.00,9.60,24.00,0.00,0.00,0.00,0.00,1.80,3.60,0.27,1.27,0.00,0.00,0.00,0.00
2018-01-06 07:49:03,97.55,0.00,2.40,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,1702.80,3166.40,0.00,0.00,0.00,18658.40,158.20,0.00,14184.00,0.00,0.00,0.00,0.00,129.80,0.00,129.80,0.00,33124.80,6742928,0,9690212,58.97,59824,277508,14738356,89.69,9353616,151156,43496,9169532,52372,3440,22120,31404,0,0,0.00,0,0.00,9,416,2.05,1.56,1.35,1,130.00,0.00,33176.00,255.20,5.66,32.04,0.31,4.00,1.80,3.60,0.27,1.27,0.00,0.00,0.00,0.00
2018-01-06 07:49:08,98.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1757.20,3194.40,0.00,0.00,0.00,7133.60,132.40,0.00,12995.60,0.00,0.00,0.00,0.00,81.60,0.00,81.60,0.00,18459.20,5854196,0,10578944,64.38,59828,277532,14738356,89.69,10232500,151160,11364,10056568,52244,3432,23852,31404,0,0,0.00,0,0.00,4,415,2.21,1.60,1.37,0,81.40,0.00,18408.00,226.14,4.37,72.01,0.75,6.08,1.80,3.40,0.26,1.19,0.00,0.00,0.00,0.00
