timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 23:31:11,0.10,0.00,0.38,12.32,0.10,0.00,0.00,0.00,0.00,87.11,0.20,417.80,1297.60,0.00,0.00,0.00,133980.80,569.80,0.00,36277.80,0.00,0.00,0.00,0.00,1060.20,0.00,1060.20,0.00,267606.40,45574684,0,17307080,27.52,35812,15737804,2300564,3.66,1886088,14552508,2876112,664608,490840,2624,3980,111304,0,0,0.00,0,0.00,0,314,10.50,9.06,7.42,1,1060.20,0.00,267606.40,252.41,140.78,131.14,0.94,100.00,3.00,4.40,0.30,0.68,0.00,0.00,0.00,0.00
2018-01-05 23:31:16,0.23,0.00,0.20,12.42,0.10,0.00,0.00,0.00,0.00,87.05,13.20,544.60,1427.40,0.00,0.00,0.00,133569.60,5537.40,0.00,1441.00,0.00,0.00,0.00,0.00,1045.60,0.00,1045.60,0.00,267600.00,45570992,0,17310772,27.53,35824,15737476,2300564,3.66,1889744,14552164,2208632,668648,490544,2752,4420,111304,0,0,0.00,0,0.00,0,317,9.74,8.93,7.39,1,1045.60,0.00,267600.00,255.93,141.14,135.47,0.96,100.00,7.60,9.00,1.51,1.71,0.00,0.00,0.00,0.00
2018-01-05 23:31:21,0.00,0.00,0.15,12.44,0.10,0.00,0.00,0.00,0.00,87.31,0.00,363.60,1210.40,0.00,0.00,0.00,131087.20,9.00,0.00,21.40,0.00,0.00,0.00,0.00,1025.40,0.00,1025.40,0.00,262430.40,45571284,0,17310480,27.53,35832,15737492,2300564,3.66,1889736,14552164,1553536,668612,490484,2648,4392,111304,0,0,0.00,0,0.00,0,317,9.04,8.80,7.35,1,1025.40,0.00,262430.40,255.93,141.85,137.01,0.98,100.00,1.80,3.00,0.14,0.69,0.00,0.00,0.00,0.00
2018-01-05 23:31:26,0.00,0.00,0.15,12.44,0.10,0.00,0.00,0.00,0.00,87.31,0.00,364.60,1251.20,0.00,0.00,0.00,136823.20,7.40,0.00,18.00,0.00,0.00,0.00,0.00,1065.40,0.00,1065.40,0.00,272673.60,45571292,0,17310472,27.53,35840,15737524,2300564,3.66,1889748,14552176,869196,668616,490436,2648,4392,111304,0,0,0.00,0,0.00,0,317,8.39,8.67,7.32,1,1065.40,0.00,272673.60,255.94,141.84,134.84,0.94,100.00,2.00,3.40,0.16,0.80,0.00,0.00,0.00,0.00
2018-01-05 23:31:31,0.00,0.00,0.20,12.31,0.10,0.00,0.00,0.00,0.00,87.39,0.00,366.00,1227.20,0.00,0.00,0.00,132623.20,9.20,0.00,18.20,0.00,0.00,0.00,0.00,1037.20,0.00,1037.20,0.00,265451.20,45571292,0,17310472,27.53,35848,15737516,2300564,3.66,1889760,14552188,206136,668620,490436,2648,4392,111304,0,0,0.00,0,0.00,0,317,7.80,8.54,7.28,1,1037.40,0.00,265502.40,255.93,141.34,132.28,0.96,100.08,2.00,3.40,0.16,0.80,0.00,0.00,0.00,0.00
2018-01-05 23:31:36,0.00,0.00,0.08,3.73,0.03,0.00,0.03,0.00,0.00,96.15,0.00,301.80,521.00,0.00,0.00,0.00,41116.80,8.40,0.00,16.20,0.00,0.00,0.00,0.00,351.80,0.00,351.80,0.00,89708.80,45571168,0,17310596,27.53,35856,15737564,2300564,3.66,1889780,14552200,724,668620,490436,2648,4392,111304,0,0,0.00,0,0.00,0,317,7.18,8.40,7.25,0,351.60,0.00,89657.60,255.00,44.93,149.69,0.93,32.64,1.80,3.00,0.14,0.69,0.00,0.00,0.00,0.00
2018-01-05 23:31:41,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,99.97,0.00,324.40,229.00,0.00,0.00,0.00,36.80,12.00,0.00,89.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,73.60,45572020,0,17309744,27.53,35856,15737596,2300564,3.66,1888944,14552232,588,667756,490256,2544,4392,111304,0,0,0.00,0,0.00,0,303,6.60,8.26,7.21,0,1.00,0.00,73.60,73.60,0.00,0.00,0.00,0.00,2.00,3.40,0.16,0.80,0.00,0.00,0.00,0.00
2018-01-05 23:31:46,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.97,0.00,279.60,171.40,0.00,0.00,0.00,120.80,7.20,0.00,18.20,0.00,0.00,0.00,0.00,9.40,0.00,9.40,0.00,241.60,45572060,0,17309704,27.53,35864,15737620,2300564,3.66,1888812,14552244,56,667616,490224,2536,4392,111304,0,0,0.00,0,0.00,0,303,6.07,8.12,7.17,0,9.40,0.00,241.60,25.70,0.00,0.26,0.09,0.08,2.00,3.40,0.16,0.80,0.00,0.00,0.00,0.00
2018-01-05 23:31:51,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,99.97,0.00,281.60,165.60,0.00,0.00,0.00,2.40,9.00,0.00,18.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,4.80,45572092,0,17309672,27.53,35872,15737644,2300564,3.66,1888812,14552248,80,667616,490224,2536,4392,111304,0,0,0.00,0,0.00,0,303,5.59,7.99,7.13,0,0.40,0.00,4.80,12.00,0.00,0.00,0.00,0.00,2.00,3.20,0.15,0.70,0.00,0.00,0.00,0.00
2018-01-05 23:31:56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,281.60,166.00,0.00,0.00,0.00,2.40,7.20,0.00,21.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,4.80,45572312,0,17309452,27.53,35880,15737668,2300564,3.66,1888812,14552248,104,667612,490128,2536,4392,111304,0,0,0.00,0,0.00,0,303,5.14,7.85,7.09,0,0.40,0.00,4.80,12.00,0.00,0.00,0.00,0.00,2.20,3.60,0.16,0.80,0.00,0.00,0.00,0.00
