timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 00:06:54,0.08,0.00,0.13,7.18,0.08,0.00,0.00,0.00,0.00,92.55,0.00,365.00,1044.00,0.00,0.00,0.00,111338.40,631.20,0.00,1471.00,0.00,0.00,0.00,0.00,844.40,0.00,844.40,0.00,216004.80,56521048,0,6360716,10.12,41988,5013432,2507640,3.99,1318260,4463620,3884936,726484,198936,2544,3856,111304,0,0,0.00,0,0.00,0,304,5.07,6.72,7.79,1,844.40,0.00,216004.80,255.81,87.16,81.94,0.72,60.64,3.40,4.60,0.31,0.72,0.00,0.00,0.00,0.00
2018-01-06 00:06:59,0.45,0.00,0.35,12.33,0.10,0.00,0.00,0.00,0.00,86.77,14.20,582.20,1469.00,0.00,0.00,0.00,134401.60,7716.40,0.00,2469.80,0.00,0.00,0.00,0.00,1046.80,0.00,1046.80,0.00,267537.60,56517268,0,6364496,10.12,41996,5013464,2475884,3.94,1322544,4463652,3212728,730768,198816,2624,4356,111304,0,0,0.00,0,0.00,0,307,4.74,6.63,7.75,1,1046.80,0.00,267537.60,255.58,141.32,145.60,0.96,100.00,7.60,8.80,1.51,1.69,0.00,0.00,0.00,0.00
2018-01-06 00:07:04,0.03,0.00,0.20,12.24,0.10,0.00,0.00,0.00,0.00,87.43,0.00,345.40,1221.80,0.00,0.00,0.00,133415.20,7.20,0.00,27.20,0.00,0.00,0.00,0.00,1054.40,0.00,1054.40,0.00,267548.80,56517548,0,6364216,10.12,42004,5013488,2475884,3.94,1322544,4463660,2545792,730772,198620,2568,4356,111304,0,0,0.00,0,0.00,0,307,4.44,6.53,7.72,1,1054.60,0.00,267600.00,253.75,140.96,138.36,0.95,100.00,1.80,3.00,0.14,0.69,0.00,0.00,0.00,0.00
2018-01-06 00:07:09,0.03,0.00,0.18,12.27,0.08,0.00,0.00,0.00,0.00,87.46,0.00,351.60,1222.60,0.00,0.00,0.00,133523.20,9.40,0.00,18.60,0.00,0.00,0.00,0.00,1046.40,0.00,1046.40,0.00,267555.20,56517548,0,6364216,10.12,42012,5013512,2475884,3.94,1322560,4463680,1878284,730772,198620,2568,4356,111304,0,0,0.00,0,0.00,0,307,4.17,6.44,7.68,1,1046.20,0.00,267504.00,255.69,141.32,133.69,0.96,100.00,2.40,3.60,0.17,0.80,0.00,0.00,0.00,0.00
2018-01-06 00:07:14,2.25,0.00,0.76,12.55,0.33,0.00,0.28,0.00,0.00,83.83,5.20,3193.80,6120.80,0.00,0.00,0.00,133764.00,1035.40,0.00,14506.00,0.00,0.00,0.00,0.00,1046.60,0.00,1046.60,0.00,267633.60,56340888,0,6540876,10.40,42020,5189224,2475884,3.94,1323300,4638816,1385452,731476,198880,2608,4356,111304,0,0,0.00,0,0.00,1,315,3.91,6.35,7.64,1,1046.60,0.00,267633.60,255.72,141.32,135.92,0.96,100.00,4036.40,1528.40,35358.52,100.68,0.00,0.00,0.00,0.00
2018-01-06 00:07:19,69.34,0.00,4.72,4.37,0.10,0.00,0.08,0.00,0.00,21.40,73.00,3403.00,5250.80,0.00,0.00,0.00,134320.80,47442.80,0.00,30868.80,0.00,0.00,0.00,0.00,1047.20,0.00,1047.20,0.00,267566.40,54320492,0,8561272,13.61,42036,5210868,13548152,21.55,3397120,4556980,735728,2715664,203616,4544,11020,111304,0,0,0.00,0,0.00,15,584,3.84,6.30,7.62,1,1047.40,0.00,267617.60,255.51,142.32,133.61,0.95,100.00,547.60,209.80,4437.95,24.48,0.00,0.00,0.00,0.00
2018-01-06 00:07:24,33.47,0.00,1.51,10.45,0.10,0.00,0.03,0.00,0.00,54.44,27.80,2138.40,3116.80,0.00,0.00,0.00,107771.20,14795.80,0.00,10940.80,0.00,0.00,0.00,0.00,876.00,0.00,876.00,0.00,223222.40,53417160,0,9464604,15.05,42040,5210992,14325084,22.78,4314656,4557028,198352,3618760,205452,4984,13900,111304,0,0,0.00,0,0.00,0,601,4.01,6.29,7.61,0,875.80,0.00,223171.20,254.82,110.26,131.39,0.98,85.68,37.40,44.00,5.11,16.75,0.00,0.00,0.00,0.00
2018-01-06 00:07:29,13.26,0.00,0.98,0.00,0.08,0.00,0.10,0.00,0.00,85.58,3.20,2296.80,2760.60,0.00,0.00,0.00,23.20,14989.00,0.00,13134.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,46.40,53074516,0,9807248,15.60,42052,5254380,14587716,23.20,4631824,4576368,241540,3912884,205400,5000,14476,111304,0,0,0.00,0,0.00,1,611,3.69,6.19,7.57,0,0.40,0.00,46.40,116.00,0.00,0.00,0.00,0.00,1037.00,656.20,8997.84,52.75,0.00,0.00,0.00,0.00
2018-01-06 00:07:34,4.04,0.00,0.94,0.03,0.58,0.00,0.39,0.00,0.00,94.02,0.00,8208.60,11716.60,0.00,0.00,0.00,172.80,42.20,0.00,36744.20,0.00,0.00,0.00,0.00,16.00,0.00,16.00,0.00,345.60,52896836,0,9984928,15.88,42060,5497036,14587716,23.20,4691788,4689116,483752,3843484,207096,5000,14440,111304,0,0,0.00,0,0.00,1,611,3.48,6.10,7.53,0,16.00,0.00,345.60,21.60,0.05,2.85,0.10,0.16,5544.20,3435.20,48707.60,232.84,0.00,0.00,0.00,0.00
2018-01-06 00:07:39,3.39,0.00,0.70,0.00,0.47,0.03,0.34,0.00,0.00,95.08,0.00,7158.20,10179.60,0.00,0.00,0.00,4.80,42.60,0.00,26953.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,52691788,0,10189976,16.20,42068,5707128,14587716,23.20,4793316,4787044,693572,3832284,212712,5000,14432,111304,0,0,0.00,0,0.00,0,611,3.20,6.00,7.49,0,0.40,0.00,9.60,24.00,0.00,0.00,0.00,0.00,4823.20,2953.20,42349.07,200.89,0.00,0.00,0.00,0.00
