timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 02:52:02,3.35,0.00,0.13,0.00,0.03,0.00,0.00,0.00,0.00,96.50,0.80,381.20,359.00,0.00,0.00,0.00,39.20,1362.00,0.00,1777.20,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,78.40,61234412,0,1647352,2.62,62268,492420,2378104,3.78,928804,228876,336,607108,108196,2352,3548,111304,0,0,0.00,0,0.00,0,280,1.41,7.63,8.94,0,1.00,0.00,78.40,78.40,0.00,0.00,0.00,0.00,3.60,5.00,0.31,0.68,0.00,0.00,0.00,0.00
2018-01-06 02:52:07,0.03,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,99.95,0.00,280.80,163.20,0.00,0.00,0.00,4.80,13.40,0.00,18.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,61234452,0,1647312,2.62,62276,492440,2378104,3.78,928700,228876,356,607096,108188,2352,3548,111304,0,0,0.00,0,0.00,2,280,1.30,7.50,8.89,0,0.40,0.00,9.60,24.00,0.00,0.00,0.00,0.00,1.40,2.80,0.12,0.53,0.00,0.00,0.00,0.00
2018-01-06 02:52:12,18.48,0.00,1.31,0.00,0.18,0.00,0.23,0.00,0.00,79.80,24.60,3008.80,4347.80,0.00,0.00,0.00,0.00,13274.40,0.00,14586.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60702532,0,2179232,3.47,62288,621280,22144072,35.22,1328252,355372,129184,1008504,109240,2952,5112,111304,0,0,0.00,0,0.00,9,361,1.19,7.38,8.84,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2955.40,739.00,25874.35,48.58,0.00,0.00,0.00,0.00
2018-01-06 02:52:17,71.67,0.00,3.04,0.00,0.13,0.00,0.03,0.00,0.00,25.14,69.80,3967.00,4657.80,0.00,0.00,0.00,53.60,41279.40,0.00,18521.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,107.20,59028740,0,3853024,6.13,62324,621612,55411404,88.12,3006968,348032,129600,2670864,112020,4600,10532,111304,0,0,0.00,0,0.00,8,605,1.74,7.39,8.84,0,2.00,0.00,107.20,53.60,0.00,0.80,0.40,0.08,32.20,40.80,9.44,8.88,0.00,0.00,0.00,0.00
2018-01-06 02:52:22,59.98,0.00,4.58,0.00,0.08,0.00,0.10,0.00,0.00,35.26,27.00,5652.20,4918.60,0.00,0.00,0.00,4023.20,16501.60,0.00,14788.80,0.00,0.00,0.00,0.00,32.80,0.00,32.80,0.00,8046.40,54942680,0,7939084,12.63,62332,663564,55750976,88.66,6966552,366520,151944,6703156,113556,5608,17696,111304,0,0,0.00,0,0.00,24,685,1.68,7.28,8.80,0,32.80,0.00,8046.40,245.32,0.17,5.10,0.44,1.44,501.80,258.00,3999.25,30.15,0.00,0.00,0.00,0.00
2018-01-06 02:52:27,93.75,0.00,6.08,0.00,0.03,0.00,0.03,0.00,0.00,0.12,0.00,4383.60,3206.60,0.00,0.00,0.00,86.40,1186.80,0.00,28768.40,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,172.80,45214872,0,17666892,28.10,62340,663588,55750976,88.66,16661360,366444,152036,16416592,113548,5552,38160,111304,0,0,0.00,0,0.00,9,680,2.19,7.30,8.79,0,1.60,0.00,172.80,108.00,0.00,1.50,0.50,0.08,4.40,5.80,0.28,1.01,0.00,0.00,0.00,0.00
2018-01-06 02:52:32,97.30,0.00,2.67,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,3371.60,3164.60,0.00,0.00,0.00,172.00,398.40,0.00,27550.20,0.00,0.00,0.00,0.00,17.20,0.00,17.20,0.00,344.00,42183576,0,20698188,32.92,62348,663616,55750976,88.66,19721144,366456,151252,19433360,113540,5480,44220,111304,0,0,0.00,0,0.00,16,671,2.65,7.31,8.79,0,17.20,0.00,344.00,20.00,0.05,2.88,0.14,0.24,2.60,5.20,0.39,1.98,0.00,0.00,0.00,0.00
2018-01-06 02:52:37,98.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3357.40,3077.00,0.00,0.00,0.00,7.20,269.80,0.00,16445.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,14.40,40205384,0,22676380,36.06,62352,663644,55750976,88.66,21722472,366464,151308,21416204,113540,5464,47952,111304,0,0,0.00,0,0.00,29,669,3.80,7.47,8.83,0,0.40,0.00,14.40,36.00,0.00,0.00,0.00,0.00,2.00,4.00,0.31,1.71,0.00,0.00,0.00,0.00
2018-01-06 02:52:42,97.92,0.00,2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3524.20,3272.60,0.00,0.00,0.00,25767.20,292.20,0.00,16439.60,0.00,0.00,0.00,0.00,208.60,0.00,208.60,0.00,51534.40,37783584,0,25098180,39.91,62360,663672,55750976,88.66,24108752,366484,22548,23833176,113492,5464,52712,111304,0,0,0.00,0,0.00,10,669,4.62,7.58,8.86,0,208.60,0.00,51534.40,247.05,10.09,48.36,0.36,7.44,2.40,4.80,0.43,2.31,0.00,0.00,0.00,0.00
2018-01-06 02:52:47,98.15,0.00,1.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3354.20,3086.80,0.00,0.00,0.00,81.60,254.60,0.00,14491.00,0.00,0.00,0.00,0.00,9.80,0.00,9.80,0.00,163.20,35698376,0,27183388,43.23,62368,663700,55750976,88.66,26148624,366504,22376,25901708,113476,5456,56584,111304,0,0,0.00,0,0.00,19,668,6.25,7.87,8.95,0,9.80,0.00,163.20,16.65,0.00,0.41,0.08,0.08,2.00,4.00,0.35,1.91,0.00,0.00,0.00,0.00
