timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-04 07:14:26,2.03,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,97.92,0.80,379.20,314.00,0.00,0.00,0.00,41.60,1139.40,0.00,3643.40,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,83.20,14316952,0,1084000,7.04,116016,419864,1000400,6.50,686276,177052,428,327556,104276,2368,3012,31276,0,0,0.00,0,0.00,1,282,0.18,0.21,1.12,0,1.00,0.00,83.20,83.20,0.00,0.00,0.00,0.00,4.20,5.40,0.40,0.70,0.00,0.00,0.00,0.00
2018-01-04 07:14:31,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.97,0.00,289.60,184.80,0.00,0.00,0.00,52.00,11.60,0.00,121.60,0.00,0.00,0.00,0.00,10.20,0.00,10.20,0.00,104.00,14316632,0,1084320,7.04,116016,419888,1000400,6.50,684064,177052,184,327316,104276,2368,3012,31276,0,0,0.00,0,0.00,1,282,0.16,0.21,1.11,0,10.20,0.00,104.00,10.20,0.01,0.78,0.08,0.08,1.40,2.80,0.14,0.53,0.00,0.00,0.00,0.00
2018-01-04 07:14:36,29.85,0.00,1.74,0.00,0.03,0.00,0.08,0.00,0.00,68.30,28.20,3766.60,4897.60,0.00,0.00,0.00,2.40,24010.00,0.00,26689.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,4.80,13499364,0,1901588,12.35,116040,548752,4674056,30.35,1371004,298884,129036,1015416,104808,3008,5284,31276,0,0,0.00,0,0.00,6,381,0.63,0.30,1.14,0,0.40,0.00,4.80,12.00,0.00,2.00,2.00,0.08,2964.00,1139.00,25915.91,75.69,0.00,0.00,0.00,2.12
2018-01-04 07:14:41,47.64,0.00,2.25,0.00,0.03,0.00,0.00,0.00,0.00,50.09,63.40,4334.00,4841.60,0.00,0.00,0.00,54.40,37415.40,0.00,20512.40,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,108.80,12150292,0,3250660,21.11,116076,549148,10760824,69.87,2716868,296240,129604,2354036,107808,4728,10376,31276,0,0,0.00,0,0.00,5,606,0.58,0.30,1.13,0,1.40,0.00,108.80,77.71,0.00,1.71,0.57,0.08,30.40,38.60,9.82,10.01,0.00,0.00,0.00,0.00
2018-01-04 07:14:46,64.33,0.00,2.44,0.00,0.00,0.00,0.05,0.00,0.00,33.17,23.60,6152.20,4356.60,0.00,0.00,0.00,4016.80,13557.00,0.00,28022.80,0.00,0.00,0.00,0.00,33.40,0.00,33.40,0.00,8033.60,10106816,0,5294136,34.38,116084,591004,11109348,72.13,4672816,314476,151824,4350008,109180,5536,14224,31276,0,0,0.00,0,0.00,9,678,1.50,0.49,1.19,0,33.40,0.00,8033.60,240.53,0.16,4.67,0.38,1.28,785.20,413.80,6549.17,36.21,0.00,0.00,0.00,0.54
2018-01-04 07:14:51,98.10,0.00,1.80,0.00,0.00,0.00,0.03,0.00,0.00,0.08,0.00,7273.40,3111.40,0.00,0.00,0.00,72.00,355.40,0.00,11890.80,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,144.00,7602932,0,7798020,50.63,116088,591032,11109348,72.13,7188008,314476,151992,6848628,109224,5480,19440,31276,0,0,0.00,0,0.00,14,669,2.98,0.82,1.29,0,1.20,0.00,144.00,120.00,0.00,0.00,0.00,0.00,4.80,6.60,0.41,1.33,0.00,0.00,0.00,0.00
2018-01-04 07:14:56,98.13,0.00,1.85,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,14569.40,2978.40,0.00,0.00,0.00,60.00,505.40,0.00,8975.60,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,120.00,5171452,0,10229500,66.42,116096,591060,11257492,73.10,9627416,314496,151780,9273668,109192,5424,23936,31276,0,0,0.00,0,0.00,18,664,3.78,1.02,1.36,0,1.60,0.00,120.00,75.00,0.00,0.00,0.00,0.00,2.80,4.40,0.33,1.37,0.00,0.00,0.00,0.00
2018-01-04 07:15:01,99.20,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,6100.20,3105.20,0.00,0.00,0.00,11.20,473.00,0.00,1010.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,22.40,4847048,0,10553904,68.53,116104,591084,11433852,74.24,9986864,314492,151820,9602276,109184,5408,25192,31276,0,0,0.00,0,0.00,11,662,4.12,1.14,1.39,0,0.40,0.00,22.40,56.00,0.00,0.00,0.00,0.00,2.60,5.20,0.53,2.69,0.00,0.00,0.00,0.00
2018-01-04 07:15:06,95.20,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,4.38,0.00,3706.20,3299.20,0.00,0.00,0.00,25740.80,32.20,0.00,53.00,0.00,0.00,0.00,0.00,203.80,0.00,203.80,0.00,51481.60,4846192,0,10554760,68.53,116112,591116,11433852,74.24,9986688,314492,23256,9602332,109388,5408,25192,31276,0,0,0.00,0,0.00,3,662,4.35,1.23,1.42,0,203.80,0.00,51481.60,252.61,8.13,39.90,0.29,6.00,2.80,4.60,0.34,4.21,0.00,0.00,0.00,0.00
2018-01-04 07:15:11,34.63,0.00,0.23,0.00,0.05,0.00,0.00,0.00,0.00,65.09,0.00,3844.80,3710.60,0.00,0.00,0.00,217.60,837.00,0.00,3839.60,0.00,0.00,0.00,0.00,23.60,0.00,23.60,0.00,435.20,4751812,0,10649140,69.15,116120,591140,11502900,74.69,10079816,314500,22288,9695624,109664,5400,25240,31276,0,0,0.00,0,0.00,9,661,5.36,1.49,1.51,0,23.60,0.00,435.20,18.44,0.12,5.05,0.14,0.32,319.40,93.80,2556.92,16.30,0.00,0.00,0.00,0.21
