timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-04 16:16:41,4.50,0.00,0.13,0.08,0.03,0.00,0.00,0.00,0.00,95.27,1.00,472.00,451.40,0.00,0.00,220.80,0.00,1084.40,0.00,3366.20,0.00,0.00,0.00,0.00,15.60,15.60,0.00,441.60,0.00,14778764,0,622188,4.04,17256,103100,988204,6.42,421476,32204,68,335532,50508,2352,3124,31276,0,0,0.00,0,0.00,1,280,6.32,10.40,10.32,0,15.60,441.60,0.00,28.31,0.01,0.56,0.46,0.72,3.40,4.60,0.34,0.62,0.00,0.00,0.00,0.00
2018-01-04 16:16:46,3.28,0.00,0.13,0.05,0.00,0.00,0.00,0.00,0.00,96.54,1.80,607.20,809.80,0.00,0.00,61.60,21.60,1172.00,0.00,2871.20,0.00,0.00,0.00,0.00,10.20,9.80,0.40,123.20,43.20,14706916,0,694036,4.51,17264,103416,1130584,7.34,494408,32464,204,408212,50784,2400,3168,31276,0,0,0.00,0,0.00,1,283,5.81,10.23,10.26,0,10.20,123.20,43.20,16.31,0.00,0.47,0.39,0.40,3.00,4.40,0.78,0.70,0.00,0.00,0.00,0.00
2018-01-04 16:16:51,43.89,0.00,2.70,0.15,0.08,0.00,0.10,0.00,0.00,53.09,55.00,3056.40,4637.20,0.00,0.00,366.40,78.40,27627.20,1.60,25659.40,0.00,0.00,0.00,0.00,41.20,32.40,8.80,732.80,156.80,13606664,0,1794288,11.65,17444,233972,8302816,53.91,1469412,152496,128864,1370556,51960,3448,6808,31276,0,0,0.00,0,0.00,5,487,5.35,10.06,10.21,0,41.20,732.80,156.80,21.59,0.04,0.97,0.39,1.60,2972.80,741.00,25919.84,52.20,0.00,0.00,0.00,2.12
2018-01-04 16:16:56,71.93,0.00,3.43,0.00,0.05,0.00,0.05,0.00,0.00,24.53,41.40,4567.40,4692.40,0.00,0.00,26.40,3031.20,30012.60,0.20,23305.20,0.00,0.00,0.00,0.00,26.80,1.80,25.00,52.80,6062.40,11748640,0,3652312,23.71,17468,265908,10922028,70.92,3213236,166172,146068,3183992,55996,5104,11644,31276,0,0,0.00,0,0.00,36,624,5.32,9.97,10.18,0,26.80,52.80,6062.40,228.18,0.13,4.96,0.33,0.88,377.00,216.40,3005.99,22.17,0.00,0.00,0.00,0.25
2018-01-04 16:17:01,95.62,0.00,3.28,0.00,0.03,0.00,0.00,0.00,0.00,1.08,18.00,10202.60,5641.80,0.00,0.00,0.00,1059.20,10382.40,0.00,49738.00,0.00,0.00,0.00,0.00,8.80,0.00,8.80,0.00,2118.40,9425876,0,5975076,38.80,17476,276368,11088520,72.00,5605532,170980,151744,5497232,56524,5488,16924,31276,0,0,0.00,0,0.00,11,672,5.61,9.96,10.17,0,8.80,0.00,2118.40,240.73,0.04,4.45,0.36,0.32,136.20,104.80,1004.40,11.92,0.00,0.00,0.00,0.08
2018-01-04 16:17:06,95.67,0.00,3.63,0.00,0.03,0.00,0.00,0.00,0.00,0.68,0.60,11746.20,14170.40,0.00,0.00,1.60,24.80,739.00,0.00,63481.40,0.00,0.00,0.00,0.00,0.80,0.40,0.40,3.20,49.60,7523264,0,7877688,51.15,17488,276396,11088520,72.00,7500428,170980,151824,7392012,56476,5432,20648,31276,0,0,0.00,0,0.00,33,665,7.25,10.22,10.26,0,0.80,3.20,49.60,66.00,0.00,0.00,0.00,0.00,3.80,6.20,0.45,1.85,0.00,0.00,0.00,0.00
2018-01-04 16:17:11,97.05,0.00,2.70,0.05,0.00,0.00,0.00,0.00,0.00,0.20,0.00,11497.00,11962.00,0.00,0.00,0.00,14.40,254.60,0.00,37474.60,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,28.80,5998980,0,9401972,61.05,17496,276424,11157168,72.44,9023856,170968,151880,8917376,56484,5408,23896,31276,0,0,0.00,0,0.00,17,662,7.39,10.20,10.25,0,0.60,0.00,28.80,48.00,0.00,0.00,0.00,0.00,1.60,3.00,0.20,1.04,0.00,0.00,0.00,0.00
2018-01-04 16:17:16,99.07,0.00,0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9661.40,5103.80,0.00,0.00,0.00,5.60,88.40,0.00,7342.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,11.20,5682708,0,9718244,63.10,17504,276448,11157168,72.44,9353768,171004,151904,9233028,56484,5392,24484,31276,0,0,0.00,0,0.00,8,660,8.16,10.31,10.29,0,0.40,0.00,11.20,28.00,0.00,0.00,0.00,0.00,2.60,5.20,0.53,2.70,0.00,0.00,0.00,0.00
2018-01-04 16:17:21,99.48,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9691.40,3034.60,0.00,0.00,0.00,7.20,38.00,0.00,25.20,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,14.40,5680420,0,9720532,63.12,17512,276476,11157168,72.44,9356064,171016,151936,9235292,56492,5392,24488,31276,0,0,0.00,0,0.00,25,660,8.30,10.31,10.29,0,0.80,0.00,14.40,18.00,0.00,0.00,0.00,0.00,1.80,3.60,0.27,1.45,0.00,0.00,0.00,0.00
2018-01-04 16:17:26,99.35,0.00,0.62,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,7886.60,3254.60,0.00,0.00,0.00,25971.20,36.20,0.00,543.80,0.00,0.00,0.00,0.00,221.40,0.00,221.40,0.00,51942.40,5674896,0,9726056,63.15,17524,276504,11157168,72.44,9360224,171028,22392,9239384,56516,5384,24492,31276,0,0,0.00,0,0.00,8,659,9.08,10.44,10.33,0,221.40,0.00,51942.40,234.61,10.97,49.55,0.36,8.08,2.40,4.80,0.51,2.61,0.00,0.00,0.00,0.00
2018-01-04 16:17:31,98.95,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.00,7986.40,3349.00,0.00,0.00,0.00,3324.80,31.00,0.00,561.60,0.00,0.00,0.00,0.00,34.40,0.00,34.40,0.00,6649.60,5662900,0,9738052,63.23,17524,276532,11157168,72.44,9369460,171040,5840,9250700,56520,5384,24516,31276,0,0,0.00,0,0.00,17,659,8.99,10.40,10.31,0,34.40,0.00,6649.60,193.30,0.62,17.95,0.26,0.88,2.40,4.00,0.31,1.47,0.00,0.00,0.00,0.00
2018-01-04 16:17:36,99.35,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,7197.00,3112.40,0.00,0.00,4.80,1108.80,28.40,0.20,63.20,0.00,0.00,0.00,0.00,9.80,0.20,9.60,9.60,2217.60,5662844,0,9738108,63.23,17532,276584,11157168,72.44,9371044,171052,428,9250180,56616,5344,24516,31276,0,0,0.00,0,0.00,9,654,9.72,10.52,10.36,0,9.80,9.60,2217.60,227.27,0.10,10.29,0.49,0.48,2.60,5.20,0.53,2.71,0.00,0.00,0.00,0.00
