timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-04 05:32:53,1.10,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,98.82,0.80,354.20,268.80,0.00,0.00,0.00,34.40,904.60,0.00,1280.80,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,68.80,14468872,0,932080,6.05,28108,325188,1133284,7.36,558708,207944,388,413444,49336,2344,3200,31276,0,0,0.00,0,0.00,0,279,0.73,4.04,3.13,0,1.00,0.00,68.80,68.80,0.00,0.00,0.00,0.00,3.80,5.20,0.37,0.69,0.00,0.00,0.00,0.00
2018-01-04 05:32:58,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,310.60,200.80,0.00,0.00,0.00,0.00,13.40,0.00,22.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14468996,0,931956,6.05,28108,325212,1133284,7.36,558748,207928,412,413448,49332,2344,3200,31276,0,0,0.00,0,0.00,0,279,0.67,3.97,3.11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,2.80,0.14,0.53,0.00,0.00,0.00,0.00
2018-01-04 05:33:03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.97,0.00,317.60,213.60,0.00,0.00,0.00,49.60,7.60,0.00,22.60,0.00,0.00,0.00,0.00,8.80,0.00,8.80,0.00,99.20,14469036,0,931916,6.05,28116,325236,1133284,7.36,558776,207936,196,413448,49292,2344,3200,31276,0,0,0.00,0,0.00,0,279,0.62,3.91,3.09,0,8.80,0.00,99.20,11.27,0.00,0.09,0.09,0.08,1.40,2.80,0.14,0.53,0.00,0.00,0.00,0.00
2018-01-04 05:33:08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,326.60,219.20,0.00,0.00,0.00,4.00,9.60,0.00,311.40,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,8.00,14468472,0,932480,6.05,28124,325260,1133284,7.36,559152,207948,212,413824,49292,2344,3200,31276,0,0,0.00,0,0.00,0,279,0.57,3.84,3.08,0,0.80,0.00,8.00,10.00,0.00,1.00,1.00,0.08,1.40,2.60,0.13,0.43,0.00,0.00,0.00,0.00
2018-01-04 05:33:13,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.97,0.00,314.20,207.80,0.00,0.00,0.00,11.20,8.20,0.00,20.80,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,22.40,14468472,0,932480,6.05,28132,325284,1133284,7.36,559172,207996,204,413824,49288,2344,3200,31276,0,0,0.00,0,0.00,0,279,0.52,3.78,3.06,0,1.20,0.00,22.40,18.67,0.00,0.67,0.67,0.08,1.40,2.80,0.14,0.53,0.00,0.00,0.00,0.00
2018-01-04 05:33:18,0.03,0.00,0.03,0.03,0.03,0.00,0.00,0.00,0.00,99.90,0.00,324.20,210.00,0.00,0.00,0.00,9.60,9.20,0.00,22.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,19.20,14468472,0,932480,6.05,28140,325308,1133284,7.36,559184,208008,264,413824,49288,2344,3200,31276,0,0,0.00,0,0.00,0,279,0.48,3.72,3.04,0,0.40,0.00,19.20,48.00,0.00,0.00,0.00,0.00,1.40,2.80,0.14,0.53,0.00,0.00,0.00,0.00
2018-01-04 05:33:23,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,99.97,0.00,310.20,208.20,0.00,0.00,0.00,50.40,8.00,0.00,21.60,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,100.80,14468480,0,932472,6.05,28148,325332,1133284,7.36,559196,208036,60,413824,49280,2344,3200,31276,0,0,0.00,0,0.00,0,279,0.44,3.66,3.03,0,1.60,0.00,100.80,63.00,0.04,22.00,11.00,1.76,1.60,2.40,0.15,0.42,0.00,0.00,0.00,0.00
2018-01-04 05:33:28,2.88,0.00,0.08,0.00,0.03,0.00,0.00,0.00,0.00,97.02,2.20,700.80,1011.00,0.00,0.00,0.00,8.80,1285.20,0.00,1937.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,17.60,14436984,0,963968,6.26,28156,326036,1133284,7.36,586048,208068,796,444968,49252,2344,3200,31276,0,0,0.00,0,0.00,1,284,0.41,3.60,3.01,0,0.40,0.00,17.60,44.00,0.00,0.00,0.00,0.00,37.40,17.20,277.55,1.68,0.00,0.00,0.00,0.02
2018-01-04 05:33:33,48.08,0.00,2.27,0.28,0.03,0.00,0.10,0.00,0.00,49.24,60.20,4836.80,6498.40,0.00,0.00,296.00,17.60,33819.80,0.20,23249.60,0.00,0.00,0.00,0.00,21.80,21.40,0.40,592.00,35.20,13096660,0,2304292,14.96,28180,455960,8311980,53.97,1793740,327508,129292,1645616,53492,4048,7712,31276,0,0,0.00,0,0.00,6,495,0.94,3.65,3.03,0,21.80,592.00,35.20,28.77,0.02,1.06,0.92,2.00,2938.40,1159.40,25643.07,79.94,0.00,0.00,0.00,2.10
2018-01-04 05:33:38,90.46,0.00,3.41,0.75,0.00,0.00,0.03,0.00,0.00,5.35,41.80,9608.80,4132.40,0.00,0.00,7.20,3027.20,24485.40,0.00,44884.60,0.00,0.00,0.00,0.00,25.40,0.40,25.00,14.40,6054.40,10402196,0,4998756,32.46,28212,487516,10982448,71.31,4439636,340752,146164,4297464,56872,5192,14072,31276,0,0,0.00,0,0.00,14,634,2.22,3.87,3.11,0,25.40,14.40,6054.40,238.93,3.12,122.96,3.65,9.28,404.40,227.60,3245.14,23.13,0.00,0.00,0.00,0.27
