timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-04 07:37:24,0.50,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,99.30,0.20,278.00,169.80,0.00,0.00,0.00,0.00,588.00,0.00,4170.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2648940,0,1205904,31.28,17848,545828,960564,24.92,675780,447352,576,559464,40520,2032,3368,10752,0,0,0.00,0,0.00,0,240,1.43,1.71,1.92,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.40,6.20,0.52,0.84,0.00,0.00,0.00,0.00
2018-01-04 07:37:29,4.62,0.00,1.71,0.00,0.00,0.00,0.00,0.00,0.00,93.67,28.80,519.00,380.60,0.00,0.00,0.00,26.40,15463.80,0.00,7550.00,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,52.80,2691540,0,1163304,30.18,17864,494024,978284,25.38,683956,395952,664,568052,40544,2080,4380,10752,0,0,0.00,0,0.00,1,246,1.32,1.68,1.91,0,0.60,0.00,52.80,88.00,0.00,1.33,1.33,0.08,14.40,15.80,3.14,2.74,0.00,0.00,0.00,0.00
2018-01-04 07:37:34,1.02,0.00,0.81,0.00,0.10,0.00,0.61,0.00,0.00,97.46,1.40,2644.60,2599.40,0.00,0.00,0.00,25.60,35.80,0.00,7708.20,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,51.20,2610712,0,1244132,32.27,17876,571708,978284,25.38,690720,469424,78368,570572,41364,2088,4380,10752,0,0,0.00,0,0.00,1,247,1.21,1.66,1.90,0,0.60,0.00,51.20,85.33,0.00,0.00,0.00,0.00,1793.40,1044.00,15652.76,72.08,0.00,0.00,0.00,1.28
2018-01-04 07:37:39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.40,280.00,199.20,0.00,0.00,0.00,56.00,16.00,0.00,109.00,0.00,0.00,0.00,0.00,7.60,0.00,7.60,0.00,112.00,2610456,0,1244388,32.28,17884,571992,978284,25.38,690748,469700,78420,570572,41380,2088,4380,10752,0,0,0.00,0,0.00,1,246,1.12,1.63,1.89,0,7.60,0.00,112.00,14.74,0.00,0.00,0.00,0.00,17.20,18.20,52.18,56.22,0.00,0.00,0.00,0.00
2018-01-04 07:37:44,79.74,0.00,3.01,0.00,0.00,0.00,0.00,0.00,0.00,17.25,17.60,1190.60,853.20,0.00,0.00,0.00,107.20,11386.80,0.00,4201.60,0.00,0.00,0.00,0.00,3.20,0.00,3.20,0.00,214.40,2381016,0,1473828,38.23,17908,572520,1345576,34.91,917604,470084,78868,797260,42032,2432,5548,10752,0,0,0.00,0,0.00,4,291,1.35,1.67,1.90,0,3.20,0.00,214.40,67.00,0.02,5.25,5.00,1.60,18.00,20.60,22.94,2.68,0.00,0.00,0.00,0.00
2018-01-04 07:37:49,97.20,0.00,2.50,0.00,0.00,0.00,0.10,0.00,0.00,0.20,4.40,1973.80,754.80,0.00,0.00,0.00,16.80,1463.80,0.00,729.40,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,33.60,2059788,0,1795056,46.57,17920,572780,1629908,42.28,1236484,470332,79144,1116116,42156,2552,6248,10752,0,0,0.00,0,0.00,2,305,1.40,1.67,1.90,0,0.60,0.00,33.60,56.00,0.00,2.67,1.33,0.08,9.00,12.40,2.34,1.89,0.00,0.00,0.00,0.00
2018-01-04 07:37:54,97.70,0.00,2.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,1933.20,678.20,0.00,0.00,0.00,44.00,56.60,0.00,76.80,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,88.00,2060116,0,1794728,46.56,17928,572804,1629908,42.28,1236728,470344,79000,1116368,42172,2520,6248,10752,0,0,0.00,0,0.00,2,301,1.61,1.71,1.91,0,1.20,0.00,88.00,73.33,0.07,55.33,36.67,4.40,4.80,7.00,0.38,1.50,0.00,0.00,0.00,0.00
2018-01-04 07:37:59,98.80,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,410.60,640.20,0.00,0.00,0.00,4.80,24.20,0.00,45.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,2000796,0,1854048,48.10,17936,630732,1629908,42.28,1294692,470392,136932,1116480,43580,2504,6248,10752,0,0,0.00,0,0.00,2,299,1.64,1.72,1.91,0,0.40,0.00,9.60,24.00,0.00,0.00,0.00,0.00,5.20,7.40,0.42,1.68,0.00,0.00,0.00,0.00
2018-01-04 07:38:04,98.30,0.00,1.30,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,1378.60,1088.00,0.00,0.00,0.00,15542.40,74.00,0.00,68.00,0.00,0.00,0.00,0.00,121.80,0.00,121.80,0.00,31084.80,1976832,0,1878012,48.72,17948,652896,1629908,42.28,1317980,470404,81468,1117556,44404,2504,6248,10752,0,0,0.00,0,0.00,2,299,1.67,1.72,1.91,0,121.80,0.00,31084.80,255.21,5.22,42.88,0.45,5.52,5.20,7.80,0.44,2.11,0.00,0.00,0.00,0.00
2018-01-04 07:38:09,99.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,353.00,648.40,0.00,0.00,0.00,111.20,9.60,0.00,45.60,0.00,0.00,0.00,0.00,9.80,0.00,9.80,0.00,222.40,1936852,0,1917992,49.76,17956,692228,1629908,42.28,1356948,470432,120308,1117428,45348,2488,6248,10752,0,0,0.00,0,0.00,3,297,1.69,1.73,1.91,0,9.80,0.00,222.40,22.69,0.01,1.22,0.08,0.08,4.80,6.60,0.38,1.47,0.00,0.00,0.00,0.00
2018-01-04 07:38:14,97.80,0.00,2.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,1.60,609.80,721.60,0.00,0.00,0.00,136.00,80.00,0.00,635.20,0.00,0.00,0.00,0.00,7.80,0.00,7.80,0.00,272.00,1835676,0,2019168,52.38,17964,785204,1629908,42.28,1455880,470472,212816,1123228,47716,2528,6264,10752,0,0,0.00,0,0.00,2,302,1.72,1.73,1.91,0,7.80,0.00,272.00,34.87,0.05,6.15,2.46,1.92,5.00,7.00,0.40,1.70,0.00,0.00,0.00,0.00
2018-01-04 07:38:19,97.50,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,666.40,831.40,0.00,0.00,0.00,13198.40,16.20,0.00,139.60,0.00,0.00,0.00,0.00,105.00,0.00,105.00,0.00,26396.80,1742604,0,2112240,54.79,17972,865760,1629908,42.28,1546688,470508,227480,1133516,49792,2528,6284,10752,0,0,0.00,0,0.00,3,302,1.74,1.73,1.91,0,105.00,0.00,26396.80,251.40,3.87,36.82,0.30,3.20,5.20,7.40,0.42,1.81,0.00,0.00,0.00,0.00
2018-01-04 07:38:24,75.45,0.00,3.02,3.82,0.00,0.00,0.00,0.00,0.00,17.71,13.20,1053.60,1127.20,0.00,0.00,1.60,32304.00,7356.20,0.00,37985.00,0.00,0.00,0.00,0.00,255.80,0.40,255.40,3.20,64608.00,2276212,0,1578632,40.95,17992,733976,1298248,33.68,1018316,470292,408,736640,46164,2336,5264,10752,0,0,0.00,0,0.00,3,279,1.84,1.76,1.92,0,255.80,3.20,64608.00,252.58,42.76,167.16,1.29,32.88,16.00,17.80,2.66,2.82,0.00,0.00,0.00,0.00
2018-01-04 07:38:29,96.70,0.00,2.90,0.00,0.00,0.00,0.20,0.00,0.00,0.20,7.40,1457.00,1228.40,0.00,0.00,0.00,15.20,5366.40,0.00,7130.80,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,30.40,1967672,0,1887172,48.96,18004,729840,1562412,40.53,1319028,476152,716,1047344,46076,2504,6012,10752,0,0,0.00,0,0.00,5,305,1.93,1.78,1.92,0,0.60,0.00,30.40,50.67,0.00,0.00,0.00,0.00,863.40,461.40,7108.52,1039.86,0.00,0.00,0.00,0.58
2018-01-04 07:38:34,65.19,0.00,0.70,0.00,0.10,0.00,0.20,0.00,0.00,33.80,0.00,1542.40,1409.80,0.00,0.00,0.00,0.00,31.00,0.00,254.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1969268,0,1885576,48.91,18004,729872,1562412,40.53,1317776,476192,764,1046132,46112,2552,6124,10752,0,0,0.00,0,0.00,2,305,1.86,1.76,1.92,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.40,9.60,0.63,1.94,0.00,0.00,0.00,0.00
2018-01-04 07:38:39,55.84,0.00,1.11,0.00,0.00,0.00,0.20,0.00,0.00,42.86,0.00,1038.60,1021.00,0.00,0.00,0.00,8.00,64.80,0.00,58.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,16.00,1928064,0,1926780,49.98,18012,769916,1562412,40.53,1358532,476228,40808,1046836,47080,2544,6124,10752,0,0,0.00,0,0.00,2,304,1.79,1.75,1.91,0,0.40,0.00,16.00,40.00,0.00,0.00,0.00,0.00,6.00,9.60,0.63,2.48,0.00,0.00,0.00,0.00
2018-01-04 07:38:44,54.07,0.00,1.91,0.00,0.00,0.00,0.00,0.00,0.00,44.02,0.80,595.40,635.80,0.00,0.00,0.00,8.00,42.60,0.00,1107.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,16.00,1842588,0,2012256,52.20,18020,852872,1562412,40.53,1441912,476276,123764,1047240,49016,2552,6132,10752,0,0,0.00,0,0.00,2,305,1.73,1.74,1.91,0,0.40,0.00,16.00,40.00,0.00,0.00,0.00,0.00,64.60,45.80,509.24,4.52,0.00,0.00,0.00,0.04
2018-01-04 07:38:49,58.22,0.00,2.83,0.00,0.00,0.00,0.10,0.00,0.00,38.85,7.80,1176.60,1206.60,0.00,0.00,0.00,2033.60,5505.20,0.00,21455.40,0.00,0.00,0.00,0.00,17.40,0.00,17.40,0.00,4067.20,2054384,0,1800460,46.71,18036,803532,1428144,37.05,1218104,489328,71312,885860,48056,2464,5708,10752,0,0,0.00,0,0.00,4,297,1.75,1.74,1.91,0,17.40,0.00,4067.20,233.75,0.07,4.18,0.37,0.64,291.00,470.00,525.20,3559.55,0.00,0.00,0.00,0.29
2018-01-04 07:38:54,24.92,0.00,1.11,0.00,0.10,0.00,0.00,0.00,0.00,73.86,3.20,1042.20,918.00,0.00,0.00,0.00,597.60,2248.60,0.00,6296.60,0.00,0.00,0.00,0.00,9.40,0.00,9.40,0.00,1195.20,1960112,0,1894732,49.15,18048,803688,1508384,39.13,1303792,497024,68684,979080,48012,2584,5996,10752,0,0,0.00,0,0.00,0,309,1.61,1.71,1.90,0,9.40,0.00,1195.20,127.15,0.02,2.13,0.17,0.16,940.00,469.80,8128.26,32.60,0.00,0.00,0.00,0.67
2018-01-04 07:38:59,1.61,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,98.29,0.00,596.60,414.00,0.00,0.00,0.00,89.60,22.40,0.00,299.00,0.00,0.00,0.00,0.00,7.20,0.00,7.20,0.00,179.20,1960636,0,1894208,49.14,18060,803712,1508384,39.13,1303384,497048,68396,978660,48028,2584,5996,10752,0,0,0.00,0,0.00,1,309,1.48,1.68,1.89,0,7.20,0.00,179.20,24.89,0.02,2.44,0.44,0.32,64.40,51.20,507.84,5.24,0.00,0.00,0.00,0.04
2018-01-04 07:39:04,2.15,0.00,0.31,0.00,0.00,0.00,0.10,0.00,0.00,97.45,0.00,1972.60,1605.00,0.00,0.00,0.00,1025.60,22.60,0.00,5717.40,0.00,0.00,0.00,0.00,8.60,0.00,8.60,0.00,2051.20,1938656,0,1916188,49.71,18068,797148,1508384,39.13,1316952,505584,63416,1007320,47864,2584,6052,10752,0,0,0.00,0,0.00,0,309,1.36,1.66,1.88,0,8.60,0.00,2051.20,238.51,0.04,4.56,0.37,0.32,1263.60,1106.60,9658.53,3099.28,0.00,0.00,0.00,0.79
2018-01-04 07:39:09,2.33,0.00,0.51,0.10,0.10,0.00,0.30,0.00,0.00,96.65,0.40,1843.40,2555.60,0.00,0.00,0.00,515.20,19.20,0.00,2370.20,0.00,0.00,0.00,0.00,4.40,0.00,4.40,0.00,1030.40,1941088,0,1913756,49.65,18076,794704,1508384,39.13,1309596,510684,60948,1007504,47744,2600,6052,10752,0,0,0.00,0,0.00,0,311,1.25,1.63,1.87,0,4.40,0.00,1030.40,234.18,0.01,3.27,0.36,0.16,549.20,1861.60,35.93,16271.26,0.00,0.00,0.00,1.33
2018-01-04 07:39:14,4.09,0.00,0.72,0.82,0.10,0.00,0.41,0.00,0.00,93.86,0.00,1704.40,2411.40,0.00,0.00,0.00,12098.40,159.60,0.00,2622.60,0.00,0.00,0.00,0.00,95.20,0.00,95.20,0.00,24196.80,1911668,0,1943176,50.41,18076,784016,1630904,42.31,1328188,522644,476,1048740,47452,2600,6132,10752,0,0,0.00,0,0.00,1,311,1.15,1.60,1.86,0,95.20,0.00,24196.80,254.17,3.45,36.29,0.37,3.52,457.40,1624.00,30.08,14168.77,0.00,0.00,0.00,1.16
2018-01-04 07:39:19,1.73,0.00,0.31,0.00,0.10,0.00,0.10,0.00,0.00,97.76,0.00,1298.20,1640.60,0.00,0.00,0.00,24.80,9.00,0.00,1167.20,0.00,0.00,0.00,0.00,3.80,0.00,3.80,0.00,49.60,1911668,0,1943176,50.41,18084,784040,1630904,42.31,1328192,522648,416,1048748,47456,2600,6132,10752,0,0,0.00,0,0.00,0,310,1.06,1.58,1.85,0,3.80,0.00,49.60,13.05,0.00,0.21,0.21,0.08,282.20,1023.80,18.56,8919.31,0.00,0.00,0.00,0.73
2018-01-04 07:39:24,1.21,0.00,0.10,0.00,0.10,0.00,0.00,0.00,0.00,98.59,0.00,562.40,344.20,0.00,0.00,0.00,52.00,11.40,0.00,450.40,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,104.00,1911748,0,1943096,50.41,18092,784068,1630904,42.31,1328084,522684,280,1048616,47456,2584,6132,10752,0,0,0.00,0,0.00,1,309,0.98,1.55,1.84,0,1.60,0.00,104.00,65.00,0.00,0.50,0.50,0.08,107.40,90.40,861.90,8.09,0.00,0.00,0.00,0.07
2018-01-04 07:39:29,0.81,0.00,0.30,0.00,0.00,0.00,0.10,0.00,0.00,98.79,0.00,587.60,492.00,0.00,0.00,0.00,54.40,62.00,0.00,993.80,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,108.80,1909636,0,1945208,50.46,18108,780628,1630904,42.31,1325612,526808,188,1053684,47216,2584,6140,10752,0,0,0.00,0,0.00,0,308,0.90,1.52,1.83,0,1.20,0.00,108.80,90.67,0.00,0.00,0.00,0.00,197.20,274.60,1022.01,1532.35,0.00,0.00,0.00,0.13
2018-01-04 07:39:34,0.81,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,98.99,0.00,436.40,375.60,0.00,0.00,0.00,33.60,9.00,0.00,693.40,0.00,0.00,0.00,0.00,4.40,0.00,4.40,0.00,67.20,1915036,0,1939808,50.32,18116,774996,1630904,42.31,1318080,528720,112,1053696,47104,2576,6140,10752,0,0,0.00,0,0.00,0,308,0.83,1.50,1.82,0,4.40,0.00,67.20,15.27,0.00,0.00,0.00,0.00,71.80,184.60,5.08,1525.73,0.00,0.00,0.00,0.12
2018-01-04 07:39:39,1.21,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,98.69,0.00,399.00,266.60,0.00,0.00,0.00,3.20,9.00,0.00,41.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,1915036,0,1939808,50.32,18124,775012,1630904,42.31,1318092,528720,136,1053720,47104,2576,6140,10752,0,0,0.00,0,0.00,1,308,0.76,1.47,1.81,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,6.60,10.80,0.80,2.82,0.00,0.00,0.00,0.00
2018-01-04 07:39:44,22.18,0.00,0.50,0.00,0.10,0.00,0.00,0.00,0.00,77.22,0.00,789.00,557.20,0.00,0.00,0.00,0.00,25.40,0.00,1061.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1880512,0,1974332,51.22,18124,801112,1630904,42.31,1353128,528752,26236,1062872,47440,2432,6160,10752,0,0,0.00,0,0.00,4,290,0.70,1.45,1.80,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,241.80,188.40,2031.73,14.35,0.00,0.00,0.00,0.17
2018-01-04 07:39:49,97.10,0.00,2.80,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.80,505.40,862.60,0.00,0.00,0.00,15.20,125.40,0.00,801.00,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,30.40,1728972,0,2125872,55.15,18132,924240,1630904,42.31,1497480,532264,158424,1087464,50608,2416,6192,10752,0,0,0.00,0,0.00,5,291,0.80,1.46,1.80,0,0.60,0.00,30.40,50.67,0.00,0.00,0.00,0.00,78.40,301.60,5.36,2560.62,0.00,0.00,0.00,0.21
2018-01-04 07:39:54,97.50,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.59,2336.93,1088.62,0.00,0.00,0.00,19.96,4882.63,0.00,4254.69,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,39.92,1664612,0,2190232,56.82,18140,944216,1661996,43.11,1546768,546720,179984,1131276,50892,2520,6308,10752,0,0,0.00,0,0.00,2,303,1.22,1.53,1.82,0,1.60,0.00,39.92,25.00,0.00,0.00,0.00,0.00,27.15,66.47,2.04,486.77,0.00,0.00,0.00,0.04
2018-01-04 07:39:59,97.30,0.00,2.20,0.00,0.00,0.00,0.30,0.00,0.00,0.20,0.60,3335.00,1184.20,0.00,0.00,0.00,14.40,108.60,0.00,1730.40,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,28.80,1602324,0,2252520,58.43,18148,995268,1661996,43.11,1559536,594980,231060,1141144,52268,2560,6324,10752,0,0,0.00,0,0.00,2,306,1.52,1.59,1.84,0,0.80,0.00,28.80,36.00,0.00,1.00,1.00,0.08,4.00,5.60,0.32,1.36,0.00,0.00,0.00,0.00
2018-01-04 07:40:04,97.50,0.00,2.30,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,3158.80,1167.40,0.00,0.00,0.00,13160.00,32.80,0.00,1941.20,0.00,0.00,0.00,0.00,106.00,0.00,106.00,0.00,26320.00,1546488,0,2308356,59.88,18156,1046996,1643752,42.64,1558980,643812,217016,1143900,53600,2544,6328,10752,0,0,0.00,0,0.00,4,304,1.64,1.61,1.85,0,106.00,0.00,26320.00,248.30,3.75,35.35,0.30,3.20,5.40,8.00,0.43,1.90,0.00,0.00,0.00,0.00
2018-01-04 07:40:09,97.40,0.00,2.30,0.00,0.00,0.00,0.20,0.00,0.00,0.10,0.00,3261.20,1098.60,0.00,0.00,0.80,49301.60,40.00,0.00,1543.60,0.00,0.00,0.00,0.00,360.60,0.20,360.40,1.60,91878.40,1492704,0,2362140,61.28,18164,1097396,1630740,42.30,1570096,691368,21048,1146116,54864,2544,6332,10752,0,0,0.00,0,0.00,2,304,1.99,1.69,1.87,1,360.60,1.60,91878.40,254.80,79.16,203.61,1.53,55.28,4.80,7.00,0.40,1.84,0.00,0.00,0.00,0.00
2018-01-04 07:40:14,96.90,0.00,2.40,0.00,0.00,0.00,0.50,0.00,0.00,0.20,0.00,3261.00,1124.80,0.00,0.00,0.00,4222.40,96.40,0.00,2031.60,0.00,0.00,0.00,0.00,60.20,0.00,60.20,0.00,15169.60,1443076,0,2411768,62.56,18172,1144416,1630740,42.30,1566880,743100,51824,1147500,56072,2544,6332,10752,0,0,0.00,0,0.00,2,304,1.99,1.69,1.87,0,60.20,0.00,15169.60,251.99,9.32,250.14,2.03,12.24,104.40,179.80,6.87,1522.65,0.00,0.00,0.00,0.12
