timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-04 05:01:46,0.10,0.00,0.10,44.52,0.00,0.00,0.00,0.00,0.00,55.28,0.20,239.40,281.00,0.00,0.00,4.00,21971.20,17.20,0.00,25.40,0.00,0.00,0.00,0.00,146.00,0.80,145.20,8.00,35801.60,469972,0,3384872,87.81,14784,2667436,804660,20.87,1114896,2118096,197504,550820,112692,1944,3280,10752,0,0,0.00,0,0.00,1,229,3.25,2.50,1.17,1,146.00,8.00,35801.60,245.27,76.64,453.22,4.35,63.52,1.20,2.20,0.12,0.40,0.00,0.00,0.00,0.00
2018-01-04 05:01:51,0.10,0.00,0.20,54.52,0.00,0.00,0.00,0.00,0.00,45.18,0.20,252.00,309.60,0.00,0.00,0.00,19708.00,17.40,0.00,21.80,0.00,0.00,0.00,0.00,155.20,0.00,155.20,0.00,39672.00,469964,0,3384880,87.81,14796,2667448,804660,20.87,1115044,2118100,99060,550912,112692,1952,3280,10752,0,0,0.00,0,0.00,1,230,3.07,2.47,1.17,1,155.20,0.00,39672.00,255.62,135.76,829.84,6.44,100.00,1.60,3.00,0.17,0.54,0.00,0.00,0.00,0.00
2018-01-04 05:01:56,0.00,0.00,0.20,60.74,0.00,0.00,0.00,0.00,0.00,39.06,0.00,245.40,294.60,0.00,0.00,0.80,19651.20,7.40,0.00,22.00,0.00,0.00,0.00,0.00,156.60,0.20,156.40,1.60,39955.20,469840,0,3385004,87.81,14808,2667480,804660,20.87,1115068,2118112,884,550912,112692,1952,3280,10752,0,0,0.00,0,0.00,1,230,2.98,2.47,1.17,1,156.80,1.60,40006.40,255.15,125.95,859.11,6.38,100.00,1.40,2.80,0.15,0.53,0.00,0.00,0.00,0.00
2018-01-04 05:02:01,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,99.70,0.00,226.60,156.20,0.00,0.00,0.00,90.40,7.40,0.00,19.60,0.00,0.00,0.00,0.00,29.60,0.00,29.60,0.00,7412.80,469716,0,3385128,87.81,14816,2667504,804660,20.87,1115076,2118128,504,550912,112692,1952,3280,10752,0,0,0.00,0,0.00,1,230,2.75,2.43,1.17,0,29.40,0.00,7361.60,250.39,14.07,773.82,6.91,20.32,1.20,2.40,0.13,0.43,0.00,0.00,0.00,0.00
2018-01-04 05:02:06,0.80,0.00,0.50,0.20,0.00,0.00,0.00,0.00,0.00,98.49,14.20,478.00,396.60,0.00,0.00,167.20,0.00,5554.40,1.40,1529.20,0.00,0.00,0.00,0.00,12.60,12.60,0.00,334.40,0.00,461700,0,3393144,88.02,14832,2668516,812432,21.08,1121780,2118884,692,557328,112664,1984,3800,10752,0,0,0.00,0,0.00,1,234,2.53,2.39,1.16,0,12.60,334.40,0.00,26.54,0.00,0.38,0.32,0.40,20.40,20.80,31.65,31.71,0.00,0.00,0.00,0.00
2018-01-04 05:02:11,0.10,0.00,0.00,0.90,0.10,0.00,0.00,0.00,0.00,98.90,0.20,258.00,173.00,0.00,0.00,0.00,28.80,11.80,0.00,101.80,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,57.60,461376,0,3393468,88.03,14840,2668832,812432,21.08,1121744,2119192,952,557264,112656,1976,3800,10752,0,0,0.00,0,0.00,1,233,2.32,2.35,1.16,0,1.40,0.00,57.60,41.14,0.02,13.14,13.14,1.84,15.60,17.40,59.50,63.74,0.00,0.00,0.00,0.01
2018-01-04 05:02:16,82.25,0.00,2.81,0.10,0.00,0.00,0.00,0.00,0.00,14.84,19.00,1365.80,1015.00,0.00,0.00,344.00,48.00,11199.40,5.80,3989.00,0.00,0.00,0.00,0.00,10.60,9.40,1.20,688.00,96.00,242844,0,3612000,93.70,14864,2671172,1187404,30.80,1336100,2121304,1408,771372,113100,2352,5028,10752,0,0,0.00,0,0.00,7,279,2.62,2.41,1.18,0,10.60,688.00,96.00,73.96,0.01,0.75,0.68,0.72,35.00,36.60,4.75,120.65,0.00,0.00,0.00,0.01
2018-01-04 05:02:21,95.80,0.00,3.60,0.20,0.00,0.00,0.20,0.00,0.00,0.20,5.20,2083.60,1281.40,0.00,0.00,13956.00,93.60,7811.40,0.20,15612.00,8638.40,2662.40,11300.80,100.00,228.00,219.40,8.60,27912.00,187.20,83760,0,3771084,97.83,14852,2510680,1507768,39.11,1650472,1962280,1508,1087196,113400,2472,5684,10752,0,0,0.00,0,0.00,4,295,2.57,2.40,1.19,0,228.00,27912.00,187.20,123.24,0.86,3.79,0.20,4.48,8.20,12.00,3.31,1.74,0.00,0.00,0.00,0.00
2018-01-04 05:02:26,98.40,0.00,1.40,0.10,0.00,0.00,0.10,0.00,0.00,0.00,0.00,1137.20,881.80,0.00,0.00,5438.40,12.00,46.00,0.20,1705.20,1296.20,0.00,1296.20,100.00,85.00,84.40,0.60,10876.80,24.00,88920,0,3765924,97.69,14872,2506044,1507768,39.11,1648616,1958692,1544,1086456,113364,2440,5688,10752,0,0,0.00,0,0.00,3,291,2.84,2.46,1.21,0,85.00,10876.80,24.00,128.24,0.28,3.33,0.22,1.84,3.20,5.40,0.28,1.19,0.00,0.00,0.00,0.00
2018-01-04 05:02:31,98.30,0.00,1.50,0.00,0.00,0.00,0.10,0.00,0.00,0.10,0.00,1497.60,1002.00,0.00,0.00,12380.00,12.80,192.60,0.00,2860.40,2239.40,0.00,2239.40,100.00,191.00,190.40,0.60,24760.00,25.60,77868,0,3776976,97.98,14876,2518096,1507768,39.11,1647884,1970940,1604,1085872,113380,2424,5688,10752,0,0,0.00,0,0.00,2,289,2.78,2.45,1.22,0,191.00,24760.00,25.60,129.77,0.74,3.85,0.23,4.32,3.40,5.80,0.30,1.39,0.00,0.00,0.00,0.00
