timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-04 06:16:23,0.45,0.00,0.20,6.82,0.05,0.00,0.00,0.00,0.00,92.47,1.80,418.60,648.80,0.00,0.00,4.80,47561.60,753.60,0.00,24937.80,0.00,0.00,0.00,0.00,348.00,1.20,346.80,9.60,88628.80,2635156,0,5024356,65.60,8360,4101280,1092580,14.26,1530360,3229256,206672,649984,197284,2240,3588,17940,0,0,0.00,0,0.00,0,266,4.45,3.66,3.98,1,348.00,9.60,88628.80,254.71,40.66,103.36,0.82,28.40,5.00,6.40,0.61,0.88,0.00,0.00,0.00,0.00
2018-01-04 06:16:28,0.35,0.00,0.30,10.79,0.05,0.00,0.00,0.00,0.00,88.50,13.20,465.20,710.60,0.00,0.00,153.60,41008.00,5538.40,1.80,1459.20,0.00,0.00,0.00,0.00,356.20,8.60,347.60,307.20,88510.40,2627356,0,5032156,65.70,8612,4101840,1105532,14.43,1538800,3230024,2076,658372,197228,2264,4096,17940,0,0,0.00,0,0.00,0,269,4.17,3.62,3.96,0,356.20,307.20,88510.40,249.35,66.75,200.57,1.36,48.32,7.60,9.20,1.62,1.68,0.00,0.00,0.00,0.00
2018-01-04 06:16:33,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,248.00,150.00,0.00,0.00,0.00,0.00,9.60,0.00,30.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2627356,0,5032156,65.70,8612,4101868,1105532,14.43,1538796,3230040,2116,658372,197228,2264,4096,17940,0,0,0.00,0,0.00,1,269,3.84,3.56,3.94,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.60,3.60,0.22,0.69,0.00,0.00,0.00,0.00
2018-01-04 06:16:38,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,247.40,150.80,0.00,0.00,0.00,2.40,7.60,0.00,24.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,4.80,2627296,0,5032216,65.70,8620,4101892,1105532,14.43,1538808,3230052,2140,658372,197164,2264,4096,17940,0,0,0.00,0,0.00,1,269,3.53,3.50,3.92,0,0.40,0.00,4.80,12.00,0.00,2.00,2.00,0.08,2.40,3.80,0.21,0.79,0.00,0.00,0.00,0.00
2018-01-04 06:16:43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,253.20,156.40,0.00,0.00,0.00,2.40,9.60,0.00,27.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,4.80,2627172,0,5032340,65.70,8628,4101916,1105532,14.43,1538820,3230064,2164,658372,197164,2264,4096,17940,0,0,0.00,0,0.00,1,269,3.25,3.44,3.90,0,0.40,0.00,4.80,12.00,0.00,2.00,2.00,0.08,2.60,4.00,0.22,0.80,0.00,0.00,0.00,0.00
2018-01-04 06:16:48,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,99.95,0.00,246.40,151.40,0.00,0.00,0.00,312.00,8.00,0.00,25.40,0.00,0.00,0.00,0.00,4.80,0.00,4.80,0.00,624.00,2627188,0,5032324,65.70,8636,4101940,1105532,14.43,1538832,3230076,648,658372,197148,2264,4096,17940,0,0,0.00,0,0.00,1,269,2.99,3.39,3.88,0,4.80,0.00,624.00,130.00,0.01,1.67,0.33,0.16,2.40,3.60,0.20,0.69,0.00,0.00,0.00,0.00
2018-01-04 06:16:53,0.05,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,99.70,0.00,252.80,160.80,0.00,0.00,0.00,132.80,9.60,0.00,27.00,0.00,0.00,0.00,0.00,11.60,0.00,11.60,0.00,265.60,2627196,0,5032316,65.70,8644,4101964,1105532,14.43,1538840,3230092,36,658372,197140,2264,4096,17940,0,0,0.00,0,0.00,1,269,2.75,3.33,3.86,0,11.60,0.00,265.60,22.90,0.01,0.76,0.48,0.56,2.40,3.80,0.21,0.79,0.00,0.00,0.00,0.00
2018-01-04 06:16:58,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,247.40,152.80,0.00,0.00,0.00,14.40,8.80,0.00,521.80,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,28.80,2622516,0,5036996,65.76,8652,4101988,1105532,14.43,1541180,3230148,72,662752,197140,2264,4096,17940,0,0,0.00,0,0.00,1,269,2.53,3.27,3.84,0,1.00,0.00,28.80,28.80,0.00,0.80,0.80,0.08,2.40,3.80,0.21,0.79,0.00,0.00,0.00,0.00
2018-01-04 06:17:03,0.05,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.60,266.40,166.40,0.00,0.00,2.40,4.00,212.40,0.00,91.40,0.00,0.00,0.00,0.00,1.00,0.60,0.40,4.80,8.00,2622036,0,5037476,65.77,8664,4102016,1105532,14.43,1541172,3230180,112,662728,197140,2264,4096,17940,0,0,0.00,0,0.00,1,269,2.33,3.22,3.82,0,1.00,4.80,8.00,12.80,0.00,0.80,0.80,0.08,2.20,3.40,0.19,0.68,0.00,0.00,0.00,0.00
2018-01-04 06:17:08,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,247.40,151.40,0.00,0.00,0.00,8.80,7.60,0.00,314.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,17.60,2621100,0,5038412,65.78,8672,4102040,1105532,14.43,1541552,3230196,168,663096,197140,2264,4096,17940,0,0,0.00,0,0.00,1,269,2.14,3.17,3.80,0,0.40,0.00,17.60,44.00,0.00,0.00,0.00,0.00,2.60,4.00,0.22,0.79,0.00,0.00,0.00,0.00
