timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 01:36:08,0.00,0.00,0.03,13.36,0.03,0.00,0.00,0.00,0.00,86.59,0.00,295.80,482.80,0.00,0.00,2.40,44047.20,9.00,0.00,21.60,0.00,0.00,0.00,0.00,325.20,0.60,324.60,4.80,82771.20,25225200,0,7723004,23.44,25692,6627744,1660188,5.04,1173724,6118524,4399316,638876,219920,2568,3716,57980,0,0,0.00,0,0.00,0,307,7.22,2.81,1.03,1,325.20,4.80,82769.60,254.53,138.09,411.28,3.08,100.00,1.20,2.20,0.11,0.37,0.00,0.00,0.00,0.00
2018-01-05 01:36:13,0.48,0.00,0.23,13.41,0.08,0.00,0.00,0.00,0.00,85.81,14.60,577.40,796.00,0.00,0.00,2.40,42624.00,7728.80,0.00,2532.20,0.00,0.00,0.00,0.00,332.20,0.60,331.60,4.80,84838.40,25220388,0,7727816,23.45,25724,6627776,1673472,5.08,1177896,6118592,4186732,643088,219828,2568,4472,57980,0,0,0.00,0,0.00,0,310,6.72,2.78,1.03,1,332.20,4.80,84838.40,255.40,137.79,417.56,3.01,100.00,13.00,15.80,11.49,11.72,0.00,0.00,0.00,0.00
2018-01-05 01:36:18,0.05,0.00,0.05,13.15,0.03,0.00,0.00,0.00,0.00,86.72,0.20,324.20,507.40,0.00,0.00,0.80,39344.80,11.60,0.00,98.20,0.00,0.00,0.00,0.00,309.20,0.20,309.00,1.60,79048.00,25220032,0,7728172,23.46,25760,6628176,1673472,5.08,1178112,6118944,3990388,643176,219836,2592,4228,57980,0,0,0.00,0,0.00,0,310,6.26,2.75,1.03,1,309.20,1.60,79048.00,255.66,138.48,454.40,3.23,100.00,15.60,16.40,59.44,63.67,0.00,0.00,0.00,0.01
2018-01-05 01:36:23,39.89,0.00,1.69,7.27,0.05,0.00,0.00,0.00,0.00,51.11,55.80,2420.20,2547.60,0.00,0.00,1.60,37176.00,27697.00,0.00,7148.20,0.00,0.00,0.00,0.00,309.60,0.40,309.20,3.20,79155.20,24598408,0,8349796,25.34,25812,6629136,3967496,12.04,1789172,6119772,3805816,1256024,223128,4040,8312,57980,0,0,0.00,0,0.00,24,491,5.84,2.72,1.03,3,309.60,3.20,79155.20,255.68,139.46,434.34,3.23,100.00,24.00,22.40,26.43,2.79,0.00,0.00,0.00,0.00
2018-01-05 01:36:28,90.64,0.00,3.11,3.96,0.03,0.00,0.03,0.00,0.00,2.23,29.00,6060.20,3414.80,0.00,0.00,11.20,40996.80,25675.20,0.00,14230.40,0.00,0.00,0.00,0.00,323.80,2.00,321.80,22.40,82289.60,23438436,0,9509768,28.86,25836,6630180,4099080,12.44,2946708,6120708,3602272,2411988,224140,4680,10196,57980,0,0,0.00,0,0.00,3,585,5.93,2.79,1.07,9,323.80,22.40,82289.60,254.21,134.74,426.58,3.09,100.00,34.20,47.20,10.50,6.02,0.00,0.00,0.00,0.00
2018-01-05 01:36:33,94.99,0.00,1.43,0.85,0.03,0.00,0.30,0.00,0.00,2.40,1.80,10218.60,4155.80,0.00,0.00,2.40,44321.60,2620.00,0.00,4004.80,0.00,0.00,0.00,0.00,343.40,0.60,342.80,4.80,84891.20,23208404,0,9739800,29.56,25848,6626144,4132184,12.54,3174104,6115852,3380872,2638000,225768,4728,11776,57980,0,0,0.00,0,0.00,5,577,7.46,3.16,1.19,2,343.60,4.80,84891.20,247.08,138.53,350.74,2.91,100.00,6.60,11.40,1.29,2.22,0.00,0.00,0.00,0.00
2018-01-05 01:36:38,91.89,0.00,0.58,1.48,0.03,0.00,0.00,0.00,0.00,6.03,0.00,1706.40,2822.80,0.00,0.00,2.40,38372.80,189.80,0.00,409.80,0.00,0.00,0.00,0.00,298.40,0.60,297.80,4.80,75500.80,23213096,0,9735108,29.55,25876,6621120,4132184,12.54,3175816,6111032,3189040,2640052,225556,4728,11800,57980,0,0,0.00,0,0.00,9,572,8.06,3.36,1.27,1,298.20,4.80,75500.80,253.20,136.87,508.50,3.35,100.00,6.80,12.00,0.61,3.42,0.00,0.00,0.00,0.00
2018-01-05 01:36:43,97.97,0.00,1.58,0.05,0.00,0.00,0.13,0.00,0.00,0.28,0.00,4506.60,3222.20,0.00,0.00,2.40,39502.40,453.80,0.00,845.80,0.00,0.00,0.00,0.00,309.40,0.60,308.80,4.80,78953.60,23217720,0,9730484,29.53,25908,6616164,4132184,12.54,3176176,6106172,2992280,2640292,225448,4664,11800,57980,0,0,0.00,0,0.00,9,569,8.62,3.55,1.34,1,309.40,4.80,78953.60,255.20,136.66,426.06,3.23,100.00,6.80,12.00,0.62,3.65,0.00,0.00,0.00,0.00
2018-01-05 01:36:48,95.25,0.00,1.68,2.48,0.00,0.00,0.15,0.00,0.00,0.45,0.00,4922.20,3103.00,0.00,0.00,0.00,9113.60,44.00,0.00,481.80,0.00,0.00,0.00,0.00,100.00,0.00,100.00,0.00,25548.80,23222704,0,9725500,29.52,25924,6611260,4132184,12.54,3176300,6101368,2946804,2640512,225360,4656,11800,57980,0,0,0.00,0,0.00,12,568,8.65,3.64,1.38,0,100.00,0.00,25548.80,255.49,37.45,485.40,3.52,35.20,4.40,7.40,0.40,2.34,0.00,0.00,0.00,0.00
2018-01-05 01:36:53,99.07,0.00,0.80,0.00,0.00,0.00,0.10,0.00,0.00,0.03,0.00,3347.60,2925.20,0.00,0.00,2.40,33372.00,65.00,0.00,833.20,0.00,0.00,0.00,0.00,231.60,0.60,231.00,4.80,59064.00,23230496,0,9717708,29.49,25948,6606352,4132184,12.54,3174708,6096552,2780304,2639004,225100,4640,11796,57980,0,0,0.00,0,0.00,9,562,8.60,3.72,1.42,1,231.60,4.80,59064.00,255.05,102.72,416.70,3.16,73.20,7.20,12.80,0.69,4.38,0.00,0.00,0.00,0.00
