timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-04 20:34:33,3.18,0.00,0.15,0.00,0.03,0.00,0.00,0.00,0.00,96.65,0.80,375.40,366.60,0.00,0.00,0.00,36.00,1524.40,0.00,1846.60,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,72.00,61432636,0,1449128,2.30,38060,353076,2379132,3.78,793272,211276,424,613508,68024,2352,3536,111304,0,0,0.00,0,0.00,0,280,0.55,4.57,5.93,0,0.80,0.00,72.00,90.00,0.01,16.00,16.00,1.28,3.80,5.00,0.32,0.69,0.00,0.00,0.00,0.00
2018-01-04 20:34:38,14.61,0.00,1.18,0.00,0.03,0.00,0.28,0.00,0.00,83.91,14.20,1286.40,2958.00,0.00,0.00,0.00,68.00,9730.40,0.00,16531.40,0.00,0.00,0.00,0.00,8.20,0.00,8.20,0.00,73.60,60972980,0,1908784,3.04,38072,481912,3702556,5.89,1126664,331112,129020,944000,68236,2632,4592,111304,0,0,0.00,0,0.00,3,322,0.51,4.49,5.90,1,8.60,0.00,136.00,15.81,0.00,0.00,0.00,0.00,2959.00,670.00,25889.81,43.91,0.00,0.00,0.00,0.00
2018-01-04 20:34:43,27.30,0.00,1.28,0.00,0.13,0.00,0.00,0.00,0.00,71.28,35.40,2657.20,3176.40,0.00,0.00,0.00,3612.00,18915.20,0.00,7885.80,0.00,0.00,0.00,0.00,41.40,0.00,41.40,0.00,7286.40,60274580,0,2607184,4.15,38072,482304,23575416,37.49,1828792,325964,111484,1636508,70308,3912,7412,111304,0,0,0.00,0,0.00,3,472,0.63,4.45,5.88,0,41.00,0.00,7224.00,176.20,0.75,18.40,0.20,0.80,41.00,51.40,6.24,16.94,0.00,0.00,0.00,0.00
2018-01-04 20:34:48,51.58,0.00,2.61,0.30,0.15,0.00,0.03,0.00,0.00,45.33,65.80,4706.40,5657.00,0.00,0.00,0.00,22284.00,31577.80,0.00,13100.40,0.00,0.00,0.00,0.00,174.40,0.00,174.40,0.00,44568.00,58887152,0,3994612,6.35,38080,482728,50215024,79.86,3208108,326192,964,3013848,73404,5568,11776,111304,0,0,0.00,0,0.00,4,711,1.14,4.50,5.88,0,174.40,0.00,44568.00,255.55,6.52,37.39,0.28,4.96,64.40,87.80,12.12,30.40,0.00,0.00,0.00,0.00
2018-01-04 20:34:53,41.52,0.00,3.36,0.25,0.05,0.00,0.05,0.00,0.00,54.77,16.40,4870.60,3997.00,0.00,0.00,0.00,3515.20,9324.40,0.00,17343.20,0.00,0.00,0.00,0.00,28.60,0.00,28.60,0.00,7030.40,55477924,0,7403840,11.77,38088,519360,50473748,80.27,6477992,342184,20412,6371292,74176,6016,18180,111304,0,0,0.00,0,0.00,22,738,1.13,4.44,5.86,0,28.60,0.00,7030.40,245.82,7.54,263.78,5.54,15.84,434.80,287.00,3497.83,27.70,0.00,0.00,0.00,0.00
2018-01-04 20:34:58,86.09,0.00,5.97,0.00,0.00,0.00,0.00,0.00,0.00,7.93,0.00,3928.80,3291.80,0.00,0.00,0.00,59.20,1284.00,0.00,84650.40,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,118.40,46528704,0,16353060,26.01,38096,519384,50473748,80.27,15496404,342100,20552,15309700,74168,5696,36064,111304,0,0,0.00,0,0.00,11,692,1.52,4.46,5.86,0,0.80,0.00,118.40,148.00,0.00,0.00,0.00,0.00,9.60,19.20,0.56,1.92,0.00,0.00,0.00,0.00
2018-01-04 20:35:03,88.72,0.00,2.63,0.00,0.03,0.00,0.00,0.00,0.00,8.62,0.40,3381.60,3123.40,0.00,0.00,0.00,3.20,766.00,0.00,135953.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,43676204,0,19205560,30.54,38104,519412,50473748,80.27,18300472,342108,20588,18156780,74264,5600,42008,111304,0,0,0.00,0,0.00,7,686,1.96,4.50,5.86,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,3.40,6.80,0.55,2.68,0.00,0.00,0.00,0.00
2018-01-04 20:35:08,89.64,0.00,1.68,0.25,0.03,0.00,0.00,0.00,0.00,8.40,0.00,3720.00,3118.00,0.00,0.00,0.00,9.60,375.20,0.00,86315.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,19.20,41958664,0,20923100,33.27,38112,519440,50473748,80.27,19982276,342128,20640,19871352,74284,5592,45052,111304,0,0,0.00,0,0.00,11,685,2.36,4.55,5.87,0,0.40,0.00,19.20,48.00,0.02,48.00,48.00,1.92,1.80,3.60,0.20,1.16,0.00,0.00,0.00,0.00
2018-01-04 20:35:13,88.86,0.00,1.71,0.00,0.00,0.00,0.00,0.00,0.00,9.44,0.00,3442.40,3103.80,0.00,0.00,0.00,19.20,342.40,0.00,82513.00,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,38.40,40310980,0,22570784,35.89,38120,519468,50473748,80.27,21622948,342140,20644,21507868,74316,5592,48456,111304,0,0,0.00,0,0.00,15,685,2.73,4.59,5.88,0,1.80,0.00,38.40,21.33,0.00,0.00,0.00,0.00,3.20,6.20,0.54,2.71,0.00,0.00,0.00,0.00
2018-01-04 20:35:18,88.71,0.00,2.61,0.00,0.00,0.00,0.00,0.00,0.00,8.68,0.00,3514.40,3112.20,0.00,0.00,0.00,272.80,539.40,0.00,136697.60,0.00,0.00,0.00,0.00,23.40,0.00,23.40,0.00,545.60,37741664,0,25140100,39.98,38128,519496,50473748,80.27,24158408,342172,19400,24074032,74204,5584,53464,111304,0,0,0.00,0,0.00,21,684,3.07,4.63,5.88,0,23.40,0.00,545.60,23.32,0.23,9.81,2.19,5.12,1.80,3.60,0.21,1.10,0.00,0.00,0.00,0.00
