timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-04 20:04:19,1.98,0.00,0.10,0.43,0.03,0.00,0.00,0.00,0.00,97.47,0.80,347.00,310.00,0.00,0.00,0.00,32.00,979.20,0.00,1752.80,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,64.00,61486288,0,1395476,2.22,28128,333156,2399364,3.82,757252,208312,392,608488,51340,2368,3528,111304,0,0,0.00,0,0.00,0,282,0.57,3.37,2.57,0,0.80,0.00,64.00,80.00,0.07,83.00,42.00,3.36,3.80,5.40,0.33,0.79,0.00,0.00,0.00,0.00
2018-01-04 20:04:24,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.97,0.00,270.00,154.80,0.00,0.00,0.00,0.00,11.20,0.00,15.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61486464,0,1395300,2.22,28128,333180,2399364,3.82,757216,208328,416,608448,51340,2368,3528,111304,0,0,0.00,0,0.00,0,282,0.52,3.31,2.55,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,2.40,0.11,0.42,0.00,0.00,0.00,0.00
2018-01-04 20:04:29,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,279.60,165.00,0.00,0.00,0.00,2.40,9.20,0.00,510.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,4.80,61477696,0,1404068,2.23,28136,333204,2399364,3.82,761996,208336,440,617248,51260,2368,3528,111304,0,0,0.00,0,0.00,0,282,0.48,3.26,2.54,0,0.40,0.00,4.80,12.00,0.00,2.00,2.00,0.08,1.40,2.80,0.12,0.53,0.00,0.00,0.00,0.00
2018-01-04 20:04:34,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.97,0.00,277.60,169.20,0.00,0.00,0.00,53.60,8.00,0.00,15.60,0.00,0.00,0.00,0.00,9.40,0.00,9.40,0.00,107.20,61477784,0,1403980,2.23,28144,333228,2399364,3.82,761816,208348,188,617124,51260,2368,3532,111304,0,0,0.00,0,0.00,0,282,0.44,3.20,2.52,0,9.40,0.00,107.20,11.40,0.00,0.34,0.17,0.16,1.40,2.80,0.12,0.53,0.00,0.00,0.00,0.00
2018-01-04 20:04:39,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,275.20,164.80,0.00,0.00,0.00,10.40,9.20,0.00,437.80,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,20.80,61470600,0,1411164,2.24,28152,333252,2399364,3.82,765716,208396,244,623032,51260,2368,3532,111304,0,0,0.00,0,0.00,0,282,0.41,3.15,2.51,0,0.60,0.00,20.80,34.67,0.00,1.33,1.33,0.08,1.20,2.40,0.11,0.42,0.00,0.00,0.00,0.00
2018-01-04 20:04:44,0.03,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.00,99.92,0.00,274.25,160.68,0.00,0.00,0.00,4.79,6.99,0.00,15.77,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.58,61470888,0,1410876,2.24,28160,333276,2399364,3.82,765692,208408,280,623008,51260,2368,3532,111304,0,0,0.00,0,0.00,0,282,0.38,3.10,2.50,0,0.40,0.00,9.58,24.00,0.00,2.00,2.00,0.08,1.40,2.79,0.12,0.53,0.00,0.00,0.00,0.00
2018-01-04 20:04:49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,280.20,167.00,0.00,0.00,0.00,51.20,9.40,0.00,20.00,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,102.40,61470980,0,1410784,2.24,28168,333300,2399364,3.82,767752,208420,72,623008,51260,2368,3532,111304,0,0,0.00,0,0.00,0,282,0.35,3.05,2.48,0,1.80,0.00,102.40,56.89,0.03,16.44,8.44,1.52,1.40,2.80,0.12,0.53,0.00,0.00,0.00,0.00
2018-01-04 20:04:54,0.05,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,99.92,0.00,276.60,161.40,0.00,0.00,0.00,8.80,7.40,0.00,15.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,17.60,61470980,0,1410784,2.24,28176,333324,2399364,3.82,767764,208432,116,623008,51260,2368,3532,111304,0,0,0.00,0,0.00,0,282,0.32,3.00,2.47,0,0.40,0.00,17.60,44.00,0.00,0.00,0.00,0.00,1.20,2.40,0.11,0.42,0.00,0.00,0.00,0.00
2018-01-04 20:04:59,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,282.40,172.00,0.00,0.00,0.00,3.20,9.20,0.00,323.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,61470944,0,1410820,2.24,28184,333348,2399364,3.82,765720,208440,144,623012,51260,2368,3532,111304,0,0,0.00,0,0.00,0,282,0.29,2.95,2.46,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,1.40,2.80,0.12,0.53,0.00,0.00,0.00,0.00
2018-01-04 20:05:04,13.22,0.00,1.11,0.00,0.15,0.00,0.38,0.00,0.00,85.14,22.80,3362.00,5167.20,0.00,0.00,6.40,4.80,11995.80,0.00,14778.80,0.00,0.00,0.00,0.00,1.00,0.20,0.80,12.80,9.60,61030148,0,1851616,2.94,28192,462188,22123360,35.18,1079660,335508,128988,931296,54324,2952,5160,111304,0,0,0.00,0,0.00,11,360,0.27,2.90,2.44,0,1.00,12.80,9.60,22.40,0.00,0.80,0.80,0.08,2955.40,1254.00,25874.34,82.76,0.00,0.00,0.00,0.00
