timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 03:17:19,5.86,0.00,0.10,0.00,0.05,0.00,0.00,0.00,0.00,93.98,0.80,316.00,291.60,0.00,0.00,0.00,18.40,1064.60,0.00,1515.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,36.80,30284220,0,1115700,3.55,43452,371568,1472992,4.69,643336,217272,428,447492,59940,2024,3144,58076,0,0,0.00,0,0.00,0,239,0.67,0.73,1.45,0,0.40,0.00,36.80,92.00,0.00,0.00,0.00,0.00,3.80,5.40,0.33,0.78,0.00,0.00,0.00,0.00
2018-01-05 03:17:24,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,236.40,146.60,0.00,0.00,0.00,48.00,13.20,0.00,20.80,0.00,0.00,0.00,0.00,9.60,0.00,9.60,0.00,96.00,30284452,0,1115468,3.55,43452,371592,1472992,4.69,643092,217284,120,447384,59876,2024,3144,58076,0,0,0.00,0,0.00,0,239,0.62,0.72,1.44,0,9.60,0.00,96.00,10.00,0.00,0.00,0.00,0.00,1.40,2.60,0.11,0.43,0.00,0.00,0.00,0.00
2018-01-05 03:17:29,11.14,0.00,0.91,0.00,0.30,0.00,0.30,0.00,0.00,87.34,5.40,2311.00,3256.00,0.00,0.00,0.00,2.40,1461.20,0.00,4617.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,4.80,30211220,0,1188700,3.79,43464,423540,1352932,4.31,665996,268672,52152,468268,59844,2072,3192,58076,0,0,0.00,0,0.00,2,248,0.57,0.70,1.43,1,0.40,0.00,4.80,12.00,0.00,0.00,0.00,0.00,1210.20,590.20,10529.99,39.52,0.00,0.00,0.00,0.00
2018-01-05 03:17:34,76.88,0.00,4.13,0.05,0.45,0.00,0.60,0.00,0.00,17.88,24.80,5990.40,4773.60,0.00,0.00,0.00,40.80,21136.80,0.00,12642.60,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,81.60,29473132,0,1926788,6.14,43480,500576,27690064,88.19,1326404,340280,129200,1122672,61324,2856,5996,58076,0,0,0.00,0,0.00,12,344,1.00,0.79,1.46,0,2.20,0.00,81.60,37.09,0.00,0.00,0.00,0.00,1751.40,909.80,15345.26,60.01,0.00,0.00,0.00,0.00
2018-01-05 03:17:39,58.06,0.00,3.64,0.00,0.10,0.00,0.25,0.00,0.00,37.95,31.40,3389.40,2922.80,0.00,0.00,0.00,2032.00,10688.80,0.00,6381.80,0.00,0.00,0.00,0.00,16.80,0.00,16.80,0.00,4064.00,28574160,0,2825760,9.00,43488,520808,27853528,88.71,2217432,344892,140300,1998604,61612,3456,7936,58076,0,0,0.00,0,0.00,5,427,1.32,0.86,1.48,0,16.80,0.00,4064.00,241.90,0.06,3.62,0.29,0.48,399.00,312.00,3271.14,28.23,0.00,0.00,0.00,0.00
2018-01-05 03:17:44,94.54,0.00,5.16,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.60,2389.20,1747.20,0.00,0.00,0.00,49.60,1556.80,0.00,2812.80,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,99.20,24970324,0,6429596,20.48,43496,521492,27929296,88.95,5794732,344636,140352,5596904,61844,3496,14780,58076,0,0,0.00,0,0.00,5,419,1.70,0.95,1.50,0,1.60,0.00,99.20,62.00,0.00,0.00,0.00,0.00,7.60,10.80,1.72,1.96,0.00,0.00,0.00,0.00
2018-01-05 03:17:49,94.85,0.00,5.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1653.80,1603.20,0.00,0.00,0.00,57.60,430.40,0.00,7935.60,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,115.20,21147168,0,10252752,32.65,43504,521516,27929296,88.95,9618440,344656,140260,9412432,61852,3464,22480,58076,0,0,0.00,0,0.00,5,419,2.12,1.05,1.53,0,0.80,0.00,115.20,144.00,0.00,0.00,0.00,0.00,1.80,3.60,0.25,1.27,0.00,0.00,0.00,0.00
2018-01-05 03:17:54,97.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1582.00,1618.60,0.00,0.00,0.00,4.80,271.20,0.00,35796.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,19366536,0,12033384,38.32,43512,521544,27929296,88.95,11386904,344668,140292,11189052,61908,3440,25768,58076,0,0,0.00,0,0.00,5,416,2.83,1.21,1.58,0,0.40,0.00,9.60,24.00,0.00,0.00,0.00,0.00,1.40,2.80,0.17,0.86,0.00,0.00,0.00,0.00
2018-01-05 03:17:59,98.75,0.00,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1519.00,1802.20,0.00,0.00,0.00,25719.20,75.00,0.00,2705.80,0.00,0.00,0.00,0.00,201.40,0.00,201.40,0.00,51438.40,18859608,0,12540312,39.94,43516,521560,27929296,88.95,11913332,344676,11716,11695012,61820,3432,26780,58076,0,0,0.00,0,0.00,8,415,2.93,1.26,1.59,0,201.40,0.00,51438.40,255.40,8.27,41.08,0.31,6.24,2.00,4.00,0.31,1.57,0.00,0.00,0.00,0.00
2018-01-05 03:18:04,98.55,0.00,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1528.00,1619.80,0.00,0.00,0.00,148.00,108.40,0.00,3783.80,0.00,0.00,0.00,0.00,18.80,0.00,18.80,0.00,296.00,18027808,0,13372112,42.59,43516,521592,27929296,88.95,12745620,344688,11196,12525204,62048,3424,28660,58076,0,0,0.00,0,0.00,5,414,3.33,1.37,1.63,0,18.80,0.00,296.00,15.74,0.03,1.53,0.09,0.16,1.60,3.20,0.19,0.97,0.00,0.00,0.00,0.00
