timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-19 22:42:18,17.08,0.00,1.53,2.50,0.05,0.00,0.05,0.00,0.00,78.79,32.80,5748.80,6058.60,0.00,0.00,0.80,24513.60,16247.40,0.00,19161.00,0.00,0.00,0.00,0.00,180.60,0.20,180.40,1.60,41193.60,12932216,0,2468692,16.03,10132,803592,4279636,27.79,1766712,512112,267484,1469252,61020,5656,8516,30304,0,0,0.00,0,0.00,1,696,4.54,4.78,3.67,1,180.60,1.60,41193.60,228.10,28.80,77.02,1.13,20.48,1.80,1.80,0.22,0.15,0.00,0.00,0.00,0.00
2017-09-19 22:42:23,17.60,0.00,0.73,1.06,0.00,0.00,0.00,0.00,0.00,80.61,18.80,2460.40,2713.60,0.00,0.00,0.00,1445.60,15214.60,0.00,8428.00,0.00,0.00,0.00,0.00,42.60,0.00,42.60,0.00,10724.80,12632036,0,2768872,17.98,10144,803764,14024612,91.06,2075228,502788,260556,1766444,61084,6048,9680,30304,0,0,0.00,0,0.00,3,776,4.34,4.74,3.66,0,42.60,0.00,10724.80,251.76,27.27,989.69,6.67,28.40,2.20,2.20,0.26,0.18,0.00,0.00,0.00,0.00
2017-09-19 22:42:28,38.85,0.00,1.69,0.03,0.05,0.00,0.00,0.00,0.00,59.38,36.00,4488.00,4592.40,0.00,0.00,0.00,60.00,22673.60,0.00,10252.00,0.00,0.00,0.00,0.00,2.80,0.00,2.80,0.00,120.00,11598448,0,3802460,24.69,10152,804080,17390456,112.92,3104512,500396,260880,2795072,63016,7136,13216,30304,0,0,0.00,0,0.00,1,890,4.07,4.67,3.65,0,2.80,0.00,120.00,42.86,0.00,0.00,0.00,0.00,3.00,3.00,0.36,0.25,0.00,0.00,0.00,0.00
2017-09-19 22:42:33,42.51,0.00,2.84,0.00,0.03,0.00,0.00,0.00,0.00,54.63,8.40,4641.00,4755.80,0.00,0.00,0.00,2044.80,4645.60,0.00,26181.40,0.00,0.00,0.00,0.00,17.00,0.00,17.00,0.00,4089.60,8049212,0,7351696,47.74,10160,893108,17580732,114.15,6582188,564392,340116,6246312,63976,7448,20192,30304,0,0,0.00,0,0.00,19,919,4.06,4.66,3.65,0,17.00,0.00,4089.60,240.56,4.86,285.98,6.68,11.36,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 22:42:38,11.97,0.00,7.47,36.15,0.00,0.00,0.00,0.00,0.00,44.41,0.00,3952.60,2854.60,0.00,0.00,0.80,20623.20,49885.60,0.00,32927.60,0.00,0.00,0.00,0.00,150.80,0.20,150.60,1.60,34283.20,5931068,0,9469840,61.49,10172,2950472,17588472,114.20,7013800,2195388,2295220,6249124,122524,7440,20264,30304,0,0,0.00,0,0.00,0,915,4.30,4.70,3.67,5,150.80,1.60,34283.20,227.35,115.81,656.33,6.20,93.44,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 22:42:43,0.23,0.00,0.13,53.75,0.00,0.00,0.00,0.00,0.00,45.89,0.00,3440.60,2163.80,0.00,0.00,1.60,17187.20,2312.00,0.00,1521.40,0.00,0.00,0.00,0.00,131.00,0.40,130.60,3.20,33350.40,5913724,0,9487184,61.60,10188,2967116,17588472,114.20,7028304,2198240,2234780,6249304,123176,7392,20276,30304,0,0,0.00,0,0.00,0,910,4.44,4.72,3.68,5,131.00,3.20,33350.40,254.61,128.81,1019.68,7.63,100.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-19 22:42:48,0.25,0.00,0.10,53.48,0.03,0.00,0.00,0.00,0.00,46.14,0.00,3276.80,2094.40,0.00,0.00,0.00,16503.20,1140.40,0.00,667.60,0.00,0.00,0.00,0.00,131.00,0.00,131.00,0.00,33467.20,5902368,0,9498540,61.68,10196,2977376,17588472,114.20,7030724,2205920,2174436,6249464,123432,7392,20276,30304,0,0,0.00,0,0.00,0,910,4.64,4.76,3.70,5,131.00,0.00,33467.20,255.47,124.04,929.86,7.63,100.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-19 22:42:53,0.15,0.00,0.05,55.91,0.03,0.00,0.00,0.00,0.00,43.86,0.00,3139.20,2010.00,0.00,0.00,0.80,17900.80,876.80,0.00,58.60,0.00,0.00,0.00,0.00,144.80,0.20,144.60,1.60,36707.20,5885080,0,9515828,61.79,10208,2994812,17588472,114.20,7058964,2194692,2102368,6249004,123808,7392,20252,30304,0,0,0.00,0,0.00,0,910,4.75,4.78,3.71,5,144.80,1.60,36707.20,253.51,131.49,899.51,6.91,100.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 22:42:58,0.35,0.00,0.13,51.16,0.00,0.00,0.00,0.00,0.00,48.37,0.00,3158.00,2035.40,0.00,0.00,0.00,18347.20,837.20,0.00,37.80,0.00,0.00,0.00,0.00,148.60,0.00,148.60,0.00,35532.80,5867316,0,9533592,61.90,10220,3010608,17588472,114.20,7061448,2210604,2026864,6251464,124188,7392,20284,30304,0,0,0.00,0,0.00,0,910,4.77,4.78,3.72,5,148.60,0.00,35532.80,239.12,135.52,921.02,6.73,100.00,1.80,1.80,0.19,0.13,0.00,0.00,0.00,0.00
2017-09-19 22:43:03,0.20,0.00,0.18,48.87,0.00,0.00,0.00,0.00,0.00,50.76,0.00,3269.20,2084.20,0.00,0.00,0.80,12280.80,1338.00,0.00,15147.20,0.00,0.00,0.00,0.00,122.60,0.20,122.40,1.60,31334.40,6141388,0,9259520,60.12,10228,2742468,17588472,114.20,6795280,2208836,1766844,6251500,117284,7392,20268,30304,0,0,0.00,0,0.00,1,910,4.87,4.80,3.73,7,122.60,1.60,31334.40,255.60,129.26,1131.25,8.16,100.00,1.80,1.40,0.17,0.10,0.00,0.00,0.00,0.00
