timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-23 19:47:57,18.59,0.00,1.45,0.03,0.03,0.00,0.05,0.00,0.00,79.86,23.60,4538.00,4690.00,0.00,0.00,0.00,134.40,15374.80,0.00,18825.40,0.00,0.00,0.00,0.00,14.40,0.00,14.40,0.00,268.80,13359932,0,2040976,13.25,23980,466512,3887128,25.24,1693260,158148,131248,1364916,64348,5136,7928,30368,0,0,0.00,0,0.00,3,632,1.45,2.16,2.57,0,14.40,0.00,268.80,18.67,0.02,1.50,0.17,0.24,1.80,1.80,0.21,0.21,0.00,0.00,0.00,0.00
2017-09-23 19:48:02,16.07,0.00,1.06,0.43,0.00,0.00,0.08,0.00,0.00,82.36,16.20,3296.00,3635.40,0.00,0.00,0.00,21004.00,8319.40,0.00,7007.80,0.00,0.00,0.00,0.00,166.80,0.00,166.80,0.00,42008.00,13014932,0,2385976,15.49,23980,595364,4561672,29.62,1921520,276224,155300,1578584,64684,5568,8948,30368,0,0,0.00,0,0.00,0,689,1.57,2.17,2.57,0,166.80,0.00,42008.00,251.85,7.56,45.32,0.35,5.76,2.20,2.20,0.27,0.18,0.00,0.00,0.00,0.00
2017-09-23 19:48:07,37.90,0.00,1.89,0.76,0.05,0.00,0.00,0.00,0.00,59.40,44.20,4085.40,4666.00,0.00,0.00,0.00,31085.60,24125.40,0.00,9710.00,0.00,0.00,0.00,0.00,255.60,0.00,255.60,0.00,62171.20,12032524,0,3368384,21.87,23992,595692,17508088,113.68,2900352,272804,496,2553444,66284,6440,12084,30368,0,0,0.00,0,0.00,5,852,1.85,2.22,2.58,0,255.60,0.00,62171.20,243.24,11.54,45.15,0.34,8.64,2.40,2.40,0.28,0.19,0.00,0.00,0.00,0.00
2017-09-23 19:48:12,40.97,0.00,1.67,0.00,0.03,0.00,0.00,0.00,0.00,57.33,14.40,4716.80,4531.40,0.00,0.00,0.00,2029.60,9137.80,0.00,11738.00,0.00,0.00,0.00,0.00,16.60,0.00,16.60,0.00,4059.20,10673284,0,4727624,30.70,24000,616944,17760324,115.32,4201260,278616,12080,3886036,67668,7288,14348,30368,0,0,0.00,0,0.00,4,897,1.78,2.20,2.57,0,16.60,0.00,4059.20,244.53,0.15,9.20,0.43,0.72,2.00,2.00,0.23,0.23,0.00,0.00,0.00,0.00
2017-09-23 19:48:17,57.37,0.00,1.39,0.00,0.00,0.00,0.03,0.00,0.00,41.22,5.80,4795.60,4804.00,0.00,0.00,0.00,42.40,8580.20,0.00,10905.40,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,84.80,9134476,0,6266432,40.69,24008,617060,18023444,117.03,5752284,277876,12292,5422200,67988,7464,17980,30368,0,0,0.00,0,0.00,4,922,2.60,2.36,2.62,0,0.60,0.00,84.80,141.33,0.00,1.33,1.33,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 19:48:22,54.44,0.00,2.86,0.00,0.03,0.00,0.00,0.00,0.00,42.68,0.00,4734.20,4687.60,0.00,0.00,0.00,79.20,2566.00,0.00,175745.20,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,158.40,7736364,0,7664544,49.77,24016,630460,18012188,116.96,7168672,286740,26024,6801536,68016,7432,21360,30368,0,0,0.00,0,0.00,2,915,2.79,2.41,2.64,0,1.00,0.00,158.40,158.40,0.00,0.80,0.80,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 19:48:27,52.07,0.00,0.64,0.00,0.03,0.00,0.03,0.00,0.00,47.24,0.60,5124.40,4329.20,0.00,0.00,0.00,99.20,171.00,0.00,2565.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,198.40,7650640,0,7750268,50.32,24024,651188,18012188,116.96,7219312,299620,47092,6865316,68064,7440,21432,30368,0,0,0.00,0,0.00,2,916,3.37,2.53,2.68,0,1.00,0.00,198.40,198.40,0.00,3.20,0.80,0.08,1.60,1.60,0.18,0.19,0.00,0.00,0.00,0.00
2017-09-23 19:48:32,52.20,0.00,1.19,0.03,0.03,0.00,0.00,0.00,0.00,46.56,0.00,3665.20,3378.00,0.00,0.00,0.00,172.80,899.60,0.00,36851.00,0.00,0.00,0.00,0.00,6.20,0.00,6.20,0.00,345.60,7190816,0,8210092,53.31,24032,716936,18049260,117.20,7661528,339596,112900,7260460,68292,7432,22276,30368,0,0,0.00,0,0.00,4,915,3.42,2.56,2.68,0,6.20,0.00,345.60,55.74,0.00,0.39,0.26,0.16,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 19:48:37,60.08,0.00,1.74,0.03,0.00,0.00,0.03,0.00,0.00,38.13,0.80,3868.20,3331.80,0.00,0.00,0.00,410.40,4346.80,0.00,42115.40,0.00,0.00,0.00,0.00,12.40,0.00,12.40,0.00,820.80,6651896,0,8749012,56.81,24128,837348,18067508,117.31,8093216,413680,233268,7676164,68816,7448,22604,30368,0,0,0.00,0,0.00,9,917,3.47,2.58,2.69,0,12.40,0.00,820.80,66.19,0.01,0.90,0.45,0.56,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-23 19:48:42,52.19,0.00,1.21,0.00,0.03,0.00,0.00,0.00,0.00,46.57,0.20,4201.80,3584.40,0.00,0.00,0.00,393.60,2056.40,0.00,16394.80,0.00,0.00,0.00,0.00,20.40,0.00,20.40,0.00,787.20,6460348,0,8940560,58.05,24140,826124,18050376,117.20,8313880,406692,220404,7868420,74996,7440,23496,30368,0,0,0.00,0,0.00,1,917,3.51,2.60,2.70,0,20.40,0.00,787.20,38.59,0.12,5.88,0.16,0.32,3.00,3.00,0.34,0.30,0.00,0.00,0.00,0.00
