timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-23 14:26:04,14.91,0.00,1.25,2.68,0.05,0.00,0.00,0.00,0.00,81.10,21.60,6173.40,5732.80,0.00,0.00,29036.80,109.60,11727.40,10.40,12189.20,0.00,0.00,0.00,0.00,919.80,916.20,3.60,58073.60,219.20,13350816,0,2050092,13.31,10256,326616,4205732,27.31,1611332,276504,131768,1551972,40464,5304,8444,30368,0,0,0.00,0,0.00,0,650,13.43,4.70,1.79,0,919.80,58073.60,219.20,63.38,0.57,0.62,0.42,38.96,1.80,1.80,0.21,0.14,0.00,0.00,0.00,0.00
2017-09-23 14:26:09,13.38,0.00,1.03,0.66,0.03,0.00,0.05,0.00,0.00,84.86,16.60,3349.20,3287.20,0.00,0.00,3480.80,42.40,8451.20,29.60,4956.80,0.00,0.00,0.00,0.00,123.80,123.00,0.80,6961.60,84.80,13010436,0,2390472,15.52,10328,473600,4711412,30.59,1815580,407188,260988,1739036,45096,5728,9404,30368,0,0,0.00,0,0.00,0,702,12.43,4.64,1.78,0,123.80,6961.60,84.80,56.92,0.07,0.57,0.45,5.52,2.60,2.60,0.31,0.21,0.00,0.00,0.00,0.00
2017-09-23 14:26:14,37.65,0.00,1.62,0.03,0.00,0.00,0.00,0.00,0.00,60.70,42.40,4042.60,4439.00,0.00,0.00,0.00,22.40,26273.80,0.00,9149.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,44.80,12023952,0,3376956,21.93,10340,473968,17672384,114.75,2799192,402692,261324,2717768,47224,6792,12700,30368,0,0,0.00,0,0.00,1,856,11.52,4.58,1.78,0,0.40,0.00,44.80,112.00,0.00,0.00,0.00,0.00,2.40,2.40,0.28,0.26,0.00,0.00,0.00,0.00
2017-09-23 14:26:19,21.43,0.00,1.26,12.36,0.03,0.00,0.00,0.00,0.00,64.92,14.00,4318.40,3983.20,0.00,0.00,243.20,2012.00,7983.00,0.60,9625.20,0.00,0.00,0.00,0.00,29.40,12.80,16.60,486.40,4024.00,10951032,0,4449876,28.89,10352,496532,17920120,116.36,3799960,406996,272864,3759668,49592,7312,14348,30368,0,0,0.00,0,0.00,19,899,10.76,4.54,1.78,0,29.40,486.40,4024.00,153.41,12.95,440.52,10.80,31.76,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-23 14:26:24,61.66,0.00,4.75,0.03,0.03,0.00,0.00,0.00,0.00,33.54,0.00,5373.20,4165.20,0.00,0.00,0.80,72.80,1586.40,0.00,266002.20,0.00,0.00,0.00,0.00,2.80,0.20,2.60,1.60,145.60,6846720,0,8554188,55.54,10360,496468,17920120,116.36,7895904,406564,272740,7859136,49436,7240,23324,30368,0,0,0.00,0,0.00,4,891,10.78,4.64,1.83,0,2.80,1.60,145.60,52.57,0.01,4.57,4.29,1.20,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 14:26:29,57.85,0.00,2.63,0.03,0.03,0.00,0.00,0.00,0.00,39.47,0.00,5339.00,3659.20,0.00,0.00,0.00,196.00,855.80,0.00,158871.60,0.00,0.00,0.00,0.00,18.80,0.00,18.80,0.00,392.00,5163980,0,10236928,66.47,10368,496492,17920120,116.36,9557376,406416,271868,9536856,49280,7208,26532,30368,0,0,0.00,0,0.00,5,887,10.23,4.63,1.84,0,18.80,0.00,392.00,20.85,0.15,7.96,0.81,1.52,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-23 14:26:34,55.11,0.00,6.19,0.00,0.03,0.00,0.00,0.00,0.00,38.67,1.40,4946.00,4141.40,0.00,0.00,0.00,70.40,8005.20,0.00,377566.20,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,140.80,1818648,0,13582260,88.19,10376,496552,18017532,116.99,12909700,399336,271816,12875860,49384,7256,32148,30368,0,0,0.00,0,0.00,4,893,9.65,4.61,1.85,0,1.20,0.00,140.80,117.33,0.03,25.33,13.33,1.60,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-23 14:26:39,66.61,0.00,2.93,2.19,0.03,0.00,0.03,0.00,0.00,28.22,4.40,6909.60,5438.20,0.00,0.00,1.60,34123.20,3237.20,0.00,132337.00,0.00,0.00,0.00,0.00,238.40,0.40,238.00,3.20,60308.80,149568,0,15251340,99.03,10400,496648,18348072,119.14,14644756,399172,101696,14541128,49428,7432,36440,30368,0,0,0.00,0,0.00,4,915,8.96,4.55,1.84,2,238.40,3.20,60308.80,252.99,72.70,145.50,2.29,54.48,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-23 14:26:44,37.37,0.00,0.98,23.32,0.00,0.00,0.03,0.00,0.00,38.30,0.00,5502.80,9538.00,0.00,0.00,0.00,4830.40,2362.20,0.00,27486.80,6377.40,1964.60,7870.40,94.35,38.60,0.00,38.60,0.00,9832.00,159080,0,15241828,98.97,4904,345088,18331708,119.03,14805896,232908,77912,14690884,49368,7432,36772,30368,0,0,0.00,0,0.00,0,915,9.37,4.70,1.91,9,38.60,0.00,9832.00,254.72,144.94,3022.16,25.91,100.00,1.60,1.60,0.16,0.18,0.00,0.00,0.00,0.00
2017-09-23 14:26:49,12.87,0.00,0.25,36.24,0.03,0.00,0.00,0.00,0.00,50.62,0.20,3566.60,2547.20,0.00,0.00,0.00,4697.60,2928.60,0.00,17638.80,4859.40,816.20,4194.80,73.91,42.40,0.00,42.40,0.00,10611.20,167528,0,15233380,98.91,4908,260928,18331708,119.03,14882080,148732,55060,14765156,48836,7432,36932,30368,0,0,0.00,0,0.00,5,915,9.42,4.79,1.95,1,42.40,0.00,10611.20,250.26,94.13,3371.66,23.58,100.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
