timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-23 23:51:38,16.15,0.00,1.30,0.03,0.03,0.00,0.05,0.00,0.00,82.45,26.20,4761.00,4803.60,0.00,0.00,0.00,228.00,12989.40,0.00,21413.20,0.00,0.00,0.00,0.00,9.80,0.00,9.80,0.00,456.00,13127376,0,2273532,14.76,14784,592588,4105092,26.65,1759624,330740,197660,1485252,56876,5248,8476,30368,0,0,0.00,0,0.00,3,659,3.33,2.86,2.49,0,9.80,0.00,456.00,46.53,0.01,0.98,0.24,0.24,2.20,2.20,0.27,0.18,0.00,0.00,0.00,0.00
2017-09-23 23:51:43,15.47,0.00,1.03,0.00,0.03,0.00,0.03,0.00,0.00,83.45,17.20,2661.00,2607.80,0.00,0.00,0.00,54.40,11650.20,0.00,5385.20,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,108.80,12799336,0,2601572,16.89,14796,655512,7834724,50.87,2032568,382544,260456,1746872,58632,5744,9520,30368,0,0,0.00,0,0.00,2,725,3.06,2.81,2.47,0,1.00,0.00,108.80,108.80,0.00,0.00,0.00,0.00,2.20,2.20,0.27,0.18,0.00,0.00,0.00,0.00
2017-09-23 23:51:48,39.29,0.00,1.67,0.00,0.03,0.00,0.00,0.00,0.00,59.01,39.00,4188.80,4361.20,0.00,0.00,0.00,31.20,24138.20,0.00,9551.00,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,62.40,11797800,0,3603108,23.40,14816,655932,17611192,114.35,3030756,379892,260940,2739944,60980,7000,13292,30368,0,0,0.00,0,0.00,2,859,2.98,2.79,2.47,0,0.60,0.00,62.40,104.00,0.00,2.67,1.33,0.08,2.40,2.40,0.28,0.26,0.00,0.00,0.00,0.00
2017-09-23 23:51:53,42.22,0.00,1.82,0.03,0.03,0.00,0.00,0.00,0.00,55.90,14.20,4807.20,4965.80,0.00,0.00,0.00,2012.00,8783.80,0.00,11141.60,0.00,0.00,0.00,0.00,16.60,0.00,16.60,0.00,4024.00,10402432,0,4998476,32.46,14856,677096,17874532,116.06,4362672,382644,272260,4110712,61932,7360,16036,30368,0,0,0.00,0,0.00,2,906,3.06,2.81,2.48,0,16.60,0.00,4024.00,242.41,0.23,13.64,0.39,0.64,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-23 23:51:58,50.96,0.00,1.06,0.00,0.03,0.00,0.03,0.00,0.00,47.93,1.60,4337.60,4128.20,0.00,0.00,0.00,106.40,2339.60,0.00,8642.80,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,212.80,8760632,0,6640276,43.12,14992,677200,17932700,116.44,6040480,382672,272760,5747432,61964,7352,19276,30368,0,0,0.00,0,0.00,5,911,3.14,2.83,2.49,0,1.20,0.00,212.80,177.33,0.00,1.33,0.67,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 23:52:03,51.65,0.00,0.38,0.00,0.03,0.00,0.03,0.00,0.00,47.92,2.80,4981.20,4369.00,0.00,0.00,0.00,157.60,163.80,0.00,617.80,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,256.00,8705672,0,6695236,43.47,15000,677320,17932700,116.44,6110000,382640,272888,5802524,62084,7448,19568,30368,0,0,0.00,0,0.00,4,916,3.20,2.85,2.50,0,4.00,0.00,315.20,78.80,0.00,0.20,0.20,0.08,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-23 23:52:08,46.93,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,52.85,0.00,3943.20,3768.40,0.00,0.00,0.00,44.00,94.20,0.00,616.60,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,147.20,8715920,0,6684988,43.41,15008,677400,17921436,116.37,6101776,382648,273212,5792124,62092,7440,19576,30368,0,0,0.00,0,0.00,4,916,3.27,2.87,2.50,0,0.60,0.00,88.00,146.67,0.00,0.00,0.00,0.00,2.00,2.00,0.23,0.16,0.00,0.00,0.00,0.00
2017-09-23 23:52:13,47.88,0.00,0.30,2.37,0.03,0.00,0.00,0.00,0.00,49.42,0.00,4036.20,4189.40,0.00,0.00,0.00,52069.60,148.00,0.00,68.80,0.00,0.00,0.00,0.00,410.80,0.00,410.80,0.00,104139.20,8696712,0,6704196,43.53,15024,677488,17938840,116.48,6120684,382668,13288,5810952,62168,7432,19592,30368,0,0,0.00,0,0.00,4,915,3.33,2.89,2.51,0,410.80,0.00,104139.20,253.50,33.98,82.71,0.61,25.20,0.80,0.80,0.10,0.06,0.00,0.00,0.00,0.00
2017-09-23 23:52:18,53.12,0.00,0.41,0.03,0.03,0.00,0.03,0.00,0.00,46.40,0.00,5811.00,4625.80,0.00,0.00,0.00,348.00,75.80,0.00,2221.80,0.00,0.00,0.00,0.00,21.40,0.00,21.40,0.00,696.00,8661240,0,6739668,43.76,15032,677628,17938840,116.48,6155660,382704,11964,5845868,62108,7432,19660,30368,0,0,0.00,0,0.00,5,915,3.38,2.91,2.52,0,21.40,0.00,696.00,32.52,0.09,4.34,0.15,0.32,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-23 23:52:23,50.24,0.00,0.30,0.00,0.03,0.00,0.00,0.00,0.00,49.43,0.00,4044.00,3808.40,0.00,0.00,0.00,83.20,84.40,0.00,5773.40,0.00,0.00,0.00,0.00,4.20,0.00,4.20,0.00,166.40,8467728,0,6933180,45.02,15040,677712,17938840,116.48,6340528,382728,11884,6038812,62140,7432,20036,30368,0,0,0.00,0,0.00,4,915,3.43,2.93,2.53,0,4.20,0.00,166.40,39.62,0.00,0.00,0.00,0.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
