timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 06:12:43,16.98,0.00,0.93,0.45,0.03,0.00,0.00,0.00,0.00,81.61,27.80,1993.00,2147.20,0.00,0.00,1540.00,37.60,16731.00,2.20,21469.60,0.00,0.00,0.00,0.00,70.80,69.60,1.20,3080.00,75.20,5458520,0,9942388,64.56,11020,8258836,3011296,19.55,1914852,7564848,308,1209644,338796,5040,7424,30368,0,0,0.00,0,0.00,2,621,3.97,7.51,7.38,0,70.80,3080.00,75.20,44.56,0.20,2.85,0.81,5.76,2.80,2.80,0.23,0.48,0.00,0.00,0.00,0.00
2017-09-24 06:12:48,19.31,0.00,5.02,1.54,0.03,0.00,0.03,0.00,0.00,74.08,53.80,3459.20,3774.20,0.00,0.00,12419.20,90.40,23127.40,22.40,385906.40,0.00,0.00,0.00,0.00,331.20,325.60,5.60,24838.40,180.80,12605784,0,2795124,18.15,13588,1168340,3480208,22.60,1450808,1052616,2448,1325760,158100,5424,9016,30368,0,0,0.00,0,0.00,2,669,3.89,7.43,7.36,0,331.20,24838.40,180.80,75.54,1.67,5.05,0.48,16.00,8.20,8.20,0.78,1.14,0.00,0.00,0.00,0.00
2017-09-24 06:12:53,16.50,0.00,1.33,0.63,0.00,0.00,0.00,0.00,0.00,81.54,14.60,2188.20,2356.40,0.00,0.00,2032.80,684.80,5920.20,0.00,57702.60,0.00,0.00,0.00,0.00,145.80,114.00,31.80,4065.60,1369.60,13400988,0,1999920,12.99,13604,247028,3759512,24.41,1602712,191048,1140,1533016,77804,5920,9668,30368,0,0,0.00,0,0.00,0,728,3.74,7.34,7.33,0,145.80,4065.60,1369.60,37.28,0.27,1.88,0.47,6.80,3.00,3.00,0.36,0.25,0.00,0.00,0.00,0.00
2017-09-24 06:12:58,75.71,0.00,3.27,0.00,0.00,0.00,0.03,0.00,0.00,21.00,57.60,4978.80,3537.80,0.00,0.00,1282.40,76.80,39976.60,0.20,18450.00,0.00,0.00,0.00,0.00,15.40,14.60,0.80,2564.80,153.60,12443384,0,2957524,19.20,13708,248912,6182744,40.15,2547228,192100,2204,2477116,81872,7632,14592,30368,0,0,0.00,0,0.00,19,953,4.64,7.47,7.37,0,15.40,2564.80,153.60,176.52,0.04,2.86,0.52,0.80,5.40,5.40,0.55,0.51,0.00,0.00,0.00,0.00
2017-09-24 06:13:03,88.62,0.00,3.33,4.46,0.00,0.00,0.13,0.00,0.00,3.46,19.20,8169.40,5272.40,0.00,0.00,75276.00,31.20,14430.00,0.00,25637.80,0.00,0.00,0.00,0.00,567.20,566.40,0.80,143686.40,62.40,11039528,0,4361380,28.32,13720,619980,6292776,40.86,3572484,562060,3180,3501940,83820,8240,17144,30368,0,0,0.00,0,0.00,2,1015,6.03,7.71,7.45,11,567.40,143737.60,62.40,253.44,23.56,38.97,0.49,27.68,0.20,0.20,0.01,0.08,0.00,0.00,0.00,0.00
2017-09-24 06:13:08,80.68,0.00,4.65,8.25,0.03,0.00,0.13,0.00,0.00,6.26,0.00,5995.40,5282.80,0.00,0.00,113254.40,12956.80,295.20,0.00,4254.40,0.00,0.00,0.00,0.00,1039.00,916.80,122.20,233374.40,25913.60,9978568,0,5422340,35.21,13728,1654788,6292776,40.86,4077072,1123872,411592,3533600,84336,8216,17212,30368,0,0,0.00,0,0.00,9,1009,6.59,7.80,7.48,0,1038.80,233323.20,25913.60,249.55,98.81,96.51,0.89,92.48,0.60,0.60,0.04,1.06,0.00,0.00,0.00,0.00
2017-09-24 06:13:13,90.27,0.00,9.21,0.05,0.00,0.00,0.00,0.00,0.00,0.48,6.40,4040.60,4036.80,0.00,0.00,19763.20,64356.80,1063.60,0.00,8347.00,0.00,0.00,0.00,0.00,633.60,155.40,478.20,39526.40,122140.80,8700452,0,6700456,43.51,13764,2900692,6324552,41.07,5233324,1218780,1314488,3538636,108176,8256,17228,30368,0,0,0.00,0,0.00,0,1021,7.02,7.87,7.50,1,633.60,39526.40,122140.80,255.16,47.61,71.40,0.67,42.56,0.80,0.80,0.05,0.18,0.00,0.00,0.00,0.00
2017-09-24 06:13:18,80.60,0.00,6.93,6.11,0.03,0.00,0.05,0.00,0.00,6.28,72.40,5727.40,4892.60,0.00,0.00,0.80,121812.00,38415.00,0.00,161604.60,0.00,0.00,0.00,0.00,957.20,0.20,957.00,1.60,242206.40,10367960,0,5032948,32.68,13856,2361064,6186916,40.17,3579812,1212596,657932,2421924,100720,7544,14156,30368,0,0,0.00,0,0.00,26,937,7.18,7.89,7.51,1,957.40,1.60,242257.60,253.04,140.30,145.78,1.04,99.92,4.80,4.80,0.48,0.58,0.00,0.00,0.00,0.00
2017-09-24 06:13:23,94.97,0.00,3.48,0.83,0.00,0.00,0.08,0.00,0.00,0.65,23.20,6567.80,4813.60,0.00,0.00,33951.20,116475.20,15777.60,0.00,9301.40,0.00,0.00,0.00,0.00,1147.00,231.40,915.60,58585.60,234233.60,9197624,0,6203284,40.28,13888,2526264,6321996,41.05,4581872,1376804,77604,3419228,102400,8200,16696,30368,0,0,0.00,0,0.00,6,1019,8.21,8.09,7.58,11,1147.20,58636.80,234233.60,255.29,159.00,136.76,0.87,100.00,1.20,1.20,0.13,0.10,0.00,0.00,0.00,0.00
2017-09-24 06:13:28,49.54,0.00,1.95,21.60,0.00,0.00,0.08,0.00,0.00,26.83,0.20,5199.20,4608.00,0.00,0.00,117220.00,14976.00,225.80,0.00,7259.80,0.00,0.00,0.00,0.00,1102.60,959.00,143.60,241913.60,36659.20,8367168,0,7033740,45.67,13900,3222060,6341680,41.18,4830928,1958208,116944,3556984,103296,8272,17176,30368,0,0,0.00,0,0.00,12,1020,8.27,8.10,7.58,1,1102.40,241913.60,36608.00,252.65,177.71,165.81,0.91,100.00,0.20,0.20,0.01,0.06,0.00,0.00,0.00,0.00
2017-09-24 06:13:33,92.57,0.00,7.20,0.00,0.00,0.00,0.15,0.00,0.00,0.08,4.40,5921.20,4040.80,0.00,0.00,58507.20,12.80,223.00,0.00,673.00,0.00,0.00,0.00,0.00,466.80,466.40,0.40,118857.60,25.60,7050160,0,8350748,54.22,13908,4510808,6349896,41.23,5841728,2246408,1118560,3563956,123708,8208,17216,30368,0,0,0.00,0,0.00,11,1019,8.41,8.14,7.60,0,466.60,118806.40,25.60,254.68,3.33,7.44,0.56,26.00,0.80,0.80,0.05,0.25,0.00,0.00,0.00,0.00
2017-09-24 06:13:38,86.39,0.00,11.83,0.40,0.03,0.00,0.00,0.00,0.00,1.35,61.20,4988.20,4252.60,0.00,0.00,0.00,111148.00,24381.40,0.00,142145.00,0.00,0.00,0.00,0.00,884.40,0.00,884.40,0.00,222296.00,8180400,0,7220508,46.88,13980,4614512,6260640,40.65,4714784,2240168,1103196,2328600,127928,7360,13624,30368,0,0,0.00,0,0.00,17,941,8.46,8.15,7.60,0,884.40,0.00,222296.00,251.35,96.44,109.04,0.80,71.04,2.20,2.20,0.22,0.30,0.00,0.00,0.00,0.00
2017-09-24 06:13:43,96.50,0.00,3.40,0.00,0.00,0.00,0.05,0.00,0.00,0.05,26.40,6336.40,4024.20,0.00,0.00,16556.80,51696.00,27986.40,0.00,34872.20,0.00,0.00,0.00,0.00,490.40,118.00,372.40,29990.40,95200.00,7505608,0,7895300,51.27,14016,4557348,6331788,41.11,5300788,2317484,773340,3059320,124960,7904,15764,30368,0,0,0.00,0,0.00,24,990,9.38,8.35,7.67,3,490.40,29990.40,95200.00,255.28,41.61,78.59,0.56,27.60,3.80,3.80,0.40,0.35,0.00,0.00,0.00,0.00
2017-09-24 06:13:48,70.49,0.00,3.84,12.01,0.03,0.00,0.10,0.00,0.00,13.53,10.00,7014.00,5362.60,0.00,0.00,90949.60,43467.20,4136.00,0.00,19824.40,0.00,0.00,0.00,0.00,1066.80,703.40,363.40,177904.00,92976.00,6350036,0,9050872,58.77,14040,5149148,6422560,41.70,5954140,2831380,903428,3623152,128908,8296,17320,30368,0,0,0.00,0,0.00,2,1022,10.79,8.66,7.77,8,1067.00,177904.00,93027.20,253.92,250.45,232.85,0.94,100.00,1.20,1.20,0.12,0.15,0.00,0.00,0.00,0.00
2017-09-24 06:13:53,71.46,0.00,5.45,9.86,0.00,0.00,0.10,0.00,0.00,13.14,1.80,4341.20,4765.80,0.00,0.00,74539.20,57744.00,368.60,0.00,3395.20,0.00,0.00,0.00,0.00,1053.40,612.80,440.60,154609.60,112699.20,5231544,0,10169364,66.03,14124,6230956,6422560,41.70,6683172,3199044,1328592,3638960,148312,8272,17404,30368,0,0,0.00,0,0.00,7,1017,10.97,8.73,7.80,2,1053.60,154712.00,112648.00,253.76,181.76,173.40,0.95,100.00,1.00,1.00,0.06,0.23,0.00,0.00,0.00,0.00
2017-09-24 06:13:58,82.32,0.00,10.07,2.08,0.03,0.00,0.08,0.00,0.00,5.42,40.60,4949.40,4480.20,0.00,0.00,1238.40,132652.00,15896.80,0.00,97874.20,0.00,0.00,0.00,0.00,1066.20,18.20,1048.00,4064.00,263331.20,5601372,0,9799536,63.63,14232,6553340,6315128,41.00,6235556,3267792,1233620,2937552,157592,7784,15056,30368,0,0,0.00,0,0.00,11,968,10.73,8.72,7.80,1,1066.00,3961.60,263382.40,250.79,139.76,133.19,0.94,100.00,1.60,1.60,0.15,0.21,0.00,0.00,0.00,0.00
2017-09-24 06:14:03,95.69,0.00,3.51,0.03,0.00,0.00,0.08,0.00,0.00,0.70,39.40,6997.00,4735.20,0.00,0.00,34733.60,11764.80,30570.00,0.00,60149.20,0.00,0.00,0.00,0.00,392.00,272.40,119.60,69467.20,30441.60,5439520,0,9961388,64.68,14260,6594540,6345588,41.20,6185380,3484136,1101320,3060360,154704,7928,16028,30368,0,0,0.00,0,0.00,19,995,10.83,8.77,7.83,0,391.80,69467.20,30390.40,254.87,11.94,35.34,0.62,24.32,4.00,4.00,0.40,0.47,0.00,0.00,0.00,0.00
