timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-26 15:07:56,17.61,0.00,0.75,0.00,0.05,0.00,0.00,0.00,0.00,81.59,28.60,1930.80,2126.80,0.00,0.00,0.00,39.20,19507.80,0.00,24834.40,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,78.40,13691092,0,1709816,11.10,32816,189504,3384008,21.97,1460520,62640,332,1307092,56668,5232,7812,30368,0,0,0.00,0,0.00,1,636,1.98,2.81,2.53,0,1.60,0.00,78.40,49.00,0.00,0.00,0.00,0.00,0.80,1.00,0.10,0.15,0.00,0.00,0.00,0.00
2017-09-26 15:08:01,13.51,0.00,2.54,0.00,0.00,0.00,0.03,0.00,0.00,83.92,49.60,2750.80,2427.00,0.00,0.00,0.00,292.80,26924.40,0.00,25438.20,0.00,0.00,0.00,0.00,3.20,0.00,3.20,0.00,585.60,13369096,0,2031812,13.19,32828,342800,3459688,22.46,1584296,211352,154908,1443352,86336,5272,9320,30368,0,0,0.00,0,0.00,1,645,2.14,2.83,2.54,0,3.20,0.00,585.60,183.00,0.00,1.00,0.25,0.08,5.40,5.40,0.62,0.44,0.00,0.00,0.00,0.00
2017-09-26 15:08:06,17.25,0.00,1.45,0.38,0.03,0.00,0.05,0.00,0.00,80.85,71.20,5740.40,6329.80,0.00,0.00,15.20,2906.40,9472.00,0.60,8590.20,0.00,0.00,0.00,0.00,65.40,1.00,64.40,30.40,5812.80,13025172,0,2375736,15.43,32872,485140,3827832,24.85,1799528,346508,311172,1630472,98212,5304,10256,30368,0,0,0.00,0,0.00,1,679,2.05,2.80,2.53,0,65.40,30.40,5812.80,89.35,0.43,6.59,0.53,3.44,2.20,2.20,0.25,0.18,0.00,0.00,0.00,0.00
2017-09-26 15:08:11,15.22,0.00,0.48,0.00,0.03,0.00,0.00,0.00,0.00,84.28,14.60,1860.20,1851.60,0.00,0.00,0.00,60.80,5671.60,0.00,9992.20,0.00,0.00,0.00,0.00,2.40,0.00,2.40,0.00,121.60,12834512,0,2566396,16.66,32884,485572,4109068,26.68,1991416,346744,311752,1819852,98536,6048,10820,30368,0,0,0.00,0,0.00,0,742,2.05,2.79,2.53,0,2.40,0.00,121.60,50.67,0.00,0.33,0.33,0.08,2.80,2.80,0.32,0.22,0.00,0.00,0.00,0.00
2017-09-26 15:08:16,92.81,0.00,3.43,0.00,0.00,0.00,0.00,0.00,0.00,3.76,62.00,4962.60,3789.60,0.00,0.00,0.00,3105.60,49437.60,0.00,46733.00,0.00,0.00,0.00,0.00,47.80,0.00,47.80,0.00,6211.20,12287512,0,3113396,20.22,32904,486444,6092740,39.56,2526180,347224,297892,2353924,103012,7720,14336,30368,0,0,0.00,0,0.00,14,859,3.08,2.99,2.60,0,47.80,0.00,6211.20,129.94,1.12,23.33,0.89,4.24,5.60,5.40,0.57,0.44,0.00,0.00,0.00,0.00
2017-09-26 15:08:21,16.22,0.00,2.29,0.30,0.03,0.00,0.03,0.00,0.00,81.13,56.60,3260.00,3122.80,0.00,0.00,0.00,1788.80,21603.40,0.00,80422.60,0.00,0.00,0.00,0.00,20.40,0.00,20.40,0.00,3577.60,13421984,0,1978924,12.85,32976,242700,3980956,25.85,1672900,111768,62252,1515356,59968,5704,9412,30368,0,0,0.00,0,0.00,3,686,3.08,2.99,2.60,0,20.40,0.00,3577.60,175.37,0.23,11.41,1.73,3.52,2.60,2.60,0.30,0.21,0.00,0.00,0.00,0.00
2017-09-26 15:08:26,14.96,0.00,2.18,0.03,0.03,0.00,0.00,0.00,0.00,82.81,51.90,2757.88,2670.66,0.00,0.00,0.00,415.17,28912.38,0.00,43041.12,0.00,0.00,0.00,0.00,4.79,0.00,4.79,0.00,830.34,13501684,0,1899224,12.33,32992,277316,3449164,22.40,1549476,147532,97280,1387184,74608,5288,9216,30368,0,0,0.00,0,0.00,3,647,3.07,2.99,2.60,0,4.79,0.00,830.34,173.33,0.01,1.67,0.50,0.24,5.99,5.99,0.70,0.50,0.00,0.00,0.00,0.00
2017-09-26 15:08:31,14.87,0.00,1.60,0.33,0.03,0.00,0.03,0.00,0.00,83.14,59.20,5569.40,6164.40,0.00,0.00,0.00,2871.20,7080.00,0.00,9005.40,0.00,0.00,0.00,0.00,64.80,0.00,64.80,0.00,5742.40,13132920,0,2267988,14.73,33036,454524,3474392,22.56,1725000,318748,280508,1556128,98472,5312,9808,30368,0,0,0.00,0,0.00,2,661,2.90,2.96,2.59,0,64.80,0.00,5742.40,88.62,0.44,6.83,0.64,4.16,2.40,2.40,0.26,0.19,0.00,0.00,0.00,0.00
2017-09-26 15:08:36,18.51,0.00,0.73,0.03,0.00,0.00,0.00,0.00,0.00,80.73,26.60,2334.80,2443.60,0.00,0.00,0.80,128.80,9242.60,0.00,10989.80,0.00,0.00,0.00,0.00,3.00,0.20,2.80,1.60,257.60,12822592,0,2578316,16.74,33048,486596,4127204,26.80,1998424,347168,312276,1830160,100340,6056,10872,30368,0,0,0.00,0,0.00,1,745,2.75,2.93,2.58,0,3.00,1.60,257.60,86.40,0.02,5.60,5.07,1.52,2.80,2.80,0.32,0.22,0.00,0.00,0.00,0.00
2017-09-26 15:08:41,74.25,0.00,2.84,0.00,0.03,0.00,0.00,0.00,0.00,22.89,52.20,4508.80,3219.60,0.00,0.00,0.00,61.60,43191.00,0.00,16507.20,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,123.20,11812756,0,3588152,23.30,33064,487500,8217116,53.35,2998980,347668,312948,2826132,104640,7624,15996,30368,0,0,0.00,0,0.00,21,954,4.45,3.28,2.70,0,1.20,0.00,123.20,102.67,0.02,14.67,14.67,1.76,4.80,4.80,0.50,0.39,0.00,0.00,0.00,0.00
