timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-21 06:59:57,17.17,0.00,1.03,0.00,0.05,0.00,0.00,0.00,0.00,81.75,27.20,1848.60,1930.40,0.00,0.00,0.00,40.00,16625.40,0.00,22616.60,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,80.00,12084064,0,3316844,21.54,145616,1239800,3345236,21.72,2203292,852604,152,1678768,125204,5544,8388,30304,0,0,0.00,0,0.00,1,680,2.61,6.25,7.30,0,1.40,0.00,80.00,57.14,0.00,1.14,1.14,0.16,0.80,0.80,0.10,0.07,0.00,0.00,0.00,0.00
2017-09-21 07:00:02,15.96,0.00,1.03,0.03,0.05,0.00,0.03,0.00,0.00,82.91,44.00,2464.80,2546.00,0.00,0.00,0.00,15.20,24498.40,0.00,21238.40,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,30.40,11938164,0,3462744,22.48,145616,1248284,3416408,22.18,2349240,860552,23236,1816016,124980,5680,10044,30304,0,0,0.00,0,0.00,2,695,2.48,6.16,7.27,0,2.20,0.00,30.40,13.82,0.00,1.45,1.45,0.32,5.80,5.80,0.68,0.49,0.00,0.00,0.00,0.00
2017-09-21 07:00:07,17.08,0.00,0.73,0.03,0.05,0.00,0.00,0.00,0.00,82.11,30.40,2272.20,2479.40,0.00,0.00,0.00,84.00,9154.20,0.00,8205.60,0.00,0.00,0.00,0.00,5.60,0.00,5.60,0.00,168.00,11688204,0,3712704,24.11,145624,1249140,4079708,26.49,2598184,861208,24272,2064668,125320,6024,11004,30304,0,0,0.00,0,0.00,3,786,2.36,6.08,7.23,0,5.60,0.00,168.00,30.00,0.00,0.86,0.57,0.32,4.20,4.20,0.49,0.33,0.00,0.00,0.00,0.00
2017-09-21 07:00:12,58.34,0.00,2.38,0.00,0.05,0.00,0.00,0.00,0.00,39.22,48.20,4533.60,2991.40,0.00,0.00,0.00,72.80,37283.60,0.00,16589.60,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,145.60,10786316,0,4614592,29.96,145644,1250100,6464656,41.98,3485308,861832,25464,2953700,128672,7928,15528,30304,0,0,0.00,0,0.00,16,971,2.50,6.04,7.21,0,1.60,0.00,145.60,91.00,0.00,2.50,0.50,0.08,1.20,1.20,0.12,0.09,0.00,0.00,0.00,0.00
2017-09-21 07:00:17,96.70,0.00,3.00,0.00,0.00,0.00,0.03,0.00,0.00,0.28,23.80,7223.00,3325.80,0.00,0.00,0.00,82.40,15376.60,0.00,9560.80,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,164.80,9715728,0,5685180,36.91,145652,1251132,6574896,42.69,4554820,862764,26780,4020952,129444,8544,18592,30304,0,0,0.00,0,0.00,23,1054,3.02,6.09,7.22,0,1.00,0.00,164.80,164.80,0.00,0.00,0.00,0.00,4.60,4.60,0.49,0.37,0.00,0.00,0.00,0.00
2017-09-21 07:00:22,97.82,0.00,1.90,0.00,0.00,0.00,0.23,0.00,0.00,0.05,0.00,12059.40,3801.80,0.00,0.00,0.00,34.40,315.20,0.00,1518.40,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,68.80,9696184,0,5704724,37.04,145652,1251164,6574896,42.69,4569088,862748,26824,4035184,130512,8520,18652,30304,0,0,0.00,0,0.00,11,1051,4.06,6.26,7.27,0,0.80,0.00,68.80,86.00,0.00,0.00,0.00,0.00,0.20,0.20,0.01,0.01,0.00,0.00,0.00,0.00
2017-09-21 07:00:27,98.48,0.00,1.40,0.00,0.02,0.00,0.05,0.00,0.00,0.05,0.00,4632.53,2900.80,0.00,0.00,0.00,194.01,378.04,0.00,567.86,0.00,0.00,0.00,0.00,24.75,0.00,24.75,0.00,388.02,9699060,0,5701848,37.02,145652,1251204,6574896,42.69,4566716,862764,25856,4032624,129996,8456,18652,30304,0,0,0.00,0,0.00,9,1043,4.37,6.29,7.28,0,24.75,0.00,388.02,15.68,0.14,5.81,0.10,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-21 07:00:32,98.22,0.00,1.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1847.20,2640.00,0.00,0.00,0.00,4604.00,166.00,0.00,339.60,0.00,0.00,0.00,0.00,51.60,0.00,51.60,0.00,9208.00,9462300,0,5938608,38.56,145652,1494156,6574896,42.69,4805144,862916,245976,4029364,129860,8392,18652,30304,0,0,0.00,0,0.00,8,1035,4.66,6.31,7.28,0,51.60,0.00,9208.00,178.45,1.35,26.16,0.28,1.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-21 07:00:37,97.52,0.00,2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.60,2783.60,2645.80,0.00,0.00,0.00,247.20,434.80,0.00,325.20,0.00,0.00,0.00,0.00,10.60,0.00,10.60,0.00,494.40,9173512,0,6227396,40.44,145676,1773704,6599116,42.85,5087444,862916,524508,4033424,136764,8584,18692,30304,0,0,0.00,0,0.00,9,1060,5.01,6.36,7.29,0,10.60,0.00,494.40,46.64,0.02,2.19,0.15,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-21 07:00:42,76.04,0.00,2.94,0.03,0.03,0.00,0.00,0.00,0.00,20.98,31.00,3944.60,3496.40,0.00,0.00,0.00,123.20,8312.20,0.00,120816.20,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,246.40,11151052,0,4249856,27.59,145684,1611744,4387828,28.49,3117124,861608,362476,2223372,135920,6696,11828,30304,0,0,0.00,0,0.00,3,820,5.33,6.40,7.30,0,3.00,0.00,246.40,82.13,0.00,0.27,0.27,0.08,1.40,1.40,0.14,0.10,0.00,0.00,0.00,0.00
2017-09-21 07:00:47,68.95,0.00,2.47,0.00,0.00,0.00,0.05,0.00,0.00,28.53,41.60,4159.00,4623.80,0.00,0.00,0.00,19228.80,28341.80,0.00,26301.40,0.00,0.00,0.00,0.00,156.80,0.00,156.80,0.00,38457.60,10617504,0,4783404,31.06,145700,1638876,5638808,36.61,3553816,956956,295100,2728184,135772,7728,14412,30304,0,0,0.00,0,0.00,8,923,5.06,6.33,7.27,0,156.80,0.00,38457.60,245.27,3.20,20.40,0.37,5.84,3.80,3.80,0.40,0.31,0.00,0.00,0.00,0.00
2017-09-21 07:00:52,95.59,0.00,3.18,0.00,0.03,0.00,0.00,0.00,0.00,1.20,32.20,4842.20,3519.20,0.00,0.00,0.00,28784.00,23041.40,0.00,11211.60,0.00,0.00,0.00,0.00,230.40,0.00,230.40,0.00,57568.00,9869092,0,5531816,35.92,145748,1787012,6637752,43.10,4155056,1100792,299984,3324036,137736,8328,17072,30304,0,0,0.00,0,0.00,27,1024,5.62,6.42,7.30,0,230.40,0.00,57568.00,249.86,3.08,13.37,0.37,8.48,3.00,3.00,0.32,0.25,0.00,0.00,0.00,0.00
2017-09-21 07:00:57,96.70,0.00,3.13,0.00,0.00,0.00,0.08,0.00,0.00,0.10,15.20,7298.60,3570.00,0.00,0.00,0.00,28769.60,11932.00,0.00,8269.40,0.00,0.00,0.00,0.00,232.00,0.00,232.00,0.00,57539.20,9364040,0,6036868,39.20,145792,1969672,6755756,43.87,4489104,1265508,339088,3641252,140908,8584,17948,30304,0,0,0.00,0,0.00,13,1061,6.93,6.68,7.37,0,232.00,0.00,57539.20,248.01,2.76,11.91,0.38,8.88,1.80,1.80,0.20,0.15,0.00,0.00,0.00,0.00
2017-09-21 07:01:02,96.65,0.00,3.10,0.00,0.03,0.00,0.10,0.00,0.00,0.12,6.80,10693.80,3612.80,0.00,0.00,0.00,200.80,9699.00,0.00,10004.20,0.00,0.00,0.00,0.00,17.00,0.00,17.00,0.00,401.60,9049256,0,6351652,41.24,145800,2129988,6778092,44.01,4711856,1350840,498572,3788876,145544,8824,18288,30304,0,0,0.00,0,0.00,11,1091,7.58,6.82,7.42,0,17.00,0.00,401.60,23.62,0.24,14.35,1.88,3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-21 07:01:07,97.17,0.00,2.48,0.00,0.03,0.00,0.22,0.00,0.00,0.10,2.00,13075.40,4098.00,0.00,0.00,0.00,59.20,3445.60,0.00,8375.60,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,118.40,8887688,0,6513220,42.29,145808,2283588,6775836,44.00,4726296,1496512,652076,3795032,149512,8872,18384,30304,0,0,0.00,0,0.00,10,1096,8.01,6.92,7.45,0,3.00,0.00,118.40,39.47,0.00,0.00,0.00,0.00,0.40,0.40,0.02,0.02,0.00,0.00,0.00,0.00
2017-09-21 07:01:12,97.07,0.00,2.75,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.60,12819.20,3540.20,0.00,0.00,0.00,70.40,226.00,0.00,4954.20,0.00,0.00,0.00,0.00,4.20,0.00,4.20,0.00,140.80,8718624,0,6682284,43.39,145816,2453176,6775836,44.00,4730252,1657144,821400,3789908,153840,8856,18372,30304,0,0,0.00,0,0.00,8,1093,8.65,7.07,7.49,0,4.20,0.00,140.80,33.52,0.00,0.00,0.00,0.00,0.20,0.20,0.01,0.01,0.00,0.00,0.00,0.00
2017-09-21 07:01:17,97.23,0.00,2.55,0.00,0.02,0.00,0.20,0.00,0.00,0.00,0.00,12812.60,3460.80,0.00,0.00,0.00,9769.60,94.80,0.00,4343.20,0.00,0.00,0.00,0.00,85.40,0.00,85.40,0.00,19539.20,8542736,0,6858172,44.53,145824,2624372,6775836,44.00,4740224,1819088,944432,3790368,158132,8856,18376,30304,0,0,0.00,0,0.00,11,1092,8.76,7.12,7.50,0,85.40,0.00,19539.20,228.80,3.27,38.30,0.36,3.04,0.40,0.40,0.05,0.03,0.00,0.00,0.00,0.00
2017-09-21 07:01:22,90.59,0.00,2.66,0.13,0.03,0.00,0.18,0.00,0.00,6.42,8.60,12840.40,4522.20,0.00,0.00,0.00,9742.40,1017.60,0.00,45025.00,0.00,0.00,0.00,0.00,85.20,0.00,85.20,0.00,19484.80,9184704,0,6216204,40.36,145832,2644044,5751740,37.35,3946344,1972768,964152,3130916,160548,8240,15920,30304,0,0,0.00,0,0.00,7,977,9.50,7.30,7.56,0,85.20,0.00,19484.80,228.69,3.09,36.25,0.33,2.80,0.60,0.60,0.06,0.04,0.00,0.00,0.00,0.00
2017-09-21 07:01:27,42.12,0.00,1.55,0.76,0.08,0.00,0.08,0.00,0.00,55.41,18.80,9679.60,6872.60,0.00,0.00,0.00,25436.80,1705.40,0.00,68326.60,0.00,0.00,0.00,0.00,177.20,0.00,177.20,0.00,43180.80,10389312,0,5011596,32.54,145844,2496004,4100224,26.62,2665776,2059732,737924,2083744,152908,6440,11200,30304,0,0,0.00,0,0.00,0,772,10.02,7.45,7.61,1,177.40,0.00,43232.00,243.70,9.01,46.16,0.40,7.04,0.80,0.80,0.10,0.07,0.00,0.00,0.00,0.00
2017-09-21 07:01:32,0.98,0.00,0.28,14.35,0.15,0.00,0.00,0.00,0.00,84.24,0.60,1220.20,1855.00,0.00,0.00,0.00,128756.00,75.00,0.00,276.80,0.00,0.00,0.00,0.00,1009.20,0.00,1009.20,0.00,257622.40,10392588,0,5008320,32.52,145856,2495668,4092320,26.57,2661932,2059480,94604,2079892,152664,6040,11192,30304,0,0,0.00,0,0.00,0,733,9.30,7.34,7.57,2,1009.00,0.00,257571.20,255.27,143.48,140.61,0.99,100.08,0.60,0.60,0.06,0.05,0.00,0.00,0.00,0.00
2017-09-21 07:01:37,9.28,0.00,0.65,4.33,0.05,0.00,0.00,0.00,0.00,85.69,23.00,2102.00,2324.40,0.00,0.00,0.00,18799.20,7214.20,0.00,36959.40,0.00,0.00,0.00,0.00,189.80,0.00,189.80,0.00,45180.80,10889628,0,4511280,29.29,145864,2114084,3871876,25.14,2554644,1678092,1496,1976996,144028,5928,10760,30304,0,0,0.00,0,0.00,1,735,8.79,7.27,7.55,0,189.80,0.00,45180.80,238.04,23.67,136.95,0.99,18.80,3.20,3.20,0.39,0.26,0.00,0.00,0.00,0.00
2017-09-21 07:01:42,34.62,0.00,1.51,0.00,0.03,0.00,0.00,0.00,0.00,63.84,53.60,3092.00,2842.60,0.00,0.00,0.00,111.20,21009.80,0.00,10961.20,0.00,0.00,0.00,0.00,3.40,0.00,3.40,0.00,222.40,10292836,0,5108072,33.17,145876,2115044,6416336,41.66,3147200,1678776,2788,2565052,145992,7824,14900,30304,0,0,0.00,0,0.00,21,964,8.25,7.18,7.52,0,3.40,0.00,222.40,65.41,0.00,0.24,0.24,0.08,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-21 07:01:47,96.80,0.00,2.93,0.00,0.00,0.00,0.00,0.00,0.00,0.28,16.40,6170.40,3172.00,0.00,0.00,0.00,122.40,28883.60,0.00,16320.60,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,244.80,9676960,0,5723948,37.17,145884,2116044,6559196,42.59,3759656,1679660,3912,3177656,146992,8168,16848,30304,0,0,0.00,0,0.00,17,1013,9.11,7.38,7.58,0,1.80,0.00,244.80,136.00,0.00,0.44,0.44,0.08,5.20,5.20,0.56,0.43,0.00,0.00,0.00,0.00
2017-09-21 07:01:52,97.10,0.00,2.33,0.00,0.00,0.00,0.25,0.00,0.00,0.33,14.80,13305.40,4807.00,0.00,0.00,0.00,36.80,3072.00,0.00,2804.60,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,73.60,8803660,0,6597248,42.84,145896,2116072,6622812,43.00,4624124,1679676,3964,4041828,149400,8544,18716,30304,0,0,0.00,0,0.00,22,1054,9.66,7.52,7.62,0,0.80,0.00,73.60,92.00,0.00,3.00,1.00,0.08,0.20,0.20,0.07,0.07,0.00,0.00,0.00,0.00
2017-09-21 07:01:57,97.78,0.00,2.10,0.00,0.00,0.00,0.10,0.00,0.00,0.03,0.00,6212.60,3651.00,0.00,0.00,0.00,33.60,185.20,0.00,646.80,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,67.20,8811668,0,6589240,42.78,145904,2116116,6614588,42.95,4616204,1679696,3912,4033948,149452,8544,18700,30304,0,0,0.00,0,0.00,10,1054,9.85,7.60,7.65,0,2.00,0.00,67.20,33.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-21 07:02:02,96.58,0.00,3.15,0.00,0.03,0.00,0.10,0.00,0.00,0.15,0.00,4063.60,3200.00,0.00,0.00,0.00,78.40,76.60,0.00,267.40,0.00,0.00,0.00,0.00,3.40,0.00,3.40,0.00,156.80,8370044,0,7030864,45.65,145912,2554948,6614588,42.95,5052956,1679768,442460,4031924,158896,8480,18700,30304,0,0,0.00,0,0.00,9,1046,9.70,7.60,7.65,0,3.40,0.00,156.80,46.12,0.00,0.00,0.00,0.00,0.20,0.20,0.01,0.01,0.00,0.00,0.00,0.00
2017-09-21 07:02:07,98.62,0.00,0.90,0.00,0.00,0.00,0.08,0.00,0.00,0.40,0.00,4475.00,3019.60,0.00,0.00,0.00,18.40,301.20,0.00,231.20,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,36.80,8367788,0,7033120,45.67,145924,2554984,6614588,42.95,5055852,1679752,442488,4034948,158200,8480,18700,30304,0,0,0.00,0,0.00,8,1045,9.80,7.66,7.67,0,0.60,0.00,36.80,61.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-21 07:02:12,94.95,0.00,5.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,2459.20,2753.00,0.00,0.00,0.00,7177.60,804.60,0.00,467.60,0.00,0.00,0.00,0.00,57.80,0.00,57.80,0.00,6467.20,7689240,0,7711668,50.07,145948,3208732,6622864,43.00,5715988,1679896,1060600,4042084,174536,8624,18756,30304,0,0,0.00,0,0.00,12,1064,9.82,7.70,7.68,1,57.80,0.00,6467.20,111.89,1.48,13.01,0.22,1.28,0.20,0.20,0.01,0.01,0.00,0.00,0.00,0.00
2017-09-21 07:02:17,89.32,0.00,5.33,1.40,0.00,0.00,0.00,0.00,0.00,3.95,17.40,3309.20,4375.00,0.00,0.00,0.00,140225.60,1768.20,0.00,89154.60,0.00,0.00,0.00,0.00,1100.20,0.00,1100.20,0.00,281016.00,8840308,0,6560600,42.60,145960,3051976,5346660,34.72,4568868,1679888,894744,3048700,175256,8624,14872,30304,0,0,0.00,0,0.00,1,921,9.83,7.74,7.69,2,1100.40,0.00,281067.20,255.42,117.18,105.10,0.76,84.08,0.80,0.80,0.10,0.07,0.00,0.00,0.00,0.00
2017-09-21 07:02:22,33.64,0.00,1.79,14.70,0.05,0.00,0.03,0.00,0.00,49.80,34.60,3293.40,4480.80,0.00,0.00,0.00,121316.80,18916.80,0.00,66410.80,0.00,0.00,0.00,0.00,953.80,0.00,953.80,0.00,242225.60,9441532,0,5959376,38.69,145984,2900820,5309724,34.48,3943388,1715268,257736,2614568,166588,7136,13332,30304,0,0,0.00,0,0.00,8,897,9.29,7.66,7.67,1,953.80,0.00,242225.60,253.96,142.21,149.18,1.05,100.00,2.60,2.60,0.26,0.20,0.00,0.00,0.00,0.00
2017-09-21 07:02:27,88.23,0.00,3.94,1.41,0.03,0.00,0.03,0.00,0.00,6.37,35.40,5273.00,3779.60,0.00,0.00,0.00,26653.60,25343.60,0.00,22613.40,0.00,0.00,0.00,0.00,239.40,0.00,239.40,0.00,61038.40,8490992,0,6909916,44.87,146040,2926296,6668888,43.30,4777180,1828828,353448,3533704,164732,8272,17116,30304,0,0,0.00,0,0.00,16,1021,8.94,7.61,7.65,0,239.20,0.00,60987.20,254.96,33.45,148.95,1.06,25.28,3.00,3.00,0.32,0.25,0.00,0.00,0.00,0.00
2017-09-21 07:02:32,95.27,0.00,4.30,0.00,0.00,0.00,0.05,0.00,0.00,0.38,20.60,6263.20,3428.60,0.00,0.00,0.00,22257.60,14420.80,0.00,19062.60,0.00,0.00,0.00,0.00,175.60,0.00,175.60,0.00,44515.20,7814672,0,7586236,49.26,146072,3039720,6810636,44.22,5299832,1967144,533476,4093420,165032,8624,18508,30304,0,0,0.00,0,0.00,21,1078,9.51,7.75,7.70,0,175.60,0.00,44515.20,253.50,20.18,114.91,1.03,18.16,2.80,2.80,0.30,0.23,0.00,0.00,0.00,0.00
2017-09-21 07:02:37,96.38,0.00,3.57,0.00,0.02,0.00,0.00,0.00,0.00,0.02,6.00,5746.00,2931.80,0.00,0.00,0.00,40.00,4569.60,0.00,8326.20,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,80.00,7426212,0,7974696,51.78,146084,3276080,6905740,44.84,5657848,2004036,841024,4240188,169760,8736,19084,30304,0,0,0.00,0,0.00,14,1083,10.27,7.94,7.76,0,1.80,0.00,80.00,44.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-21 07:02:42,95.80,0.00,2.08,0.00,0.03,0.00,0.03,0.00,0.00,2.08,6.40,6084.00,3032.40,0.00,0.00,0.00,31.20,4560.40,0.00,23087.80,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,62.40,7777508,0,7623400,49.50,146092,3184472,6572524,42.68,5302468,2011040,749428,3982660,168680,8592,18136,30304,0,0,0.00,0,0.00,8,1060,10.25,7.97,7.77,0,1.80,0.00,62.40,34.67,0.00,0.89,0.89,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-21 07:02:47,63.56,0.00,1.56,0.03,0.03,0.00,0.03,0.00,0.00,34.80,11.60,6865.40,4537.60,0.00,0.00,0.00,121.60,1743.80,0.00,77353.80,0.00,0.00,0.00,0.00,6.40,0.00,6.40,0.00,243.20,9276116,0,6124792,39.77,146108,2772108,5158820,33.50,3812584,2018540,336708,2913276,157004,7352,14204,30304,0,0,0.00,0,0.00,3,905,10.79,8.12,7.82,0,6.40,0.00,243.20,38.00,0.01,0.88,0.75,0.48,0.40,0.40,0.05,0.03,0.00,0.00,0.00,0.00
