timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-21 03:04:06,73.37,0.00,2.61,0.10,0.20,0.00,0.00,0.00,0.00,23.72,23.20,1446.40,1302.80,0.00,0.00,0.00,39.20,15280.40,0.00,17896.80,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,78.40,1793756,0,2061084,53.47,27076,586152,2312564,59.99,1501152,456012,396,1343936,52968,4568,7292,9880,0,0,0.00,0,0.00,1,557,1.95,2.25,2.41,0,1.40,0.00,78.40,56.00,0.00,0.57,0.57,0.08,1.40,1.40,0.16,0.11,0.00,0.00,0.00,0.00
2017-09-21 03:04:11,55.51,0.00,3.74,8.70,0.30,0.00,0.00,0.00,0.00,31.75,25.20,1812.00,1552.00,0.00,0.00,7751.20,12.80,18602.40,33.80,14939.80,0.00,0.00,0.00,0.00,285.00,284.60,0.40,15502.40,25.60,1706024,0,2148816,55.74,27100,607184,2372540,61.55,1574964,467120,388,1409932,52596,4600,8256,9880,0,0,0.00,0,0.00,1,562,1.87,2.23,2.41,0,285.00,15502.40,25.60,54.48,0.23,0.79,0.71,20.32,2.80,2.80,0.32,0.23,0.00,0.00,0.00,0.00
2017-09-21 03:04:16,59.14,0.00,2.81,5.72,1.61,0.00,0.00,0.00,0.00,30.72,5.60,1726.80,1524.60,0.00,0.00,8164.80,23.20,5498.80,0.00,2921.80,0.00,0.00,0.00,0.00,351.60,350.80,0.80,16278.40,46.40,1459316,0,2395524,62.14,27108,669216,2616484,67.88,1793732,496524,21524,1594080,52592,4816,8720,9880,0,0,0.00,0,0.00,1,588,1.80,2.21,2.40,0,351.80,16329.60,46.40,46.55,0.22,0.64,0.55,19.28,0.40,0.40,0.05,0.03,0.00,0.00,0.00,0.00
2017-09-21 03:04:21,11.94,0.00,7.19,30.87,0.10,0.00,0.00,0.00,0.00,49.90,0.00,1119.00,1279.40,0.00,0.00,23864.80,39232.00,40.20,0.00,181.00,0.00,0.00,0.00,0.00,573.40,271.20,302.20,47780.80,77291.20,1167204,0,2687636,69.72,27128,963512,2616484,67.88,1982532,599436,592,1591328,52708,4816,8720,9880,0,0,0.00,0,0.00,0,588,1.74,2.19,2.39,1,573.20,47729.60,77291.20,218.11,81.99,141.33,1.46,83.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-21 03:04:26,25.65,0.00,8.79,37.95,0.62,0.00,0.41,0.00,0.00,26.58,5.20,5951.60,3687.80,0.00,0.00,23.20,51172.00,614.40,0.00,7493.40,0.00,0.00,0.00,0.00,396.60,4.80,391.80,46.40,96478.40,541988,0,3312852,85.94,27148,1499356,2733256,70.90,2280608,912876,280672,1666900,66492,4888,8872,9880,0,0,0.00,0,0.00,0,597,1.60,2.15,2.38,2,396.60,46.40,96478.40,243.38,73.70,167.38,1.39,55.20,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-21 03:04:31,68.97,0.00,3.25,16.43,0.10,0.00,0.00,0.00,0.00,11.26,9.40,1368.60,1304.80,0.00,0.00,0.00,12216.00,8885.60,0.00,13316.80,0.00,0.00,0.00,0.00,129.60,0.00,129.60,0.00,31470.40,461032,0,3393808,88.04,27160,1358200,3092820,80.23,2398128,876336,178704,1891212,63404,5008,9652,9880,0,0,0.00,0,0.00,4,615,1.71,2.17,2.38,0,129.60,0.00,31470.40,242.83,32.70,316.41,1.99,25.84,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-21 03:04:36,61.49,0.00,3.23,4.64,0.50,0.00,0.00,0.00,0.00,30.14,9.18,1473.45,1452.10,0.00,0.00,0.00,20073.45,7412.38,0.00,3592.02,0.00,0.00,0.00,0.00,164.67,0.00,164.67,0.00,40146.91,130792,0,3724048,96.61,27172,1358328,3691356,95.76,2728768,873748,78876,2219124,63824,5304,10836,9880,0,0,0.00,0,0.00,4,649,1.74,2.16,2.38,0,164.67,0.00,40146.91,243.80,18.00,109.31,0.84,13.89,2.40,2.40,0.29,0.20,0.00,0.00,0.00,0.00
2017-09-21 03:04:41,38.92,0.00,5.82,39.12,1.50,0.00,0.00,0.00,0.00,14.64,1.40,4952.00,2238.80,0.00,0.00,16557.60,10313.60,7625.60,0.00,19638.00,10137.20,0.00,10080.60,99.44,188.20,132.20,56.00,33115.20,13720.00,85884,0,3768956,97.77,19780,1335176,3717524,96.44,2810524,837824,115808,2293392,64084,5312,11000,9880,0,0,0.00,0,0.00,0,650,1.84,2.18,2.38,1,188.20,33115.20,13720.00,248.86,69.16,166.55,3.12,58.72,1.80,1.80,0.22,0.15,0.00,0.00,0.00,0.00
2017-09-21 03:04:46,37.55,0.00,3.95,25.30,0.10,0.00,0.00,0.00,0.00,33.10,2.20,1561.40,2087.20,0.00,0.00,2388.80,21344.00,5915.20,0.60,17627.00,8477.40,3686.40,11895.40,97.79,200.00,33.00,167.00,4777.60,42304.00,83800,0,3771040,97.83,19652,1197604,3885084,100.78,3042288,610436,97640,2435468,64140,5384,11316,9880,0,0,0.00,0,0.00,5,659,1.93,2.19,2.39,1,200.00,4777.60,42304.00,235.41,85.22,533.01,3.13,62.64,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-21 03:04:51,89.59,0.00,3.90,6.41,0.00,0.00,0.00,0.00,0.00,0.10,0.20,1286.60,4368.00,0.00,0.00,4681.60,1855.20,21363.20,0.00,24962.20,20270.60,1757.20,21562.00,97.89,98.40,59.40,39.00,9363.20,8900.80,79560,0,3775280,97.94,19608,789844,4195452,108.84,3251456,404740,88444,2846744,64192,5384,12056,9880,0,0,0.00,0,0.00,3,659,2.18,2.24,2.40,1,98.40,9363.20,8900.80,185.61,150.18,1598.71,9.50,93.52,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-21 03:04:56,37.29,0.00,1.41,58.19,0.10,0.00,0.00,0.00,0.00,3.02,0.00,1146.40,2520.60,0.00,0.00,1169.60,3874.40,3061.80,0.00,4544.20,2059.60,3013.80,2958.20,58.31,80.80,15.40,65.40,2339.20,9798.40,60688,0,3794152,98.43,19604,736560,4297440,111.48,3296228,378156,69296,2918276,64116,5384,12252,9880,0,0,0.00,0,0.00,0,659,2.16,2.23,2.40,4,80.80,2339.20,9798.40,150.22,15.33,304.66,2.09,16.88,1.40,1.20,0.14,0.09,0.00,0.00,0.00,0.00
2017-09-21 03:05:08,42.54,0.00,1.41,54.37,0.00,0.00,0.00,0.00,0.00,1.68,0.35,1163.15,2821.55,0.00,0.00,1178.19,6140.72,2721.28,2.20,7089.09,1884.34,2706.86,3867.63,84.24,88.04,32.81,55.23,2356.38,12303.96,71604,0,3783236,98.14,3032,589828,4522320,117.32,3364276,296916,140,3068384,63904,5384,12544,9880,0,0,0.00,0,0.00,8,658,2.81,2.37,2.44,0,88.04,2356.38,12303.96,166.52,5.34,60.62,0.53,4.68,1.41,1.41,0.16,0.11,0.00,0.00,0.00,0.00
2017-09-21 03:05:13,99.20,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,936.80,917.40,0.00,0.00,19.20,28.00,28.60,0.20,1038.60,902.80,0.00,902.80,100.00,5.20,4.40,0.80,38.40,56.00,74740,0,3780100,98.06,1492,591012,4522320,117.32,3357308,301836,17056,3066976,63444,5368,12544,9880,0,0,0.00,0,0.00,3,657,2.74,2.37,2.44,0,5.20,38.40,56.00,18.15,0.00,0.62,0.31,0.16,1.40,1.40,0.17,0.13,0.00,0.00,0.00,0.00
2017-09-21 03:05:18,95.99,0.00,2.20,0.00,0.00,0.00,0.00,0.00,0.00,1.80,0.00,1537.20,3143.20,0.00,0.00,4242.40,12.00,6478.60,0.00,27310.20,5795.80,2897.60,8658.40,99.60,52.60,52.20,0.40,8484.80,24.00,359392,0,3495448,90.68,1104,455384,4241140,110.02,3149720,234400,33012,2927792,54220,5360,12272,9880,0,0,0.00,0,0.00,2,656,2.68,2.36,2.44,0,52.60,8484.80,24.00,161.76,0.14,2.63,0.21,1.12,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-21 03:05:23,95.30,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,3.20,0.00,1209.60,2866.80,0.00,0.00,2458.40,4.80,318.20,0.00,7905.40,0.00,0.00,0.00,0.00,19.80,19.40,0.40,4916.80,9.60,251568,0,3603272,93.47,1112,467676,4498624,116.70,3245116,246744,33044,3023176,54196,5360,12456,9880,0,0,0.00,0,0.00,3,656,2.63,2.35,2.44,0,19.80,4916.80,9.60,248.81,0.06,2.91,0.28,0.56,1.40,1.40,0.14,0.10,0.00,0.00,0.00,0.00
2017-09-21 03:05:28,99.50,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,986.60,941.80,0.00,0.00,409.60,5.60,13.00,0.00,111.40,0.00,0.00,0.00,0.00,3.60,3.20,0.40,819.20,11.20,224600,0,3630240,94.17,1128,496168,4498624,116.70,3247852,271000,59496,3021544,54140,5344,12456,9880,0,0,0.00,0,0.00,4,654,2.58,2.35,2.43,0,3.60,819.20,11.20,230.67,0.01,3.33,0.22,0.08,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-21 03:05:33,96.59,0.00,1.30,0.00,0.00,0.00,0.20,0.00,0.00,1.90,0.00,1344.40,1162.00,0.00,0.00,1458.40,11.20,6869.40,0.00,10670.00,0.00,0.00,0.00,0.00,12.20,11.80,0.40,2916.80,22.40,268168,0,3586672,93.04,1136,506724,4268924,110.74,3193460,280932,62792,2966536,54172,5328,12356,9880,0,0,0.00,0,0.00,3,652,2.53,2.34,2.43,0,12.20,2916.80,22.40,240.92,0.04,3.08,0.33,0.40,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-21 03:05:38,97.20,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,2.20,0.20,903.00,922.40,0.00,0.00,4.80,3368.00,60.20,0.00,1840.40,0.00,0.00,0.00,0.00,35.80,1.20,34.60,9.60,6736.00,223812,0,3631028,94.19,1148,506764,4409144,114.38,3237972,280960,46084,3011020,54124,5320,12440,9880,0,0,0.00,0,0.00,2,650,2.49,2.34,2.43,0,35.80,9.60,6736.00,188.42,1.54,42.91,0.72,2.56,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-21 03:05:43,98.80,0.00,0.90,0.10,0.00,0.00,0.00,0.00,0.00,0.20,0.00,1265.60,1111.00,0.00,0.00,14.40,9214.40,985.20,0.00,342.20,0.00,0.00,0.00,0.00,76.20,3.60,72.60,28.80,18428.80,177984,0,3676856,95.38,1160,534284,4403800,114.24,3276528,289096,27648,3030292,54144,5304,12480,9880,0,0,0.00,0,0.00,5,649,2.69,2.38,2.44,0,76.20,28.80,18428.80,242.23,7.00,91.82,0.87,6.64,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-21 03:05:48,98.40,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,1277.80,1110.00,0.00,0.00,0.00,1696.00,19.20,0.00,711.00,0.00,0.00,0.00,0.00,19.20,0.00,19.20,0.00,3392.00,153812,0,3701028,96.01,1168,572216,4385304,113.76,3289476,300592,57304,3016700,54160,5280,12464,9880,0,0,0.00,0,0.00,4,646,2.63,2.38,2.44,0,19.20,0.00,3392.00,176.67,0.44,22.67,0.67,1.28,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-21 03:05:53,97.40,0.00,2.00,0.10,0.10,0.00,0.10,0.00,0.00,0.30,1.20,1494.40,3469.80,0.00,0.00,5535.20,13380.00,953.80,1.00,9077.20,0.00,0.00,0.00,0.00,168.20,63.20,105.00,11070.40,26760.00,99692,0,3755148,97.41,1336,563140,4422872,114.74,3303812,335828,16208,3079440,53308,5328,12464,9880,0,0,0.00,0,0.00,4,652,2.58,2.37,2.44,0,168.20,11070.40,26760.00,224.91,11.55,68.68,0.65,10.96,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-21 03:05:58,96.39,0.00,1.40,0.00,0.00,0.00,0.00,0.00,0.00,2.20,0.00,1375.60,1429.00,0.00,0.00,3297.60,27.20,2638.00,0.00,10822.20,0.00,1442.80,1442.80,100.00,27.60,27.00,0.60,6595.20,54.40,206256,0,3648584,94.65,1336,550760,4278160,110.98,3214756,323512,16324,2986212,52568,5328,12400,9880,0,0,0.00,0,0.00,2,652,2.54,2.36,2.44,0,27.60,6595.20,54.40,240.93,0.10,3.48,0.32,0.88,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-21 03:06:03,97.30,0.00,0.70,0.00,0.00,0.00,0.10,0.00,0.00,1.90,0.00,1089.20,980.80,0.00,0.00,2044.80,4.00,348.40,0.00,3112.80,0.00,0.00,0.00,0.00,17.00,16.60,0.40,4089.60,8.00,126784,0,3728056,96.71,1344,561004,4489144,116.45,3284568,333748,16344,3055968,52568,5320,12532,9880,0,0,0.00,0,0.00,3,651,2.49,2.36,2.43,0,17.00,4089.60,8.00,241.04,0.05,2.87,0.24,0.40,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-21 03:06:08,97.19,0.00,1.90,0.10,0.00,0.00,0.00,0.00,0.00,0.80,0.40,1254.40,1384.40,0.00,0.00,2048.00,11.20,6436.80,0.00,9446.60,4857.20,823.60,5678.60,99.96,16.40,16.00,0.40,4096.00,22.40,82884,0,3771956,97.85,736,489076,4484364,116.33,3409816,256196,47144,3176204,50068,5328,12768,9880,0,0,0.00,0,0.00,3,652,2.53,2.37,2.44,0,16.40,4096.00,22.40,251.12,0.05,3.07,0.39,0.64,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-21 03:06:13,94.98,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,3.71,0.00,1428.00,1160.40,0.00,0.00,4128.80,7.20,60.20,0.00,11092.60,0.00,0.00,0.00,0.00,33.20,32.80,0.40,8257.60,14.40,210648,0,3644192,94.54,748,509796,4479520,116.21,3261716,276768,47176,3028084,50068,5328,12408,9880,0,0,0.00,0,0.00,3,652,2.49,2.36,2.43,0,33.20,8257.60,14.40,249.16,0.09,2.84,0.24,0.80,1.80,1.80,0.19,0.13,0.00,0.00,0.00,0.00
