timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-20 00:22:14,75.53,0.00,6.32,0.00,0.10,0.00,0.30,0.00,0.00,17.75,19.60,4187.60,2053.20,0.00,0.00,0.00,62.40,11731.20,0.00,17173.80,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,124.80,1538668,0,2316172,60.08,9836,473832,3408784,88.43,1961740,265592,132236,1743668,36648,5040,8304,9880,0,0,0.00,0,0.00,2,612,2.18,1.99,1.62,0,3.60,0.00,124.80,34.67,0.00,0.89,0.89,0.32,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-20 00:22:19,67.96,0.00,4.58,2.24,0.00,0.00,0.20,0.00,0.00,25.03,13.40,2579.60,2338.20,0.00,0.00,3.20,14310.40,6964.80,0.20,2382.40,0.00,0.00,0.00,0.00,128.80,0.40,128.40,6.40,28620.80,1229104,0,2625736,68.12,9848,602716,3770444,97.81,2148428,383424,190064,1919288,40512,5280,9100,9880,0,0,0.00,0,0.00,0,648,2.01,1.96,1.61,0,128.80,6.40,28620.80,222.26,12.58,97.67,0.93,12.00,2.20,2.20,0.27,0.18,0.00,0.00,0.00,0.00
2017-09-20 00:22:24,75.20,0.00,2.95,8.54,0.00,0.00,0.00,0.00,0.00,13.31,13.40,2241.00,1834.20,0.00,0.00,0.80,24747.20,8038.80,0.20,3035.80,0.00,0.00,0.00,0.00,171.20,0.20,171.00,1.60,42377.60,873484,0,2981356,77.34,9856,602852,4980156,129.19,2505028,380060,66600,2272480,41184,5672,10224,9880,0,0,0.00,0,0.00,2,694,1.84,1.93,1.60,1,171.20,1.60,42377.60,247.54,110.56,523.22,4.47,76.56,1.80,1.80,0.22,0.15,0.00,0.00,0.00,0.00
2017-09-20 00:22:29,52.03,0.00,1.93,42.58,0.00,0.00,0.00,0.00,0.00,3.46,1.60,1991.00,1511.80,0.00,0.00,0.00,10997.60,3442.60,0.00,3188.60,0.00,0.00,0.00,0.00,87.80,0.00,87.80,0.00,22353.60,644384,0,3210456,83.28,9864,608364,5045948,130.90,2738140,373436,17364,2495456,41452,5680,10680,9880,0,0,0.00,0,0.00,4,695,2.18,1.99,1.62,1,87.80,0.00,22353.60,254.60,129.71,1147.81,11.39,100.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-20 00:22:34,54.71,0.00,1.11,35.06,0.10,0.00,0.10,0.00,0.00,8.92,2.40,2080.20,1496.80,0.00,0.00,0.80,2794.40,1858.80,0.00,7183.60,0.00,0.00,0.00,0.00,49.00,0.20,48.80,1.60,12347.20,507564,0,3347276,86.83,9876,608412,5063528,131.36,2874652,372780,3620,2631244,41584,5760,11020,9880,0,0,0.00,0,0.00,3,706,2.16,1.99,1.63,0,49.00,1.60,12347.20,252.02,47.40,1986.11,10.33,50.64,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-20 00:22:39,53.45,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,46.25,0.00,1692.00,1215.20,0.00,0.00,0.00,22.40,34.00,0.00,751.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,44.80,464224,0,3390616,87.96,9884,608432,5063528,131.36,2919876,372792,3708,2674352,41576,5752,11104,9880,0,0,0.00,0,0.00,4,704,2.07,1.98,1.62,0,0.40,0.00,44.80,112.00,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-20 00:22:44,52.29,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,47.41,0.60,1774.20,1326.00,0.00,0.00,22.40,5.60,81.80,0.20,50.60,0.00,0.00,0.00,0.00,1.20,0.80,0.40,44.80,11.20,461928,0,3392912,88.02,9896,608556,5063528,131.36,2922080,372888,3736,2676516,41584,5744,11112,9880,0,0,0.00,0,0.00,3,704,1.98,1.96,1.62,0,1.20,44.80,11.20,46.67,0.00,0.67,0.67,0.08,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-20 00:22:49,51.48,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,48.22,0.00,1706.80,1144.40,0.00,0.00,0.00,0.00,10.40,0.00,23.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,461936,0,3392904,88.02,9896,608592,5063528,131.36,2922028,372912,3764,2676452,41584,5736,11112,9880,0,0,0.00,0,0.00,1,703,1.91,1.95,1.62,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-20 00:22:54,51.93,0.00,0.10,0.10,0.10,0.00,0.00,0.00,0.00,47.77,0.00,1761.20,1255.80,0.00,0.00,0.00,126.40,13.80,0.00,21.40,0.00,0.00,0.00,0.00,14.40,0.00,14.40,0.00,252.80,461796,0,3393044,88.02,9904,608616,5063528,131.36,2922080,372932,3164,2676492,41604,5736,11112,9880,0,0,0.00,0,0.00,2,703,1.83,1.93,1.61,0,14.40,0.00,252.80,17.56,0.03,2.06,0.11,0.16,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-20 00:22:59,51.53,0.00,0.41,0.00,0.00,0.00,0.00,0.00,0.00,48.07,0.40,1748.00,1156.60,0.00,0.00,0.00,92.80,25.20,0.00,33.20,0.00,0.00,0.00,0.00,4.40,0.00,4.40,0.00,185.60,461812,0,3393028,88.02,9912,608636,5063528,131.36,2922008,372948,2936,2676416,41584,5728,11112,9880,0,0,0.00,0,0.00,1,702,1.77,1.91,1.61,0,4.40,0.00,185.60,42.18,0.00,0.18,0.18,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-20 00:23:04,51.94,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,47.86,0.00,1745.40,1204.00,0.00,0.00,0.00,569.60,10.80,0.00,21.60,0.00,0.00,0.00,0.00,5.40,0.00,5.40,0.00,1139.20,461820,0,3393020,88.02,9924,608660,5063528,131.36,2922032,372972,296,2676420,41580,5728,11112,9880,0,0,0.00,0,0.00,4,702,1.70,1.90,1.60,0,5.40,0.00,1139.20,210.96,1.42,262.52,14.81,8.00,1.40,1.40,0.14,0.10,0.00,0.00,0.00,0.00
2017-09-20 00:23:09,51.73,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,48.17,0.00,1734.20,1232.80,0.00,0.00,0.00,6.40,10.60,0.00,28.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,12.80,461796,0,3393044,88.02,9932,608684,5063528,131.36,2921980,372992,328,2676356,41612,5720,11112,9880,0,0,0.00,0,0.00,1,700,1.65,1.88,1.60,0,0.40,0.00,12.80,32.00,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-20 00:23:14,51.78,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,48.12,0.00,1741.80,1179.00,0.00,0.00,0.00,4.80,10.80,0.00,28.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,461820,0,3393020,88.02,9940,608712,5063528,131.36,2921788,373016,360,2676152,41612,5696,11112,9880,0,0,0.00,0,0.00,3,698,1.60,1.87,1.60,0,0.40,0.00,9.60,24.00,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-20 00:23:19,51.52,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,48.17,0.00,1736.00,1219.60,0.00,0.00,0.00,4.00,10.40,0.00,36.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,462024,0,3392816,88.01,9948,608732,5063528,131.36,2921600,373032,380,2675952,41588,5672,11112,9880,0,0,0.00,0,0.00,4,695,1.55,1.85,1.59,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
