timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-20 00:35:17,73.91,0.00,6.67,0.81,0.10,0.00,0.20,0.00,0.00,18.30,18.40,3621.40,2727.40,0.00,0.00,3966.40,37.60,12124.80,6.80,10287.80,0.00,0.00,0.00,0.00,188.20,186.60,1.60,7932.80,75.20,1576056,0,2278784,59.11,5176,441164,3415216,88.60,1931888,260496,113548,1746096,36280,4992,8280,9880,0,0,0.00,0,0.00,4,615,1.75,1.56,1.53,0,188.20,7932.80,75.20,42.55,0.11,0.59,0.22,4.16,1.40,1.40,0.16,0.11,0.00,0.00,0.00,0.00
2017-09-20 00:35:22,68.43,0.00,4.87,2.64,0.00,0.00,0.30,0.00,0.00,23.76,14.60,3203.00,2682.00,0.00,0.00,135.20,15872.80,7183.00,0.20,3993.80,0.00,0.00,0.00,0.00,156.40,14.60,141.80,270.40,31745.60,1254796,0,2600044,67.45,5196,588872,3763864,97.64,2116376,391632,181708,1913940,40684,5160,8996,9880,0,0,0.00,0,0.00,4,650,1.85,1.58,1.54,0,156.40,270.40,31745.60,204.71,13.94,89.10,0.73,11.44,2.40,2.40,0.28,0.19,0.00,0.00,0.00,0.00
2017-09-20 00:35:27,73.15,0.00,4.36,6.28,0.10,0.00,0.00,0.00,0.00,16.11,13.00,2245.00,1905.00,0.00,0.00,1.60,36320.00,8399.80,0.00,3140.40,0.00,0.00,0.00,0.00,288.00,0.40,287.60,3.20,72640.00,926472,0,2928368,75.97,5216,589020,4971112,128.96,2447084,387416,492,2240264,40996,5616,10204,9880,0,0,0.00,0,0.00,5,694,1.94,1.60,1.55,0,288.00,3.20,72640.00,252.23,49.81,172.94,1.71,49.28,2.00,2.00,0.24,0.16,0.00,0.00,0.00,0.00
2017-09-20 00:35:32,69.23,0.00,2.94,0.00,0.00,0.00,0.00,0.00,0.00,27.83,2.00,2009.80,1449.60,0.00,0.00,3.20,495.20,4601.00,0.00,16317.40,0.00,0.00,0.00,0.00,4.40,0.40,4.00,6.40,990.40,424500,0,3430340,88.99,5216,594548,5027432,130.42,2943816,385492,3568,2735720,41212,5680,11284,9880,0,0,0.00,0,0.00,3,696,1.86,1.59,1.55,0,4.40,6.40,990.40,226.55,0.55,125.27,10.36,4.56,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-20 00:35:37,59.78,0.00,2.03,0.00,0.00,0.00,0.00,0.00,0.00,38.20,0.20,1799.00,1313.00,0.00,0.00,0.00,24.80,600.00,0.00,15421.20,1173.40,0.00,1172.40,99.91,0.40,0.00,0.40,0.00,49.60,79224,0,3775616,97.94,5224,571124,5066840,131.44,3316092,361992,3640,3101796,40988,5672,11948,9880,0,0,0.00,0,0.00,3,695,1.79,1.58,1.54,0,0.40,0.00,49.60,124.00,0.00,2.00,2.00,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-20 00:35:42,58.07,0.00,0.81,0.00,0.00,0.00,0.00,0.00,0.00,41.12,0.20,1757.60,2186.40,0.00,0.00,0.00,11.20,924.00,0.00,2123.60,0.00,1036.40,1036.40,100.00,0.40,0.00,0.40,0.00,22.40,75476,0,3779364,98.04,5232,550424,5079272,131.76,3340644,341236,3676,3126244,40760,5664,12004,9880,0,0,0.00,0,0.00,1,694,1.81,1.59,1.55,0,0.40,0.00,22.40,56.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-20 00:35:47,66.80,0.00,0.71,0.00,0.00,0.00,0.00,0.00,0.00,32.49,0.20,1727.60,1078.60,0.00,0.00,0.00,12.80,3078.20,0.00,3719.20,2631.00,0.00,2631.00,100.00,0.40,0.00,0.40,0.00,25.60,85460,0,3769380,97.78,5236,497840,5079272,131.76,3385988,288624,3724,3171588,39544,5672,12088,9880,0,0,0.00,0,0.00,3,695,1.75,1.58,1.54,0,0.40,0.00,25.60,64.00,0.00,0.00,0.00,0.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-20 00:35:52,67.92,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,31.57,1.80,1886.20,1384.60,0.00,0.00,0.00,37.60,1224.00,0.00,2081.80,0.00,0.00,0.00,0.00,3.20,0.00,3.20,0.00,75.20,91624,0,3763216,97.62,5244,497864,5090628,132.06,3380108,288632,3708,3165700,39544,5680,12108,9880,0,0,0.00,0,0.00,4,704,1.69,1.57,1.54,0,3.20,0.00,75.20,23.50,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-20 00:35:57,62.98,0.00,0.41,0.10,0.00,0.00,0.00,0.00,0.00,36.51,0.00,1772.20,1273.80,0.00,0.00,0.00,138.40,44.20,0.00,28.00,0.00,0.00,0.00,0.00,13.80,0.00,13.80,0.00,276.80,91004,0,3763836,97.64,5256,497892,5090628,132.06,3380952,288476,3256,3166288,39576,5736,12152,9880,0,0,0.00,0,0.00,1,703,1.87,1.61,1.55,0,13.80,0.00,276.80,20.06,0.04,2.90,1.28,1.76,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-20 00:36:02,55.52,0.00,4.70,4.09,0.10,0.00,0.10,0.00,0.00,35.48,0.40,1836.60,3606.80,0.00,0.00,6.40,41394.40,213.00,0.00,12318.80,12126.60,0.00,12104.00,99.81,370.40,1.60,368.80,12.80,82788.80,80224,0,3774616,97.92,4084,507792,5090628,132.06,3422644,256004,47964,3166892,40484,5736,12156,9880,0,0,0.00,0,0.00,1,703,1.80,1.60,1.55,0,370.40,12.80,82788.80,223.55,18.17,49.05,0.79,29.44,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
