timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-23 19:19:33,49.34,0.00,2.55,16.96,0.10,0.00,0.00,0.00,0.00,31.05,16.80,2129.40,1912.60,0.00,0.00,7365.60,34.40,10930.00,6.80,6004.00,0.00,0.00,0.00,0.00,528.80,527.80,1.00,14731.20,68.80,2279100,0,1575740,40.88,2904,102448,3323596,86.22,1439632,53136,3124,1387460,32148,4408,7472,9944,0,0,0.00,0,0.00,3,559,1.29,1.61,1.63,0,528.80,14731.20,68.80,27.99,0.48,0.92,0.80,42.56,0.60,0.60,0.07,0.05,0.00,0.00,0.00,0.00
2017-09-23 19:19:38,53.58,0.00,8.50,9.22,0.10,0.00,0.73,0.00,0.00,27.88,12.00,6037.20,3997.80,0.00,0.00,20656.00,12361.60,6465.20,1.20,7070.00,0.00,0.00,0.00,0.00,493.60,382.00,111.60,41305.60,24723.20,1723616,0,2131224,55.29,2968,463288,3549228,92.07,1652976,387856,198952,1574624,38296,4624,8212,9944,0,0,0.00,0,0.00,1,585,1.34,1.61,1.63,1,493.80,41312.00,24723.20,133.73,11.05,22.38,0.82,40.56,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-23 19:19:43,77.08,0.00,3.35,4.06,0.00,0.00,0.00,0.00,0.00,15.52,9.40,1924.80,1700.20,0.00,0.00,628.80,25668.80,8739.40,0.20,3936.40,0.00,0.00,0.00,0.00,224.00,50.60,173.40,1264.00,44272.00,1508212,0,2346628,60.87,2988,466564,4855512,125.96,1878060,376300,71292,1784832,38948,5064,9180,9944,0,0,0.00,0,0.00,3,622,1.32,1.60,1.63,1,224.00,1257.60,44323.20,203.49,21.64,88.58,0.84,18.72,2.40,2.40,0.28,0.26,0.00,0.00,0.00,0.00
2017-09-23 19:19:48,81.77,0.00,3.73,3.42,0.00,0.00,0.10,0.00,0.00,10.98,10.20,2534.80,1933.40,0.00,0.00,242.40,14656.80,8302.80,0.20,5550.60,0.00,0.00,0.00,0.00,155.80,13.00,142.80,484.80,36379.20,1176436,0,2678404,69.48,3008,473364,4960024,128.67,2212596,370024,3664,2108372,39312,5296,9888,9944,0,0,0.00,0,0.00,3,651,1.53,1.64,1.64,0,155.60,484.80,36328.00,236.59,38.52,259.14,3.04,47.28,1.80,1.80,0.22,0.15,0.00,0.00,0.00,0.00
2017-09-23 19:19:53,87.32,0.00,4.53,0.00,0.00,0.00,0.00,0.00,0.00,8.15,0.00,1860.20,1364.20,0.00,0.00,0.80,29.60,666.80,0.00,11714.60,0.00,0.00,0.00,0.00,0.80,0.20,0.60,1.60,59.20,750624,0,3104216,80.53,3016,532484,4960024,128.67,2590444,417732,62824,2472876,40856,5288,10700,9944,0,0,0.00,0,0.00,6,646,1.49,1.63,1.64,0,0.80,1.60,59.20,76.00,0.00,2.00,1.00,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 19:19:58,77.08,0.00,2.84,0.30,0.00,0.00,0.00,0.00,0.00,19.78,0.60,2100.20,1532.00,0.00,0.00,22.40,7324.80,6354.60,0.00,10919.00,0.00,0.00,0.00,0.00,73.20,0.60,72.60,44.80,14649.60,542520,0,3312320,85.93,3028,565544,4975204,129.06,2768592,436040,92308,2646320,42036,5304,10984,9944,0,0,0.00,0,0.00,3,649,1.53,1.64,1.64,0,73.20,44.80,14649.60,200.74,5.22,71.31,0.72,5.28,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-23 19:20:03,88.37,0.00,1.30,2.41,0.00,0.00,0.00,0.00,0.00,7.92,0.00,1601.40,1285.80,0.00,0.00,0.80,16367.20,276.60,0.00,8717.20,0.00,0.00,0.00,0.00,128.60,0.20,128.40,1.60,32734.40,290848,0,3563992,92.45,3040,565568,4975204,129.06,3048716,416732,10568,2896844,42096,5304,11556,9944,0,0,0.00,0,0.00,3,649,1.57,1.64,1.64,0,128.60,1.60,32734.40,254.56,65.62,510.29,5.36,68.96,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 19:20:08,79.74,0.00,0.71,0.00,0.10,0.00,0.00,0.00,0.00,19.46,0.60,1647.20,1196.40,0.00,0.00,0.00,11.20,86.20,0.00,968.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,22.40,236772,0,3618068,93.86,3048,565596,5016232,130.13,3126504,393160,10616,2950968,42096,5288,11660,9944,0,0,0.00,0,0.00,1,648,1.60,1.65,1.64,0,0.40,0.00,22.40,56.00,0.00,2.00,2.00,0.08,1.80,1.80,0.19,0.13,0.00,0.00,0.00,0.00
2017-09-23 19:20:13,92.88,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,6.92,0.40,1566.40,1153.60,0.00,0.00,0.00,0.00,40.60,0.00,421.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,225376,0,3629464,94.15,3048,565628,5032472,130.55,3133668,393152,10660,2962200,42080,5296,11664,9944,0,0,0.00,0,0.00,4,648,1.71,1.67,1.65,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-23 19:20:18,94.98,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,4.62,0.20,1537.00,1136.60,0.00,0.00,0.00,4.00,16.60,0.00,46.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,225508,0,3629332,94.15,3056,565648,5024872,130.35,3137628,393168,10680,2962092,42072,5288,11664,9944,0,0,0.00,0,0.00,4,645,1.74,1.68,1.65,0,0.40,0.00,8.00,20.00,0.00,2.00,2.00,0.08,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
