timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-25 01:38:03,66.46,0.00,3.14,6.59,0.00,0.00,0.00,0.00,0.00,23.81,16.80,2040.40,1889.20,0.00,0.00,8875.20,28.80,13519.00,43.00,10745.20,0.00,0.00,0.00,0.00,496.20,495.40,0.80,17750.40,57.60,2366140,0,1488700,38.62,12212,96744,2396408,62.17,1333820,67968,272,1298988,31924,4328,7308,9944,0,0,0.00,0,0.00,2,528,1.41,1.81,2.21,0,496.20,17750.40,57.60,35.89,0.24,0.48,0.34,17.04,2.80,2.80,0.22,0.44,0.00,0.00,0.00,0.00
2017-09-25 01:38:08,55.26,0.00,4.05,6.78,0.10,0.00,0.10,0.00,0.00,33.70,32.60,2245.00,2026.40,0.00,0.00,10425.60,35.20,21402.00,50.40,21081.80,0.00,0.00,0.00,0.00,504.00,503.00,1.00,20851.20,70.40,2366560,0,1488280,38.61,15404,145684,2391904,62.05,1304572,100880,312,1244448,32896,4464,8084,9944,0,0,0.00,0,0.00,2,533,1.46,1.81,2.21,0,504.00,20851.20,70.40,41.51,0.36,0.71,0.26,13.28,4.00,4.00,0.40,0.67,0.00,0.00,0.00,0.00
2017-09-25 01:38:13,68.66,0.00,2.23,4.26,0.00,0.00,0.00,0.00,0.00,24.85,6.00,1782.00,1578.20,0.00,0.00,4797.60,24.00,7643.80,0.20,3808.00,0.00,0.00,0.00,0.00,367.00,366.60,0.40,9595.20,48.00,2122152,0,1732688,44.95,15412,169760,2628200,68.18,1535480,113780,412,1464132,33016,4592,8500,9944,0,0,0.00,0,0.00,1,560,1.50,1.82,2.21,0,367.00,9595.20,48.00,26.28,0.14,0.39,0.35,12.88,7.60,7.80,0.51,2.43,0.00,0.00,0.00,0.00
2017-09-25 01:38:18,33.54,0.00,11.01,16.00,0.10,0.00,0.10,0.00,0.00,39.25,1.20,2810.98,2265.47,0.00,0.00,27941.72,39235.13,356.89,0.00,3886.03,0.00,0.00,0.00,0.00,644.31,327.15,317.17,55883.43,78470.26,1616308,0,2238532,58.07,15552,598108,2751060,71.37,1824920,322836,92628,1534196,40560,4600,8588,9944,0,0,0.00,0,0.00,5,565,1.46,1.80,2.20,0,644.31,55883.43,78470.26,208.52,33.45,51.91,0.79,51.18,0.80,0.80,0.07,0.14,0.00,0.00,0.00,0.00
2017-09-25 01:38:23,26.29,0.00,8.10,44.06,0.11,0.00,0.42,0.00,0.00,21.03,11.00,5026.60,3599.00,0.00,0.00,96.00,54525.60,3506.80,0.60,14512.40,0.00,0.00,0.00,0.00,443.40,8.00,435.40,192.00,109051.20,1243776,0,2611064,67.73,15644,900612,2942680,76.34,1991720,517980,210232,1593440,50240,4696,9044,9944,0,0,0.00,0,0.00,3,584,1.51,1.81,2.20,0,443.40,192.00,109051.20,246.38,79.37,179.00,1.41,62.32,6.20,6.20,0.46,1.16,0.00,0.00,0.00,0.00
2017-09-25 01:38:28,74.14,0.00,2.73,0.30,0.00,0.00,0.00,0.00,0.00,22.83,8.20,1520.40,1384.80,0.00,0.00,368.00,5489.60,9072.80,3.00,4482.80,0.00,0.00,0.00,0.00,61.00,14.60,46.40,736.00,10979.20,963592,0,2891248,75.00,15684,902612,3383924,87.78,2270900,513032,183396,1865636,50688,4864,10056,9944,0,0,0.00,0,0.00,4,613,1.63,1.83,2.21,0,61.00,736.00,10979.20,192.05,3.22,52.84,0.72,4.40,5.00,5.20,0.43,1.93,0.00,0.00,0.00,0.00
2017-09-25 01:38:33,83.88,0.00,3.40,0.10,0.00,0.00,0.10,0.00,0.00,12.51,5.00,2432.00,1350.40,0.00,0.00,6365.60,14732.80,12058.60,0.00,8635.40,0.00,0.00,0.00,0.00,180.40,61.00,119.40,12628.80,29465.60,588192,0,3266648,84.74,15692,956712,3734716,96.88,2605512,553936,132092,2187376,51600,5120,10744,9944,0,0,0.00,0,0.00,6,626,1.74,1.84,2.21,1,180.80,12731.20,29465.60,233.39,11.12,61.51,0.70,12.64,2.80,2.80,0.30,0.34,0.00,0.00,0.00,0.00
2017-09-25 01:38:38,51.60,0.00,4.63,24.61,0.10,0.00,0.21,0.00,0.00,18.85,3.00,4897.60,3259.40,0.00,0.00,32189.60,39700.00,986.00,0.20,3355.00,0.00,0.00,0.00,0.00,592.80,254.60,338.20,64481.60,79400.00,97680,0,3757160,97.47,15708,1272012,3957956,102.67,2857236,787404,88548,2356932,56236,5208,11208,9944,0,0,0.00,0,0.00,5,637,1.68,1.83,2.20,0,592.40,64379.20,79400.00,242.71,47.21,79.69,0.78,46.24,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-25 01:38:43,85.37,0.00,4.71,0.00,0.00,0.00,0.10,0.00,0.00,9.82,0.00,1642.40,5760.20,0.00,0.00,2.40,15.20,20247.80,0.00,26825.60,16607.60,3943.60,20108.80,97.85,1.00,0.60,0.40,4.80,30.40,87880,0,3766960,97.72,6056,879568,4430692,114.94,3212488,443040,88592,2769868,56436,5200,12084,9944,0,0,0.00,0,0.00,4,636,1.62,1.82,2.20,0,1.00,4.80,30.40,35.20,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-25 01:38:48,90.63,0.00,4.83,0.30,0.00,0.00,0.10,0.00,0.00,4.13,0.00,2310.40,3491.00,0.00,0.00,3300.00,17772.80,9265.80,0.00,15505.00,7038.40,1394.80,8095.40,95.99,180.60,50.40,130.20,6600.00,30537.60,107360,0,3747480,97.21,6028,775368,4449976,115.44,3224652,411292,41344,2854372,56504,5200,12336,9944,0,0,0.00,0,0.00,2,636,1.65,1.82,2.20,0,180.80,6600.00,30588.80,205.69,12.72,61.27,0.69,12.40,1.60,1.60,0.18,0.15,0.00,0.00,0.00,0.00
