timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-23 20:45:04,55.77,0.00,2.86,12.97,0.00,0.00,0.00,0.00,0.00,28.40,17.60,2319.40,2029.40,0.00,0.00,8220.80,45.60,11858.60,11.80,6651.40,0.00,0.00,0.00,0.00,622.40,621.40,1.00,16440.00,91.20,2241668,0,1613172,41.85,2952,118544,3391952,87.99,1468964,60836,3008,1408432,32204,4432,7664,9944,0,0,0.00,0,0.00,1,561,1.35,1.68,1.92,1,622.60,16441.60,91.20,26.55,0.46,0.73,0.57,35.28,0.80,0.80,0.08,0.06,0.00,0.00,0.00,0.00
2017-09-23 20:45:09,57.26,0.00,8.32,10.84,0.11,0.00,0.42,0.00,0.00,23.05,12.20,5956.40,4620.20,0.00,0.00,20053.60,14004.00,6427.80,3.40,7193.80,0.00,0.00,0.00,0.00,494.60,371.00,123.60,40108.80,28008.00,1698016,0,2156824,55.95,3000,476392,3612792,93.72,1676872,389484,190768,1587004,38452,4776,8352,9944,0,0,0.00,0,0.00,3,584,1.32,1.67,1.92,0,494.40,40107.20,28008.00,137.77,12.45,25.17,0.83,41.20,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-23 20:45:14,62.90,0.00,2.02,6.96,0.10,0.00,0.00,0.00,0.00,28.02,8.80,1824.40,1663.40,0.00,0.00,65.60,38161.60,7672.20,0.00,2167.20,0.00,0.00,0.00,0.00,302.60,3.80,298.80,131.20,76323.20,1488736,0,2366104,61.38,3020,476848,4913136,127.45,1895752,377800,604,1793708,38852,5032,9124,9944,0,0,0.00,0,0.00,2,622,1.29,1.66,1.91,0,302.60,131.20,76323.20,252.66,45.80,151.35,1.17,35.36,2.40,2.40,0.28,0.26,0.00,0.00,0.00,0.00
2017-09-23 20:45:19,76.57,0.00,2.42,0.00,0.00,0.00,0.00,0.00,0.00,21.01,9.80,2301.80,1765.20,0.00,0.00,54.40,521.60,5243.20,0.20,4957.40,0.00,0.00,0.00,0.00,6.60,2.20,4.40,108.80,1043.20,1048588,0,2806252,72.80,3028,482628,5012248,130.02,2319764,372140,3612,2226728,39264,5312,10288,9944,0,0,0.00,0,0.00,2,649,1.35,1.66,1.91,0,6.60,108.80,1043.20,174.55,0.04,6.42,0.73,0.48,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-23 20:45:24,35.92,0.00,3.78,38.66,0.00,0.00,0.00,0.00,0.00,21.64,0.60,2063.40,1769.00,0.00,0.00,0.00,50051.20,10603.60,0.00,430.80,0.00,0.00,0.00,0.00,385.20,0.00,385.20,0.00,94124.80,356088,0,3498752,90.76,3036,952544,5012248,130.02,2761808,629696,223772,2435952,51996,5304,10692,9944,0,0,0.00,0,0.00,0,649,1.48,1.68,1.92,3,385.40,0.00,94176.00,244.36,71.16,161.87,1.29,49.84,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-23 20:45:29,14.87,0.00,1.93,64.81,0.11,0.00,0.00,0.00,0.00,18.29,0.40,2224.60,1934.80,0.00,0.00,0.80,61070.40,2979.60,0.00,14439.80,0.00,0.00,0.00,0.00,483.20,0.20,483.00,1.60,121160.00,209716,0,3645124,94.56,3056,935840,5012248,130.02,2950528,587420,164180,2599292,51776,5320,10996,9944,0,0,0.00,0,0.00,1,651,1.52,1.69,1.92,2,483.00,1.60,121108.80,250.75,135.61,289.21,2.07,100.00,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-23 20:45:34,4.31,0.00,1.08,83.06,0.11,0.00,0.00,0.00,0.00,11.43,0.00,1911.20,1663.80,0.00,0.00,0.00,56965.60,1048.80,0.00,8836.00,7767.40,614.40,8359.80,99.74,479.60,0.00,479.60,0.00,120889.60,85652,0,3769188,97.78,1660,988904,5012248,130.02,3125652,533464,98584,2668596,56488,5304,11136,9944,0,0,0.00,0,0.00,4,649,1.56,1.69,1.92,0,479.60,0.00,120889.60,252.06,136.45,293.56,2.08,99.84,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-23 20:45:39,54.10,0.00,3.04,2.43,0.00,0.00,0.00,0.00,0.00,40.43,0.00,1777.00,2963.80,0.00,0.00,3.20,11508.80,3679.80,0.00,4864.00,3735.40,619.80,4354.80,99.99,65.40,0.80,64.60,6.40,15900.80,97704,0,3757136,97.47,1664,901856,5020096,130.23,3223920,423288,41244,2743688,56400,5304,11284,9944,0,0,0.00,0,0.00,1,649,1.76,1.73,1.93,1,65.40,6.40,15900.80,243.23,7.83,92.89,0.84,5.52,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-23 20:45:44,56.69,0.00,9.03,2.74,0.00,0.00,0.00,0.00,0.00,31.54,0.00,1832.00,2679.80,0.00,0.00,2910.40,8281.60,2539.20,0.00,12196.20,2477.00,5014.40,7035.00,93.91,230.20,130.80,99.40,5820.80,23680.00,92616,0,3762224,97.60,1632,775680,5073844,131.62,3255792,395900,80,2874392,54700,5296,11584,9944,0,0,0.00,0,0.00,2,648,1.70,1.72,1.93,0,230.20,5820.80,23680.00,128.15,9.61,49.34,0.41,9.44,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-23 20:45:49,51.52,0.00,0.30,0.30,0.00,0.00,0.00,0.00,0.00,47.87,0.40,1789.40,1125.60,0.00,0.00,1394.40,0.00,31.80,0.00,230.60,0.00,0.00,0.00,0.00,64.60,64.60,0.00,2788.80,0.00,88992,0,3765848,97.69,1632,782768,5073844,131.62,3252364,402616,152,2870616,54620,5296,11548,9944,0,0,0.00,0,0.00,1,648,1.64,1.71,1.92,0,64.60,2788.80,0.00,43.17,0.05,0.78,0.14,0.88,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
