timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 09:38:41,73.07,0.00,5.39,2.34,0.10,0.00,0.20,0.00,0.00,18.90,18.80,3770.40,2948.60,0.00,0.00,13546.40,65.60,11881.60,6.80,9761.20,0.00,0.00,0.00,0.00,375.40,373.40,2.00,27092.80,131.20,1921876,0,1932964,50.14,3364,308880,3374292,87.53,1614188,232924,89256,1534908,36552,4656,7936,9944,0,0,0.00,0,0.00,2,568,1.86,1.84,1.65,0,375.40,27092.80,131.20,72.52,0.41,1.08,0.41,15.44,1.20,1.20,0.15,0.10,0.00,0.00,0.00,0.00
2017-09-24 09:38:46,75.77,0.00,6.19,3.30,0.00,0.00,0.31,0.00,0.00,14.43,13.80,3610.00,3012.20,0.00,0.00,6449.60,12391.20,7379.20,0.20,4548.80,0.00,0.00,0.00,0.00,181.60,72.80,108.80,12899.20,24782.40,1530736,0,2324104,60.29,3388,512704,3649300,94.67,1818616,413824,198960,1716396,41256,4904,8740,9944,0,0,0.00,0,0.00,3,599,1.95,1.86,1.66,0,181.60,12899.20,24782.40,207.50,10.39,57.22,0.83,15.12,2.60,2.60,0.31,0.21,0.00,0.00,0.00,0.00
2017-09-24 09:38:51,74.95,0.00,3.23,4.04,0.10,0.00,0.00,0.00,0.00,17.68,14.00,2187.80,1890.00,0.00,0.00,3.20,39804.00,8852.20,0.00,3641.40,0.00,0.00,0.00,0.00,312.40,0.80,311.60,6.40,79608.00,1190092,0,2664748,69.13,3424,512860,4926580,127.80,2162960,407620,560,2054344,42072,5296,9896,9944,0,0,0.00,0,0.00,1,648,1.95,1.87,1.66,0,312.40,6.40,79608.00,254.85,48.91,156.55,1.21,37.76,1.80,1.80,0.21,0.21,0.00,0.00,0.00,0.00
2017-09-24 09:38:56,83.40,0.00,2.53,0.10,0.00,0.00,0.10,0.00,0.00,13.87,2.20,2364.60,1788.20,0.00,0.00,12.00,531.20,5023.60,0.20,4035.40,0.00,0.00,0.00,0.00,5.20,0.60,4.60,24.00,1062.40,911136,0,2943704,76.36,3432,518440,5007188,129.89,2444048,398452,3692,2326792,42268,5328,10440,9944,0,0,0.00,0,0.00,3,652,1.88,1.85,1.65,0,5.20,24.00,1062.40,208.92,0.04,8.15,0.77,0.40,1.40,1.20,0.14,0.09,0.00,0.00,0.00,0.00
2017-09-24 09:39:01,97.39,0.00,1.81,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.20,2046.00,1439.40,0.00,0.00,0.00,30.40,921.20,0.00,9942.80,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,60.80,600260,0,3254580,84.43,3440,521788,5007188,129.89,2757844,400992,7108,2633616,42324,5312,11072,9944,0,0,0.00,0,0.00,4,650,2.05,1.89,1.67,0,0.60,0.00,60.80,101.33,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-24 09:39:06,84.61,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,14.79,0.20,1810.60,1268.40,0.00,0.00,0.00,14.40,230.60,0.00,343.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,28.80,585536,0,3269304,84.81,3448,532144,5007188,129.89,2763440,409860,17484,2637804,42612,5312,11088,9944,0,0,0.00,0,0.00,1,650,2.20,1.92,1.68,0,0.40,0.00,28.80,72.00,0.00,2.00,2.00,0.08,1.40,1.40,0.14,0.17,0.00,0.00,0.00,0.00
2017-09-24 09:39:11,62.78,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,36.21,0.40,1853.20,1317.40,0.00,0.00,0.00,19.20,1002.00,0.00,5339.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,38.40,508296,0,3346544,86.81,3456,533176,5007188,129.89,2835832,401716,18564,2713204,42744,5312,11248,9944,0,0,0.00,0,0.00,2,650,2.11,1.91,1.68,0,0.40,0.00,38.40,96.00,0.00,0.00,0.00,0.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-24 09:39:16,83.96,0.00,2.22,0.00,0.00,0.00,0.00,0.00,0.00,13.82,0.00,2194.00,1550.80,0.00,0.00,0.00,85.60,2662.80,0.00,9553.60,0.00,0.00,0.00,0.00,6.20,0.00,6.20,0.00,171.20,155036,0,3699804,95.98,3464,546144,5007188,129.89,3197728,401904,31456,3050060,43060,5312,11900,9944,0,0,0.00,0,0.00,2,650,2.02,1.89,1.67,0,6.20,0.00,171.20,27.61,0.00,0.65,0.26,0.16,2.00,1.60,0.21,0.13,0.00,0.00,0.00,0.00
2017-09-24 09:39:21,86.75,0.00,0.81,0.10,0.00,0.00,0.00,0.00,0.00,12.34,2.00,2068.00,1486.00,0.00,0.00,0.00,231.20,627.80,0.00,1164.20,0.00,0.00,0.00,0.00,15.20,0.00,15.20,0.00,462.40,154032,0,3700808,96.00,3476,554940,5078520,131.74,3202544,397912,39496,3042048,43312,5384,11924,9944,0,0,0.00,0,0.00,1,659,2.02,1.89,1.67,0,15.20,0.00,462.40,30.42,0.05,3.32,0.16,0.24,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-24 09:39:26,83.01,0.00,0.91,0.00,0.00,0.00,0.00,0.00,0.00,16.08,0.40,2178.00,1589.80,0.00,0.00,0.00,642.40,936.60,0.00,1395.20,0.00,0.00,0.00,0.00,5.80,0.00,5.80,0.00,1284.80,141512,0,3713328,96.33,3484,571928,5096176,132.20,3214824,397744,53708,3037176,43764,5392,11936,9944,0,0,0.00,0,0.00,3,660,1.93,1.88,1.67,0,5.80,0.00,1284.80,221.52,0.06,11.17,0.83,0.48,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
