timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 02:28:07,81.74,0.00,4.74,0.40,0.10,0.00,0.20,0.00,0.00,12.82,18.40,2702.80,1668.80,0.00,0.00,352.80,37.60,13852.80,6.40,9926.00,0.00,0.00,0.00,0.00,16.60,14.80,1.80,705.60,75.20,1771232,0,2083608,54.05,3324,407236,3368136,87.37,1783252,211080,56496,1583900,37936,4616,7988,9944,0,0,0.00,0,0.00,4,566,2.03,2.00,1.86,0,16.60,705.60,75.20,47.04,0.01,0.58,0.43,0.72,1.20,1.20,0.15,0.10,0.00,0.00,0.00,0.00
2017-09-24 02:28:12,79.04,0.00,6.61,1.93,0.00,0.00,0.41,0.00,0.00,12.00,13.60,3618.60,2503.20,0.00,0.00,6.40,12395.20,8661.00,0.20,7728.80,0.00,0.00,0.00,0.00,111.00,1.20,109.80,12.80,24790.40,1372536,0,2482304,64.39,3352,611412,3718468,96.46,1994452,392656,199204,1772344,42608,4776,8684,9944,0,0,0.00,0,0.00,2,596,1.95,1.99,1.86,0,111.00,12.80,24790.40,223.45,10.06,90.61,0.78,8.64,3.00,3.00,0.34,0.23,0.00,0.00,0.00,0.00
2017-09-24 02:28:17,75.63,0.00,3.64,4.65,0.00,0.00,0.00,0.00,0.00,16.08,13.80,2259.40,1961.40,0.00,0.00,3.20,39785.60,8130.80,0.00,3082.00,0.00,0.00,0.00,0.00,312.20,0.80,311.40,6.40,79571.20,1043672,0,2811168,72.93,3384,611564,4938896,128.12,2325744,388036,612,2098832,43292,5224,9728,9944,0,0,0.00,0,0.00,4,645,1.95,1.99,1.86,0,312.20,6.40,79571.20,254.89,48.26,154.59,1.21,37.68,2.20,2.00,0.23,0.22,0.00,0.00,0.00,0.00
2017-09-24 02:28:22,80.97,0.00,3.34,0.00,0.00,0.00,0.00,0.00,0.00,15.69,2.60,2225.00,1581.60,0.00,0.00,0.00,526.40,4801.60,0.00,11261.40,0.00,0.00,0.00,0.00,4.60,0.00,4.60,0.00,1052.80,504056,0,3350784,86.92,3392,617064,4996424,129.61,2864812,385164,3644,2629520,43568,5312,10908,9944,0,0,0.00,0,0.00,4,650,2.04,2.00,1.86,0,4.60,0.00,1052.80,228.87,0.04,8.70,0.70,0.32,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-24 02:28:27,93.45,0.00,1.71,0.00,0.10,0.00,0.00,0.00,0.00,4.74,0.60,2039.80,1448.60,0.00,0.00,0.00,23.20,1574.20,0.00,8997.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,46.40,252708,0,3602132,93.44,3400,619708,4996424,129.61,3116016,386396,6372,2879232,43664,5320,11452,9944,0,0,0.00,0,0.00,4,651,2.11,2.02,1.87,0,0.40,0.00,46.40,116.00,0.00,2.00,2.00,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 02:28:32,82.24,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,16.75,0.00,1841.60,1360.80,0.00,0.00,0.00,0.00,446.40,0.00,7171.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74788,0,3780052,98.06,3400,620540,5041364,130.78,3295108,384632,7260,3055800,43704,5312,11792,9944,0,0,0.00,0,0.00,3,650,2.10,2.02,1.87,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,1.40,0.14,0.17,0.00,0.00,0.00,0.00
2017-09-24 02:28:37,78.06,0.00,0.61,0.00,0.00,0.00,0.00,0.00,0.00,21.33,0.40,1872.00,1462.20,0.00,0.00,0.00,22.40,282.00,0.00,2075.80,1177.60,0.00,1177.60,100.00,0.40,0.00,0.40,0.00,44.80,78480,0,3776360,97.96,3404,599844,5052276,131.06,3312776,362956,10164,3072500,43548,5312,11828,9944,0,0,0.00,0,0.00,2,650,2.02,2.00,1.87,0,0.40,0.00,44.80,112.00,0.00,2.00,2.00,0.08,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-24 02:28:42,71.47,0.00,0.71,0.00,0.00,0.00,0.00,0.00,0.00,27.82,0.00,2015.40,1578.40,0.00,0.00,0.00,82.40,345.60,0.00,589.80,0.00,0.00,0.00,0.00,6.20,0.00,6.20,0.00,164.80,73668,0,3781172,98.09,3412,605252,5052276,131.06,3317564,363032,15440,3071856,43516,5312,11832,9944,0,0,0.00,0,0.00,3,650,2.01,2.00,1.87,0,6.20,0.00,164.80,26.58,0.01,1.29,0.26,0.16,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-24 02:28:47,79.17,0.00,0.71,0.00,0.00,0.00,0.00,0.00,0.00,20.12,0.00,1816.80,1406.20,0.00,0.00,0.00,208.80,195.60,0.00,1343.00,1110.20,0.00,1110.20,100.00,15.00,0.00,15.00,0.00,417.60,94336,0,3760504,97.55,3416,585616,5041528,130.78,3321840,338872,17232,3071680,43204,5304,11832,9944,0,0,0.00,0,0.00,3,649,1.93,1.98,1.86,0,15.00,0.00,417.60,27.84,0.04,2.72,0.16,0.24,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-24 02:28:52,74.82,0.00,0.70,0.10,0.10,0.00,0.00,0.00,0.00,24.27,0.00,1947.40,1478.40,0.00,0.00,0.00,621.60,351.20,0.00,866.00,0.00,0.00,0.00,0.00,5.60,0.00,5.60,0.00,1243.20,88808,0,3766032,97.70,3424,591020,5033292,130.57,3327272,338908,19764,3071756,43212,5296,11832,9944,0,0,0.00,0,0.00,3,648,2.26,2.05,1.88,0,5.60,0.00,1243.20,222.00,0.07,13.00,1.00,0.56,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 02:28:57,71.15,0.00,0.81,0.00,0.00,0.00,0.00,0.00,0.00,28.04,0.00,1867.00,1462.60,0.00,0.00,0.00,193.60,304.80,0.00,378.80,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,387.20,84296,0,3770544,97.81,3432,596384,5033292,130.57,3331284,339020,24444,3070404,43212,5296,11832,9944,0,0,0.00,0,0.00,6,648,2.16,2.03,1.88,0,2.20,0.00,387.20,176.00,0.00,2.18,0.36,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 02:29:02,80.42,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,19.27,1.60,1938.40,1470.60,0.00,0.00,0.00,550.40,296.40,0.00,523.60,0.00,0.00,0.00,0.00,5.80,0.00,5.80,0.00,1100.80,74656,0,3780184,98.06,3440,599256,5023516,130.32,3339540,340832,24764,3077688,43236,5296,11832,9944,0,0,0.00,0,0.00,4,655,2.15,2.03,1.88,0,5.80,0.00,1100.80,189.79,0.05,8.55,0.55,0.32,1.40,1.40,0.14,0.17,0.00,0.00,0.00,0.00
2017-09-24 02:29:07,91.17,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,8.02,0.20,2067.80,1315.20,0.00,0.00,0.00,586.40,40.40,0.00,29.40,0.00,0.00,0.00,0.00,5.40,0.00,5.40,0.00,1172.80,74160,0,3780680,98.08,3448,599304,5023516,130.32,3341900,338912,22048,3078064,43292,5352,11856,9944,0,0,0.00,0,0.00,5,655,2.21,2.05,1.88,0,5.40,0.00,1172.80,217.19,0.05,9.63,0.89,0.48,1.00,1.00,0.11,0.07,0.00,0.00,0.00,0.00
2017-09-24 02:29:12,86.36,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,12.54,0.00,1747.80,1830.80,0.00,0.00,0.00,543.20,737.80,0.00,3137.40,1042.20,0.00,1042.20,100.00,6.40,0.00,6.40,0.00,1086.40,74108,0,3780732,98.08,3452,581036,5023516,130.32,3362996,318084,22036,3096596,43052,5328,11892,9944,0,0,0.00,0,0.00,3,652,2.20,2.05,1.89,0,6.40,0.00,1086.40,169.75,0.07,11.25,0.75,0.48,2.00,2.00,0.23,0.16,0.00,0.00,0.00,0.00
2017-09-24 02:29:17,81.60,0.00,0.51,0.00,0.10,0.00,0.00,0.00,0.00,17.80,0.00,1697.60,1331.80,0.00,0.00,0.00,1116.80,165.00,0.00,1233.80,975.60,0.00,942.20,96.58,10.40,0.00,10.40,0.00,2233.60,91856,0,3762984,97.62,2932,565572,5023516,130.32,3364568,300500,19472,3096564,42836,5320,11892,9944,0,0,0.00,0,0.00,4,651,2.18,2.05,1.89,0,10.40,0.00,2233.60,214.77,0.19,18.31,0.69,0.72,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-24 02:29:22,87.11,0.00,0.81,0.00,0.00,0.00,0.10,0.00,0.00,11.98,0.00,1791.40,1348.40,0.00,0.00,0.00,692.00,234.60,0.00,252.80,0.00,0.00,0.00,0.00,12.20,0.00,12.20,0.00,1384.00,89516,0,3765324,97.68,2940,568136,5015780,130.12,3368808,298676,18732,3096420,42836,5304,11892,9944,0,0,0.00,0,0.00,1,649,2.17,2.05,1.89,0,12.20,0.00,1384.00,113.44,0.08,6.62,0.39,0.48,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 02:29:27,92.08,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,7.52,0.00,1553.60,1157.00,0.00,0.00,0.00,1089.60,14.40,0.00,29.80,0.00,0.00,0.00,0.00,9.60,0.00,9.60,0.00,2179.20,89516,0,3765324,97.68,2948,568172,5015780,130.12,3368904,298644,13504,3096428,42836,5304,11892,9944,0,0,0.00,0,0.00,4,648,2.15,2.05,1.89,0,9.60,0.00,2179.20,227.00,0.19,19.75,0.83,0.80,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-24 02:29:32,90.69,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.00,1622.00,1215.40,0.00,0.00,0.00,507.20,15.60,0.00,132.40,0.00,0.00,0.00,0.00,4.20,0.00,4.20,0.00,1014.40,89468,0,3765372,97.68,2948,568200,5015780,130.12,3368868,298660,10996,3096384,42836,5288,11892,9944,0,0,0.00,0,0.00,2,647,2.14,2.04,1.89,0,4.20,0.00,1014.40,241.52,0.04,10.48,0.76,0.32,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-24 02:29:37,86.35,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,13.15,0.40,1688.00,1269.00,0.00,0.00,0.00,569.60,171.40,0.00,172.60,0.00,0.00,0.00,0.00,5.40,0.00,5.40,0.00,1139.20,86508,0,3768332,97.76,2956,571044,5015780,130.12,3369924,300576,11044,3096508,42836,5296,11892,9944,0,0,0.00,0,0.00,4,648,2.13,2.04,1.89,0,5.40,0.00,1139.20,210.96,0.05,9.48,0.74,0.40,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 02:29:42,94.28,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,5.32,0.00,1593.80,1173.40,0.00,0.00,0.00,551.20,18.80,0.00,389.40,0.00,208.80,208.20,99.71,6.60,0.00,6.60,0.00,1102.40,90968,0,3763872,97.64,2932,566936,5015780,130.12,3369996,296420,8524,3096548,42840,5296,11892,9944,0,0,0.00,0,0.00,5,648,2.20,2.06,1.89,0,6.60,0.00,1102.40,167.03,0.08,11.64,0.61,0.40,1.80,1.80,0.22,0.15,0.00,0.00,0.00,0.00
2017-09-24 02:29:47,85.80,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,13.80,0.00,1761.00,1346.60,0.00,0.00,0.00,584.00,249.40,0.00,265.80,0.00,0.00,0.00,0.00,5.80,0.00,5.80,0.00,1168.00,88024,0,3766816,97.72,2944,569512,5015780,130.12,3374456,294536,8336,3096536,42848,5280,11892,9944,0,0,0.00,0,0.00,4,646,2.18,2.06,1.89,0,5.80,0.00,1168.00,201.38,0.05,9.24,0.69,0.40,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-24 02:29:52,93.89,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,5.61,0.00,1584.80,1173.60,0.00,0.00,0.00,19.20,13.60,0.00,24.20,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,38.40,88024,0,3766816,97.72,2952,569540,5015780,130.12,3374492,294560,8376,3096564,42848,5280,11892,9944,0,0,0.00,0,0.00,3,646,2.17,2.06,1.89,0,0.80,0.00,38.40,48.00,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-24 02:29:57,83.02,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,16.48,0.00,1762.20,1331.00,0.00,0.00,0.00,580.00,163.80,0.00,299.60,0.00,0.00,0.00,0.00,11.00,0.00,11.00,0.00,1160.00,87488,0,3767352,97.73,2960,572384,5005528,129.85,3372912,296480,8292,3094048,42864,5280,11892,9944,0,0,0.00,0,0.00,7,646,2.08,2.04,1.89,0,11.00,0.00,1160.00,105.45,0.16,14.18,0.36,0.40,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-24 02:30:02,93.69,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,5.91,0.00,1604.40,1183.80,0.00,0.00,0.00,18.40,15.20,0.00,26.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,36.80,87512,0,3767328,97.73,2968,572408,5005528,129.85,3372936,296504,8404,3094076,42864,5280,11892,9944,0,0,0.00,0,0.00,4,646,2.07,2.04,1.89,0,0.40,0.00,36.80,92.00,0.00,2.00,2.00,0.08,1.40,1.40,0.14,0.17,0.00,0.00,0.00,0.00
2017-09-24 02:30:07,86.71,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,12.89,0.00,1798.00,1339.60,0.00,0.00,0.00,567.20,281.20,0.00,305.80,0.00,0.00,0.00,0.00,5.40,0.00,5.40,0.00,1134.40,85228,0,3769612,97.79,2976,574988,5005528,129.85,3377316,294620,8184,3093972,42944,5208,11892,9944,0,0,0.00,0,0.00,3,637,2.22,2.07,1.90,0,5.40,0.00,1134.40,210.07,0.05,9.93,0.74,0.40,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 02:30:12,93.79,0.00,0.30,0.00,0.00,0.00,0.10,0.00,0.00,5.81,0.00,1590.80,1175.60,0.00,0.00,0.00,36.00,18.60,0.00,51.60,0.00,0.00,0.00,0.00,2.40,0.00,2.40,0.00,72.00,85600,0,3769240,97.78,2984,575012,5005528,129.85,3376940,294644,8188,3093588,42944,5208,11892,9944,0,0,0.00,0,0.00,3,637,2.21,2.07,1.90,0,2.40,0.00,72.00,30.00,0.00,0.33,0.33,0.08,2.00,2.00,0.23,0.16,0.00,0.00,0.00,0.00
2017-09-24 02:30:17,83.30,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,16.40,0.00,1720.80,1325.60,0.00,0.00,0.00,517.60,167.00,0.00,171.80,0.00,0.00,0.00,0.00,4.80,0.00,4.80,0.00,1035.20,82624,0,3772216,97.86,2992,577860,5005528,129.85,3377960,296568,8532,3093684,43000,5208,11896,9944,0,0,0.00,0,0.00,1,637,2.11,2.05,1.90,0,4.80,0.00,1035.20,215.67,0.05,9.50,0.67,0.32,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-24 02:30:22,93.79,0.00,0.20,0.10,0.00,0.00,0.00,0.00,0.00,5.91,0.00,1567.60,1171.60,0.00,0.00,0.00,21.60,15.00,0.00,24.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,43.20,82624,0,3772216,97.86,3000,577884,5005528,129.85,3377992,296592,8592,3093708,43000,5208,11896,9944,0,0,0.00,0,0.00,3,637,2.10,2.05,1.90,0,0.40,0.00,43.20,108.00,0.00,2.00,2.00,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 02:30:27,89.43,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,10.07,0.00,1793.20,1332.40,0.00,0.00,1.60,569.60,497.80,0.00,491.20,0.00,0.00,0.00,0.00,6.00,0.40,5.60,3.20,1139.20,79772,0,3775068,97.93,3008,580464,5005528,129.85,3382920,294708,8348,3094180,43028,5208,11896,9944,0,0,0.00,0,0.00,3,637,2.01,2.04,1.89,0,6.00,3.20,1139.20,190.40,0.06,9.47,0.67,0.40,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
