timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 16:10:27,82.23,0.00,4.12,0.00,0.00,0.00,0.20,0.00,0.00,13.45,18.40,2680.80,1621.80,0.00,0.00,0.00,43.20,13703.00,0.00,10392.80,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,86.40,1644376,0,2210464,57.34,27812,546392,3404244,88.31,1885804,225572,61120,1541572,43520,4608,7920,9944,0,0,0.00,0,0.00,4,564,1.15,1.38,1.39,0,1.80,0.00,86.40,48.00,0.00,1.78,0.89,0.16,1.40,1.40,0.16,0.11,0.00,0.00,0.00,0.00
2017-09-24 16:10:32,70.91,0.00,6.61,1.22,0.10,0.00,0.71,0.00,0.00,20.45,11.00,4053.80,2544.40,0.00,0.00,0.00,12348.80,6620.40,0.00,6045.40,0.00,0.00,0.00,0.00,107.40,0.00,107.40,0.00,24697.60,1300008,0,2554832,66.28,27824,745664,3661020,94.97,2041488,413648,199228,1681648,46980,4760,8604,9944,0,0,0.00,0,0.00,4,581,1.21,1.39,1.39,0,107.40,0.00,24697.60,229.96,10.56,98.34,0.80,8.56,2.40,2.40,0.28,0.26,0.00,0.00,0.00,0.00
2017-09-24 16:10:37,71.83,0.00,3.85,4.26,0.00,0.00,0.00,0.00,0.00,20.06,12.40,2047.00,1786.80,0.00,0.00,0.00,39784.00,9381.60,0.00,4020.60,0.00,0.00,0.00,0.00,311.40,0.00,311.40,0.00,79568.00,1002320,0,2852520,74.00,27832,745788,4950288,128.42,2342264,408744,620,1977388,47584,5080,9556,9944,0,0,0.00,0,0.00,6,637,1.12,1.37,1.38,0,311.40,0.00,79568.00,255.52,47.92,153.87,1.21,37.68,2.00,2.00,0.24,0.16,0.00,0.00,0.00,0.00
2017-09-24 16:10:42,64.03,0.00,1.42,0.00,0.00,0.00,0.00,0.00,0.00,34.55,6.20,2232.40,1607.20,0.00,0.00,0.00,525.60,2281.80,0.00,2045.20,0.00,0.00,0.00,0.00,4.60,0.00,4.60,0.00,1051.20,723920,0,3130920,81.22,27860,751296,5019852,130.22,2621468,404856,3716,2249216,47948,5280,10296,9944,0,0,0.00,0,0.00,1,646,1.19,1.38,1.39,0,4.60,0.00,1051.20,228.52,0.04,8.35,0.70,0.32,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 16:10:47,52.39,0.00,0.10,0.00,0.00,0.00,0.10,0.00,0.00,47.41,0.00,1766.00,1224.00,0.00,0.00,0.00,0.00,43.60,0.00,657.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,694300,0,3160540,81.99,27860,751320,5019852,130.22,2652452,404864,3740,2278136,48004,5256,10364,9944,0,0,0.00,0,0.00,2,643,1.17,1.37,1.38,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-24 16:10:52,51.63,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,48.07,0.00,1776.00,1288.00,0.00,0.00,0.00,3.20,43.40,0.00,131.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,689780,0,3165060,82.11,27868,751340,5019852,130.22,2655008,404880,3760,2282728,47984,5248,10368,9944,0,0,0.00,0,0.00,3,642,1.16,1.36,1.38,0,0.40,0.00,6.40,16.00,0.00,2.00,2.00,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 16:10:57,52.34,0.00,0.30,0.00,0.10,0.00,0.00,0.00,0.00,47.26,0.00,1795.00,1247.20,0.00,0.00,0.00,3.20,41.60,0.00,240.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,679188,0,3175652,82.38,27872,751364,5019852,130.22,2667636,404880,3784,2293280,48016,5232,10392,9944,0,0,0.00,0,0.00,2,640,1.15,1.36,1.38,0,0.40,0.00,6.40,16.00,0.00,4.00,4.00,0.16,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-24 16:11:02,53.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,46.90,0.40,1759.40,1151.60,0.00,0.00,0.00,109.60,29.40,0.00,30.00,0.00,0.00,0.00,0.00,15.80,0.00,15.80,0.00,219.20,679072,0,3175768,82.38,27880,751392,5019852,130.22,2667808,404904,3300,2293440,48024,5240,10392,9944,0,0,0.00,0,0.00,3,641,1.13,1.35,1.38,0,15.80,0.00,219.20,13.87,0.06,3.80,0.15,0.24,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-24 16:11:07,51.57,0.00,0.30,0.10,0.00,0.00,0.00,0.00,0.00,48.02,0.00,1772.60,1226.40,0.00,0.00,0.00,68.00,16.60,0.00,31.60,0.00,0.00,0.00,0.00,4.20,0.00,4.20,0.00,136.00,679220,0,3175620,82.38,27896,751416,5019852,130.22,2667780,404924,3172,2293392,48008,5232,10392,9944,0,0,0.00,0,0.00,1,640,1.12,1.35,1.38,0,4.20,0.00,136.00,32.38,0.01,1.71,0.38,0.16,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-24 16:11:12,51.93,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,47.97,0.00,1760.40,1147.00,0.00,0.00,0.00,617.60,14.00,0.00,134.80,0.00,0.00,0.00,0.00,5.80,0.00,5.80,0.00,1235.20,677072,0,3177768,82.44,27908,751436,5019852,130.22,2669716,404944,260,2295320,48000,5216,10396,9944,0,0,0.00,0,0.00,1,638,1.11,1.34,1.37,0,5.80,0.00,1235.20,212.97,0.06,10.07,0.83,0.48,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
