timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 18:35:49,77.87,0.00,5.53,0.10,0.00,0.00,0.40,0.00,0.00,16.10,18.80,2867.60,2012.20,0.00,0.00,0.00,677.60,11715.80,0.00,11248.20,0.00,0.00,0.00,0.00,17.00,0.00,17.00,0.00,1355.20,1485532,0,2369308,61.46,41876,649348,3261236,84.60,1987436,285420,112392,1581796,45192,4632,7940,9944,0,0,0.00,0,0.00,3,565,1.21,1.11,1.08,0,17.00,0.00,1355.20,79.72,0.06,3.81,0.38,0.64,2.40,1.40,0.22,0.18,0.00,0.00,0.00,0.00
2017-09-24 18:35:54,71.57,0.00,6.80,0.81,0.10,0.00,0.20,0.00,0.00,20.51,14.60,2935.40,2458.00,0.00,0.00,0.00,11825.60,6901.60,0.00,3003.00,0.00,0.00,0.00,0.00,101.60,0.00,101.60,0.00,23651.20,1158304,0,2696536,69.95,41888,794648,3618968,93.88,2175400,419404,199184,1758268,49104,4824,8668,9944,0,0,0.00,0,0.00,3,600,1.44,1.15,1.09,0,101.60,0.00,23651.20,232.79,9.57,94.20,0.81,8.24,2.80,2.60,0.31,0.21,0.00,0.00,0.00,0.00
2017-09-24 18:35:59,74.06,0.00,3.26,4.98,0.00,0.00,0.00,0.00,0.00,17.70,13.80,2264.60,1996.60,0.00,0.00,0.00,39862.40,9076.00,0.00,4191.60,0.00,0.00,0.00,0.00,322.00,0.00,322.00,0.00,79724.80,832632,0,3022208,78.40,41908,795072,4828680,125.26,2502908,415464,640,2081488,49648,5256,9840,9944,0,0,0.00,0,0.00,1,645,1.40,1.15,1.09,0,322.00,0.00,79724.80,247.59,49.57,153.95,1.18,37.84,2.00,2.00,0.23,0.16,0.00,0.00,0.00,0.00
2017-09-24 18:36:04,59.82,0.00,1.53,0.00,0.10,0.00,0.00,0.00,0.00,38.56,1.60,2099.80,1602.20,0.00,0.00,0.00,528.80,1574.40,0.00,2104.60,0.00,0.00,0.00,0.00,4.60,0.00,4.60,0.00,1057.60,594704,0,3260136,84.57,41912,800280,4895680,127.00,2736496,410720,3532,2313328,49892,5280,10312,9944,0,0,0.00,0,0.00,2,645,1.37,1.15,1.09,0,4.60,0.00,1057.60,229.91,0.05,10.43,1.04,0.48,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-24 18:36:09,51.88,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,47.92,0.00,1759.00,1187.80,0.00,0.00,0.00,8.80,16.60,0.00,878.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,17.60,594424,0,3260416,84.58,41916,800304,4895680,127.00,2744184,410732,3564,2312696,49900,5256,10364,9944,0,0,0.00,0,0.00,2,643,1.34,1.15,1.09,0,0.40,0.00,17.60,44.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 18:36:14,52.34,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,47.45,0.20,1867.80,1394.60,0.00,0.00,0.00,4.00,93.20,0.00,29.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,587924,0,3266916,84.75,41924,800332,4895680,127.00,2747680,410712,3592,2320236,49920,5256,10364,9944,0,0,0.00,0,0.00,2,643,1.31,1.14,1.09,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-24 18:36:19,51.93,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,47.86,0.00,1785.20,1194.00,0.00,0.00,0.00,13.60,24.80,0.00,852.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,27.20,578980,0,3275860,84.98,41932,800348,4895680,127.00,2760104,410716,3616,2328540,49912,5248,10392,9944,0,0,0.00,0,0.00,1,642,1.29,1.14,1.09,0,0.40,0.00,27.20,68.00,0.00,0.00,0.00,0.00,1.60,1.60,0.18,0.19,0.00,0.00,0.00,0.00
2017-09-24 18:36:24,53.31,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,46.49,0.00,1777.60,1244.00,0.00,0.00,0.00,47.20,344.00,0.00,365.80,0.00,0.00,0.00,0.00,5.80,0.00,5.80,0.00,94.40,578716,0,3276124,84.99,41932,800380,4895680,127.00,2759912,410736,3508,2328336,49912,5240,10392,9944,0,0,0.00,0,0.00,1,641,1.27,1.14,1.09,0,5.80,0.00,94.40,16.28,0.00,0.83,0.14,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 18:36:29,52.85,0.00,0.20,0.00,0.10,0.00,0.00,0.00,0.00,46.85,0.20,1816.00,1309.40,0.00,0.00,0.00,68.00,24.00,0.00,87.40,0.00,0.00,0.00,0.00,4.20,0.00,4.20,0.00,136.00,579848,0,3274992,84.96,41940,800412,4895680,127.00,2758844,410764,3360,2327260,49916,5248,10396,9944,0,0,0.00,0,0.00,1,642,1.24,1.14,1.09,0,4.20,0.00,136.00,32.38,0.01,1.33,0.38,0.16,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-24 18:36:34,51.88,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,47.92,0.00,1748.40,1113.20,0.00,0.00,0.00,670.40,14.00,0.00,45.20,0.00,0.00,0.00,0.00,12.00,0.00,12.00,0.00,1340.80,578056,0,3276784,85.00,41948,800436,4895680,127.00,2760552,410780,164,2328948,49924,5240,10400,9944,0,0,0.00,0,0.00,1,641,1.22,1.13,1.09,0,12.00,0.00,1340.80,111.73,0.20,16.60,0.47,0.56,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
