timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-23 19:31:01,36.02,0.00,3.72,0.05,0.05,0.00,0.20,0.00,0.00,59.96,24.40,3973.80,3670.80,0.00,0.00,9.60,95.20,12075.00,0.80,20123.20,0.00,0.00,0.00,0.00,6.00,1.00,5.00,19.20,190.40,5427712,0,2231788,29.14,13792,691212,3475824,45.38,1691324,416328,236368,1402736,48844,4864,7952,17032,0,0,0.00,0,0.00,1,601,1.94,2.15,2.50,0,6.00,19.20,190.40,34.93,0.01,1.07,0.93,0.56,1.80,1.80,0.22,0.15,0.00,0.00,0.00,0.00
2017-09-23 19:31:06,32.59,0.00,1.42,0.05,0.05,0.00,0.05,0.00,0.00,65.84,15.60,2200.40,2199.80,0.00,0.00,16.80,57.60,10840.80,0.20,5055.40,0.00,0.00,0.00,0.00,2.60,0.40,2.20,33.60,115.20,5163484,0,2496016,32.59,13816,715412,6414416,83.74,1939800,429140,260560,1639752,49488,5232,8788,17032,0,0,0.00,0,0.00,1,659,1.79,2.11,2.49,0,2.60,33.60,115.20,57.23,0.00,1.54,0.62,0.16,2.40,2.40,0.27,0.19,0.00,0.00,0.00,0.00
2017-09-23 19:31:11,57.03,0.00,2.92,0.00,0.00,0.00,0.00,0.00,0.00,40.05,23.80,3347.40,3107.80,0.00,0.00,0.00,1021.60,12770.60,0.00,8156.20,0.00,0.00,0.00,0.00,8.60,0.00,8.60,0.00,2043.20,4341528,0,3317972,43.32,13828,726200,9122304,119.10,2757904,428556,266548,2446336,50968,5928,10948,17032,0,0,0.00,0,0.00,2,736,1.64,2.08,2.48,0,8.60,0.00,2043.20,237.58,0.07,7.81,0.47,0.40,2.00,2.00,0.23,0.22,0.00,0.00,0.00,0.00
2017-09-23 19:31:16,54.54,0.00,2.37,0.05,0.00,0.00,0.00,0.00,0.00,43.04,0.00,2315.60,1969.60,0.00,0.00,0.00,117.60,593.60,0.00,51231.00,0.00,0.00,0.00,0.00,11.00,0.00,11.00,0.00,235.20,3034096,0,4625404,60.39,13836,726364,9122304,119.10,4025880,427404,266216,3749960,51428,5968,13960,17032,0,0,0.00,0,0.00,2,732,1.67,2.08,2.47,0,11.00,0.00,235.20,21.38,0.04,3.42,1.31,1.44,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 19:31:21,52.70,0.00,1.56,0.00,0.00,0.00,0.00,0.00,0.00,45.74,0.00,2189.00,1580.40,0.00,0.00,0.00,5.60,244.60,0.00,63650.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,11.20,2315852,0,5343648,69.76,13844,726388,9122304,119.10,4761636,427416,266260,4467260,51436,5960,15132,17032,0,0,0.00,0,0.00,2,729,1.70,2.07,2.47,0,0.40,0.00,11.20,28.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 19:31:26,52.52,0.00,2.12,1.11,0.05,0.00,0.00,0.00,0.00,44.20,0.00,2187.60,1961.60,0.00,0.00,0.00,20216.80,243.60,0.00,61512.80,0.00,0.00,0.00,0.00,160.40,0.00,160.40,0.00,40433.60,1554084,0,6105416,79.71,13844,726412,9122304,119.10,5515564,427408,165212,5227292,51460,5928,16716,17032,0,0,0.00,0,0.00,3,727,1.72,2.07,2.47,0,160.40,0.00,40433.60,252.08,9.36,58.38,0.44,7.12,1.60,1.60,0.18,0.19,0.00,0.00,0.00,0.00
2017-09-23 19:31:31,51.77,0.00,0.40,2.27,0.00,0.00,0.00,0.00,0.00,45.56,0.00,2204.20,1925.80,0.00,0.00,0.00,33060.00,48.60,0.00,5680.00,0.00,0.00,0.00,0.00,268.00,0.00,268.00,0.00,66120.00,1471388,0,6188112,80.79,13852,726436,9122304,119.10,5622152,427424,16,5309320,51444,5920,17012,17032,0,0,0.00,0,0.00,3,726,1.82,2.09,2.47,0,268.00,0.00,66120.00,246.72,15.77,58.84,0.45,12.16,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-23 19:31:36,36.43,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,63.47,0.20,2236.00,1612.00,0.00,0.00,0.00,26.40,48.40,0.00,54.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,52.80,1470924,0,6188576,80.80,13860,726464,9122304,119.10,5622336,427412,312,5309440,51380,5928,17012,17032,0,0,0.00,0,0.00,1,727,1.76,2.07,2.47,0,0.40,0.00,52.80,132.00,0.00,2.00,2.00,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 19:31:41,27.84,0.00,0.91,0.00,0.05,0.00,0.00,0.00,0.00,71.21,0.20,2236.00,1752.00,0.00,0.00,0.00,6.40,278.40,0.00,32433.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,12.80,1243588,0,6415912,83.76,13868,726488,9122304,119.10,5788076,427416,356,5536564,51420,5928,17272,17032,0,0,0.00,0,0.00,1,727,1.70,2.05,2.46,0,0.40,0.00,12.80,32.00,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-23 19:31:46,27.89,0.00,0.86,0.05,0.00,0.00,0.00,0.00,0.00,71.21,0.00,2176.80,1820.20,0.00,0.00,0.00,12.80,224.60,0.00,34509.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,25.60,865848,0,6793652,88.70,13876,726516,9165296,119.66,6221116,427436,416,5914424,51472,5920,17916,17032,0,0,0.00,0,0.00,1,725,1.64,2.03,2.45,0,0.40,0.00,25.60,64.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
