timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 10:46:08,36.69,0.00,1.46,0.00,0.05,0.00,0.00,0.00,0.00,61.80,25.80,1730.40,1911.40,0.00,0.00,0.00,49.60,16275.60,0.00,16809.60,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,99.20,3829176,0,3830324,50.01,47328,2229880,2693348,35.16,1669216,1952960,320,1345000,132084,4608,7540,17032,0,0,0.00,0,0.00,4,563,3.50,4.03,4.20,0,2.00,0.00,99.20,49.60,0.01,3.60,1.20,0.24,3.20,3.20,0.26,0.52,0.00,0.00,0.00,0.00
2017-09-24 10:46:13,32.42,0.00,3.09,0.00,0.05,0.00,0.00,0.00,0.00,64.44,48.40,2135.00,2002.60,0.00,0.00,0.00,26.40,28704.40,0.00,22930.40,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,52.80,3722200,0,3937300,51.40,47336,2271964,2838544,37.06,1730652,1993952,42404,1408008,132088,4736,9072,17032,0,0,0.00,0,0.00,1,574,3.30,3.98,4.18,0,1.00,0.00,52.80,52.80,0.00,0.80,0.80,0.08,6.60,6.60,0.70,0.86,0.00,0.00,0.00,0.00
2017-09-24 10:46:18,27.35,0.00,4.12,0.81,0.00,0.00,0.05,0.00,0.00,67.67,34.20,3346.00,3287.20,0.00,0.00,0.00,3051.20,4309.80,0.00,4341.80,0.00,0.00,0.00,0.00,47.40,0.00,47.40,0.00,6102.40,3317788,0,4341712,56.68,47376,2421560,2928708,38.24,1965176,2139200,206644,1635516,156916,4768,9688,17032,0,0,0.00,0,0.00,0,582,3.11,3.93,4.16,0,47.40,0.00,6102.40,128.74,0.60,12.76,0.73,3.44,1.20,1.20,0.08,0.36,0.00,0.00,0.00,0.00
2017-09-24 10:46:23,30.90,0.00,2.19,0.41,0.05,0.00,0.10,0.00,0.00,66.34,37.80,3837.00,3692.00,0.00,0.00,0.00,147.20,8489.60,0.00,5528.60,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,294.40,3057364,0,4602136,60.08,47400,2525680,3212708,41.94,2126836,2237148,311480,1793064,157092,4952,10300,17032,0,0,0.00,0,0.00,1,609,2.86,3.86,4.14,0,20.00,0.00,294.40,14.72,0.02,1.00,1.00,2.00,4.80,4.80,0.46,0.63,0.00,0.00,0.00,0.00
2017-09-24 10:46:28,35.20,0.00,1.66,0.00,0.05,0.00,0.00,0.00,0.00,63.09,32.00,2310.00,2328.80,0.00,0.00,0.00,40.00,12347.60,0.00,4746.40,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,80.00,2789336,0,4870164,63.58,47428,2525864,4484080,58.54,2391532,2237236,311716,2055484,157872,5432,12584,17032,0,0,0.00,0,0.00,5,742,2.71,3.81,4.12,0,2.20,0.00,80.00,36.36,0.00,0.73,0.73,0.16,3.00,3.00,0.32,0.41,0.00,0.00,0.00,0.00
2017-09-24 10:46:33,97.15,0.00,2.65,0.00,0.00,0.00,0.10,0.00,0.00,0.10,5.80,2679.60,1720.80,0.00,0.00,0.00,47.20,14898.60,0.00,9043.80,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,94.40,2413136,0,5246364,68.49,47440,2526544,4721336,61.64,2764708,2237628,312464,2428428,158948,6176,13420,17032,0,0,0.00,0,0.00,10,759,2.90,3.83,4.13,0,0.80,0.00,94.40,118.00,0.00,1.00,1.00,0.08,3.00,3.00,0.31,0.24,0.00,0.00,0.00,0.00
2017-09-24 10:46:38,76.08,0.00,5.29,0.05,0.00,0.00,0.00,0.00,0.00,18.58,39.20,4804.20,2527.40,0.00,0.00,0.00,3154.40,16718.60,0.00,83371.00,0.00,0.00,0.00,0.00,42.00,0.00,42.00,0.00,6308.80,2634960,0,5024540,65.60,47468,2527208,4626080,60.40,2543256,2237532,298060,2206124,159248,6080,12588,17032,0,0,0.00,0,0.00,11,746,2.99,3.84,4.13,0,42.00,0.00,6308.80,150.21,0.84,20.08,0.29,1.20,2.00,2.00,0.20,0.20,0.00,0.00,0.00,0.00
2017-09-24 10:46:43,97.05,0.00,2.80,0.00,0.00,0.00,0.05,0.00,0.00,0.10,12.20,2775.60,1976.20,0.00,0.00,0.00,2144.00,17017.80,0.00,9867.20,0.00,0.00,0.00,0.00,60.20,0.00,60.20,0.00,4288.00,2284196,0,5375304,70.18,47480,2527728,4944328,64.55,2893352,2237988,288028,2556176,159456,6272,13680,17032,0,0,0.00,0,0.00,12,783,3.55,3.94,4.16,0,60.20,0.00,4288.00,71.23,0.40,6.58,0.15,0.88,2.60,2.60,0.27,0.27,0.00,0.00,0.00,0.00
2017-09-24 10:46:48,84.09,0.00,6.92,0.00,0.00,0.00,0.10,0.00,0.00,8.88,33.00,4510.60,2732.60,0.00,0.00,0.00,33333.60,19295.80,0.00,96404.80,0.00,0.00,0.00,0.00,398.40,0.00,398.40,0.00,62716.80,2573748,0,5085752,66.40,47512,2528120,4636852,60.54,2601900,2237552,123032,2263828,160772,6096,12924,17032,0,0,0.00,0,0.00,14,750,4.22,4.07,4.20,0,399.00,0.00,62820.80,157.45,6.98,16.36,0.30,12.00,2.40,2.40,0.25,0.24,0.00,0.00,0.00,0.00
2017-09-24 10:46:53,94.83,0.00,4.01,0.00,0.00,0.00,0.10,0.00,0.00,1.05,20.40,4057.40,2452.80,0.00,0.00,0.00,4727.20,14388.00,0.00,21547.40,0.00,0.00,0.00,0.00,62.20,0.00,62.20,0.00,13404.80,1521960,0,6137540,80.13,47544,2528720,6823764,89.09,3653040,2237924,115580,3314684,160008,6352,15020,17032,0,0,0.00,0,0.00,10,784,4.53,4.14,4.22,0,61.60,0.00,13300.80,215.92,1.79,35.84,0.38,2.32,3.60,3.60,0.38,0.33,0.00,0.00,0.00,0.00
