timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 08:53:41,43.23,0.00,3.60,0.61,0.05,0.00,0.20,0.00,0.00,52.31,24.20,3659.40,3534.80,0.00,0.00,840.00,68.80,15507.20,6.60,16734.60,0.00,0.00,0.00,0.00,101.20,97.60,3.60,1680.00,137.60,5577332,0,2082168,27.18,3916,414524,3708864,48.42,1637236,326980,172100,1545896,41300,4840,8216,17032,0,0,0.00,0,0.00,5,599,2.19,1.78,2.16,0,101.20,1680.00,137.60,17.96,0.06,0.63,0.29,2.96,1.60,1.60,0.19,0.13,0.00,0.00,0.00,0.00
2017-09-24 08:53:46,42.97,0.00,2.09,1.07,0.05,0.00,0.15,0.00,0.00,53.67,16.80,2797.00,2802.20,0.00,0.00,562.40,46.40,13012.20,1.00,7074.00,0.00,0.00,0.00,0.00,60.40,59.60,0.80,1124.80,92.80,5191612,0,2467888,32.22,3972,505796,6658228,86.93,1940708,404432,260664,1835376,44396,5376,9460,17032,0,0,0.00,0,0.00,6,661,2.10,1.77,2.15,0,60.40,1124.80,92.80,20.16,0.05,0.83,0.78,4.72,2.40,2.40,0.27,0.26,0.00,0.00,0.00,0.00
2017-09-24 08:53:51,72.46,0.00,2.94,0.00,0.00,0.00,0.00,0.00,0.00,24.59,22.40,3517.00,3252.60,0.00,0.00,2.40,1019.20,13414.40,0.20,9095.60,0.00,0.00,0.00,0.00,8.80,0.20,8.60,4.80,2038.40,4379192,0,3280308,42.83,3988,516632,9336284,121.89,2749268,402220,266572,2632996,45784,5992,11752,17032,0,0,0.00,0,0.00,2,732,2.25,1.80,2.16,0,8.80,4.80,2038.40,232.18,0.08,8.73,0.55,0.48,1.80,1.80,0.21,0.15,0.00,0.00,0.00,0.00
2017-09-24 08:53:56,57.96,0.00,2.13,0.00,0.05,0.00,0.05,0.00,0.00,39.81,0.80,2559.40,2231.60,0.00,0.00,0.00,33.60,1056.00,0.00,15633.40,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,67.20,3453664,0,4205836,54.91,3996,561200,9336284,121.89,3636812,439076,311192,3511200,46608,5968,13520,17032,0,0,0.00,0,0.00,3,731,2.55,1.87,2.18,0,0.60,0.00,67.20,112.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 08:54:01,52.41,0.00,1.07,1.42,0.00,0.00,0.00,0.00,0.00,45.10,0.40,2196.80,1846.60,0.00,0.00,0.00,22797.60,47.60,0.00,494.40,0.00,0.00,0.00,0.00,193.00,0.00,193.00,0.00,45595.20,3351564,0,4307936,56.24,4012,656772,9336284,121.89,3656396,519352,292928,3515060,49056,5952,13528,17032,0,0,0.00,0,0.00,2,730,2.51,1.88,2.18,0,193.00,0.00,45595.20,236.24,10.16,52.65,0.40,7.68,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-24 08:54:06,42.59,0.00,3.03,1.47,0.05,0.00,0.00,0.00,0.00,52.86,0.40,2345.40,2088.40,0.00,0.00,0.80,30596.00,10093.40,0.00,46074.60,0.00,0.00,0.00,0.00,247.80,0.20,247.60,1.60,61192.00,2937716,0,4721784,61.65,4024,685640,9432052,123.14,4037720,539104,169120,3895408,51564,5960,13988,17032,0,0,0.00,0,0.00,1,731,2.55,1.89,2.19,0,247.80,1.60,61192.00,246.95,15.58,62.86,0.46,11.36,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-24 08:54:11,29.79,0.00,0.51,0.05,0.00,0.00,0.05,0.00,0.00,69.60,0.00,2186.40,1588.00,0.00,0.00,0.00,25.60,138.40,0.00,9580.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,51.20,2873500,0,4786000,62.48,4032,685676,9432052,123.14,4116096,534304,169364,3960780,51640,5944,14400,17032,0,0,0.00,0,0.00,1,729,2.42,1.88,2.18,0,0.40,0.00,51.20,128.00,0.00,0.00,0.00,0.00,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-24 08:54:16,31.05,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,67.93,0.00,2542.00,1950.00,0.00,0.00,0.00,0.00,988.40,0.00,4687.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2750536,0,4908964,64.09,4032,723884,9432052,123.14,4201680,566628,207572,4044772,51624,5944,14448,17032,0,0,0.00,0,0.00,1,729,2.31,1.86,2.18,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-24 08:54:21,32.98,0.00,0.76,0.00,0.05,0.00,0.00,0.00,0.00,66.21,0.00,2493.40,1890.40,0.00,0.00,0.00,6.40,1136.20,0.00,11634.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,12.80,2599924,0,5059576,66.06,4040,751580,9401824,122.75,4313608,590212,235268,4166648,52112,5936,14776,17032,0,0,0.00,0,0.00,1,728,2.20,1.85,2.17,0,0.40,0.00,12.80,32.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 08:54:26,28.56,0.00,0.81,0.00,0.00,0.00,0.00,0.00,0.00,70.63,0.00,2800.20,2112.40,0.00,0.00,0.00,4.00,64.40,0.00,11669.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,2513852,0,5145648,67.18,4048,751604,9401824,122.75,4447204,540048,235292,4252084,52168,5936,14944,17032,0,0,0.00,0,0.00,1,728,2.11,1.84,2.16,0,0.40,0.00,8.00,20.00,0.00,2.00,2.00,0.08,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
