timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 17:00:31,26.48,0.00,1.22,8.17,0.00,0.00,0.00,0.00,0.00,64.13,17.60,2228.60,2283.60,0.00,0.00,9355.20,31.20,12351.80,40.60,10731.40,0.00,0.00,0.00,0.00,486.20,485.40,0.80,18710.40,62.40,6104892,0,1554608,20.30,11772,105472,2568108,33.53,1359000,70744,320,1312680,51616,4576,7584,17032,0,0,0.00,0,0.00,2,559,2.45,4.47,4.68,0,486.20,18710.40,62.40,38.61,0.73,1.50,0.78,38.00,2.80,2.80,0.23,0.52,0.00,0.00,0.00,0.00
2017-09-24 17:00:36,24.85,0.00,1.82,7.14,0.10,0.00,0.00,0.00,0.00,66.09,33.40,2442.20,2566.60,0.00,0.00,11108.80,143.20,21282.40,51.60,22501.80,0.00,0.00,0.00,0.00,487.80,478.20,9.60,22115.20,286.40,6093084,0,1566416,20.45,14620,146256,2567212,33.52,1352788,101556,404,1293808,37676,4616,8172,17032,0,0,0.00,0,0.00,0,563,2.25,4.39,4.66,1,487.80,22115.20,286.40,45.92,0.64,1.31,0.51,24.96,3.80,4.00,0.38,0.63,0.00,0.00,0.00,0.00
2017-09-24 17:00:41,24.17,0.00,0.66,8.44,0.00,0.00,0.00,0.00,0.00,66.73,6.40,2023.80,1972.40,0.00,0.00,6228.00,106.40,4814.20,0.20,3875.80,0.00,0.00,0.00,0.00,391.80,383.60,8.20,12558.40,212.80,5884820,0,1774680,23.17,14632,172148,2800812,36.57,1544228,116696,224,1474252,37768,4848,8736,17032,0,0,0.00,0,0.00,1,592,2.15,4.34,4.64,0,391.80,12558.40,212.80,32.60,0.67,1.70,1.01,39.60,8.60,8.60,0.60,3.78,0.00,0.00,0.00,0.00
2017-09-24 17:00:46,21.41,0.00,6.80,6.60,0.05,0.00,0.10,0.00,0.00,65.04,1.80,4486.00,4350.80,0.00,0.00,29235.20,39232.80,644.80,0.00,10444.00,0.00,0.00,0.00,0.00,634.40,326.60,307.80,58470.40,78465.60,5263816,0,2395684,31.28,14648,694204,2925668,38.20,1853428,412508,184860,1563980,46960,4840,8840,17032,0,0,0.00,0,0.00,2,596,2.06,4.28,4.62,0,634.40,58470.40,78465.60,215.85,18.96,29.89,0.79,50.00,0.60,0.60,0.04,0.18,0.00,0.00,0.00,0.00
2017-09-24 17:00:51,35.17,0.00,4.05,1.37,0.05,0.00,0.20,0.00,0.00,59.15,14.40,3299.00,3649.60,0.00,0.00,915.20,16733.60,11243.80,0.60,18788.80,0.00,0.00,0.00,0.00,154.20,14.00,140.20,1830.40,33467.20,4783672,0,2875828,37.55,14692,903324,3501708,45.72,2228844,515616,311876,1826296,54440,5048,9732,17032,0,0,0.00,0,0.00,1,629,1.89,4.21,4.59,0,154.20,1830.40,33467.20,228.91,7.98,51.76,0.49,7.60,4.00,4.00,0.34,0.85,0.00,0.00,0.00,0.00
2017-09-24 17:00:56,56.09,0.00,2.79,2.18,0.00,0.00,0.05,0.00,0.00,38.89,20.00,2237.40,2731.00,0.00,0.00,1595.20,60802.40,17068.80,3.00,9860.00,0.00,0.00,0.00,0.00,513.80,24.20,489.60,3190.40,121604.80,4194716,0,3464784,45.24,14732,906636,4526524,59.10,2811264,514780,8436,2406788,55624,5664,11676,17032,0,0,0.00,0,0.00,3,704,1.74,4.14,4.57,0,513.80,3190.40,121604.80,242.89,34.59,67.31,0.55,28.24,6.40,6.40,0.59,1.16,0.00,0.00,0.00,0.00
2017-09-24 17:01:01,48.85,0.00,5.81,8.71,0.10,0.00,0.05,0.00,0.00,36.47,6.40,9891.20,4417.40,0.00,0.00,27990.40,35341.60,6618.00,0.20,12257.40,0.00,0.00,0.00,0.00,517.00,240.20,276.80,55110.40,70683.20,3293852,0,4365648,57.00,14760,1393948,5137708,67.08,3393588,821256,184816,2806348,66088,5768,12816,17032,0,0,0.00,0,0.00,8,716,1.68,4.09,4.55,0,517.20,55161.60,70683.20,243.32,19.81,38.28,0.72,37.36,7.80,7.80,0.58,1.72,0.00,0.00,0.00,0.00
2017-09-24 17:01:06,18.89,0.00,2.57,31.74,0.00,0.00,0.25,0.00,0.00,46.55,0.60,3193.00,2760.40,0.00,0.00,95675.20,4.80,171.00,0.00,2987.60,0.00,0.00,0.00,0.00,727.40,727.20,0.20,185974.40,8.00,2544680,0,5114820,66.78,14768,1867152,5385808,70.32,3669192,1294300,184936,3081520,67104,5856,13360,17032,0,0,0.00,0,0.00,2,718,1.95,4.10,4.55,5,727.20,185923.20,8.00,255.68,102.51,137.97,1.36,98.64,1.40,1.40,0.14,0.19,0.00,0.00,0.00,0.00
2017-09-24 17:01:11,9.80,0.00,1.01,44.16,0.05,0.00,0.05,0.00,0.00,44.92,1.40,2074.60,1857.80,0.00,0.00,58742.40,0.00,47.60,0.00,1908.80,0.00,0.00,0.00,0.00,469.20,469.00,0.20,118764.80,1.60,2245200,0,5414300,70.69,14776,2155596,5365408,70.05,3680344,1582584,184968,3092632,67700,5880,13440,17032,0,0,0.00,0,0.00,0,721,2.11,4.10,4.55,4,469.20,118764.80,1.60,253.13,101.19,214.06,2.13,100.00,3.00,3.00,0.27,0.50,0.00,0.00,0.00,0.00
2017-09-24 17:01:16,7.71,0.00,1.01,37.17,0.00,0.00,0.10,0.00,0.00,54.01,0.20,2080.00,1852.00,0.00,0.00,56371.20,4.80,130.80,0.00,1032.20,0.00,0.00,0.00,0.00,461.80,461.20,0.60,117708.80,9.60,1828596,0,5830904,76.13,14784,2432548,5528560,72.18,3819084,1859364,184992,3231264,68464,5864,13664,17032,0,0,0.00,0,0.00,3,718,2.26,4.10,4.55,0,461.80,117708.80,9.60,254.91,90.08,201.45,2.15,99.20,2.80,2.80,0.23,0.62,0.00,0.00,0.00,0.00
2017-09-24 17:01:21,49.62,0.00,4.26,19.82,0.05,0.00,0.20,0.00,0.00,26.05,3.60,3918.00,3699.40,0.00,0.00,62870.40,5000.80,4139.00,0.00,8699.60,0.00,0.00,0.00,0.00,501.60,475.00,26.60,121284.80,3376.00,1067000,0,6592500,86.07,14804,2974648,5697408,74.38,4071220,2360508,392648,3442928,75904,5984,14060,17032,0,0,0.00,0,0.00,1,734,2.64,4.15,4.56,5,501.60,121284.80,3376.00,248.53,82.51,158.64,1.57,78.72,4.80,4.80,0.37,1.26,0.00,0.00,0.00,0.00
2017-09-24 17:01:26,21.71,0.00,3.75,48.10,0.05,0.00,0.10,0.00,0.00,26.28,0.60,2426.00,2342.80,0.00,0.00,58713.60,33943.20,10825.60,0.00,13235.20,0.00,0.00,0.00,0.00,718.80,457.80,261.00,116660.80,66324.80,513576,0,7145924,93.29,14828,3421160,5823112,76.02,4162152,2817012,448844,3543004,80952,5992,14604,17032,0,0,0.00,0,0.00,1,734,3.31,4.26,4.59,5,718.80,116660.80,66324.80,254.57,232.98,307.77,1.39,100.00,4.00,4.40,0.52,0.98,0.00,0.00,0.00,0.00
2017-09-24 17:01:31,21.78,0.00,4.01,51.27,0.05,0.00,0.05,0.00,0.00,22.84,0.60,2456.60,2549.20,0.00,0.00,58993.60,32097.60,12987.20,1.00,17228.80,9549.40,0.00,9107.00,95.37,725.20,466.40,258.80,118902.40,65419.20,126476,0,7533024,98.35,6232,3694820,5914292,77.22,4283684,3077816,510824,3660580,85704,5984,14728,17032,0,0,0.00,0,0.00,1,732,3.69,4.32,4.61,6,725.20,118902.40,65419.20,254.17,229.67,320.03,1.38,100.00,3.40,3.80,0.31,0.60,0.00,0.00,0.00,0.00
