timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-23 01:51:53,38.30,0.00,4.28,0.05,0.00,0.00,0.20,0.00,0.00,57.16,28.80,4205.60,3968.00,0.00,0.00,0.00,102.40,14007.40,0.00,20372.40,0.00,0.00,0.00,0.00,7.00,0.00,7.00,0.00,204.80,5000728,0,2658772,34.71,27072,973612,3830004,50.00,1866616,660708,260320,1526856,55300,4952,7940,16968,0,0,0.00,0,0.00,1,614,1.78,2.34,1.83,0,7.00,0.00,204.80,29.26,0.00,0.46,0.34,0.24,2.00,2.00,0.23,0.15,0.00,0.00,0.00,0.00
2017-09-23 01:51:58,34.86,0.00,1.51,0.00,0.05,0.00,0.00,0.00,0.00,63.59,11.00,2014.80,1994.60,0.00,0.00,0.00,36.00,11549.00,0.00,5745.00,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,72.00,4739548,0,2919952,38.12,27084,973804,6530788,85.26,2135344,649320,260588,1785884,55684,5352,9104,16968,0,0,0.00,0,0.00,4,660,1.88,2.35,1.84,0,0.80,0.00,72.00,90.00,0.00,2.00,1.00,0.08,2.20,2.20,0.26,0.18,0.00,0.00,0.00,0.00
2017-09-23 01:52:03,58.71,0.00,2.34,0.25,0.00,0.00,0.00,0.00,0.00,38.70,22.40,3482.40,3289.60,0.00,0.00,0.00,1021.60,14200.20,0.00,9582.00,0.00,0.00,0.00,0.00,8.60,0.00,8.60,0.00,2043.20,3958728,0,3700772,48.32,27092,984536,9225120,120.44,2914272,648224,266504,2550696,56544,5888,11020,16968,0,0,0.00,0,0.00,6,731,1.81,2.33,1.83,0,8.60,0.00,2043.20,237.58,0.09,10.70,1.30,1.12,1.80,1.80,0.21,0.15,0.00,0.00,0.00,0.00
2017-09-23 01:52:08,81.68,0.00,1.62,0.00,0.05,0.00,0.00,0.00,0.00,16.66,2.00,3150.60,2752.20,0.00,0.00,0.00,42.40,6414.40,0.00,4939.20,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,84.80,3283744,0,4375756,57.13,27100,989776,9307112,121.51,3581640,651764,271748,3218576,57332,6000,12540,16968,0,0,0.00,0,0.00,7,736,1.90,2.34,1.84,0,0.60,0.00,84.80,141.33,0.00,2.67,1.33,0.08,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-23 01:52:13,98.15,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.00,2336.80,2102.20,0.00,0.00,0.00,77.60,181.00,0.00,11664.80,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,155.20,2843564,0,4815936,62.88,27108,1021732,9307112,121.51,3978016,679088,304008,3626708,58200,5992,13528,16968,0,0,0.00,0,0.00,5,734,2.23,2.40,1.86,0,0.80,0.00,155.20,194.00,0.02,25.00,12.00,0.96,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 01:52:18,98.45,0.00,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,2538.40,2181.60,0.00,0.00,0.00,9939.20,127.60,0.00,2647.40,0.00,0.00,0.00,0.00,97.80,0.00,97.80,0.00,19878.40,2625852,0,5033648,65.72,27116,1116972,9307112,121.51,4128056,761240,350084,3745952,60428,5976,13812,16968,0,0,0.00,0,0.00,8,733,2.37,2.43,1.87,0,97.80,0.00,19878.40,203.26,3.38,34.55,0.37,3.60,1.20,1.20,0.14,0.10,0.00,0.00,0.00,0.00
2017-09-23 01:52:23,73.38,0.00,0.45,25.61,0.00,0.00,0.00,0.00,0.00,0.55,0.00,2199.60,1902.80,0.00,0.00,0.00,17032.80,31.00,0.00,31.20,0.00,0.00,0.00,0.00,103.80,0.00,103.80,0.00,26128.00,2587660,0,5071840,66.22,27124,1149212,9307112,121.51,4135736,789136,297424,3750612,61800,5976,13824,16968,0,0,0.00,0,0.00,5,733,2.58,2.47,1.89,2,103.80,0.00,26128.00,251.71,89.01,749.04,5.93,61.60,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-23 01:52:28,98.80,0.00,0.70,0.05,0.00,0.00,0.00,0.00,0.00,0.45,0.00,2358.00,2445.80,0.00,0.00,0.00,40308.80,145.40,0.00,170.60,0.00,0.00,0.00,0.00,346.60,0.00,346.60,0.00,88555.20,2520188,0,5139312,67.10,27140,1212944,9307112,121.51,4148212,844100,159828,3752284,63612,5976,13832,16968,0,0,0.00,0,0.00,5,733,2.70,2.50,1.90,0,346.60,0.00,88555.20,255.50,46.00,165.21,0.94,32.48,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 01:52:33,94.37,0.00,2.06,0.00,0.00,0.00,0.00,0.00,0.00,3.57,0.20,3256.00,2507.40,0.00,0.00,0.00,31.20,3234.00,0.00,9269.60,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,62.40,2213872,0,5445628,71.10,27148,1276556,9315640,121.62,4507444,787972,223508,3992632,65252,5976,14236,16968,0,0,0.00,0,0.00,4,734,2.80,2.52,1.91,0,0.60,0.00,62.40,104.00,0.00,2.67,1.33,0.08,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-23 01:52:38,99.25,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,2256.80,1988.40,0.00,0.00,0.00,36.00,22.80,0.00,1387.80,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,72.00,2169008,0,5490492,71.68,27156,1340568,9315640,121.62,4492416,844084,287584,3970948,67476,5984,14240,16968,0,0,0.00,0,0.00,5,733,2.90,2.55,1.92,0,0.60,0.00,72.00,120.00,0.03,42.67,21.33,1.28,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
