timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-27 01:45:22,36.09,0.00,1.41,0.00,0.00,0.00,0.00,0.00,0.00,62.50,25.40,1729.20,1913.20,0.00,0.00,0.00,53.60,17936.00,0.00,18812.60,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,107.20,5554820,0,2104680,27.48,16664,806224,2674996,34.92,1401136,580208,344,1158320,49232,4656,7424,17128,0,0,0.00,0,0.00,3,557,1.17,1.86,2.11,0,2.00,0.00,107.20,53.60,0.00,0.00,0.00,0.00,0.80,0.80,0.10,0.07,0.00,0.00,0.00,0.00
2017-09-27 01:45:27,34.52,0.00,1.96,0.05,0.00,0.00,0.00,0.00,0.00,63.46,32.00,1815.00,1861.20,0.00,0.00,5.60,36.80,20530.60,0.00,14837.00,0.00,0.00,0.00,0.00,1.00,0.20,0.80,11.20,73.60,5380420,0,2279080,29.75,16672,806284,2992572,39.07,1572676,579896,412,1329520,49400,4824,8704,17128,0,0,0.00,0,0.00,1,591,1.32,1.88,2.11,0,1.00,11.20,73.60,84.80,0.00,0.80,0.80,0.08,3.20,3.20,0.36,0.26,0.00,0.00,0.00,0.00
2017-09-27 01:45:32,24.24,0.00,6.50,2.69,0.05,0.00,0.15,0.00,0.00,66.36,2.80,3898.00,3826.20,0.00,0.00,0.00,39263.20,772.00,0.00,11987.40,0.00,0.00,0.00,0.00,310.00,0.00,310.00,0.00,78526.40,4831384,0,2828116,36.92,16680,1200228,3083492,40.26,2083372,608060,198092,1474780,59228,4864,9016,17128,0,0,0.00,0,0.00,0,594,1.29,1.87,2.11,0,310.00,0.00,78526.40,253.31,15.41,49.72,0.38,11.76,0.60,0.60,0.06,0.16,0.00,0.00,0.00,0.00
2017-09-27 01:45:37,36.03,0.00,4.48,0.61,0.05,0.00,0.15,0.00,0.00,58.68,13.80,3015.60,3277.80,0.00,0.00,0.00,15105.60,10364.00,0.00,15371.60,0.00,0.00,0.00,0.00,129.20,0.00,129.20,0.00,30211.20,4292948,0,3366552,43.95,16704,1396932,3672324,47.94,2522160,699484,320060,1808052,66016,5128,9984,17128,0,0,0.00,0,0.00,0,634,1.19,1.84,2.09,0,129.20,0.00,30211.20,233.83,5.58,43.20,0.36,4.64,2.40,2.40,0.29,0.20,0.00,0.00,0.00,0.00
2017-09-27 01:45:42,41.15,0.00,2.37,3.43,0.05,0.00,0.00,0.00,0.00,53.00,17.20,1968.20,2609.60,0.00,0.00,0.00,63219.20,14887.00,0.00,8450.00,0.00,0.00,0.00,0.00,515.00,0.00,515.00,0.00,126438.40,3859876,0,3799624,49.61,16720,1397168,4533708,59.19,2934084,698116,4568,2236872,66788,5640,11784,17128,0,0,0.00,0,0.00,1,695,1.09,1.81,2.08,0,515.00,0.00,126438.40,245.51,37.31,72.46,0.53,27.36,2.60,2.60,0.31,0.21,0.00,0.00,0.00,0.00
2017-09-27 01:45:47,55.63,0.00,6.09,2.10,0.00,0.00,0.26,0.00,0.00,35.93,9.00,10577.60,4846.80,0.00,0.00,0.00,35340.00,10785.20,0.00,18393.80,0.00,0.00,0.00,0.00,276.80,0.00,276.80,0.00,70680.00,2780728,0,4878772,63.70,16736,1750052,5345360,69.79,3834092,873460,181032,2951204,76944,5800,13116,17128,0,0,0.00,0,0.00,9,720,1.08,1.79,2.08,0,276.80,0.00,70680.00,255.35,14.19,51.27,0.38,10.64,1.60,1.60,0.18,0.24,0.00,0.00,0.00,0.00
2017-09-27 01:45:52,90.45,0.00,3.47,0.00,0.05,0.00,0.10,0.00,0.00,5.93,0.60,3627.20,2478.20,0.00,0.00,0.00,18.40,5976.60,0.00,36575.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,36.80,1700168,0,5959332,77.80,16744,1750088,6454612,84.27,4924000,873276,181096,4030460,77304,5888,15176,17128,0,0,0.00,0,0.00,4,722,1.16,1.80,2.08,0,0.40,0.00,36.80,92.00,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-27 01:45:57,79.41,0.00,3.77,0.00,0.00,0.00,0.15,0.00,0.00,16.68,0.60,2879.60,2346.60,0.00,0.00,1.60,47.20,1859.80,0.20,41744.60,0.00,0.00,0.00,0.00,0.80,0.20,0.60,3.20,94.40,1039612,0,6619888,86.43,16752,1797324,7217040,94.22,5540700,914124,228560,4641364,77708,5872,16616,17128,0,0,0.00,0,0.00,5,722,1.39,1.83,2.09,0,0.80,3.20,94.40,122.00,0.00,2.00,1.00,0.08,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-27 01:46:02,87.59,0.00,5.18,0.00,0.00,0.00,0.00,0.00,0.00,7.24,0.40,5286.40,6773.80,0.00,0.00,0.00,25842.40,11480.80,0.00,47191.80,0.00,0.00,0.00,0.00,228.80,0.00,228.80,0.00,51684.80,225112,0,7434388,97.06,16760,1885828,7432936,97.04,6290492,975848,188640,5363580,81128,5864,18040,17128,0,0,0.00,0,0.00,8,719,2.00,1.95,2.12,0,228.80,0.00,51684.80,225.90,9.91,43.31,0.37,8.40,1.60,1.40,0.15,0.22,0.00,0.00,0.00,0.00
2017-09-27 01:46:07,78.81,0.00,6.95,0.10,0.05,0.00,0.05,0.00,0.00,14.04,0.00,2308.80,19490.80,0.00,0.00,0.80,23872.00,28082.00,0.00,35944.40,20502.40,3324.20,23475.60,98.53,187.40,0.20,187.20,1.60,47744.00,140280,0,7519220,98.17,7280,1530712,7996524,104.40,6580464,769204,174256,5812048,81988,5848,18760,17128,0,0,0.00,0,0.00,6,716,2.24,2.00,2.14,0,187.40,1.60,47744.00,254.78,9.30,49.63,0.38,7.12,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
