timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-26 17:50:11,18.63,0.00,1.17,0.03,0.03,0.00,0.03,0.00,0.00,80.13,24.00,4918.40,5483.20,0.00,0.00,0.00,80.00,14113.00,0.00,17026.00,0.00,0.00,0.00,0.00,5.60,0.00,5.60,0.00,160.00,13378860,0,2022092,13.13,14752,374200,4056812,26.34,1681212,167556,131348,1459984,46572,5160,8296,31404,0,0,0.00,0,0.00,2,636,0.53,1.21,0.91,0,5.60,0.00,160.00,28.57,0.01,1.43,1.43,0.80,2.40,2.40,0.25,0.27,0.00,0.00,0.00,0.00
2017-09-26 17:50:16,21.34,0.00,1.19,0.00,0.03,0.00,0.05,0.00,0.00,77.39,28.60,3675.20,3970.40,0.00,0.00,0.00,39.20,18654.60,0.00,8237.80,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,78.40,12792824,0,2608128,16.93,14776,503148,11036232,71.66,2137028,284300,260424,1905420,50636,5896,9908,31404,0,0,0.00,0,0.00,3,746,0.57,1.20,0.91,0,0.60,0.00,78.40,130.67,0.00,0.00,0.00,0.00,2.20,2.20,0.27,0.18,0.00,0.00,0.00,0.00
2017-09-26 17:50:21,24.11,0.00,1.34,0.28,0.05,0.00,0.03,0.00,0.00,74.20,33.60,4290.40,4396.80,0.00,0.00,0.00,17241.60,17818.00,0.00,7434.60,0.00,0.00,0.00,0.00,147.00,0.00,147.00,0.00,34483.20,11914328,0,3486624,22.64,14796,503456,17579804,114.15,3012272,281868,174920,2777780,52980,6960,13076,31404,0,0,0.00,0,0.00,1,860,0.68,1.22,0.92,0,147.00,0.00,34483.20,234.58,5.84,39.72,0.32,4.64,2.20,2.20,0.27,0.18,0.00,0.00,0.00,0.00
2017-09-26 17:50:26,50.41,0.00,4.15,0.73,0.03,0.00,0.00,0.00,0.00,44.68,13.20,5797.20,5046.80,0.00,0.00,0.00,36921.60,5184.60,0.00,148306.20,0.00,0.00,0.00,0.00,296.00,0.00,296.00,0.00,73843.20,7862064,0,7538888,48.95,14808,524620,17790432,115.52,7003276,287728,11896,6802740,54376,7304,20972,31404,0,0,0.00,0,0.00,4,899,0.71,1.21,0.92,0,296.00,0.00,73843.20,249.47,12.75,43.08,0.33,9.68,2.00,2.00,0.23,0.26,0.00,0.00,0.00,0.00
2017-09-26 17:50:31,59.23,0.00,3.56,0.03,0.00,0.00,0.00,0.00,0.00,37.18,0.00,6345.40,3712.60,0.00,0.00,0.00,52.00,803.40,0.00,216476.60,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,104.00,5461712,0,9939240,64.54,14816,524648,17870812,116.04,9369940,287748,12036,9198072,54456,7288,25560,31404,0,0,0.00,0,0.00,15,896,1.45,1.36,0.97,0,0.80,0.00,104.00,130.00,0.00,1.00,1.00,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-26 17:50:36,57.95,0.00,5.10,0.00,0.05,0.00,0.00,0.00,0.00,36.90,1.60,6038.80,4444.40,0.00,0.00,0.00,4.00,8773.40,0.00,318119.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,2429136,0,12971816,84.23,14824,524688,18017736,116.99,12478268,284628,12080,12223588,54520,7280,30688,31404,0,0,0.00,0,0.00,4,897,2.05,1.49,1.01,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-26 17:50:41,60.76,0.00,6.44,1.34,0.03,0.00,0.03,0.00,0.00,31.40,4.40,8217.80,39836.20,0.00,0.00,0.00,56.00,30364.80,0.00,258699.20,4815.00,7028.60,11502.20,97.12,0.80,0.00,0.80,0.00,112.00,130656,0,15270296,99.15,7264,302108,18330968,119.02,14905208,154976,12380,14750932,53308,7456,37012,31404,0,0,0.00,0,0.00,4,918,2.37,1.56,1.04,1,0.80,0.00,112.00,140.00,0.01,10.00,4.00,0.32,1.60,1.60,0.18,0.22,0.00,0.00,0.00,0.00
2017-09-26 17:50:46,65.46,0.00,0.76,2.74,0.03,0.00,0.00,0.00,0.00,31.02,0.20,7936.20,11597.00,0.00,0.00,37.60,869.60,2590.20,0.00,3632.00,3412.60,142.80,2955.60,83.13,29.00,2.00,27.00,75.20,1739.20,164988,0,15235964,98.93,3852,246700,18332660,119.04,14901764,125376,9156,14776744,52972,7456,37072,31404,0,0,0.00,0,0.00,4,918,3.62,1.83,1.13,0,29.00,75.20,1739.20,62.57,0.06,2.07,0.17,0.48,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-26 17:50:51,74.02,0.00,1.29,0.48,0.03,0.00,0.03,0.00,0.00,24.16,0.80,8533.00,10412.20,0.00,0.00,1988.00,2083.20,8061.40,9.40,17333.80,4657.60,1771.80,6421.20,99.87,189.80,166.60,23.20,3976.00,4166.40,149276,0,15251676,99.03,2328,129856,18296604,118.80,14975828,67312,1096,14911264,50264,7464,37360,31404,0,0,0.00,0,0.00,8,920,3.65,1.87,1.15,0,189.80,3976.00,4166.40,42.90,0.27,1.41,0.45,8.48,2.20,2.00,0.24,0.16,0.00,0.00,0.00,0.00
2017-09-26 17:50:56,70.50,0.00,0.51,0.00,0.05,0.00,0.00,0.00,0.00,28.94,0.00,6825.20,4936.40,0.00,0.00,8.80,0.00,964.00,0.20,2662.40,1525.00,0.00,1505.80,98.74,1.60,1.60,0.00,17.60,0.00,177560,0,15223392,98.85,2064,100460,18240240,118.44,14962556,51580,1224,14911700,49676,7464,37424,31404,0,0,0.00,0,0.00,12,919,3.68,1.91,1.16,0,1.60,17.60,0.00,11.00,0.00,0.00,0.00,0.00,2.20,2.20,0.25,0.27,0.00,0.00,0.00,0.00
2017-09-26 17:51:01,68.58,0.00,0.86,0.10,0.03,0.00,0.03,0.00,0.00,30.41,0.00,7907.60,7451.20,0.00,0.00,396.80,25.60,978.40,2.00,3944.00,0.00,925.80,924.00,99.81,44.60,44.20,0.40,793.60,51.20,168600,0,15232352,98.91,2568,83364,18240188,118.44,14986440,43356,1364,14944136,48412,7448,37484,31404,0,0,0.00,0,0.00,4,916,4.35,2.07,1.22,0,44.60,793.60,51.20,18.94,0.05,1.13,0.20,0.88,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-26 17:51:06,59.88,0.00,0.20,0.00,0.03,0.00,0.00,0.00,0.00,39.89,0.00,5930.40,3941.20,0.00,0.00,0.00,4.80,51.20,0.00,41.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,167532,0,15233420,98.91,2576,83516,18240188,118.44,14986672,43604,1392,14944320,48380,7440,37484,31404,0,0,0.00,0,0.00,4,916,4.88,2.22,1.27,0,0.40,0.00,9.60,24.00,0.00,0.00,0.00,0.00,1.40,1.40,0.14,0.10,0.00,0.00,0.00,0.00
2017-09-26 17:51:11,54.48,0.00,0.25,0.03,0.03,0.00,0.00,0.00,0.00,45.21,0.00,5426.40,3658.00,0.00,0.00,0.80,281.60,53.40,0.00,88.40,0.00,0.00,0.00,0.00,15.00,0.20,14.80,1.60,563.20,166920,0,15234032,98.92,2588,83548,18240188,118.44,14986792,43616,196,14944316,48436,7424,37484,31404,0,0,0.00,0,0.00,4,913,4.81,2.25,1.29,0,15.00,1.60,563.20,37.65,0.05,3.09,0.11,0.16,1.60,1.60,0.18,0.22,0.00,0.00,0.00,0.00
