timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 03:06:47,15.83,0.00,0.73,0.00,0.00,0.00,0.00,0.00,0.00,83.44,44.00,2305.20,2258.00,0.00,0.00,0.00,53.60,26437.00,0.00,34073.20,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,107.20,11268388,0,4132564,26.83,39488,2562528,3377080,21.93,2062080,1813828,188,1274040,125772,5088,7660,31340,0,0,0.00,0,0.00,2,618,2.18,2.41,3.57,0,1.80,0.00,107.20,59.56,0.00,1.78,1.78,0.32,5.20,5.20,0.47,0.90,0.00,0.00,0.00,0.00
2017-09-24 03:06:52,14.77,0.00,1.75,0.03,0.03,0.00,0.00,0.00,0.00,83.43,18.40,1884.80,1963.80,0.00,0.00,0.00,37.60,12149.60,0.00,8470.20,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,75.20,10840048,0,4560904,29.61,39496,2703364,3620704,23.51,2495108,1809024,146004,1563400,125452,5360,9292,31340,0,0,0.00,0,0.00,1,657,2.08,2.39,3.56,0,1.60,0.00,75.20,47.00,0.01,5.50,2.50,0.40,9.00,9.00,0.66,2.88,0.00,0.00,0.00,0.00
2017-09-24 03:06:57,17.11,0.00,2.51,1.26,0.08,0.00,0.08,0.00,0.00,78.97,17.60,8511.80,8911.80,0.00,0.00,0.00,39308.80,10665.20,0.00,32729.80,0.00,0.00,0.00,0.00,310.20,0.00,310.20,0.00,78617.60,9991000,0,5409952,35.13,39508,3142964,4378396,28.43,3060300,2082208,395080,1966160,129060,5608,10332,31340,0,0,0.00,0,0.00,1,705,2.15,2.40,3.56,0,310.20,0.00,78617.60,253.44,15.24,49.15,0.39,12.24,5.20,5.20,0.52,1.09,0.00,0.00,0.00,0.00
2017-09-24 03:07:02,24.33,0.00,1.03,0.00,0.03,0.00,0.00,0.00,0.00,74.62,38.60,2640.20,3010.80,0.00,0.00,0.00,36.80,23700.00,0.00,13016.40,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,73.60,9288288,0,6112664,39.69,39516,3138472,6153296,39.95,3770560,2075744,395508,2668336,130760,6552,13084,31340,0,0,0.00,0,0.00,2,848,2.14,2.39,3.55,0,0.60,0.00,73.60,122.67,0.00,0.00,0.00,0.00,5.80,5.80,0.54,1.05,0.00,0.00,0.00,0.00
2017-09-24 03:07:07,18.82,0.00,1.59,0.38,0.05,0.00,0.00,0.00,0.00,79.16,15.60,4597.60,4921.00,0.00,0.00,0.00,17809.60,14432.60,0.00,22291.60,0.00,0.00,0.00,0.00,153.60,0.00,153.60,0.00,35619.20,8417512,0,6983440,45.34,39528,3309508,7199908,46.75,4552680,2158216,483384,3364076,132000,7096,14824,31340,0,0,0.00,0,0.00,1,865,2.05,2.37,3.54,0,153.60,0.00,35619.20,231.90,6.33,41.19,0.33,5.12,9.20,9.20,0.77,2.68,0.00,0.00,0.00,0.00
2017-09-24 03:07:12,49.48,0.00,5.81,3.18,0.08,0.00,0.44,0.00,0.00,41.02,14.00,19676.80,12367.60,0.00,0.00,12288.00,52987.20,12673.80,0.00,140112.00,0.00,0.00,0.00,0.00,510.80,96.20,414.60,24576.00,105974.40,5892892,0,9508060,61.74,39536,3895508,9514252,61.78,6710052,2478880,748120,5282608,146872,7264,18920,31340,0,0,0.00,0,0.00,9,909,2.37,2.43,3.55,0,510.80,24576.00,105974.40,255.58,40.65,79.58,0.56,28.56,9.80,10.00,0.69,2.92,0.00,0.00,0.00,0.00
2017-09-24 03:07:17,64.53,0.00,3.23,0.00,0.05,0.00,0.28,0.00,0.00,31.91,5.80,7347.80,6141.80,0.00,0.00,0.00,136.00,4422.80,0.00,134459.20,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,272.00,4193036,0,11207916,72.77,39544,3892360,11642692,75.60,8440864,2474636,749536,6983932,146760,7400,22468,31340,0,0,0.00,0,0.00,9,928,2.34,2.42,3.54,0,2.20,0.00,272.00,123.64,0.00,1.45,0.36,0.08,44.80,45.80,2.95,15.19,0.00,0.00,0.00,0.00
2017-09-24 03:07:22,51.56,0.00,1.79,0.63,0.03,0.00,0.10,0.00,0.00,45.90,1.60,4207.40,4166.60,0.00,0.00,0.00,14178.40,1161.00,0.00,109000.20,0.00,0.00,0.00,0.00,113.00,0.00,113.00,0.00,28356.80,3596972,0,11803980,76.64,39552,3887152,12158340,78.95,9037408,2469784,680600,7580448,146964,7584,24016,31340,0,0,0.00,0,0.00,2,931,2.63,2.48,3.55,0,113.00,0.00,28356.80,250.95,4.41,39.04,0.33,3.76,71.60,72.80,4.86,24.63,0.00,0.00,0.00,0.00
2017-09-24 03:07:27,47.61,0.00,0.50,1.44,0.03,0.00,0.03,0.00,0.00,50.40,0.00,4182.40,4447.20,0.00,0.00,0.00,49160.00,196.20,0.00,1416.60,0.00,0.00,0.00,0.00,372.40,0.00,372.40,0.00,91868.80,3543636,0,11857316,76.99,39560,3883008,12158340,78.95,9090364,2465240,437016,7637452,146860,7544,23844,31340,0,0,0.00,0,0.00,8,929,2.66,2.49,3.55,1,372.60,0.00,91920.00,246.70,25.13,57.50,0.47,17.68,91.40,90.80,6.02,26.72,0.00,0.00,0.00,0.00
2017-09-24 03:07:32,35.27,0.00,0.66,14.21,0.03,0.00,0.05,0.00,0.00,49.79,1.60,3773.00,3922.20,0.00,0.00,0.00,87001.60,949.00,0.00,19511.20,0.00,0.00,0.00,0.00,732.40,0.00,732.40,0.00,180259.20,3310764,0,12090188,78.50,39568,3877044,12366596,80.30,9333712,2459888,1824,7877120,147012,7608,24344,31340,0,0,0.00,0,0.00,3,937,2.69,2.50,3.55,0,732.20,0.00,180208.00,246.12,113.80,158.79,1.37,100.00,60.40,61.20,3.98,18.75,0.00,0.00,0.00,0.00
