timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 06:37:22,15.96,0.00,1.05,0.00,0.00,0.00,0.00,0.00,0.00,82.98,54.60,2366.60,2453.40,0.00,0.00,0.80,179.20,31253.20,0.00,35100.80,0.00,0.00,0.00,0.00,11.60,0.20,11.40,1.60,358.40,10195364,0,5205588,33.80,19136,3665484,3360396,21.82,1590036,3342792,264,1249932,140632,5112,8240,31340,0,0,0.00,0,0.00,1,629,1.69,4.21,6.76,0,11.60,1.60,358.40,31.03,0.04,3.10,0.21,0.24,6.00,6.00,0.57,0.91,0.00,0.00,0.00,0.00
2017-09-24 06:37:27,14.79,0.00,1.68,0.05,0.00,0.00,0.00,0.00,0.00,83.48,7.80,1754.60,1863.60,0.00,0.00,28.00,34.40,7031.20,0.00,10744.00,0.00,0.00,0.00,0.00,8.20,7.00,1.20,56.00,68.80,9798952,0,5602000,36.37,19296,3816460,3617276,23.49,2106368,3221776,151300,1492592,143580,5416,9436,31340,0,0,0.00,0,0.00,1,663,1.63,4.16,6.73,0,8.20,56.00,68.80,15.22,0.01,1.27,0.59,0.48,8.40,8.60,0.59,2.56,0.00,0.00,0.00,0.00
2017-09-24 06:37:32,15.73,0.00,2.52,1.35,0.10,0.00,0.10,0.00,0.00,80.19,16.80,7776.40,7960.20,0.00,0.00,0.80,39257.60,9789.60,0.00,29207.20,0.00,0.00,0.00,0.00,309.40,0.20,309.20,1.60,78515.20,8993932,0,6407020,41.60,19376,4256192,4313700,28.01,2655556,3463252,394928,1843484,157024,5656,10420,31340,0,0,0.00,0,0.00,3,705,1.58,4.11,6.70,0,309.40,1.60,78515.20,253.77,15.05,48.63,0.41,12.72,4.40,4.40,0.37,0.95,0.00,0.00,0.00,0.00
2017-09-24 06:37:37,23.84,0.00,1.13,0.00,0.00,0.00,0.00,0.00,0.00,75.03,30.60,2505.60,2904.40,0.00,0.00,0.00,57.60,22035.00,0.00,14973.40,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,115.20,8313900,0,7087052,46.02,19432,4256376,6098068,39.60,3331804,3460832,395332,2516892,158692,6504,12988,31340,0,0,0.00,0,0.00,4,820,1.93,4.14,6.70,0,1.00,0.00,115.20,115.20,0.00,2.40,0.80,0.08,7.20,7.20,0.67,1.25,0.00,0.00,0.00,0.00
2017-09-24 06:37:42,25.71,0.00,3.04,1.06,0.05,0.00,0.05,0.00,0.00,70.08,25.80,16262.00,5717.00,0.00,0.00,0.00,31360.00,19352.20,0.00,26877.00,0.00,0.00,0.00,0.00,215.80,0.00,215.80,0.00,55091.20,7151012,0,8249940,53.57,19508,4608872,7196004,46.72,4299216,3638056,592404,3312724,167800,7168,15508,31340,0,0,0.00,0,0.00,0,880,2.26,4.17,6.69,4,216.00,0.00,55142.40,255.29,10.89,47.54,0.36,7.84,10.60,10.60,0.83,3.14,0.00,0.00,0.00,0.00
2017-09-24 06:37:47,61.22,0.00,5.85,3.80,0.05,0.00,0.28,0.00,0.00,28.80,11.40,8079.40,13232.00,0.00,0.00,25.60,52619.20,13469.20,0.00,61915.60,0.00,0.00,0.00,0.00,436.20,6.40,429.80,51.20,105187.20,4960976,0,10439976,67.79,19932,5247552,9075088,58.93,6047840,4056796,969608,4838736,187832,7344,18040,31340,0,0,0.00,0,0.00,18,906,2.96,4.28,6.72,0,436.40,51.20,105238.40,241.27,45.13,103.50,0.76,33.12,3.60,3.60,0.29,0.83,0.00,0.00,0.00,0.00
2017-09-24 06:37:52,56.81,0.00,10.84,6.15,0.03,0.00,0.50,0.00,0.00,25.67,6.20,7753.80,30925.20,0.00,0.00,110.40,140344.80,56447.80,0.40,195508.80,0.00,0.00,0.00,0.00,1128.00,7.00,1121.00,192.00,281150.40,2659560,0,12741392,82.73,20276,5875696,10445564,67.82,7661312,4725048,902408,6490372,205724,7328,21876,31340,0,0,0.00,0,0.00,0,904,2.80,4.23,6.69,2,1127.60,192.00,281048.00,249.41,131.63,115.43,0.85,95.76,5.20,5.20,0.39,1.24,0.00,0.00,0.00,0.00
2017-09-24 06:37:57,67.74,0.00,6.59,7.35,0.03,0.00,0.30,0.00,0.00,17.99,15.40,5312.00,8478.40,0.00,0.00,3012.00,115500.00,66057.60,5.40,56994.20,0.00,0.00,0.00,0.00,975.80,47.00,928.80,5950.40,230771.20,1324068,0,14076884,91.40,20792,6406972,11058284,71.80,8466440,5244172,851916,7283488,221084,7488,23400,31340,0,0,0.00,0,0.00,16,925,3.94,4.44,6.74,3,975.80,5950.40,230771.20,242.59,128.34,131.36,1.00,97.60,665.80,359.20,935.36,29.08,0.00,0.00,0.00,0.08
2017-09-24 06:38:02,82.16,0.00,12.21,0.84,0.05,0.00,0.03,0.00,0.00,4.71,0.00,23947.60,109414.60,0.00,0.00,16012.00,49984.80,257563.60,0.20,219439.20,159723.60,16703.00,175246.40,99.33,610.40,186.60,423.80,32088.00,107417.60,152936,0,15248016,99.01,12688,2985120,15520592,100.78,13371000,1509464,603380,11883840,212836,7440,33144,31340,0,0,0.00,0,0.00,15,916,5.23,4.70,6.81,1,610.40,32088.00,107417.60,228.55,55.00,93.70,1.57,95.92,2.60,3.40,0.52,0.61,0.00,0.00,0.00,0.00
2017-09-24 06:38:07,75.42,0.00,5.78,14.88,0.00,0.00,0.08,0.00,0.00,3.85,4.60,13951.40,32303.20,0.00,0.00,23734.40,124836.80,41092.60,0.60,88386.80,64734.00,8449.20,68014.40,92.94,1204.40,235.80,968.60,47404.80,241532.80,183268,0,15217684,98.81,6832,2281732,16037996,104.14,13710520,1144244,520516,12567580,207100,7592,34456,31340,0,0,0.00,0,0.00,27,935,7.13,5.10,6.93,2,1204.40,47404.80,241532.80,239.90,115.71,94.43,0.76,91.60,1.60,1.60,0.18,0.13,0.00,0.00,0.00,0.00
