timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 01:18:52,16.93,0.00,1.09,0.05,0.08,0.00,0.03,0.00,0.00,81.83,24.20,5483.60,5947.60,0.00,0.00,0.00,80.00,15834.60,0.00,19052.80,0.00,0.00,0.00,0.00,4.20,0.00,4.20,0.00,160.00,13276604,0,2124348,13.79,28960,470292,4062740,26.38,1745372,177292,131912,1431992,65132,5136,8156,31340,0,0,0.00,0,0.00,1,636,1.19,2.32,3.73,0,4.20,0.00,160.00,38.10,0.01,1.52,1.52,0.64,1.80,1.80,0.22,0.15,0.00,0.00,0.00,0.00
2017-09-24 01:18:57,21.59,0.00,1.26,0.00,0.00,0.00,0.03,0.00,0.00,77.12,26.80,3536.00,3723.00,0.00,0.00,0.00,84.80,18819.00,0.00,7168.60,0.00,0.00,0.00,0.00,2.40,0.00,2.40,0.00,169.60,12709228,0,2691724,17.48,28964,599240,11018188,71.54,2199440,294420,260772,1865996,66528,5824,9748,31340,0,0,0.00,0,0.00,4,739,1.26,2.31,3.72,0,2.40,0.00,169.60,70.67,0.01,2.67,0.67,0.16,2.40,2.40,0.28,0.26,0.00,0.00,0.00,0.00
2017-09-24 01:19:02,25.93,0.00,1.29,0.00,0.03,0.00,0.00,0.00,0.00,72.76,34.80,4225.60,4207.40,0.00,0.00,0.00,108.80,18619.80,0.00,8561.20,0.00,0.00,0.00,0.00,17.80,0.00,17.80,0.00,217.60,11826936,0,3574016,23.21,28964,599552,17552668,113.97,3076900,291988,260640,2740400,68140,6936,12952,31340,0,0,0.00,0,0.00,1,857,1.32,2.31,3.71,0,17.80,0.00,217.60,12.22,0.06,3.15,0.09,0.16,2.20,2.20,0.27,0.18,0.00,0.00,0.00,0.00
2017-09-24 01:19:07,50.33,0.00,2.48,0.03,0.05,0.00,0.00,0.00,0.00,47.12,14.20,5299.60,5322.20,0.00,0.00,0.00,2048.80,6368.20,0.00,29909.80,0.00,0.00,0.00,0.00,17.80,0.00,17.80,0.00,4097.60,8821152,0,6579800,42.72,28972,658808,17784344,115.48,6038468,329568,310088,5683324,69136,7328,19152,31340,0,0,0.00,0,0.00,5,901,1.53,2.33,3.71,0,17.80,0.00,4097.60,230.20,0.31,17.62,0.40,0.72,1.80,1.80,0.22,0.15,0.00,0.00,0.00,0.00
2017-09-24 01:19:12,50.84,0.00,1.44,0.00,0.00,0.00,0.00,0.00,0.00,47.72,1.40,3827.20,3576.60,0.00,0.00,0.00,86.40,13152.20,0.00,14027.80,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,172.80,8263312,0,7137640,46.35,28980,793108,18172496,118.00,6477860,448592,444592,6104576,69400,7360,19992,31340,0,0,0.00,0,0.00,5,905,1.65,2.35,3.71,0,1.40,0.00,172.80,123.43,0.00,0.00,0.00,0.00,1.40,1.40,0.14,0.17,0.00,0.00,0.00,0.00
2017-09-24 01:19:17,53.52,0.00,2.52,0.00,0.00,0.00,0.00,0.00,0.00,43.96,0.00,3515.40,3259.00,0.00,0.00,0.00,42.40,1530.40,0.00,181634.60,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,84.80,6984196,0,8416756,54.65,28988,793136,18172496,118.00,7764916,436864,444676,7382300,69440,7304,22332,31340,0,0,0.00,0,0.00,3,898,1.76,2.36,3.70,0,0.60,0.00,84.80,141.33,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 01:19:22,59.76,0.00,1.21,0.23,0.05,0.00,0.05,0.00,0.00,38.70,0.20,3741.20,3674.00,0.00,0.00,0.00,26278.40,4989.40,0.00,24673.80,0.00,0.00,0.00,0.00,207.00,0.00,207.00,0.00,52556.80,6417540,0,8983412,58.33,29000,793168,18158176,117.90,8359948,404916,313356,7946876,69700,7296,23448,31340,0,0,0.00,0,0.00,4,898,1.94,2.38,3.70,0,207.00,0.00,52556.80,253.90,9.78,47.25,0.36,7.36,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-24 01:19:27,71.54,0.00,2.39,0.63,0.00,0.00,0.00,0.00,0.00,25.43,0.00,4954.00,3297.60,0.00,0.00,0.00,25822.40,835.20,0.00,142122.00,0.00,0.00,0.00,0.00,211.40,0.00,211.40,0.00,51644.80,5104800,0,10296152,66.85,29008,796268,18158176,117.90,9655760,407260,187656,9254672,69628,7288,25948,31340,0,0,0.00,0,0.00,4,897,2.66,2.53,3.74,0,211.40,0.00,51644.80,244.30,9.78,46.25,0.35,7.36,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-24 01:19:32,60.73,0.00,0.76,0.13,0.05,0.00,0.03,0.00,0.00,38.32,0.80,4260.60,3492.40,0.00,0.00,0.00,417.60,7124.40,0.00,6485.80,0.00,0.00,0.00,0.00,16.40,0.00,16.40,0.00,835.20,4941376,0,10459576,67.92,29072,910672,18165916,117.95,9726576,512324,301952,9299180,71620,7304,26256,31340,0,0,0.00,0,0.00,3,899,2.77,2.55,3.75,0,16.40,0.00,835.20,50.93,0.02,1.41,0.68,1.12,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 01:19:37,24.02,0.00,0.55,0.03,0.00,0.00,0.00,0.00,0.00,75.40,0.00,3422.80,2804.80,0.00,0.00,0.00,2406.40,5552.80,0.00,6442.40,0.00,0.00,0.00,0.00,30.20,0.00,30.20,0.00,4812.80,4895844,0,10505108,68.21,29080,916120,18196808,118.15,9770424,512476,295696,9338096,72088,7296,26336,31340,0,0,0.00,0,0.00,7,898,3.35,2.67,3.78,0,30.20,0.00,4812.80,159.36,0.35,11.50,0.21,0.64,3.00,3.00,0.36,0.25,0.00,0.00,0.00,0.00
