timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-19 23:38:05,18.33,0.00,1.84,0.18,0.05,0.00,0.03,0.00,0.00,79.58,32.80,5398.40,5339.20,0.00,0.00,0.00,73.60,18025.40,0.00,17056.40,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,147.20,11687392,0,3713560,24.11,13200,1616568,4457724,28.94,2341708,1149248,261604,1871464,83092,5928,9176,31276,0,0,0.00,0,0.00,1,726,5.23,5.74,5.29,0,3.60,0.00,147.20,40.89,0.03,9.33,4.89,1.76,3.00,3.00,0.36,0.25,0.00,0.00,0.00,0.00
2017-09-19 23:38:10,29.99,0.00,1.59,0.00,0.05,0.00,0.00,0.00,0.00,68.37,37.20,3640.40,4007.40,0.00,0.00,0.00,216.80,23230.00,0.00,10328.60,0.00,0.00,0.00,0.00,18.20,0.00,18.20,0.00,433.60,10883664,0,4517288,29.33,13212,1616880,14277576,92.71,3156780,1140888,260684,2669432,84192,6992,12064,31276,0,0,0.00,0,0.00,3,869,4.89,5.67,5.27,0,18.20,0.00,433.60,23.82,0.11,5.89,1.67,3.04,2.20,2.20,0.25,0.17,0.00,0.00,0.00,0.00
2017-09-19 23:38:15,20.83,0.00,1.27,0.03,0.00,0.00,0.03,0.00,0.00,77.86,25.40,4500.60,4211.20,0.00,0.00,0.00,2044.80,12158.60,0.00,7656.00,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,793.60,9994204,0,5406748,35.11,13220,1636820,17754068,115.28,4034668,1147416,271504,3533792,85420,7568,14112,31276,0,0,0.00,0,0.00,9,952,4.66,5.60,5.25,0,6.00,0.00,793.60,132.27,5.29,86.93,12.00,7.20,1.80,1.80,0.22,0.15,0.00,0.00,0.00,0.00
2017-09-19 23:38:20,54.10,0.00,2.74,0.20,0.00,0.00,0.00,0.00,0.00,42.95,0.00,3582.00,3153.00,0.00,0.00,0.00,48.00,854.20,0.00,109791.40,0.00,0.00,0.00,0.00,14.40,0.00,14.40,0.00,3392.00,7347888,0,8053064,52.29,13228,1638164,17754068,115.28,6602392,1146904,272184,6171636,86084,7696,19336,31276,0,0,0.00,0,0.00,4,948,4.61,5.58,5.24,0,14.40,0.00,3392.00,235.56,13.74,1285.44,27.06,38.96,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:38:25,51.92,0.00,3.37,0.00,0.03,0.00,0.00,0.00,0.00,44.68,0.00,3479.80,3100.00,0.00,0.00,0.00,4.80,804.80,0.00,227164.40,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,9.60,4999824,0,10401128,67.54,13236,1638192,17754068,115.28,8952444,1146916,272208,8517524,86224,7672,24288,31276,0,0,0.00,0,0.00,7,940,4.56,5.55,5.23,0,0.60,0.00,9.60,16.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:38:30,53.60,0.00,2.87,0.00,0.00,0.00,0.00,0.00,0.00,43.53,0.00,3389.80,2799.40,0.00,0.00,0.00,16.00,596.80,0.00,208716.00,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,32.00,3446412,0,11954540,77.62,13244,1638216,17754068,115.28,10445520,1146924,272232,10067976,86100,7624,27204,31276,0,0,0.00,0,0.00,5,939,4.52,5.53,5.23,0,1.40,0.00,32.00,22.86,0.00,0.00,0.00,0.00,1.40,1.40,0.16,0.11,0.00,0.00,0.00,0.00
2017-09-19 23:38:35,54.01,0.00,2.32,5.29,0.03,0.00,0.00,0.00,0.00,38.36,0.00,3807.60,2968.40,0.00,0.00,0.80,5672.00,479.40,0.00,157622.60,0.00,0.00,0.00,0.00,16.40,0.00,16.40,0.00,3996.80,2078912,0,13322040,86.50,13248,1638240,17754068,115.28,11842700,1146920,244156,11432396,86316,7624,30052,31276,0,0,0.00,0,0.00,5,939,4.95,5.60,5.25,1,16.40,0.00,3996.80,243.71,71.17,946.44,30.00,49.20,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-19 23:38:45,15.39,0.00,0.37,32.78,0.02,0.00,0.00,0.00,0.00,51.43,0.40,3135.35,2307.33,0.00,0.00,0.00,4367.52,207.43,0.00,26240.59,0.00,0.00,0.00,0.00,45.05,0.10,44.95,0.79,9349.70,1784828,0,13616124,88.41,13264,1638284,17754068,115.28,12228296,1146912,200136,11725824,86224,7656,30844,31276,0,0,0.00,0,0.00,1,943,4.87,5.56,5.25,1,45.05,0.79,9349.70,207.56,104.45,2560.73,22.19,99.96,1.19,1.19,0.14,0.09,0.00,0.00,0.00,0.00
2017-09-19 23:38:50,13.35,0.00,1.28,23.20,0.00,0.00,0.00,0.00,0.00,62.17,0.00,3001.40,2175.80,0.00,0.00,0.00,2300.80,242.00,0.00,96692.80,0.00,0.00,0.00,0.00,33.60,0.00,33.60,0.00,8601.60,1374120,0,14026832,91.08,13268,1638308,17754068,115.28,12525316,1146932,188792,12135368,86248,7656,31492,31276,0,0,0.00,0,0.00,1,942,4.64,5.50,5.23,3,33.60,0.00,8601.60,256.00,119.36,2858.76,29.76,100.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:38:55,14.59,0.00,0.50,19.87,0.00,0.00,0.00,0.00,0.00,65.03,0.60,3031.60,2660.20,0.00,0.00,0.00,9654.40,267.80,0.00,35785.40,0.00,0.00,0.00,0.00,57.80,0.00,57.80,0.00,13632.00,1164044,0,14236908,92.44,13284,1638336,17797604,115.56,12837592,1146908,140952,12345308,86036,7648,32056,31276,0,0,0.00,0,0.00,1,939,4.75,5.51,5.23,1,57.80,0.00,13632.00,235.85,100.39,1916.93,17.30,100.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:39:00,13.29,0.00,0.08,19.58,0.03,0.00,0.00,0.00,0.00,67.03,0.00,2993.40,2194.40,0.00,0.00,0.00,2441.60,18.20,0.00,35.60,0.00,0.00,0.00,0.00,29.60,0.00,29.60,0.00,7577.60,1163928,0,14237024,92.44,13288,1638360,17797604,115.56,12841288,1146908,128608,12344868,86052,7624,32056,31276,0,0,0.00,0,0.00,0,939,4.53,5.45,5.21,4,29.60,0.00,7577.60,256.00,137.75,3806.54,33.78,100.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-19 23:39:05,22.36,0.00,0.18,32.04,0.03,0.00,0.00,0.00,0.00,45.40,0.00,3283.00,2399.80,0.00,0.00,0.00,4817.60,549.00,0.00,7407.40,0.00,0.00,0.00,0.00,27.40,0.00,27.40,0.00,6982.40,1095228,0,14305724,92.89,13340,1638388,17797604,115.56,12864360,1146912,104404,12412840,86012,7592,32056,31276,0,0,0.00,0,0.00,4,935,4.57,5.45,5.21,2,27.40,0.00,6982.40,254.83,87.76,4041.34,36.50,100.00,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-19 23:39:10,53.32,0.00,2.16,16.37,0.00,0.00,0.00,0.00,0.00,28.14,0.40,3568.60,5340.60,0.00,0.00,0.80,1772.80,4407.40,0.00,143744.40,3462.80,6839.00,10295.40,99.94,35.80,0.20,35.60,1.60,9020.80,173084,0,15227868,98.88,10224,1434620,17797604,115.56,14034628,939100,95928,13546300,84356,7576,33964,31276,0,0,0.00,0,0.00,5,933,4.68,5.46,5.22,3,35.80,1.60,9020.80,252.02,111.75,3754.86,27.93,100.00,0.80,0.80,0.10,0.06,0.00,0.00,0.00,0.00
2017-09-19 23:39:15,29.68,0.00,1.66,29.93,0.00,0.00,0.00,0.00,0.00,38.73,0.00,2673.60,13053.80,0.00,0.00,0.00,4192.00,12073.00,0.00,42713.00,8122.40,8918.20,17038.20,99.99,32.00,0.00,32.00,0.00,8052.80,190316,0,15210636,98.76,7252,1090160,17812476,115.66,14381748,598380,75028,13882920,78616,7576,35072,31276,0,0,0.00,0,0.00,1,932,5.19,5.55,5.25,9,32.00,0.00,8052.80,251.65,104.17,2225.43,31.25,100.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-19 23:39:20,40.02,0.00,2.21,27.82,0.00,0.00,0.00,0.00,0.00,29.95,0.60,8889.20,29049.80,0.00,0.00,0.00,6308.00,20456.60,0.00,27638.40,12313.00,5226.00,16665.60,95.02,39.60,0.00,39.60,0.00,8411.20,128308,0,15272644,99.17,6956,733272,17894404,116.19,14674804,370396,43984,14304844,73196,7552,36008,31276,0,0,0.00,0,0.00,3,929,6.53,5.82,5.34,4,39.60,0.00,8411.20,212.40,120.21,2882.08,25.21,99.84,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:39:25,55.59,0.00,0.28,21.87,0.03,0.00,0.00,0.00,0.00,22.24,0.20,13046.40,8463.40,0.00,0.00,0.00,3640.80,2861.20,0.00,6655.00,4776.60,425.20,4588.80,88.22,35.20,0.00,35.20,0.00,8100.80,201664,0,15199288,98.69,6800,622256,17946156,116.53,14660088,314116,25884,14345216,70044,7536,36040,31276,0,0,0.00,0,0.00,2,928,8.01,6.14,5.44,6,35.20,0.00,8100.80,230.14,144.21,4225.73,28.41,100.00,0.60,0.60,0.07,0.05,0.00,0.00,0.00,0.00
2017-09-19 23:39:30,19.75,0.00,0.15,41.08,0.00,0.00,0.00,0.00,0.00,39.02,0.20,2686.40,1989.20,0.00,0.00,0.00,4273.60,3377.00,0.00,2173.00,0.00,0.00,0.00,0.00,34.80,0.00,34.80,0.00,8110.40,175144,0,15225808,98.86,6804,622284,17946156,116.53,14684604,314100,4944,14369724,70064,7536,36052,31276,0,0,0.00,0,0.00,4,928,8.33,6.24,5.48,1,34.80,0.00,8110.40,233.06,95.05,3474.80,28.74,100.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:39:35,29.89,0.00,0.08,27.28,0.03,0.00,0.00,0.00,0.00,42.73,0.00,3162.20,2638.20,0.00,0.00,0.00,976.00,1704.20,0.00,1526.20,0.00,0.00,0.00,0.00,42.20,0.00,42.20,0.00,8371.20,170248,0,15230704,98.89,6812,622304,17953696,116.58,14688308,314116,20,14373608,69968,7536,36084,31276,0,0,0.00,0,0.00,1,928,8.06,6.22,5.48,0,42.20,0.00,8371.20,198.37,98.11,3108.80,23.24,98.08,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-19 23:39:40,27.59,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,72.36,0.00,3201.20,2512.60,0.00,0.00,0.80,16.80,25.80,0.00,199.00,0.00,0.00,0.00,0.00,0.60,0.20,0.40,1.60,33.60,173456,0,15227496,98.87,6832,622348,17953696,116.58,14685588,314092,324,14370616,69904,7528,36116,31276,0,0,0.00,0,0.00,4,927,7.50,6.13,5.45,0,0.60,1.60,33.60,58.67,0.00,2.67,2.67,0.16,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-19 23:39:45,54.20,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,45.72,0.00,3461.60,2975.40,0.00,0.00,0.00,21.60,20.40,0.00,25.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,43.20,173460,0,15227492,98.87,6840,622376,17953696,116.58,14685588,314072,408,14370528,69864,7528,36108,31276,0,0,0.00,0,0.00,4,927,7.22,6.09,5.44,0,0.40,0.00,43.20,108.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:39:50,55.73,0.00,0.23,0.00,0.03,0.00,0.00,0.00,0.00,44.01,0.00,3764.60,5574.40,0.00,0.00,0.00,3.20,814.00,0.00,214.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,164600,0,15236352,98.93,6848,622400,17973336,116.70,14693708,314112,436,14378692,69904,7528,36144,31276,0,0,0.00,0,0.00,4,927,6.96,6.06,5.44,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:39:55,54.41,0.00,0.08,0.03,0.03,0.00,0.00,0.00,0.00,45.46,0.00,3952.80,3020.40,0.00,0.00,0.80,4.00,28.00,0.00,189.00,0.00,0.00,0.00,0.00,0.60,0.20,0.40,1.60,8.00,167404,0,15233548,98.91,6860,622428,17973336,116.70,14690528,314144,472,14375528,69912,7520,36136,31276,0,0,0.00,0,0.00,5,926,6.72,6.03,5.43,0,0.60,1.60,8.00,16.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:40:00,46.97,0.00,0.10,0.00,0.00,0.00,0.03,0.00,0.00,52.91,0.00,3273.20,2699.00,0.00,0.00,0.00,7.20,23.20,0.00,25.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,14.40,167304,0,15233648,98.91,6868,622460,17973336,116.70,14690720,314152,504,14375732,69888,7520,36136,31276,0,0,0.00,0,0.00,2,926,6.42,5.98,5.42,0,0.40,0.00,14.40,36.00,0.00,0.00,0.00,0.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-19 23:40:05,50.50,0.00,0.28,0.28,0.03,0.00,0.00,0.00,0.00,48.92,0.00,4261.00,5209.60,0.00,0.00,472.80,68.80,1057.00,0.00,2469.20,0.00,1052.60,1051.80,99.92,61.40,56.20,5.20,945.60,137.60,151288,0,15249664,99.02,6872,603872,17973336,116.70,14719352,303824,540,14414648,69604,7520,36200,31276,0,0,0.00,0,0.00,4,926,6.23,5.94,5.41,0,61.40,945.60,137.60,17.64,0.01,0.22,0.22,1.36,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-19 23:40:10,56.64,0.00,0.68,0.00,0.03,0.00,0.00,0.00,0.00,42.66,0.40,3836.40,10343.00,0.00,0.00,0.00,132.00,3699.80,0.00,11155.80,228.60,4336.20,4505.80,98.71,11.40,0.00,11.40,0.00,264.00,147684,0,15253268,99.04,4788,516412,17981548,116.76,14769900,260076,204,14507996,68796,7528,36208,31276,0,0,0.00,0,0.00,12,927,6.05,5.91,5.40,0,11.40,0.00,264.00,23.16,0.01,0.49,0.14,0.16,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-19 23:40:15,54.61,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,45.26,0.00,3394.40,3626.80,0.00,0.00,0.00,0.00,46.40,0.00,1672.00,1587.40,0.00,1587.40,100.00,0.00,0.00,0.00,0.00,0.00,179424,0,15221528,98.83,4780,483504,17989800,116.81,14753280,244416,188,14509588,67364,7528,36384,31276,0,0,0.00,0,0.00,5,927,5.89,5.88,5.39,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:40:20,54.19,0.00,0.08,0.08,0.00,0.00,0.00,0.00,0.00,45.66,0.00,3443.60,2962.80,0.00,0.00,72.80,14.40,76.00,0.80,30.40,0.00,0.00,0.00,0.00,2.60,2.20,0.40,145.60,28.80,175784,0,15225168,98.86,4824,483896,17989800,116.81,14756496,244744,324,14512588,67476,7520,36408,31276,0,0,0.00,0,0.00,4,926,6.06,5.91,5.41,0,2.60,145.60,28.80,67.08,0.01,2.15,2.15,0.56,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-19 23:40:25,51.44,0.00,0.18,0.13,0.03,0.00,0.00,0.00,0.00,48.24,2.20,3838.80,3042.60,0.00,0.00,460.00,22.40,854.60,6.80,274.80,0.00,0.00,0.00,0.00,31.60,31.20,0.40,920.00,44.80,169396,0,15231556,98.90,5048,486064,17989800,116.81,14759396,246456,440,14514892,67536,7520,36420,31276,0,0,0.00,0,0.00,6,926,5.89,5.88,5.40,0,31.60,920.00,44.80,30.53,0.02,0.73,0.33,1.04,1.20,1.20,0.19,0.15,0.00,0.00,0.00,0.00
2017-09-19 23:40:30,55.33,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,44.55,0.00,3323.00,2718.60,0.00,0.00,0.00,26.40,22.00,0.00,24.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,52.80,169544,0,15231408,98.90,5056,486092,17989800,116.81,14759352,246496,532,14514776,67532,7520,36420,31276,0,0,0.00,0,0.00,5,926,5.74,5.85,5.39,0,0.40,0.00,52.80,132.00,0.00,0.00,0.00,0.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-19 23:40:35,55.84,0.00,0.13,0.00,0.03,0.00,0.00,0.00,0.00,44.01,0.00,3513.40,3297.60,0.00,0.00,0.00,3.20,1181.20,0.00,546.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,145548,0,15255404,99.05,5064,486116,17982104,116.76,14781868,246520,560,14537352,67532,7520,36460,31276,0,0,0.00,0,0.00,5,926,6.16,5.94,5.42,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
