timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-20 00:09:16,10.42,0.00,0.60,5.36,0.03,0.00,0.00,0.00,0.00,83.59,20.20,2848.00,2507.00,0.00,0.00,10264.00,68.00,10932.20,16.20,6302.20,0.00,0.00,0.00,0.00,723.20,721.20,2.00,20521.60,136.00,13558696,0,1842256,11.96,10776,121868,3889632,25.26,1592156,80780,3084,1540740,42012,5696,8264,31276,0,0,0.00,0,0.00,2,704,3.98,4.99,5.49,1,723.40,20528.00,136.00,28.57,0.76,1.05,0.70,50.88,1.20,1.20,0.15,0.10,0.00,0.00,0.00,0.00
2017-09-20 00:09:21,12.30,0.00,1.12,2.89,0.08,0.00,0.08,0.00,0.00,83.54,16.40,6619.80,6215.60,0.00,0.00,21434.40,52.00,7861.20,30.20,8091.40,0.00,0.00,0.00,0.00,326.20,323.20,3.00,42875.20,104.00,12975068,0,2425884,15.75,10824,486424,4379908,28.44,1839572,408184,260596,1752584,48412,5936,9268,31276,0,0,0.00,0,0.00,0,748,3.66,4.91,5.46,0,326.00,42868.80,104.00,131.82,0.43,1.31,0.83,27.12,2.20,2.20,0.27,0.18,0.00,0.00,0.00,0.00
2017-09-20 00:09:26,29.37,0.00,1.36,0.00,0.00,0.00,0.00,0.00,0.00,69.26,39.20,3723.00,3904.40,0.00,0.00,17.60,37.60,22195.00,0.00,7716.40,0.00,0.00,0.00,0.00,2.00,1.20,0.80,35.20,75.20,12050340,0,3350612,21.76,10860,487192,14132192,91.76,2764956,401284,261008,2670632,49408,6872,12004,31276,0,0,0.00,0,0.00,3,889,3.45,4.85,5.44,0,2.00,35.20,75.20,55.20,0.00,1.60,0.80,0.16,2.80,2.80,0.33,0.22,0.00,0.00,0.00,0.00
2017-09-20 00:09:31,35.89,0.00,1.62,1.36,0.03,0.00,0.03,0.00,0.00,61.08,22.20,5049.40,4657.00,0.00,0.00,242.40,2036.80,11004.00,0.80,9533.40,0.00,0.00,0.00,0.00,32.80,14.40,18.40,484.80,4073.60,10596276,0,4804676,31.20,10884,509400,17705988,114.97,4122568,405692,272244,4095832,51548,7784,14824,31276,0,0,0.00,0,0.00,12,967,3.33,4.80,5.42,0,32.80,484.80,4073.60,138.98,0.87,26.46,1.88,6.16,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-20 00:09:36,84.15,0.00,3.55,0.00,0.05,0.00,0.00,0.00,0.00,12.25,1.40,4586.20,4595.00,0.00,0.00,21.60,165.60,9214.00,0.00,98522.20,0.00,0.00,0.00,0.00,13.20,0.40,12.80,43.20,331.20,8107156,0,7293796,47.36,10908,601884,17824748,115.74,6608940,474292,364468,6484844,54912,7880,20228,31276,0,0,0.00,0,0.00,5,971,4.27,4.97,5.47,0,13.20,43.20,331.20,28.36,0.02,1.76,0.12,0.16,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-20 00:09:41,65.41,0.00,1.81,0.00,0.00,0.00,0.03,0.00,0.00,32.76,3.60,7586.80,6147.00,0.00,0.00,0.00,100.00,11097.20,0.00,37544.20,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,200.00,7458428,0,7942524,51.57,11024,675212,17840948,115.84,7217268,522252,438100,7052496,56488,7816,21760,31276,0,0,0.00,0,0.00,5,981,4.65,5.04,5.49,0,1.40,0.00,200.00,142.86,0.00,0.57,0.57,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-20 00:09:46,50.73,0.00,1.77,0.00,0.05,0.00,0.05,0.00,0.00,47.40,0.40,4688.40,4454.60,0.00,0.00,16.80,237.60,15812.60,0.40,17699.20,0.00,0.00,0.00,0.00,5.40,1.00,4.40,33.60,475.20,7131676,0,8269276,53.69,11316,965344,17840948,115.84,7317780,739168,728372,7078924,64536,7960,21920,31276,0,0,0.00,0,0.00,4,981,4.59,5.02,5.48,0,5.40,33.60,475.20,94.22,0.00,0.30,0.30,0.16,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-20 00:09:51,46.37,0.00,1.56,3.56,0.03,0.00,0.00,0.00,0.00,48.49,0.00,4510.80,4476.60,0.00,0.00,0.00,33087.20,15521.00,0.00,16637.60,0.00,0.00,0.00,0.00,241.60,0.00,241.60,0.00,59822.40,6815188,0,8585764,55.75,11452,1271508,17840948,115.84,7385008,978720,869908,7079152,73864,7960,21932,31276,0,0,0.00,0,0.00,6,981,4.55,5.00,5.47,1,241.60,0.00,59822.40,247.61,71.67,187.55,3.10,74.80,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-20 00:09:56,32.20,0.00,0.68,49.81,0.03,0.00,0.00,0.00,0.00,17.28,0.00,3937.00,3312.60,0.00,0.00,0.80,1886.40,2699.60,0.00,5675.60,0.00,0.00,0.00,0.00,36.00,0.00,36.00,0.00,7918.40,6748396,0,8652556,56.18,11472,1317160,17840948,115.84,7417804,1012480,907404,7100540,75212,7960,21964,31276,0,0,0.00,0,0.00,4,980,4.98,5.08,5.50,2,36.00,0.00,7918.40,219.96,113.47,3615.76,27.78,100.00,2.60,2.60,0.31,0.22,0.00,0.00,0.00,0.00
2017-09-20 00:10:01,24.88,0.00,0.50,18.47,0.00,0.00,0.00,0.00,0.00,56.14,0.00,3335.60,2637.40,0.00,0.00,0.00,8257.60,2329.60,0.00,16610.40,0.00,0.00,0.00,0.00,66.40,0.20,66.20,1.60,10915.20,6476956,0,8923996,57.94,11484,1360292,17840948,115.84,7630520,1041620,909944,7329184,76740,7952,22040,31276,0,0,0.00,0,0.00,4,980,4.82,5.05,5.49,1,66.40,1.60,10915.20,164.41,110.53,1493.70,15.06,100.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
