timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-20 01:56:42,65.75,0.00,6.42,1.73,0.10,0.00,0.10,0.00,0.00,25.89,23.80,4845.80,3885.00,0.00,0.00,8054.40,4318.40,12526.80,6.00,14217.40,0.00,0.00,0.00,0.00,297.00,274.60,22.40,16108.80,2254.40,1338052,0,2516792,65.29,4624,592212,3415700,88.61,2040996,378872,210496,1822996,42420,4920,8520,10852,0,0,0.00,0,0.00,2,609,1.06,1.24,1.33,1,297.00,16108.80,2254.40,61.83,2.99,0.89,0.38,11.20,2.00,2.00,0.24,0.16,0.00,0.00,0.00,0.00
2017-09-20 01:56:47,56.65,0.00,2.23,27.82,0.00,0.00,0.00,0.00,0.00,13.30,10.40,1859.40,1608.60,0.00,0.00,5.60,11798.40,7270.40,0.20,2547.60,0.00,0.00,0.00,0.00,99.60,0.80,98.80,11.20,24057.60,1121336,0,2733508,70.91,4648,621052,3777536,97.99,2238248,396316,180672,2008892,43200,5192,9252,10852,0,0,0.00,0,0.00,3,643,1.21,1.27,1.34,2,99.60,11.20,24057.60,241.65,142.58,897.34,10.04,100.00,2.20,2.20,0.26,0.18,0.00,0.00,0.00,0.00
2017-09-20 01:56:52,53.65,0.00,1.83,38.84,0.00,0.00,0.00,0.00,0.00,5.68,11.40,2100.40,1479.00,0.00,0.00,0.80,6536.80,8168.80,0.00,3461.00,0.00,0.00,0.00,0.00,63.60,0.20,63.40,1.60,14380.80,812812,0,3042032,78.91,4660,621188,4968176,128.88,2548060,393532,148836,2315756,43508,5544,10356,10852,0,0,0.00,0,0.00,0,677,1.43,1.32,1.35,2,63.60,1.60,14380.80,226.14,125.29,2590.40,15.72,100.00,1.20,1.20,0.14,0.10,0.00,0.00,0.00,0.00
2017-09-20 01:56:57,4.98,0.00,0.61,55.39,0.10,0.00,0.10,0.00,0.00,38.82,0.40,1789.00,1131.40,0.00,0.00,0.00,8313.60,285.00,0.00,809.80,0.00,0.00,0.00,0.00,71.60,0.00,71.60,0.00,14073.60,781316,0,3073528,79.73,4668,623992,4968176,128.88,2579432,393348,110200,2344244,43496,5520,10436,10852,0,0,0.00,0,0.00,0,677,1.48,1.33,1.35,2,71.60,0.00,14073.60,196.56,111.72,1485.01,13.37,95.76,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-20 01:57:02,58.05,0.00,1.61,32.70,0.00,0.00,0.00,0.00,0.00,7.65,2.20,2102.60,1452.20,0.00,0.00,28.80,7852.00,2579.00,0.60,7294.60,0.00,0.00,0.00,0.00,70.20,2.00,68.20,56.00,17425.60,447100,0,3407744,88.40,4688,627120,5015152,130.10,2913900,392032,74268,2674168,43652,5576,11128,10852,0,0,0.00,0,0.00,0,683,1.76,1.39,1.37,4,70.20,56.00,17425.60,249.03,141.82,1826.23,14.25,100.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-20 01:57:07,57.07,0.00,0.92,37.03,0.00,0.00,0.00,0.00,0.00,4.98,0.60,2254.20,1646.40,0.00,0.00,0.00,7143.20,425.00,0.00,6422.20,0.00,0.00,0.00,0.00,48.80,0.20,48.60,1.60,12409.60,233048,0,3621796,93.95,4692,628848,5015152,130.10,3127308,391992,40412,2885648,43732,5600,11412,10852,0,0,0.00,0,0.00,3,686,2.10,1.47,1.40,2,48.80,1.60,12409.60,254.33,118.31,2013.33,20.51,100.08,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-20 01:57:12,47.56,0.00,2.95,49.09,0.10,0.00,0.00,0.00,0.00,0.30,0.40,2283.20,5466.00,0.00,0.00,0.80,2759.20,4207.80,0.00,23693.20,4868.40,4741.00,9607.20,99.98,45.20,0.20,45.00,1.60,11470.40,95876,0,3758968,97.51,4088,436768,5068588,131.49,3435124,220444,29600,3214712,41968,5592,12232,10852,0,0,0.00,0,0.00,0,685,2.25,1.51,1.41,4,45.20,1.60,11470.40,253.81,108.97,3232.69,22.11,99.92,1.80,1.80,0.21,0.15,0.00,0.00,0.00,0.00
2017-09-20 01:57:17,67.93,0.00,0.92,11.99,0.00,0.00,0.00,0.00,0.00,19.16,1.80,3377.20,2294.80,0.00,0.00,0.00,4384.00,666.40,0.00,386.00,0.00,0.00,0.00,0.00,40.60,0.00,40.60,0.00,10139.20,83584,0,3771260,97.83,4112,443816,5081408,131.82,3447780,219972,15432,3219840,41992,5664,12260,10852,0,0,0.00,0,0.00,2,694,2.23,1.52,1.42,0,40.60,0.00,10139.20,249.73,64.10,2017.18,16.20,65.76,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-20 01:57:22,71.81,0.00,0.91,0.00,0.10,0.00,0.10,0.00,0.00,27.08,0.00,2639.20,1976.40,0.00,0.00,0.00,40.00,893.00,0.00,814.00,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,80.00,74416,0,3780428,98.07,4140,450820,5081408,131.82,3456784,219796,22472,3221748,41976,5656,12268,10852,0,0,0.00,0,0.00,5,693,2.13,1.51,1.41,0,0.60,0.00,80.00,133.33,0.00,2.67,1.33,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-20 01:57:27,72.99,0.00,1.12,0.00,0.00,0.00,0.00,0.00,0.00,25.89,0.00,3066.60,2197.20,0.00,0.00,0.80,41.60,2996.00,0.00,3923.00,2666.40,206.40,2872.80,100.00,0.80,0.20,0.60,1.60,83.20,82248,0,3772596,97.87,4152,398664,5081408,131.82,3469184,199808,27796,3266068,41960,5648,12356,10852,0,0,0.00,0,0.00,1,692,2.76,1.65,1.46,0,0.80,1.60,83.20,106.00,0.00,2.00,1.00,0.08,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
