timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-20 21:15:44,53.35,0.00,2.64,12.98,0.20,0.00,0.00,0.00,0.00,30.83,17.40,2108.00,2007.80,0.00,0.00,8312.80,35.20,13801.80,38.60,11291.60,0.00,0.00,0.00,0.00,501.00,500.00,1.00,16625.60,70.40,1799360,0,2055484,53.32,11576,499900,2305884,59.82,1544828,421856,288,1455220,35768,4440,7784,10852,0,0,0.00,0,0.00,0,537,0.55,1.66,2.06,0,501.00,16625.60,70.40,33.33,0.42,0.84,0.61,30.72,0.80,0.80,0.10,0.07,0.00,0.00,0.00,0.00
2017-09-20 21:15:49,51.66,0.00,3.53,13.52,0.20,0.00,0.00,0.00,0.00,31.08,30.60,2253.20,2152.40,0.00,0.00,10618.40,36.80,21192.20,51.20,20597.80,0.00,0.00,0.00,0.00,539.00,538.00,1.00,21235.20,73.60,1781920,0,2072924,53.77,14724,549888,2344556,60.82,1523148,458884,320,1417460,36696,4440,8424,10852,0,0,0.00,0,0.00,3,542,0.66,1.66,2.06,1,539.20,21236.80,73.60,39.52,0.60,1.11,0.44,23.92,2.60,2.60,0.30,0.22,0.00,0.00,0.00,0.00
2017-09-20 21:15:54,50.25,0.00,3.60,9.21,1.30,0.00,0.00,0.00,0.00,35.64,5.60,1859.20,1732.40,0.00,0.00,13880.80,18.40,5085.40,0.00,2907.40,0.00,0.00,0.00,0.00,516.80,516.00,0.80,27763.20,36.80,1472516,0,2382328,61.80,14732,680484,2543284,65.98,1777144,513872,61612,1595884,36764,4664,8888,10852,0,0,0.00,0,0.00,1,569,0.69,1.65,2.05,0,516.60,27761.60,36.80,53.81,0.49,0.95,0.60,31.04,0.40,0.40,0.05,0.03,0.00,0.00,0.00,0.00
2017-09-20 21:15:59,26.94,0.00,8.98,23.51,0.40,0.00,0.40,0.00,0.00,39.76,2.40,6192.60,3528.40,0.00,0.00,17605.60,39275.20,333.80,0.00,6615.20,0.00,0.00,0.00,0.00,533.40,222.40,311.00,35211.20,78550.40,972500,0,2882344,74.77,14752,1101288,2662752,69.08,2008316,774128,198256,1666588,44708,4704,9024,10852,0,0,0.00,0,0.00,3,570,0.72,1.64,2.05,0,533.40,35211.20,78550.40,213.28,59.64,111.81,1.19,63.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017-09-20 21:16:04,3.96,0.00,3.12,52.92,0.31,0.00,0.21,0.00,0.00,39.48,3.80,2546.80,2432.20,0.00,0.00,28.00,52647.20,335.00,0.20,10385.20,0.00,0.00,0.00,0.00,406.20,1.40,404.80,49.60,98219.20,767748,0,3087096,80.08,14776,1297904,2662752,69.08,2107628,872932,206956,1667884,51100,4768,9028,10852,0,0,0.00,0,0.00,0,582,0.66,1.61,2.04,2,406.20,49.60,98219.20,241.92,121.56,216.70,2.08,84.40,1.20,1.20,0.14,0.10,0.00,0.00,0.00,0.00
2017-09-20 21:16:09,14.83,0.00,1.11,70.33,0.10,0.00,0.00,0.00,0.00,13.62,7.60,1127.80,829.40,0.00,0.00,16.00,3913.60,4626.60,0.40,1181.80,0.00,0.00,0.00,0.00,52.40,0.80,51.60,38.40,12240.00,682876,0,3171968,82.29,14788,1298252,2908220,75.44,2195116,869884,187976,1751960,51560,4872,9524,10852,0,0,0.00,0,0.00,4,595,1.09,1.69,2.06,1,52.40,38.40,12240.00,234.32,99.39,2074.17,19.10,100.08,1.80,1.80,0.19,0.13,0.00,0.00,0.00,0.00
2017-09-20 21:16:14,79.98,0.00,3.10,3.90,0.50,0.00,0.00,0.00,0.00,12.51,9.20,1481.00,1253.60,0.00,0.00,203.20,4681.60,11073.60,1.80,4386.40,0.00,0.00,0.00,0.00,35.20,13.60,21.60,406.40,4905.60,290172,0,3564672,92.47,14812,1299388,3494336,90.65,2588668,864440,165276,2138912,52208,5152,10744,10852,0,0,0.00,0,0.00,4,632,1.40,1.74,2.07,1,35.20,406.40,4905.60,150.91,42.52,1059.02,11.73,41.28,2.40,2.40,0.29,0.20,0.00,0.00,0.00,0.00
2017-09-20 21:16:19,30.82,0.00,2.62,60.83,0.70,0.00,0.00,0.00,0.00,5.04,3.20,3486.20,1608.40,0.00,0.00,11364.00,21808.00,5660.80,0.00,10666.80,4302.60,0.00,4302.40,100.00,270.60,100.00,170.60,22625.60,42707.20,82872,0,3771972,97.85,14820,1326204,3708684,96.21,2770444,886824,112448,2316372,53684,5200,11088,10852,0,0,0.00,0,0.00,0,639,1.45,1.75,2.07,2,270.60,22625.60,42707.20,241.44,86.03,400.67,3.27,88.40,1.80,1.80,0.20,0.14,0.00,0.00,0.00,0.00
2017-09-20 21:16:24,1.82,0.00,0.81,64.44,0.10,0.00,0.00,0.00,0.00,32.83,0.00,1650.80,1233.20,0.00,0.00,5343.20,15683.20,14.60,0.00,4684.80,3081.60,0.00,3081.60,100.00,170.00,42.60,127.40,10788.80,31510.40,91096,0,3763748,97.64,14832,1323552,3708684,96.21,2764232,884200,66532,2310048,54560,5216,11168,10852,0,0,0.00,0,0.00,0,638,1.49,1.75,2.07,1,170.00,10788.80,31510.40,248.82,138.44,803.92,5.88,99.92,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-20 21:16:29,21.56,0.00,2.02,38.16,0.10,0.00,0.00,0.00,0.00,38.16,1.80,1333.60,1118.60,0.00,0.00,2492.80,13254.40,5245.40,0.20,11308.40,9628.40,819.20,10447.00,99.99,130.80,14.00,116.80,3347.20,29248.00,75060,0,3779784,98.05,14832,1215332,3884736,100.78,2978036,686656,88556,2434612,56948,5264,11448,10852,0,0,0.00,0,0.00,0,644,1.45,1.74,2.07,2,130.80,3347.20,29248.00,249.20,114.40,651.03,5.64,73.76,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
