timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-23 01:56:18,70.40,0.00,6.41,0.10,0.10,0.00,0.31,0.00,0.00,22.69,23.60,3012.80,2260.00,0.00,0.00,0.00,137.60,13112.60,0.00,13268.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,275.20,1631848,0,2222996,57.67,7708,502508,3420120,88.72,1863360,264132,132348,1617332,39932,4608,7808,10852,0,0,0.00,0,0.00,5,569,1.24,1.20,1.06,0,4.00,0.00,275.20,68.80,0.01,2.40,2.00,0.80,2.00,2.00,0.24,0.17,0.00,0.00,0.00,0.00
2017-09-23 01:56:23,70.55,0.00,5.11,1.02,0.00,0.00,0.20,0.00,0.00,23.11,14.60,2405.40,2058.80,0.00,0.00,0.00,17500.80,9989.20,0.00,3395.60,0.00,0.00,0.00,0.00,151.20,0.00,151.20,0.00,35001.60,1281516,0,2573328,66.76,7724,631152,4938396,128.11,2091252,381312,174004,1833688,43628,5016,8904,10852,0,0,0.00,0,0.00,2,621,1.46,1.25,1.08,0,151.20,0.00,35001.60,231.49,21.54,142.43,1.34,20.32,2.20,2.20,0.27,0.18,0.00,0.00,0.00,0.00
2017-09-23 01:56:28,71.20,0.00,2.92,8.66,0.10,0.00,0.00,0.00,0.00,17.12,10.00,2325.60,1939.80,0.00,0.00,0.80,35232.00,4876.20,0.00,2836.60,0.00,0.00,0.00,0.00,277.60,0.20,277.40,1.60,70464.00,889332,0,2965512,76.93,7740,636668,5024532,130.34,2458408,377272,3596,2217896,44488,5296,9848,10852,0,0,0.00,0,0.00,2,646,1.51,1.26,1.08,0,277.60,1.60,70464.00,253.84,59.90,215.78,2.45,67.92,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-23 01:56:33,53.24,0.00,2.13,0.51,0.00,0.00,0.10,0.00,0.00,44.03,0.20,1730.20,1185.00,0.00,0.00,0.00,25.60,250.40,0.00,20252.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,51.20,335764,0,3519080,91.29,7748,636696,5075668,131.67,3038100,377272,3668,2770972,44472,5256,10960,10852,0,0,0.00,0,0.00,2,644,1.63,1.29,1.09,0,0.40,0.00,51.20,128.00,0.00,10.00,10.00,0.40,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 01:56:38,57.95,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,41.74,0.20,1758.60,1250.60,0.00,0.00,0.00,10.40,709.80,0.00,946.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,20.80,317132,0,3537712,91.77,7756,636724,5083424,131.87,3059268,374216,3712,2789008,44512,5264,10996,10852,0,0,0.00,0,0.00,3,644,1.58,1.29,1.09,0,0.40,0.00,20.80,52.00,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
2017-09-23 01:56:43,57.43,0.00,0.61,0.00,0.00,0.00,0.00,0.00,0.00,41.96,0.00,1873.40,1488.20,0.00,0.00,0.00,12.00,434.80,0.00,3806.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,24.00,236908,0,3617936,93.85,7764,636744,5083424,131.87,3139312,374196,3748,2869000,44516,5264,11156,10852,0,0,0.00,0,0.00,2,644,1.53,1.28,1.09,0,0.40,0.00,24.00,60.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 01:56:48,52.74,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,46.75,0.20,1757.20,1273.40,0.00,0.00,0.00,0.00,44.60,0.00,3942.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,166892,0,3687952,95.67,7764,636772,5083424,131.87,3188700,374080,3776,2938724,44508,5256,11292,10852,0,0,0.00,0,0.00,2,643,1.49,1.28,1.09,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.80,1.80,0.22,0.15,0.00,0.00,0.00,0.00
2017-09-23 01:56:53,53.19,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,46.71,0.00,1657.40,973.40,0.00,0.00,0.00,95.20,13.60,0.00,22.20,0.00,0.00,0.00,0.00,14.80,0.00,14.80,0.00,190.40,166892,0,3687952,95.67,7772,636800,5083424,131.87,3188752,374096,3348,2938760,44508,5256,11292,10852,0,0,0.00,0,0.00,1,643,1.45,1.27,1.09,0,14.80,0.00,190.40,12.86,0.03,1.73,0.05,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 01:56:58,51.17,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,48.63,0.00,1662.60,951.20,0.00,0.00,0.00,84.80,12.40,0.00,132.60,0.00,0.00,0.00,0.00,6.20,0.00,6.20,0.00,169.60,166744,0,3688100,95.67,7780,636824,5083424,131.87,3188592,374120,3144,2938592,44484,5240,11292,10852,0,0,0.00,0,0.00,1,641,1.41,1.27,1.09,0,6.20,0.00,169.60,27.35,0.02,3.74,2.32,1.44,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-23 01:57:03,51.47,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,48.43,0.00,1685.60,957.20,0.00,0.00,0.00,612.80,11.40,0.00,21.80,0.00,0.00,0.00,0.00,5.60,0.00,5.60,0.00,1225.60,166744,0,3688100,95.67,7788,636844,5083424,131.87,3188620,374136,232,2938608,44484,5240,11292,10852,0,0,0.00,0,0.00,1,641,1.38,1.26,1.09,0,5.60,0.00,1225.60,218.86,0.05,8.57,3.14,1.76,1.20,1.20,0.13,0.09,0.00,0.00,0.00,0.00
