timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 12:58:06,78.48,0.00,6.90,0.10,0.00,0.00,0.20,0.00,0.00,14.31,24.00,3742.20,2207.60,0.00,0.00,0.00,71.20,14923.20,0.00,21435.20,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,142.40,1588516,0,2266328,58.79,8092,585348,3481472,90.31,1849696,316680,162124,1573024,44392,4664,8056,10916,0,0,0.00,0,0.00,5,571,1.27,1.18,1.10,0,3.60,0.00,142.40,39.56,0.00,0.44,0.44,0.16,1.80,1.80,0.21,0.14,0.00,0.00,0.00,0.00
2017-09-24 12:58:11,79.39,0.00,3.84,0.30,0.10,0.00,0.10,0.00,0.00,16.26,15.40,2381.00,2107.60,0.00,0.00,0.00,12352.00,12408.00,0.00,4626.20,0.00,0.00,0.00,0.00,109.80,0.00,109.80,0.00,24704.00,1206700,0,2648144,68.70,8104,683792,4998120,129.66,2139540,403596,199320,1851240,47400,5112,9340,10916,0,0,0.00,0,0.00,2,626,1.41,1.21,1.11,0,109.80,0.00,24704.00,224.99,4.48,40.78,0.34,3.76,2.40,2.40,0.28,0.26,0.00,0.00,0.00,0.00
2017-09-24 12:58:16,73.76,0.00,3.34,3.14,0.00,0.00,0.00,0.00,0.00,19.76,9.00,2396.60,2032.60,0.00,0.00,0.80,40284.00,5784.40,0.00,4572.80,0.00,0.00,0.00,0.00,315.60,0.20,315.40,1.60,80568.00,796224,0,3058620,79.34,8132,689304,5113520,132.65,2554776,396636,3664,2253888,47916,5320,10336,10916,0,0,0.00,0,0.00,2,649,2.26,1.39,1.17,0,315.60,1.60,80568.00,255.29,60.40,191.37,1.43,45.28,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-24 12:58:21,51.92,0.00,0.40,0.10,0.00,0.00,0.00,0.00,0.00,47.58,0.80,1867.80,1341.00,0.00,0.00,0.00,22.40,351.40,0.00,475.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,44.80,752776,0,3102068,80.47,8140,689332,5113520,132.65,2598024,396664,3728,2297216,47980,5304,10476,10916,0,0,0.00,0,0.00,5,647,2.16,1.38,1.17,0,0.40,0.00,44.80,112.00,0.00,2.00,2.00,0.08,4.00,3.80,0.55,0.78,0.00,0.00,0.00,0.00
2017-09-24 12:58:26,52.83,0.00,0.40,0.00,0.10,0.00,0.00,0.00,0.00,46.66,0.20,1795.00,1200.60,0.00,0.00,0.00,0.00,87.60,0.00,780.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,737636,0,3117208,80.86,8140,689356,5113520,132.65,2609300,396516,3764,2312424,47964,5288,10444,10916,0,0,0.00,0,0.00,1,647,2.06,1.37,1.17,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.80,1.60,0.19,0.19,0.00,0.00,0.00,0.00
2017-09-24 12:58:31,51.57,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,48.23,0.00,1734.80,1060.20,0.00,0.00,0.00,17.60,13.20,0.00,135.20,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,35.20,729484,0,3125360,81.08,8152,689376,5113520,132.65,2617420,396492,3800,2320480,47964,5272,10460,10916,0,0,0.00,0,0.00,1,645,1.98,1.37,1.16,0,0.60,0.00,35.20,58.67,0.00,1.33,1.33,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 12:58:36,52.02,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,47.78,0.40,1748.00,1084.60,0.00,0.00,0.00,3.20,270.20,0.00,58.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,728196,0,3126648,81.11,8160,689404,5113520,132.65,2622572,396508,3824,2321520,47976,5280,10732,10916,0,0,0.00,0,0.00,7,646,1.90,1.36,1.16,0,0.40,0.00,6.40,16.00,0.00,2.00,2.00,0.08,3.80,4.40,0.53,1.10,0.00,0.00,0.00,0.00
2017-09-24 12:58:41,52.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.62,0.00,1699.40,980.60,0.00,0.00,0.00,52.00,17.60,0.00,33.00,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,104.00,728228,0,3126616,81.11,8168,689428,5113520,132.65,2622536,396524,3696,2321468,47952,5272,10732,10916,0,0,0.00,0,0.00,1,645,1.83,1.36,1.16,0,6.00,0.00,104.00,17.33,0.00,0.13,0.13,0.08,1.20,1.40,0.13,0.18,0.00,0.00,0.00,0.00
2017-09-24 12:58:46,51.47,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,48.33,0.00,1720.60,993.20,0.00,0.00,0.00,136.80,62.60,0.00,123.80,0.00,0.00,0.00,0.00,14.80,0.00,14.80,0.00,273.60,729564,0,3125280,81.07,8176,689452,5113520,132.65,2621596,396544,3128,2320516,47928,5248,10460,10916,0,0,0.00,0,0.00,1,642,1.76,1.35,1.16,0,14.80,0.00,273.60,18.49,0.03,1.89,0.11,0.16,2.20,1.80,0.22,0.15,0.00,0.00,0.00,0.00
2017-09-24 12:58:51,51.47,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,48.33,0.00,1705.20,968.40,0.00,0.00,0.00,612.80,13.00,0.00,23.40,0.00,0.00,0.00,0.00,5.60,0.00,5.60,0.00,1225.60,729440,0,3125404,81.08,8184,689472,5113520,132.65,2621652,396556,216,2320560,47928,5248,10460,10916,0,0,0.00,0,0.00,1,642,1.70,1.34,1.16,0,5.60,0.00,1225.60,218.86,0.02,3.43,0.43,0.24,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
