timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2017-09-24 17:35:21,77.24,0.00,6.10,0.10,0.00,0.00,0.30,0.00,0.00,16.26,23.60,3799.40,2629.00,0.00,0.00,4.80,102.40,12610.00,0.40,12445.00,0.00,0.00,0.00,0.00,9.00,0.60,8.40,9.60,195.20,1527036,0,2327808,60.39,6368,602660,3437748,89.18,1875056,351984,205508,1618068,44820,4656,8116,10916,0,0,0.00,0,0.00,6,568,1.40,1.14,1.15,0,9.40,9.60,204.80,22.81,0.02,2.13,0.51,0.48,1.60,1.60,0.19,0.13,0.00,0.00,0.00,0.00
2017-09-24 17:35:26,58.64,0.00,3.25,7.42,0.10,0.00,0.10,0.00,0.00,30.49,10.20,2004.60,1972.60,0.00,0.00,18.40,52087.20,6886.20,0.40,2747.00,0.00,0.00,0.00,0.00,417.20,1.20,416.00,36.80,104184.00,1288572,0,2566272,66.57,6388,657424,3805028,98.71,2066912,395908,484,1798964,46556,4896,8888,10916,0,0,0.00,0,0.00,0,601,1.29,1.12,1.14,0,416.80,36.80,104174.40,250.03,60.30,144.67,1.17,48.72,2.80,2.80,0.33,0.29,0.00,0.00,0.00,0.00
2017-09-24 17:35:31,77.09,0.00,3.13,0.00,0.00,0.00,0.00,0.00,0.00,19.78,14.20,2379.20,1712.40,0.00,0.00,0.00,522.40,8774.00,0.00,3093.40,0.00,0.00,0.00,0.00,4.60,0.00,4.60,0.00,1044.80,858640,0,2996204,77.73,6400,663028,5069936,131.52,2494412,391204,3672,2220296,47472,5288,10200,10916,0,0,0.00,0,0.00,1,647,1.27,1.12,1.14,0,4.60,0.00,1044.80,227.13,0.02,4.00,0.35,0.16,1.60,1.60,0.18,0.12,0.00,0.00,0.00,0.00
2017-09-24 17:35:36,53.28,0.00,2.42,0.00,0.10,0.00,0.00,0.00,0.00,44.20,0.00,1757.80,1282.60,0.00,0.00,0.00,24.80,165.20,0.00,25518.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,49.60,218824,0,3636020,94.32,6408,663052,5059700,131.26,3137380,391200,3736,2859120,47460,5264,11468,10916,0,0,0.00,0,0.00,1,644,1.25,1.12,1.14,0,0.40,0.00,49.60,124.00,0.00,2.00,2.00,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 17:35:41,52.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.83,0.00,1828.00,1302.80,0.00,0.00,0.00,4.00,18.00,0.00,136.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,216464,0,3638380,94.38,6416,663076,5059700,131.26,3139320,391220,3760,2861048,47476,5248,11456,10916,0,0,0.00,0,0.00,2,642,1.23,1.12,1.14,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,1.20,1.20,0.13,0.16,0.00,0.00,0.00,0.00
2017-09-24 17:35:46,51.82,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,47.98,0.00,1779.00,1185.60,0.00,0.00,0.00,4.00,13.60,0.00,28.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,216440,0,3638404,94.39,6424,663088,5059700,131.26,3139264,391228,3788,2860980,47496,5240,11456,10916,0,0,0.00,0,0.00,1,641,1.21,1.12,1.14,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 17:35:51,52.07,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,47.72,0.40,1777.00,1017.80,0.00,0.00,0.00,4.00,50.00,0.00,71.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,217100,0,3637744,94.37,6432,663116,5059700,131.26,3139008,391236,3828,2860696,47472,5240,11456,10916,0,0,0.00,0,0.00,1,641,1.19,1.11,1.14,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,1.40,1.40,0.17,0.11,0.00,0.00,0.00,0.00
2017-09-24 17:35:56,52.82,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,46.98,0.00,1775.40,1308.00,0.00,0.00,0.00,138.40,20.00,0.00,31.80,0.00,0.00,0.00,0.00,16.80,0.00,16.80,0.00,276.80,217124,0,3637720,94.37,6432,663148,5059700,131.26,3139012,391256,3120,2860688,47472,5232,11456,10916,0,0,0.00,0,0.00,4,640,1.18,1.11,1.14,0,16.80,0.00,276.80,16.48,0.12,7.00,0.14,0.24,1.60,1.60,0.18,0.19,0.00,0.00,0.00,0.00
2017-09-24 17:36:01,55.63,0.00,1.22,0.00,0.00,0.00,0.00,0.00,0.00,43.15,0.20,1821.60,2345.60,0.00,0.00,0.00,88.00,2556.40,0.00,11617.20,2284.20,618.00,2894.40,99.73,4.20,0.00,4.20,0.00,176.00,82964,0,3771880,97.85,3744,607988,5089740,132.03,3333064,333228,2972,3054560,47332,5232,11840,10916,0,0,0.00,0,0.00,1,639,1.16,1.11,1.14,0,4.20,0.00,176.00,41.90,0.00,0.19,0.19,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 17:36:06,54.94,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,44.56,0.20,1772.80,1326.60,0.00,0.00,0.00,567.20,547.60,0.00,338.00,0.00,208.00,208.00,100.00,5.00,0.00,5.00,0.00,1134.40,72368,0,3782476,98.12,3756,603852,5110384,132.57,3350692,326056,320,3069140,47308,5232,11864,10916,0,0,0.00,0,0.00,4,640,1.15,1.11,1.14,0,5.00,0.00,1134.40,226.88,0.04,8.64,0.64,0.32,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 17:36:11,55.62,0.00,0.10,0.00,0.10,0.00,0.00,0.00,0.00,44.17,0.00,1868.00,1380.80,0.00,0.00,0.00,15.20,40.20,0.00,27.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,30.40,71996,0,3782848,98.13,3764,603880,5110384,132.57,3351140,326048,368,3069544,47308,5232,11864,10916,0,0,0.00,0,0.00,3,640,1.14,1.11,1.14,0,0.40,0.00,30.40,76.00,0.00,2.00,2.00,0.08,1.40,1.40,0.14,0.17,0.00,0.00,0.00,0.00
2017-09-24 17:36:16,52.17,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,47.62,0.00,1811.60,1369.40,0.00,0.00,0.00,4.00,16.00,0.00,31.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,71964,0,3782880,98.13,3772,603904,5110384,132.57,3351084,326068,392,3069476,47348,5224,11864,10916,0,0,0.00,0,0.00,3,638,1.13,1.10,1.13,0,0.40,0.00,8.00,20.00,0.00,2.00,2.00,0.08,1.00,1.00,0.12,0.08,0.00,0.00,0.00,0.00
2017-09-24 17:36:21,52.07,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,47.72,0.00,1799.80,1348.00,0.00,0.00,0.00,4.00,17.80,0.00,41.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,72036,0,3782808,98.13,3780,603928,5110384,132.57,3350816,326092,424,3069200,47344,5192,11864,10916,0,0,0.00,0,0.00,2,635,1.12,1.10,1.13,0,0.40,0.00,8.00,20.00,0.00,2.00,2.00,0.08,1.80,1.80,0.19,0.14,0.00,0.00,0.00,0.00
2017-09-24 17:36:26,52.33,0.00,0.10,0.00,0.10,0.00,0.00,0.00,0.00,47.47,0.00,1824.20,1360.80,0.00,0.00,0.00,28.80,20.40,0.00,34.00,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,57.60,72060,0,3782784,98.13,3788,603948,5110384,132.57,3350768,326108,396,3069140,47328,5184,11864,10916,0,0,0.00,0,0.00,5,634,1.11,1.10,1.13,0,2.20,0.00,57.60,26.18,0.00,0.36,0.36,0.08,1.80,1.80,0.19,0.20,0.00,0.00,0.00,0.00
